バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,750,m,埼玉県,1053,AR8.YU,埼玉県,1155,C,埼玉県
1st&substream,RUGGED ASH,367,12345$,埼玉県,402,C,埼玉県,1096,AR8.YU,埼玉県
1st&substream,R3,645,EZR,埼玉県,735,AR8.YU,埼玉県,899,AR8.YU,埼玉県
1st&substream,PARANOIA MAX～DIRTY MIX～,553,EZR,埼玉県,751,AR8.YU,埼玉県,1109,87DD,埼玉県
1st&substream,Macho Gang,370,m,埼玉県,1082,AR8.YU,埼玉県,1617,CHERRY,埼玉県
1st&substream,KEEP ON MOVIN',194,EASY,埼玉県,244,96DECO,埼玉県,,,
1st&substream,GRADIUSIC CYBER,847,SOL26W,埼玉県,993,m,埼玉県,1207,C,埼玉県
1st&substream,GENOM SCREAMS,417,EZR,埼玉県,807,m,埼玉県,1066,AR8.YU,埼玉県
1st&substream,GAMBOL,273,EZR,埼玉県,274,AR8.YU,埼玉県,,,
1st&substream,Dr.LOVE,401,ALICEK,埼玉県,504,-KMBK-,埼玉県,579,96DECO,埼玉県
1st&substream,deep in you,484,m,埼玉県,501,m,埼玉県,659,AR8.YU,埼玉県
1st&substream,BRILLIANT 2U,530,EZR,埼玉県,650,m,埼玉県,724,E.LILY,埼玉県
1st&substream,5.1.1.,197,KEI,埼玉県,1001,m,埼玉県,1569,54GAYA,埼玉県
1st&substream,22DUNK,517,TUBASA,埼玉県,618,AIRSUN,埼玉県,656,C,埼玉県
2nd style,SP-TRIP MACHINE(for beatmania II),502,m,埼玉県,626,AR8.YU,埼玉県,647,AR8.YU,埼玉県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),563,m,埼玉県,861,AR8.YU,埼玉県,,,
2nd style,Indigo Vision(full flavour hide around mix),847,m,埼玉県,1096,SOL26W,埼玉県,1218,L,埼玉県
2nd style,I Was The One,533,ALICEK,埼玉県,635,m,埼玉県,694,E.LILY,埼玉県
2nd style,Electro Tuned(the SubS mix),762,12345$,埼玉県,923,m,埼玉県,1069,AR8.YU,埼玉県
2nd style,Digital MinD(A/T Libra mix),708,m,埼玉県,1043,-KMBK-,埼玉県,1137,L,埼玉県
2nd style,Dancin' Into The Night,420,ALICEK,埼玉県,464,96DECO,埼玉県,,,
2nd style,.59,701,EZR,埼玉県,996,m,埼玉県,1153,AR8.YU,埼玉県
