バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,748,MOCHI,兵庫県,976,ADO.,兵庫県,1147,79.9,兵庫県
1st&substream,RUGGED ASH,369,79.9,兵庫県,402,79.9,兵庫県,1098,79.9,兵庫県
1st&substream,R3,648,BOSS,兵庫県,702,NATTOU,兵庫県,895,79.9,兵庫県
1st&substream,PARANOIA MAX～DIRTY MIX～,549,BOSS,兵庫県,705,C0NPEY,兵庫県,1105,79.9,兵庫県
1st&substream,Macho Gang,364,YUZU.K,兵庫県,989,TUBAME,兵庫県,1624,YYY,兵庫県
1st&substream,KEEP ON MOVIN',192,LX7R,兵庫県,243,79.9,兵庫県,,,
1st&substream,GRADIUSIC CYBER,837,YUZU.K,兵庫県,923,C0NPEY,兵庫県,1199,79.9,兵庫県
1st&substream,GENOM SCREAMS,387,BOSS,兵庫県,807,YORIKO,兵庫県,1065,YYY,兵庫県
1st&substream,GAMBOL,269,AAEZ,兵庫県,274,YYY,兵庫県,,,
1st&substream,Dr.LOVE,389,MOCHI,兵庫県,506,YORIKO,兵庫県,577,FULPOP,兵庫県
1st&substream,deep in you,474,BOSS,兵庫県,483,YORIKO,兵庫県,660,79.9,兵庫県
1st&substream,BRILLIANT 2U,506,BOSS,兵庫県,657,79.9,兵庫県,718,79.9,兵庫県
1st&substream,5.1.1.,197,CUB,兵庫県,971,BOSS,兵庫県,1568,YYY,兵庫県
1st&substream,22DUNK,495,YUZU.K,兵庫県,616,YORIKO,兵庫県,652,79.9,兵庫県
2nd style,SP-TRIP MACHINE(for beatmania II),487,SCARET,兵庫県,611,13PUTA,兵庫県,641,79.9,兵庫県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),555,SUTAO,兵庫県,861,79.9,兵庫県,,,
2nd style,Indigo Vision(full flavour hide around mix),846,BOSS,兵庫県,1073,YORIKO,兵庫県,1213,YYY,兵庫県
2nd style,I Was The One,531,YUZU.K,兵庫県,633,YORIKO,兵庫県,695,79.9,兵庫県
2nd style,Electro Tuned(the SubS mix),715,C0NPEY,兵庫県,920,DRIZZE,兵庫県,1062,79.9,兵庫県
2nd style,Digital MinD(A/T Libra mix),694,SUTAO,兵庫県,1010,BOSS,兵庫県,1123,79.9,兵庫県
2nd style,Dancin' Into The Night,422,YUZU.K,兵庫県,467,79.9,兵庫県,,,
2nd style,.59,665,MIKURO,兵庫県,956,DRIZZE,兵庫県,1153,79.9,兵庫県
3rd style,THE SAFARI,1140,C0NPEY,兵庫県,1753,YYY,兵庫県,,,
3rd style,Tangerine Stream,270,VABO,兵庫県,394,79.9,兵庫県,,,
3rd style,Skyscraper,679,CHARA,兵庫県,1156,YORIKO,兵庫県,1240,79.9,兵庫県
3rd style,Schlagwerk,764,CHARA,兵庫県,1248,T.K.S*,兵庫県,1668,79.9,兵庫県
3rd style,REINCARNATION,786,SCARET,兵庫県,995,YORIKO,兵庫県,1260,NUFAN,兵庫県
3rd style,R5,736,C0NPEY,兵庫県,1152,13PUTA,兵庫県,1753,YYY,兵庫県
