バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,719,MURA,山口県,964,AZM!,山口県,1086,SATOH,山口県
1st&substream,RUGGED ASH,337,0PAN-T,山口県,397,3.MPS,山口県,1056,TOUYA,山口県
1st&substream,R3,633,AZM!,山口県,646,T-EDGE,山口県,839,-Z-,山口県
1st&substream,PARANOIA MAX～DIRTY MIX～,522,HIDEAK,山口県,728,AZM!,山口県,1042,TOM,山口県
1st&substream,Macho Gang,337,KNIGHT,山口県,840,HIDEAK,山口県,1618,KUUFEI,山口県
1st&substream,KEEP ON MOVIN',196,3.MPS,山口県,231,396,山口県,,,
1st&substream,GRADIUSIC CYBER,729,FALSE,山口県,956,NANAKI,山口県,1149,SATOH,山口県
1st&substream,GENOM SCREAMS,377,PATCH?,山口県,741,AZM!,山口県,1000,CAAD12,山口県
1st&substream,GAMBOL,261,JASCAP,山口県,274,3.MPS,山口県,,,
1st&substream,Dr.LOVE,366,LEMMIH,山口県,477,NIST,山口県,557,CH!4U.,山口県
1st&substream,deep in you,431,0PAN-T,山口県,498,3.MPS,山口県,643,YU-HI,山口県
1st&substream,BRILLIANT 2U,466,0PAN-T,山口県,648,3.MPS,山口県,677,NANAKI,山口県
1st&substream,5.1.1.,198,3.MPS,山口県,935,AZM!,山口県,1530,Y.COM,山口県
1st&substream,22DUNK,465,FALSE,山口県,631,3.MPS,山口県,592,PALSY.,山口県
2nd style,SP-TRIP MACHINE(for beatmania II),476,9R3N41,山口県,585,JUNCHI,山口県,636,SATOH,山口県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),522,PATCH?,山口県,844,3.MPS,山口県,,,
2nd style,Indigo Vision(full flavour hide around mix),726,V-AS,山口県,868,FALSE,山口県,1167,*HYUI*,山口県
2nd style,I Was The One,518,AZM!,山口県,605,NIST,山口県,664,JASCAP,山口県
2nd style,Electro Tuned(the SubS mix),687,IRE,山口県,813,T-EDGE,山口県,993,AZM!,山口県
2nd style,Digital MinD(A/T Libra mix),654,PATCH?,山口県,1008,SYOBOY,山口県,1076,YU-HI,山口県
2nd style,Dancin' Into The Night,403,JASCAP,山口県,447,3.MPS,山口県,,,
2nd style,.59,649,MURA,山口県,965,SYOBOY,山口県,1080,AZM!,山口県
3rd style,THE SAFARI,1089,KOGU,山口県,1714,Y.COM,山口県,,,
3rd style,Tangerine Stream,263,BURONT,山口県,394,3.MPS,山口県,,,
3rd style,Skyscraper,679,KNIGHT,山口県,1099,AZM!,山口県,1225,Y.COM,山口県
3rd style,Schlagwerk,679,FALSE,山口県,1291,3.MPS,山口県,1641,YU-HI,山口県
3rd style,REINCARNATION,807,JUNCHI,山口県,1022,3.MPS,山口県,1135,AZM!,山口県
3rd style,R5,705,KNIGHT,山口県,1106,MEJIRO,山口県,1753,Y.COM,山口県
3rd style,Presto,502,JASCAP,山口県,980,3.MPS,山口県,964,SATOH,山口県
3rd style,LEADING CYBER,667,FALSE,山口県,1096,AZM!,山口県,1260,KUUFEI,山口県
3rd style,Holic,665,FALSE,山口県,1136,NANAKI,山口県,1682,KUUFEI,山口県
3rd style,era (nostalmix),742,FALSE,山口県,994,AZM!,山口県,1410,TOUYA,山口県
3rd style,Don't Stop!,752,JUNCHI,山口県,854,3.MPS,山口県,898,3.MPS,山口県
3rd style,CAN'T STOP FALLIN'IN LOVE,564,T-EDGE,山口県,1147,INASH,山口県,,,
4th style,Voltage (feat. Hidemaru),776,FALSE,山口県,1094,AZM!,山口県,1299,KUUFEI,山口県
