バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,720,LEGACY,岐阜県,924,PUTTY0,岐阜県,1142,UNA-10,岐阜県
1st&substream,RUGGED ASH,366,SHIKI,岐阜県,388,TOOL,岐阜県,1078,UNA-10,岐阜県
1st&substream,R3,612,JIO,岐阜県,702,NOY,岐阜県,881,NOY,岐阜県
1st&substream,PARANOIA MAX～DIRTY MIX～,522,ROLES,岐阜県,704,PUTTY0,岐阜県,1077,NOY,岐阜県
1st&substream,Macho Gang,372,SHIKI,岐阜県,972,DM,岐阜県,1570,NOY,岐阜県
1st&substream,KEEP ON MOVIN',196,NOY,岐阜県,244,OTOHA,岐阜県,0,,未設定
1st&substream,GRADIUSIC CYBER,788,ROLES,岐阜県,957,CHIFFE,岐阜県,1154,NOY,岐阜県
1st&substream,GENOM SCREAMS,388,SIGURE,岐阜県,721,PUTTY0,岐阜県,1050,3F33.0,岐阜県
1st&substream,GAMBOL,273,AMER,岐阜県,274,OTOHA,岐阜県,0,,未設定
1st&substream,Dr.LOVE,402,SHIKI,岐阜県,485,DOG,岐阜県,567,NOY,岐阜県
1st&substream,deep in you,479,LOVE-P,岐阜県,466,386,岐阜県,648,OTOHA,岐阜県
1st&substream,BRILLIANT 2U,500,JIO,岐阜県,594,YUE.*,岐阜県,705,LAV1S.,岐阜県
1st&substream,5.1.1.,196,NOY,岐阜県,920,ROLES,岐阜県,1528,ORA5N,岐阜県
1st&substream,22DUNK,475,ROLES,岐阜県,584,GMT.RK,岐阜県,635,NOY,岐阜県
2nd style,SP-TRIP MACHINE(for beatmania II),466,DCSHOO,岐阜県,589,TOOL,岐阜県,635,OTOHA,岐阜県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),528,JIO,岐阜県,844,TUTTYO,岐阜県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),850,NOY,岐阜県,1005,386,岐阜県,1210,HAL,岐阜県
2nd style,I Was The One,537,NOY,岐阜県,583,DOG,岐阜県,684,NOY,岐阜県
2nd style,Electro Tuned(the SubS mix),705,TAPRIN,岐阜県,848,PUTTY0,岐阜県,1036,NOY,岐阜県
2nd style,Digital MinD(A/T Libra mix),709,NOY,岐阜県,985,CHIFFE,岐阜県,1086,JU-NON,岐阜県
2nd style,Dancin' Into The Night,426,NOY,岐阜県,468,OTOHA,岐阜県,0,,未設定
2nd style,.59,647,YOSHI,岐阜県,927,TOOL,岐阜県,1132,OTOHA,岐阜県
3rd style,THE SAFARI,1100,TOOL,岐阜県,1726,3F33.0,岐阜県,0,,未設定
3rd style,Tangerine Stream,279,NOY,岐阜県,394,NOY,岐阜県,0,,未設定
3rd style,Skyscraper,658,Q,岐阜県,1110,PUTTY0,岐阜県,1209,OTOHA,岐阜県
3rd style,Schlagwerk,754,Q,岐阜県,1167,PUTTY0,岐阜県,1648,OTOHA,岐阜県
3rd style,REINCARNATION,727,JIO,岐阜県,1024,TUTTYO,岐阜県,1242,HAL,岐阜県
3rd style,R5,761,MEGANE,岐阜県,1134,TUTTYO,岐阜県,1756,UNA-10,岐阜県
3rd style,Presto,498,KOTORI,岐阜県,926,YULIA,岐阜県,1009,UNA-10,岐阜県
3rd style,LEADING CYBER,729,Q,岐阜県,1159,TUTTYO,岐阜県,1232,LAV1S.,岐阜県
3rd style,Holic,693,JIO,岐阜県,1098,JIO,岐阜県,1715,UNA-10,岐阜県
3rd style,era (nostalmix),782,PUTTY0,岐阜県,1061,TUTTYO,岐阜県,1468,OTOHA,岐阜県
3rd style,Don't Stop!,713,Q,岐阜県,785,SIGURE,岐阜県,897,NOY,岐阜県
3rd style,CAN'T STOP FALLIN'IN LOVE,570,DOG,岐阜県,1228,Y.Y,岐阜県,0,,未設定
