バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,682,RH,秋田県,985,KANI,秋田県,1117,AJI.,秋田県
1st&substream,RUGGED ASH,362,HARUNA,秋田県,390,POKEGO,秋田県,1037,CRUISE,秋田県
1st&substream,R3,561,KKR,秋田県,697,POKEGO,秋田県,863,JK7KD4,秋田県
1st&substream,PARANOIA MAX～DIRTY MIX～,495,RH,秋田県,743,AJI.,秋田県,1063,TOROKU,秋田県
1st&substream,Macho Gang,362,180106,秋田県,1053,AJI.,秋田県,1583,Y.I.,秋田県
1st&substream,KEEP ON MOVIN',189,TOROKU,秋田県,236,HAPICO,秋田県,0,,未設定
1st&substream,GRADIUSIC CYBER,0,,未設定,976,AJI.,秋田県,1169,CRUISE,秋田県
1st&substream,GENOM SCREAMS,243,LAM,秋田県,806,AJI.,秋田県,1018,EOTOKO,秋田県
1st&substream,GAMBOL,268,MGR*,秋田県,271,KOB.CB,秋田県,0,,未設定
1st&substream,Dr.LOVE,381,YUTO,秋田県,499,HARUNA,秋田県,562,EOTOKO,秋田県
1st&substream,deep in you,448,RH,秋田県,499,AJI.,秋田県,633,EOTOKO,秋田県
1st&substream,BRILLIANT 2U,487,RH,秋田県,639,AJI.,秋田県,688,HAPICO,秋田県
1st&substream,5.1.1.,193,KOB.CB,秋田県,974,HARUNA,秋田県,1526,AOTA,秋田県
1st&substream,22DUNK,458,RH,秋田県,603,KANI,秋田県,641,5INKYO,秋田県
2nd style,SP-TRIP MACHINE(for beatmania II),492,AU-MIN,秋田県,613,-GEAR-,秋田県,636,POKEGO,秋田県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),547,HARUNA,秋田県,827,EOTOKO,秋田県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),770,OKASHI,秋田県,1087,AJI.,秋田県,1169,-GEAR-,秋田県
2nd style,I Was The One,518,AKAMA,秋田県,606,TORU.K,秋田県,662,AZSA.M,秋田県
2nd style,Electro Tuned(the SubS mix),699,ABFRYA,秋田県,934,AJI.,秋田県,1036,-GEAR-,秋田県
2nd style,Digital MinD(A/T Libra mix),656,RH,秋田県,1040,AJI.,秋田県,1077,CRUISE,秋田県
2nd style,Dancin' Into The Night,264,IEBORI,秋田県,455,HAPICO,秋田県,0,,未設定
2nd style,.59,663,EULECA,秋田県,974,HARUNA,秋田県,1094,HARUNA,秋田県
3rd style,THE SAFARI,961,RH,秋田県,1684,Y.I.,秋田県,0,,未設定
3rd style,Tangerine Stream,272,MAFUTU,秋田県,386,B.ROSE,秋田県,0,,未設定
3rd style,Skyscraper,628,ZOO,秋田県,1179,AJI.,秋田県,1191,JK7KD4,秋田県
3rd style,Schlagwerk,774,KANI,秋田県,1281,HARUNA,秋田県,1650,EOTOKO,秋田県
3rd style,REINCARNATION,591,KEOGH,秋田県,1006,-GEAR-,秋田県,1244,CRUISE,秋田県
3rd style,R5,721,OGA8RA,秋田県,1145,POKEGO,秋田県,1723,HARUNA,秋田県
3rd style,Presto,518,HARUNA,秋田県,953,AJI.,秋田県,982,CRUISE,秋田県
3rd style,LEADING CYBER,0,,未設定,1161,HARUNA,秋田県,1186,EOTOKO,秋田県
3rd style,Holic,623,ZOO,秋田県,1195,AJI.,秋田県,1640,Y.I.,秋田県
3rd style,era (nostalmix),607,ITK,秋田県,1055,AJI.,秋田県,1457,Y.I.,秋田県
3rd style,Don't Stop!,726,OGA8RA,秋田県,819,NYA.C,秋田県,884,POKEGO,秋田県
3rd style,CAN'T STOP FALLIN'IN LOVE,538,MIYA,秋田県,1194,EOTOKO,秋田県,0,,未設定
4th style,Voltage (feat. Hidemaru),880,AKAMA,秋田県,1172,AJI.,秋田県,1258,MGR*,秋田県
4th style,ULTRA HIGH-HEELS,594,WELCH,秋田県,879,HARUNA,秋田県,970,EOTOKO,秋田県
4th style,SWEET LAB,436,SHUN-X,秋田県,934,HARUNA,秋田県,1235,EOTOKO,秋田県
4th style,starmine,861,AKAMA,秋田県,1384,AJI.,秋田県,1502,HARUNA,秋田県
4th style,Nasty!,407,OINARI,秋田県,925,AJI.,秋田県,1483,EOTOKO,秋田県
4th style,Mr.T.(take me higher),490,OINARI,秋田県,997,AJI.,秋田県,1663,HARUNA,秋田県
4th style,minimalian,426,MIYA,秋田県,1067,AJI.,秋田県,1347,AAAAAA,秋田県
4th style,LOVE WILL・・・,532,CAMINO,秋田県,734,HARUNA,秋田県,1414,JK7KD4,秋田県
4th style,KAMIKAZE,1011,SIXA,秋田県,1436,KOB.CB,秋田県,2228,Y.I.,秋田県
4th style,Jam&Marmalade,756,EOTOKO,秋田県,871,AJI.,秋田県,979,-GEAR-,秋田県
4th style,Hitch Hiker2,478,A-NE,秋田県,1170,HARUNA,秋田県,1282,-GEAR-,秋田県
4th style,HIGHER,507,AKAMA,秋田県,925,AJI.,秋田県,1234,JK7KD4,秋田県
4th style,FLOWERS for ALBION,231,2*RAMI,秋田県,412,NYA.C,秋田県,0,,未設定
4th style,era (step mix),1044,HARUNA,秋田県,1380,AJI.,秋田県,1589,EOTOKO,秋田県
4th style,empathy,794,HARUNA,秋田県,1320,AJI.,秋田県,1387,EOTOKO,秋田県
4th style,DXY!,1092,YUTO,秋田県,1782,AJI.,秋田県,2150,Y.I.,秋田県
4th style,Clione†,0,,未設定,0,,未設定,2029,EOTOKO,秋田県
4th style,Clione,512,HARUNA,秋田県,924,HARUNA,秋田県,1549,Y.I.,秋田県
4th style,CHECKING YOU OUT,569,GGAOS,秋田県,828,-GEAR-,秋田県,1257,Y.I.,秋田県
4th style,Burnin' The Floor,405,AKAMA,秋田県,930,AJI.,秋田県,1386,CRUISE,秋田県
4th style,Broken My Heart,906,SIXA,秋田県,1422,AJI.,秋田県,1750,300036,秋田県
4th style,B4U,1014,SIXA,秋田県,1501,AJI.,秋田県,1900,AOTA,秋田県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2643,TOROKU,秋田県
4th style,ABSOLUTE,1302,HARUNA,秋田県,1752,KOB.CB,秋田県,2269,AOTA,秋田県
4th style,250bpm,544,ZOO,秋田県,996,AJI.,秋田県,1319,EOTOKO,秋田県
5th style,V,1248,AJI.,秋田県,2395,HAPICO,秋田県,2821,EOTOKO,秋田県
5th style,THE SHINING POLARIS,946,SIXA,秋田県,1283,HARUNA,秋田県,1530,EOTOKO,秋田県
5th style,THE CUBE,622,WELCH,秋田県,1246,AJI.,秋田県,1329,-GEAR-,秋田県
5th style,sync,1041,AU-MIN,秋田県,1872,KOB.CB,秋田県,2277,AOTA,秋田県
5th style,still my words,863,HARUNA,秋田県,1189,EOTOKO,秋田県,0,,未設定
5th style,STILL IN MY HEART,994,SIXA,秋田県,1303,AJI.,秋田県,1833,EOTOKO,秋田県
5th style,Spin the disc,516,ITK,秋田県,1260,AJI.,秋田県,1285,-GEAR-,秋田県
5th style,RISLIM,701,NYA.C,秋田県,1178,TOROKU,秋田県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1705,GOMATA,秋田県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),849,CAMINO,秋田県,1058,AJI.,秋田県,1616,EOTOKO,秋田県
5th style,Regulus,888,OGA8RA,秋田県,1453,AJI.,秋田県,1605,EOTOKO,秋田県
5th style,Real,1075,KOB.CB,秋田県,1646,AJI.,秋田県,1746,-GEAR-,秋田県
