バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,780,HEARSE,千葉県,1045,AGUILA,千葉県,1146,AGUILA,千葉県
1st&substream,RUGGED ASH,365,HEARSE,千葉県,400,PNFPN,千葉県,1081,AGUILA,千葉県
1st&substream,R3,635,HEARSE,千葉県,731,RIS.DG,千葉県,893,PSY6CK,千葉県
1st&substream,PARANOIA MAX～DIRTY MIX～,548,HEARSE,千葉県,737,ONESHO,千葉県,1101,O-.-O,千葉県
1st&substream,Macho Gang,372,WAROTA,千葉県,1044,QALFY,千葉県,1616,KONOMI,千葉県
1st&substream,KEEP ON MOVIN',196,KI.,千葉県,244,MIYAKO,千葉県,0,,未設定
1st&substream,GRADIUSIC CYBER,853,HEARSE,千葉県,955,HEARSE,千葉県,1195,RIS.DG,千葉県
1st&substream,GENOM SCREAMS,413,HEARSE,千葉県,818,KASSAN,千葉県,1060,PSY6CK,千葉県
1st&substream,GAMBOL,273,3831,千葉県,274,AGUILA,千葉県,0,,未設定
1st&substream,Dr.LOVE,403,NN-N.,千葉県,511,HEARSE,千葉県,574,QALFY,千葉県
1st&substream,deep in you,484,24ZUMI,千葉県,489,ONESHO,千葉県,651,MIYAKO,千葉県
1st&substream,BRILLIANT 2U,537,ONESHO,千葉県,653,RIS.DG,千葉県,721,PSY6CK,千葉県
1st&substream,5.1.1.,198,KONOMI,千葉県,1011,AGUILA,千葉県,1563,RIS.DG,千葉県
1st&substream,22DUNK,518,HEARSE,千葉県,642,AGUILA,千葉県,651,KONOMI,千葉県
2nd style,SP-TRIP MACHINE(for beatmania II),497,A-RISE,千葉県,612,WILLVI,千葉県,647,TENIN,千葉県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),575,ONESHO,千葉県,855,AGUILA,千葉県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),867,ONESHO,千葉県,1099,NYARU.,千葉県,1207,PSY6CK,千葉県
2nd style,I Was The One,532,KI.,千葉県,648,AGUILA,千葉県,688,ROEN,千葉県
2nd style,Electro Tuned(the SubS mix),763,ONESHO,千葉県,954,AGUILA,千葉県,1056,PSY6CK,千葉県
2nd style,Digital MinD(A/T Libra mix),723,3831,千葉県,1061,AGUILA,千葉県,1126,AGUILA,千葉県
2nd style,Dancin' Into The Night,424,KI.,千葉県,466,PSY6CK,千葉県,0,,未設定
2nd style,.59,704,HEARSE,千葉県,1006,QALFY,千葉県,1143,PSY6CK,千葉県
3rd style,THE SAFARI,1211,*AZSA*,千葉県,1747,U*TAKA,千葉県,0,,未設定
3rd style,Tangerine Stream,282,SMEBIY,千葉県,394,MIYAKO,千葉県,0,,未設定
3rd style,Skyscraper,708,A-RISE,千葉県,1206,AGUILA,千葉県,1246,AGUILA,千葉県
3rd style,Schlagwerk,795,MIU,千葉県,1313,AGUILA,千葉県,1669,O-.-O,千葉県
3rd style,REINCARNATION,823,HEARSE,千葉県,994,WAHA-$,千葉県,1265,PSY6CK,千葉県
3rd style,R5,768,HEARSE,千葉県,1171,TOO8,千葉県,1759,RIS.DG,千葉県
3rd style,Presto,535,HEARSE,千葉県,987,AGUILA,千葉県,1009,AGUILA,千葉県
3rd style,LEADING CYBER,812,0X,千葉県,1193,AGUILA,千葉県,1265,PSY6CK,千葉県
3rd style,Holic,766,24ZUMI,千葉県,1228,QALFY,千葉県,1689,KONOMI,千葉県
3rd style,era (nostalmix),827,HEARSE,千葉県,1091,O-.-O,千葉県,1509,DARK-I,千葉県
3rd style,Don't Stop!,745,A-RISE,千葉県,851,AGUILA,千葉県,905,QALFY,千葉県
3rd style,CAN'T STOP FALLIN'IN LOVE,611,HEARSE,千葉県,1249,AGUILA,千葉県,0,,未設定
4th style,Voltage (feat. Hidemaru),910,KI.,千葉県,1238,AGUILA,千葉県,1321,RIS.DG,千葉県
4th style,ULTRA HIGH-HEELS,742,HEARSE,千葉県,891,HEARSE,千葉県,982,MIYAKO,千葉県
4th style,SWEET LAB,537,24ZUMI,千葉県,957,QALFY,千葉県,1347,PSY6CK,千葉県
4th style,starmine,897,HEARSE,千葉県,1398,AGUILA,千葉県,1573,U*TAKA,千葉県
4th style,Nasty!,559,MIZ,千葉県,934,QALFY,千葉県,1540,PSY6CK,千葉県
4th style,Mr.T.(take me higher),841,A-RISE,千葉県,1011,AGUILA,千葉県,1744,WAROTA,千葉県
4th style,minimalian,526,ONESHO,千葉県,1106,AGUILA,千葉県,1400,*AZSA*,千葉県
4th style,LOVE WILL・・・,534,A-RISE,千葉県,741,ONESHO,千葉県,1458,O-.-O,千葉県
4th style,KAMIKAZE,1007,24ZUMI,千葉県,1478,AGUILA,千葉県,2282,KONOMI,千葉県
4th style,Jam&Marmalade,766,O-.-O,千葉県,900,AGUILA,千葉県,1009,AGUILA,千葉県
4th style,Hitch Hiker2,778,MIZ,千葉県,1207,AGUILA,千葉県,1313,AGUILA,千葉県
4th style,HIGHER,537,GES8RO,千葉県,933,AGUILA,千葉県,1274,AGUILA,千葉県
4th style,FLOWERS for ALBION,233,ONESHO,千葉県,440,AGUILA,千葉県,0,,未設定
4th style,era (step mix),1084,HEARSE,千葉県,1377,HEARSE,千葉県,1687,DARK-I,千葉県
4th style,empathy,816,MIU,千葉県,1293,TAICHO,千葉県,1445,RIS.DG,千葉県
4th style,DXY!,1285,GES8RO,千葉県,1801,GES8RO,千葉県,2241,KONOMI,千葉県
4th style,Clione†,0,,未設定,0,,未設定,2143,KONOMI,千葉県
4th style,Clione,523,HEARSE,千葉県,938,QALFY,千葉県,1598,RIS.DG,千葉県
4th style,CHECKING YOU OUT,648,QALFY,千葉県,887,MINCHO,千葉県,1303,O-.-O,千葉県
4th style,Burnin' The Floor,576,KI.,千葉県,954,AGUILA,千葉県,1437,U*TAKA,千葉県
4th style,Broken My Heart,921,A-RISE,千葉県,1483,AGUILA,千葉県,1802,AGUILA,千葉県
4th style,B4U,1013,A-RISE,千葉県,1539,GES8RO,千葉県,1979,U*TAKA,千葉県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2688,O-.-O,千葉県
4th style,ABSOLUTE,1297,HEARSE,千葉県,1830,AGUILA,千葉県,2366,PSY6CK,千葉県
4th style,250bpm,634,TAKA74,千葉県,1011,QALFY,千葉県,1400,PRECOG,千葉県
5th style,V,1287,GES8RO,千葉県,2500,24ZUMI,千葉県,2982,U*TAKA,千葉県
5th style,THE SHINING POLARIS,936,A-RISE,千葉県,1320,AGUILA,千葉県,1584,AGUILA,千葉県
5th style,THE CUBE,729,HEARSE,千葉県,1261,AGUILA,千葉県,1343,RIS.DG,千葉県
5th style,sync,1062,HEARSE,千葉県,1900,RIS.DG,千葉県,2370,U*TAKA,千葉県
5th style,still my words,906,3831,千葉県,1223,PSY6CK,千葉県,0,,未設定
5th style,STILL IN MY HEART,998,A-RISE,千葉県,1373,AGUILA,千葉県,1903,O-.-O,千葉県
5th style,Spin the disc,788,A-RISE,千葉県,1299,AGUILA,千葉県,1321,AGUILA,千葉県
5th style,RISLIM,913,A-RISE,千葉県,1227,AGUILA,千葉県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1792,KONOMI,千葉県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),892,A-RISE,千葉県,1049,AGUILA,千葉県,1716,RIS.DG,千葉県
5th style,Regulus,1037,A-RISE,千葉県,1522,AGUILA,千葉県,1687,O-.-O,千葉県
