バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,780,EIKRA7,富山県,1005,OYATSU,富山県,1130,KEN&LU,富山県
1st&substream,RUGGED ASH,370,EIKRA7,富山県,394,EIKRA7,富山県,1085,R#EDGE,富山県
1st&substream,R3,643,EIKRA7,富山県,683,OYATSU,富山県,892,SHINPO,富山県
1st&substream,PARANOIA MAX～DIRTY MIX～,548,OYATSU,富山県,639,TATSU,富山県,1112,R#EDGE,富山県
1st&substream,Macho Gang,379,SHINPO,富山県,1045,K.,富山県,1628,R#EDGE,富山県
1st&substream,KEEP ON MOVIN',196,EIKRA7,富山県,240,SHINPO,富山県,0,,未設定
1st&substream,GRADIUSIC CYBER,830,EIKRA7,富山県,915,TAKOST,富山県,1187,MA2NO3,富山県
1st&substream,GENOM SCREAMS,413,EIKRA7,富山県,751,KABO,富山県,1037,K.,富山県
1st&substream,GAMBOL,274,EIKRA7,富山県,274,EIKRA7,富山県,0,,未設定
1st&substream,Dr.LOVE,406,EIKRA7,富山県,515,EIKRA7,富山県,573,EIKRA7,富山県
1st&substream,deep in you,495,EIKRA7,富山県,484,2910,富山県,652,K.,富山県
1st&substream,BRILLIANT 2U,539,EIKRA7,富山県,654,EIKRA7,富山県,712,EIKRA7,富山県
1st&substream,5.1.1.,198,EIKRA7,富山県,1005,KEN&LU,富山県,1561,R#EDGE,富山県
1st&substream,22DUNK,526,EIKRA7,富山県,622,Y.,富山県,638,Y.,富山県
2nd style,SP-TRIP MACHINE(for beatmania II),502,EIKRA7,富山県,611,OYATSU,富山県,637,K.,富山県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),553,EIKRA7,富山県,836,Y.,富山県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),859,EIKRA7,富山県,987,T4K4HR,富山県,1194,K.,富山県
2nd style,I Was The One,538,EIKRA7,富山県,636,OYATSU,富山県,690,R#EDGE,富山県
2nd style,Electro Tuned(the SubS mix),760,EIKRA7,富山県,904,OYATSU,富山県,1019,BEXTER,富山県
2nd style,Digital MinD(A/T Libra mix),729,EIKRA7,富山県,938,ABCDEF,富山県,1095,K.,富山県
2nd style,Dancin' Into The Night,431,EIKRA7,富山県,466,EIKRA7,富山県,0,,未設定
2nd style,.59,704,EIKRA7,富山県,1008,SHINPO,富山県,1126,SENJU,富山県
3rd style,THE SAFARI,1192,K.,富山県,1762,R#EDGE,富山県,0,,未設定
3rd style,Tangerine Stream,282,EIKRA7,富山県,396,EIKRA7,富山県,0,,未設定
3rd style,Skyscraper,719,EIKRA7,富山県,1012,KABO,富山県,1198,47CHI9,富山県
3rd style,Schlagwerk,785,ETOILE,富山県,1279,K.,富山県,1611,SENJU,富山県
3rd style,REINCARNATION,819,EIKRA7,富山県,997,Y.,富山県,1231,K.,富山県
3rd style,R5,773,EIKRA7,富山県,1148,Y.,富山県,1775,R#EDGE,富山県
3rd style,Presto,520,EIKRA7,富山県,986,R#EDGE,富山県,999,R#EDGE,富山県
3rd style,LEADING CYBER,839,EIKRA7,富山県,1180,K.,富山県,1269,R#EDGE,富山県
3rd style,Holic,766,K.,富山県,1190,K.,富山県,1711,R#EDGE,富山県
3rd style,era (nostalmix),846,EIKRA7,富山県,1092,R#EDGE,富山県,1546,R#EDGE,富山県
3rd style,Don't Stop!,776,EIKRA7,富山県,849,SHINPO,富山県,899,SHINPO,富山県
3rd style,CAN'T STOP FALLIN'IN LOVE,618,EIKRA7,富山県,1238,K.,富山県,0,,未設定
4th style,Voltage (feat. Hidemaru),874,SORA,富山県,1182,K.,富山県,1318,R#EDGE,富山県
4th style,ULTRA HIGH-HEELS,699,ETOILE,富山県,902,SHINPO,富山県,989,R#EDGE,富山県
4th style,SWEET LAB,526,ETOILE,富山県,748,TAKI,富山県,1355,R#EDGE,富山県
4th style,starmine,901,EIKRA7,富山県,1360,LINKER,富山県,1556,K.,富山県
