バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,720,HO4M1*,福井県,1029,AYU,福井県,1147,WING21,福井県
1st&substream,RUGGED ASH,365,AZC,福井県,399,AYU,福井県,1066,WING21,福井県
1st&substream,R3,0,,未設定,719,AYU,福井県,897,IWAZO,福井県
1st&substream,PARANOIA MAX～DIRTY MIX～,390,Y-ROSE,福井県,735,AYU,福井県,1074,IWAZO,福井県
1st&substream,Macho Gang,371,SLAY.,福井県,1055,AYU,福井県,1536,IWAZO,福井県
1st&substream,KEEP ON MOVIN',193,AYU,福井県,240,IWAZO,福井県,0,,未設定
1st&substream,GRADIUSIC CYBER,835,*YOU3*,福井県,985,AYU,福井県,1174,IWAZO,福井県
1st&substream,GENOM SCREAMS,408,RUKI.N,福井県,807,AYU,福井県,1062,AYU,福井県
1st&substream,GAMBOL,274,IWAZO,福井県,272,RIKI-P,福井県,0,,未設定
1st&substream,Dr.LOVE,394,AZC,福井県,510,AYU,福井県,573,IWAZO,福井県
1st&substream,deep in you,475,TUINTR,福井県,501,AYU,福井県,655,IWAZO,福井県
1st&substream,BRILLIANT 2U,508,*YOU3*,福井県,642,AYU,福井県,709,K0HARU,福井県
1st&substream,5.1.1.,195,AZC,福井県,1000,AYU,福井県,1539,SLAY.,福井県
1st&substream,22DUNK,481,*YOU3*,福井県,632,AYU,福井県,638,IWAZO,福井県
2nd style,SP-TRIP MACHINE(for beatmania II),497,AZC,福井県,616,AYU,福井県,645,IWAZO,福井県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),528,*YOU3*,福井県,846,AYU,福井県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),868,AYU,福井県,1092,AYU,福井県,1183,K0HARU,福井県
2nd style,I Was The One,534,AYU,福井県,636,AYU,福井県,688,AYU,福井県
2nd style,Electro Tuned(the SubS mix),714,2HOU,福井県,932,AYU,福井県,1023,RUBY,福井県
2nd style,Digital MinD(A/T Libra mix),733,AYU,福井県,1042,AYU,福井県,1103,L.D.S,福井県
2nd style,Dancin' Into The Night,424,AYU,福井県,461,IWAZO,福井県,0,,未設定
2nd style,.59,673,2HOU,福井県,982,AYU,福井県,1131,AYU,福井県
3rd style,THE SAFARI,1024,HOYO!?,福井県,1718,9MA3.,福井県,0,,未設定
3rd style,Tangerine Stream,278,AZC,福井県,389,AYU,福井県,0,,未設定
3rd style,Skyscraper,500,SPDEXE,福井県,1180,AYU,福井県,1224,L.D.S,福井県
3rd style,Schlagwerk,0,,未設定,1286,AYU,福井県,1626,IWAZO,福井県
3rd style,REINCARNATION,807,YSETS,福井県,1002,AYU,福井県,1233,KINOKO,福井県
3rd style,R5,630,ZANK,福井県,1155,AYU,福井県,1744,9MA3.,福井県
3rd style,Presto,512,*YOU3*,福井県,972,AYU,福井県,990,IWAZO,福井県
3rd style,LEADING CYBER,498,U,福井県,1182,AYU,福井県,1216,L.D.S,福井県
3rd style,Holic,705,2HOU,福井県,1192,L.D.S,福井県,1647,AYU,福井県
3rd style,era (nostalmix),736,TIKUWA,福井県,1061,L.D.S,福井県,1471,HATCH,福井県
3rd style,Don't Stop!,694,LS,福井県,842,AYU,福井県,893,SLAY.,福井県
3rd style,CAN'T STOP FALLIN'IN LOVE,575,*YOU3*,福井県,1241,WING21,福井県,0,,未設定
4th style,Voltage (feat. Hidemaru),874,KINOKO,福井県,1181,AYU,福井県,1273,COZY,福井県
4th style,ULTRA HIGH-HEELS,0,,未設定,892,AYU,福井県,970,IWAZO,福井県
4th style,SWEET LAB,502,*YOU3*,福井県,946,WING21,福井県,1302,SLAY.,福井県
4th style,starmine,550,NARU,福井県,1362,AYU,福井県,1550,SLAY.,福井県
4th style,Nasty!,530,SANCHA,福井県,926,AYU,福井県,1498,SLAY.,福井県
4th style,Mr.T.(take me higher),842,AYU,福井県,993,AYU,福井県,1733,K0HARU,福井県
4th style,minimalian,500,*YOU3*,福井県,1069,AYU,福井県,1383,WING21,福井県
4th style,LOVE WILL・・・,0,,未設定,736,AYU,福井県,1438,KEN-JI,福井県
4th style,KAMIKAZE,938,SANCHA,福井県,1433,AYU,福井県,2245,9MA3.,福井県
4th style,Jam&Marmalade,746,KINOKO,福井県,898,AYU,福井県,983,SLAY.,福井県
4th style,Hitch Hiker2,770,2HOU,福井県,1183,AYU,福井県,1293,WING21,福井県
4th style,HIGHER,504,*YOU3*,福井県,916,AYU,福井県,1256,KEN-JI,福井県
4th style,FLOWERS for ALBION,228,HATCH,福井県,425,AYU,福井県,0,,未設定
4th style,era (step mix),934,HO4M1*,福井県,1365,AYU,福井県,1646,AYU,福井県
4th style,empathy,798,TUINTR,福井県,1348,AYU,福井県,1417,COZY,福井県
4th style,DXY!,1113,YOPPIN,福井県,1778,L.D.S,福井県,2132,9MA3.,福井県
4th style,Clione†,0,,未設定,0,,未設定,2065,K0HARU,福井県
4th style,Clione,326,Y-ROSE,福井県,928,AYU,福井県,1577,AYU,福井県
4th style,CHECKING YOU OUT,631,K0HARU,福井県,853,AYU,福井県,1259,AYU,福井県
4th style,Burnin' The Floor,565,*YOU3*,福井県,935,AYU,福井県,1425,SLAY.,福井県
4th style,Broken My Heart,710,TMG,福井県,1448,AYU,福井県,1733,L.D.S,福井県
4th style,B4U,975,2HOU,福井県,1515,AYU,福井県,1949,WING21,福井県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2647,K0HARU,福井県
4th style,ABSOLUTE,1252,M.F,福井県,1763,AYU,福井県,2326,SLAY.,福井県
4th style,250bpm,270,ZANK,福井県,993,AYU,福井県,1336,KEN-JI,福井県
5th style,V,1252,AZC,福井県,2448,SLAY.,福井県,2866,9MA3.,福井県
5th style,THE SHINING POLARIS,599,RE.***,福井県,1277,AYU,福井県,1560,IWAZO,福井県
5th style,THE CUBE,633,I4CHAN,福井県,1255,AYU,福井県,1313,KEN-JI,福井県
5th style,sync,934,HOYO!?,福井県,1917,AYU,福井県,2344,9MA3.,福井県
5th style,still my words,913,AYU,福井県,1217,K0HARU,福井県,0,,未設定
5th style,STILL IN MY HEART,525,PAMI,福井県,1312,AYU,福井県,1865,AYU,福井県
5th style,Spin the disc,678,SANCHA,福井県,1262,AYU,福井県,1313,IWAZO,福井県
5th style,RISLIM,912,AYU,福井県,1182,AYU,福井県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1758,9MA3.,福井県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),491,SOAB,福井県,1045,AYU,福井県,1693,SLAY.,福井県
5th style,Regulus,883,HOYO!?,福井県,1467,AYU,福井県,1649,SLAY.,福井県
5th style,Real,816,I4CHAN,福井県,1631,AYU,福井県,1758,WING21,福井県
5th style,Radical Faith,0,,未設定,1474,AYU,福井県,1245,L.D.S,福井県
5th style,QQQ,1209,AZC,福井県,1811,INDEX,福井県,2109,SLAY.,福井県
5th style,outer wall,726,9CO3,福井県,1339,WING21,福井県,1724,9MA3.,福井県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,642,LS,福井県,978,AYU,福井県,1112,K0HARU,福井県
5th style,in my eyes,711,I4CHAN,福井県,1419,AYU,福井県,1534,IWAZO,福井県
5th style,Abyss,1211,AZC,福井県,1599,AYU,福井県,1839,K0HARU,福井県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),994,PALM,福井県,1554,SLAY.,福井県,0,,未設定
6th style,こっちを向いてよ,830,IMOYA*,福井県,1246,AYU,福井県,1358,K0HARU,福井県
6th style,Take It Easy,1227,PECO*,福井県,2312,AYU,福井県,2473,AYU,福井県
6th style,Summer Vacation(CU mix),1041,HOYO!?,福井県,1786,SLAY.,福井県,0,,未設定
6th style,SOMETHING WONDERFUL,882,TUINTR,福井県,1314,AYU,福井県,1956,WING21,福井県
6th style,route 80s,779,MAGGOT,福井県,1151,AYU,福井県,1486,SLAY.,福井県
6th style,rottel-da-sun,633,YUKAS0,福井県,1311,L.D.S,福井県,1823,SLAY.,福井県
6th style,NEMESIS,784,9CO3,福井県,1572,AYU,福井県,1830,9MA3.,福井県
6th style,Linus,881,HO4M1*,福井県,1505,AYU,福井県,2095,K0HARU,福井県
6th style,G2,1138,HOYO!?,福井県,1730,AYU,福井県,2196,SLAY.,福井県
6th style,Frozen Ray (original mix),1193,82JUNA,福井県,1709,AYU,福井県,1747,WING21,福井県
6th style,Free Style,833,TUINTR,福井県,1107,AYU,福井県,1273,IWAZO,福井県
6th style,fly through the night,838,*YOU3*,福井県,1312,AYU,福井県,1663,WING21,福井県
6th style,DIVE ～INTO YOUR HEART～,1246,AZC,福井県,1779,AYU,福井県,2028,WING21,福井県
6th style,Colors (radio edit),1443,SLAY.,福井県,1948,SLAY.,福井県,2311,9MA3.,福井県
6th style,Buffalo,933,2HOU,福井県,1431,AYU,福井県,1761,AYU,福井県
6th style,Blueberry Stream,786,PO#ON,福井県,1434,AYU,福井県,1607,K0HARU,福井県
6th style,BALLAD FOR YOU～想いの雨～,562,HO4M1*,福井県,770,AYU,福井県,1058,SLAY.,福井県
6th style,"19,November",614,SPDEXE,福井県,1423,AYU,福井県,1753,AYU,福井県
7th style,革命,673,SANCHA,福井県,1930,9MA3.,福井県,2226,SLAY.,福井県
7th style,ZERO-ONE,857,TIKUWA,福井県,1669,AYU,福井県,2167,SLAY.,福井県
7th style,traces,1232,HOYO!?,福井県,1849,AYU,福井県,2070,WING21,福井県
7th style,Tomorrow Perfume,1118,9CO3,福井県,1877,AYU,福井県,2035,SLAY.,福井県
7th style,stoic,1643,L.D.S,福井県,2349,AYU,福井県,2394,WING21,福井県
7th style,Spica,639,SLAY.,福井県,1455,AYU,福井県,2125,WING21,福井県
7th style,MAX 300,1013,RUBY,福井県,1873,AYU,福井県,0,,未設定
7th style,Love Me Do,1067,SANCHA,福井県,1674,AYU,福井県,2076,WING21,福井県
7th style,Let the Snow Paint Me,673,I4CHAN,福井県,1047,AYU,福井県,1219,IWAZO,福井県
7th style,Last Message,725,I4CHAN,福井県,1283,AYU,福井県,1578,9MA3.,福井県
7th style,Happy Wedding,1051,HOYO!?,福井県,1613,AYU,福井県,1750,SLAY.,福井県
7th style,Glorious Days,441,UTUBO,福井県,790,AYU,福井県,891,K0HARU,福井県
7th style,foreplay,670,TUINTR,福井県,1201,AYU,福井県,1287,WING21,福井県
7th style,DESTINY,990,2HOU,福井県,1343,AYU,福井県,1812,K0HARU,福井県
7th style,D2R,785,2HOU,福井県,1253,AYU,福井県,1598,SLAY.,福井県
7th style,Cheer Train,427,Y-ROSE,福井県,1188,AYU,福井県,1691,WING21,福井県
7th style,Burning Heat! (Full Option Mix),693,AYU,福井県,941,AYU,福井県,1438,WING21,福井県
7th style,Bad Routine,848,I4CHAN,福井県,1389,AYU,福井県,1878,AYU,福井県
7th style,AVE DE RAPINA,1188,2HOU,福井県,1655,AYU,福井県,1783,SLAY.,福井県
7th style,A,1134,HOYO!?,福井県,2113,HATCH,福井県,2357,AYU,福井県
8th style,蒼い衝動,672,ZANK,福井県,1358,AYU,福井県,1541,KEN-JI,福井県
8th style,桜,1019,SLAY.,福井県,1463,AYU,福井県,2040,K0HARU,福井県
8th style,合体せよ！ストロングイェーガー！！,1234,HOYO!?,福井県,1702,SLAY.,福井県,0,,未設定
8th style,xenon,996,HO4M1*,福井県,1663,L.D.S,福井県,2668,9MA3.,福井県
8th style,World Wide Love,701,AYU,福井県,1043,AYU,福井県,1109,IWAZO,福井県
8th style,WAR GAME,785,I4CHAN,福井県,1499,AYU,福井県,2099,K0HARU,福井県
8th style,thunder,991,HOYO!?,福井県,1582,AYU,福井県,1827,SLAY.,福井県
8th style,symbolic,1272,2HOU,福井県,1822,AYU,福井県,2151,SLAY.,福井県
8th style,STAR DREAM,668,9CO3,福井県,1294,AYU,福井県,1408,WING21,福井県
8th style,rainbow flyer,678,HO4M1*,福井県,1633,AYU,福井県,2077,9MA3.,福井県
8th style,PLEASE DON'T GO,238,SKY,福井県,1363,AYU,福井県,2321,WING21,福井県
8th style,MUSIC TO YOUR HEAD,763,2HOU,福井県,1426,AYU,福井県,1642,WING21,福井県
8th style,murmur twins,1089,RUBY,福井県,1642,AYU,福井県,2323,SLAY.,福井県
8th style,Monkey Dance,763,SANCHA,福井県,1349,AYU,福井県,1932,SLAY.,福井県
8th style,memories,773,KIDDY,福井県,2007,AYU,福井県,2180,SLAY.,福井県
8th style,Luv 2 Feel Your Body,821,AZC,福井県,1047,WING21,福井県,1596,WING21,福井県
8th style,LOVE IS ORANGE,483,KE64NE,福井県,1026,AYU,福井県,1765,AYU,福井県
8th style,LAB,968,HOYO!?,福井県,1925,AYU,福井県,2045,SLAY.,福井県
8th style,HYPER BOUNDARY GATE,1278,K0HARU,福井県,1914,K0HARU,福井県,2176,WING21,福井県
8th style,Halfway of promise,932,AZC,福井県,1463,AYU,福井県,1771,K0HARU,福井県
8th style,Giudecca,836,2HOU,福井県,1945,L.D.S,福井県,2574,WING21,福井県
8th style,dual control,731,TUINTR,福井県,1432,AYU,福井県,1832,K0HARU,福井県
8th style,Colors -Y&Co. Eurobeat Remix-,1113,AZC,福井県,1982,AYU,福井県,2120,IWAZO,福井県
8th style,CELEBRATE NITE,871,2HOU,福井県,1153,AYU,福井県,1402,K0HARU,福井県
8th style,Blame,1179,SLAY.,福井県,1484,AYU,福井県,1863,AYU,福井県
8th style,bit mania,901,AYU,福井県,1259,AYU,福井県,1836,AYU,福井県
8th style,Attitude,707,I4CHAN,福井県,1384,AYU,福井県,1712,AYU,福井県
8th style,ALL RIGHT,820,*YOU3*,福井県,1256,AYU,福井県,1544,SLAY.,福井県
8th style,airflow,527,HO4M1*,福井県,772,AYU,福井県,1402,SLAY.,福井県
8th style,abstract,1034,HOYO!?,福井県,1578,AYU,福井県,1838,COZY,福井県
9th style,真夏の花・真夏の夢,0,,未設定,1157,AYU,福井県,1468,K0HARU,福井県
9th style,ライオン好き,609,*YOU3*,福井県,1177,AYU,福井県,1489,SLAY.,福井県
9th style,SWEETEST SAVAGE,639,HATCH,福井県,1328,AYU,福井県,1739,SLAY.,福井県
9th style,Sweet Sweet Magic,480,PAMI,福井県,1508,AYU,福井県,1993,SLAY.,福井県
9th style,STAR FIELD,688,AYU,福井県,1537,AYU,福井県,1846,AYU,福井県
9th style,SNOW,1002,TUINTR,福井県,1367,AYU,福井県,1966,9MA3.,福井県
9th style,Silvia Drive,792,RUBY,福井県,1517,AYU,福井県,1992,WING21,福井県
9th style,rottel-the-Mercury,852,I4CHAN,福井県,1882,AYU,福井県,2242,K0HARU,福井県
9th style,RISLIM -Remix-,691,LS,福井県,993,AYU,福井県,1830,AYU,福井県
9th style,Really Love,598,QU-EEN,福井県,929,AYU,福井県,1720,K0HARU,福井県
9th style,Quickening,619,SLEEP,福井県,1693,AYU,福井県,2033,SLAY.,福井県
9th style,quasar,1024,HOYO!?,福井県,1731,AYU,福井県,2262,9MA3.,福井県
9th style,one or eight,1153,FUSTIN,福井県,1836,AYU,福井県,2137,9MA3.,福井県
9th style,moon_child,871,I4CHAN,福井県,1928,AYU,福井県,2470,AYU,福井県
9th style,MARIA (I believe... ),502,SALAD,福井県,1565,AYU,福井県,1864,WING21,福井県
9th style,Make A Difference,805,YUYUKO,福井県,1582,SLAY.,福井県,2133,SLAY.,福井県
9th style,lower world,1027,HOYO!?,福井県,1838,AYU,福井県,2185,9MA3.,福井県
9th style,LOVE SHINE,781,SANCHA,福井県,1811,AYU,福井県,2052,SLAY.,福井県
9th style,lights,686,AYU,福井県,1430,AYU,福井県,1735,K0HARU,福井県
9th style,Let The Snow Paint Me -Y&Co. Remix-,606,I4CHAN,福井県,1243,AYU,福井県,1756,KEN-JI,福井県
9th style,Karma,1224,2HOU,福井県,1636,L.D.S,福井県,1763,SLAY.,福井県
9th style,I Was The One (80's EUROBEAT STYLE),775,AZC,福井県,1327,AYU,福井県,1413,SLAY.,福井県
9th style,HYPER EUROBEAT (2DX style),833,I4CHAN,福井県,1627,AYU,福井県,1886,WING21,福井県
9th style,Golden Horn,693,AYU,福井県,1240,AYU,福井県,1436,L.D.S,福井県
9th style,e-motion 2003 -romantic extra-,1080,HOYO!?,福井県,1601,AYU,福井県,1953,WING21,福井県
9th style,Distress,1215,HO4M1*,福井県,1790,AYU,福井県,0,,未設定
9th style,Cradle,892,TUINTR,福井県,1445,AYU,福井県,1560,WING21,福井県
9th style,BRIGHTNESS DARKNESS,710,AYU,福井県,1434,L.D.S,福井県,1724,K0HARU,福井県
9th style,bag,861,2HOU,福井県,1197,AYU,福井県,1871,9MA3.,福井県
9th style,BAD BOY BASS!! (dj Remo-con MIX),874,SANCHA,福井県,1370,AYU,福井県,1763,SLAY.,福井県
9th style,ACT,1001,2HOU,福井県,1643,AYU,福井県,1829,SLAY.,福井県
9th style,Abyss -The Heavens Remix-,1310,IMO-L*,福井県,1811,SLAY.,福井県,2328,SLAY.,福井県
10th style,雪月花,1042,HOYO!?,福井県,1836,SLAY.,福井県,2391,9MA3.,福井県
10th style,システムロマンス,898,AYU,福井県,1734,AYU,福井県,1994,SLAY.,福井県
10th style,SPACE FIGHT,616,*YOU3*,福井県,1460,AYU,福井県,2159,9MA3.,福井県
10th style,SHOOTING STAR,807,RE.***,福井県,1632,AYU,福井県,2198,WING21,福井県
10th style,Rise'n Beauty,1184,2HOU,福井県,1627,AYU,福井県,2122,9MA3.,福井県
10th style,rainbow rainbow,1316,HOYO!?,福井県,2163,AYU,福井県,2636,SLAY.,福井県
10th style,pandora,692,HOYO!?,福井県,1648,AYU,福井県,1808,SLAY.,福井県
10th style,One More Lovely,811,SANCHA,福井県,1605,L.D.S,福井県,2731,9MA3.,福井県
10th style,No.13,1379,SANCHA,福井県,2597,AYU,福井県,3070,AYU,福井県
10th style,Narcissus At Oasis,633,I4CHAN,福井県,1565,AYU,福井県,1610,SLAY.,福井県
10th style,Lucy,955,AZC,福井県,1742,AYU,福井県,2261,K0HARU,福井県
10th style,LOW,344,AAAAAA,福井県,1433,AYU,福井県,1697,SLAY.,福井県
10th style,Love Is Eternity,1009,HOYO!?,福井県,1935,AYU,福井県,2347,9MA3.,福井県
10th style,Innocent Walls,1535,L.D.S,福井県,2361,9MA3.,福井県,2673,SLAY.,福井県
10th style,HIGH,897,TUINTR,福井県,1890,AYU,福井県,2136,SLAY.,福井県
10th style,GRADIUS -FULL SPEED-,634,2HOU,福井県,1196,AYU,福井県,1996,SLAY.,福井県
10th style,GHOST REVIVAL,685,I4CHAN,福井県,1942,AYU,福井県,2464,K0HARU,福井県
10th style,Freezing atmosphere,737,2HOU,福井県,1111,AYU,福井県,1482,9MA3.,福井県
10th style,FEEL IT,865,SANCHA,福井県,1660,RGV,福井県,1892,RGV,福井県
10th style,Feedback,801,I4CHAN,福井県,1577,AYU,福井県,1860,WING21,福井県
10th style,EXE,654,I4CHAN,福井県,1616,AYU,福井県,2210,SLAY.,福井県
10th style,DoLL,923,YSETS,福井県,1215,AYU,福井県,1603,WING21,福井県
10th style,desolation,486,AZC,福井県,648,AYU,福井県,737,QU-EEN,福井県
10th style,Debtty Daddy,919,HO4M1*,福井県,1903,AYU,福井県,2597,SLAY.,福井県
10th style,Daisuke,1193,SLAY.,福井県,1660,AYU,福井県,2349,AYU,福井県
10th style,CARRY ON NIGHT (English version),561,CD,福井県,1355,AYU,福井県,2011,WING21,福井県
10th style,Boundary,633,I4CHAN,福井県,1806,AYU,福井県,2010,SLAY.,福井県
10th style,Back Into The Light,1012,HOYO!?,福井県,1638,AYU,福井県,2118,SLAY.,福井県
10th style,BABY LOVE,1099,HOYO!?,福井県,1662,AYU,福井県,2105,SLAY.,福井県
10th style,ASTRAL VOYAGE,748,I4CHAN,福井県,1405,AYU,福井県,1865,AYU,福井県
10th style,ALIEN TEMPLE,924,YSETS,福井県,1628,AYU,福井県,1935,SLAY.,福井県
10th style,1st Samurai,1006,2HOU,福井県,1899,AYU,福井県,2557,SLAY.,福井県
IIDX RED,ＵＬＴｉＭΛＴＥ,864,IMO-L*,福井県,1419,AYU,福井県,1942,SLAY.,福井県
IIDX RED,太陽～T・A・I・Y・O～,755,SANCHA,福井県,1178,IROHAS,福井県,1692,SLAY.,福井県
IIDX RED,大桟橋,447,*YOU3*,福井県,1096,AYU,福井県,1802,SLAY.,福井県
IIDX RED,ピアノ協奏曲第１番”蠍火”,775,SANCHA,福井県,2078,K0HARU,福井県,2519,AYU,福井県
IIDX RED,Wonder Bullfighter,788,I4CHAN,福井県,1409,AYU,福井県,1943,AYU,福井県
IIDX RED,The Hope of Tomorrow,0,,未設定,1372,2HOU,福井県,1871,SLAY.,福井県
IIDX RED,spiral galaxy†,0,,未設定,0,,未設定,3612,9MA3.,福井県
IIDX RED,spiral galaxy,915,MEG*C.,福井県,2007,L.D.S,福井県,2513,AYU,福井県
IIDX RED,Sphere,966,SANCHA,福井県,1931,SLAY.,福井県,2112,SLAY.,福井県
IIDX RED,SPEEDY CAT,1097,AZC,福井県,1553,CAL,福井県,1985,WING21,福井県
IIDX RED,Secret of Love,1026,2HOU,福井県,1433,AYU,福井県,1967,SLAY.,福井県
IIDX RED,RESONATE 1794,872,2HOU,福井県,1279,MU-RAI,福井県,1814,9MA3.,福井県
IIDX RED,RED ZONE†,0,,未設定,0,,未設定,2967,K0HARU,福井県
IIDX RED,RED ZONE,965,HOYO!?,福井県,1827,L.D.S,福井県,2266,WING21,福井県
IIDX RED,Raspberry Heart(English version),588,S*G,福井県,1429,AQUA*,福井県,1817,K0HARU,福井県
IIDX RED,NEBULA GRASPER,1218,HOYO!?,福井県,1950,L.D.S,福井県,2404,9MA3.,福井県
IIDX RED,KEY,984,HOYO!?,福井県,1847,AYU,福井県,2802,SLAY.,福井県
IIDX RED,HORIZON,964,PEN*,福井県,1524,AYU,福井県,1908,9MA3.,福井県
IIDX RED,gigadelic,1378,DEUU*,福井県,2072,9MA3.,福井県,2394,WING21,福井県
IIDX RED,GENOCIDE,916,HOYO!?,福井県,1974,L.D.S,福井県,2342,SLAY.,福井県
IIDX RED,Fly Away To India,664,AYU,福井県,1085,AYU,福井県,1361,WING21,福井県
IIDX RED,FAKE TIME,931,SANCHA,福井県,1673,RGV,福井県,2300,9MA3.,福井県
