バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,753,SLV,熊本県,941,B-TAI,熊本県,1119,KARIQB,熊本県
1st&substream,RUGGED ASH,364,31D,熊本県,395,OSORE3,熊本県,1055,MO2K.K,熊本県
1st&substream,R3,626,801,熊本県,656,YU,熊本県,886,OTAKU1,熊本県
1st&substream,PARANOIA MAX～DIRTY MIX～,510,DECIDE,熊本県,708,NJ,熊本県,1074,PAN,熊本県
1st&substream,Macho Gang,358,31D,熊本県,969,K,熊本県,1592,STRNGI,熊本県
1st&substream,KEEP ON MOVIN',191,31D,熊本県,243,OTAKU1,熊本県,0,,未設定
1st&substream,GRADIUSIC CYBER,680,DECIDE,熊本県,922,9SOKAS,熊本県,1175,UTURN,熊本県
1st&substream,GENOM SCREAMS,387,NOM,熊本県,762,AMETO,熊本県,1048,P.K.R.,熊本県
1st&substream,GAMBOL,272,PET4KI,熊本県,271,31D,熊本県,0,,未設定
1st&substream,Dr.LOVE,400,31D,熊本県,489,OSORE3,熊本県,573,UTURN,熊本県
1st&substream,deep in you,479,31D,熊本県,488,OSORE3,熊本県,656,UTURN,熊本県
1st&substream,BRILLIANT 2U,503,OSORE3,熊本県,640,31D,熊本県,714,P.K.R.,熊本県
1st&substream,5.1.1.,198,PET4KI,熊本県,933,C,熊本県,1553,PAN,熊本県
1st&substream,22DUNK,502,OSORE3,熊本県,580,KABAN,熊本県,647,UTURN,熊本県
2nd style,SP-TRIP MACHINE(for beatmania II),482,DECIDE,熊本県,601,31D,熊本県,641,PAN,熊本県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),524,DECIDE,熊本県,857,UTURN,熊本県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),836,31D,熊本県,1113,PET4KI,熊本県,1188,OTAKU1,熊本県
2nd style,I Was The One,532,31D,熊本県,627,31D,熊本県,685,KARIQB,熊本県
2nd style,Electro Tuned(the SubS mix),658,TONPIG,熊本県,859,NJ,熊本県,1045,UKYOU3,熊本県
2nd style,Digital MinD(A/T Libra mix),713,31D,熊本県,998,31D,熊本県,1106,UTURN,熊本県
2nd style,Dancin' Into The Night,425,31D,熊本県,460,KARIQB,熊本県,0,,未設定
2nd style,.59,639,DECIDE,熊本県,920,HARU,熊本県,1132,KARIQB,熊本県
3rd style,THE SAFARI,1091,31D,熊本県,1724,P.K.R.,熊本県,0,,未設定
3rd style,Tangerine Stream,275,31D,熊本県,395,P.K.R.,熊本県,0,,未設定
3rd style,Skyscraper,663,DECIDE,熊本県,1091,REFILL,熊本県,1225,UTURN,熊本県
3rd style,Schlagwerk,726,DECIDE,熊本県,1300,Z.N.D.,熊本県,1632,KARIQB,熊本県
3rd style,REINCARNATION,763,DECIDE,熊本県,1001,31D,熊本県,1251,OTAKU1,熊本県
3rd style,R5,703,KABAN,熊本県,1158,PET4KI,熊本県,1747,PAN,熊本県
3rd style,Presto,513,KABAN,熊本県,974,OTAKU1,熊本県,981,STRNGI,熊本県
3rd style,LEADING CYBER,776,CPU96T,熊本県,1189,Z.N.D.,熊本県,1215,KARIQB,熊本県
3rd style,Holic,625,DECIDE,熊本県,1217,Z.N.D.,熊本県,1664,P.K.R.,熊本県
3rd style,era (nostalmix),756,KABAN,熊本県,1066,PET4KI,熊本県,1473,P.K.R.,熊本県
3rd style,Don't Stop!,725,C,熊本県,772,BELTZ.,熊本県,902,UTURN,熊本県
3rd style,CAN'T STOP FALLIN'IN LOVE,598,OSORE3,熊本県,1237,UTURN,熊本県,0,,未設定
4th style,Voltage (feat. Hidemaru),878,OSORE3,熊本県,1134,OSORE3,熊本県,1302,KARIQB,熊本県
4th style,ULTRA HIGH-HEELS,671,DECIDE,熊本県,851,NJ,熊本県,976,MO2K.K,熊本県
4th style,SWEET LAB,531,31D,熊本県,878,KAVO.,熊本県,1285,STRNGI,熊本県
4th style,starmine,716,DECIDE,熊本県,1351,OSORE3,熊本県,1542,PAN,熊本県
4th style,Nasty!,503,KAZUTE,熊本県,895,31D,熊本県,1513,UTURN,熊本県
4th style,Mr.T.(take me higher),817,31D,熊本県,957,31D,熊本県,1730,P.K.R.,熊本県
4th style,minimalian,485,DRACUL,熊本県,952,T-YKNR,熊本県,1390,OTAKU1,熊本県
4th style,LOVE WILL・・・,543,BIFU-R,熊本県,720,31D,熊本県,1450,PAN,熊本県
4th style,KAMIKAZE,925,DECIDE,熊本県,1389,.,熊本県,2249,P.K.R.,熊本県
4th style,Jam&Marmalade,629,DECIDE,熊本県,741,A2M,熊本県,991,MO2K.K,熊本県
4th style,Hitch Hiker2,728,DECIDE,熊本県,1115,NJ,熊本県,1304,UTURN,熊本県
4th style,HIGHER,523,31D,熊本県,907,31D,熊本県,1265,UTURN,熊本県
4th style,FLOWERS for ALBION,233,31D,熊本県,435,P.K.R.,熊本県,0,,未設定
4th style,era (step mix),1007,SLV,熊本県,1247,OSORE3,熊本県,1659,YM,熊本県
4th style,empathy,802,OSORE3,熊本県,1248,OSORE3,熊本県,1415,UTURN,熊本県
4th style,DXY!,1201,OSORE3,熊本県,1728,OSORE3,熊本県,2088,KARIQB,熊本県
4th style,Clione†,0,,未設定,0,,未設定,2088,PAN,熊本県
4th style,Clione,509,OSORE3,熊本県,868,OSORE3,熊本県,1595,OTAKU1,熊本県
4th style,CHECKING YOU OUT,560,OSORE3,熊本県,847,KINGJO,熊本県,1284,P.K.R.,熊本県
4th style,Burnin' The Floor,528,SACHI,熊本県,907,31D,熊本県,1423,KARIQB,熊本県
4th style,Broken My Heart,815,DECIDE,熊本県,1253,REN,熊本県,1785,YM,熊本県
4th style,B4U,844,DECIDE,熊本県,1520,P.K.R.,熊本県,1950,PAN,熊本県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2629,P.K.R.,熊本県
4th style,ABSOLUTE,1250,OSORE3,熊本県,1705,OSORE3,熊本県,2341,PAN,熊本県
4th style,250bpm,554,DECIDE,熊本県,861,PLIMRA,熊本県,1352,UTURN,熊本県
5th style,V,1219,31D,熊本県,2464,PET4KI,熊本県,2871,PAN,熊本県
5th style,THE SHINING POLARIS,774,DECIDE,熊本県,1130,A2M,熊本県,1552,P.K.R.,熊本県
5th style,THE CUBE,640,LUW,熊本県,1153,KANATA,熊本県,1330,STRNGI,熊本県
5th style,sync,1052,31D,熊本県,1887,KARIQB,熊本県,2326,P.K.R.,熊本県
5th style,still my words,864,31D,熊本県,1205,UTURN,熊本県,0,,未設定
5th style,STILL IN MY HEART,826,A,熊本県,1148,AMETO,熊本県,1853,UTURN,熊本県
5th style,Spin the disc,709,DECIDE,熊本県,1285,Z.N.D.,熊本県,1323,UTURN,熊本県
5th style,RISLIM,891,31D,熊本県,1202,STRNGI,熊本県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1769,PET4KI,熊本県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),850,SLV,熊本県,903,HIQ,熊本県,1676,UTURN,熊本県
5th style,Regulus,685,DECIDE,熊本県,1430,OSORE3,熊本県,1631,MO2K.K,熊本県
5th style,Real,885,DECIDE,熊本県,1480,31D,熊本県,1760,STRNGI,熊本県
5th style,Radical Faith,1098,C,熊本県,1462,MO2K.K,熊本県,1266,KARIQB,熊本県
5th style,QQQ,1197,31D,熊本県,1614,ODEN9N,熊本県,2092,UTURN,熊本県
5th style,outer wall,857,TS,熊本県,1213,AKKEY,熊本県,1728,Z.N.D.,熊本県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,651,DECIDE,熊本県,879,GEN,熊本県,1115,UTURN,熊本県
5th style,in my eyes,928,OSORE3,熊本県,1340,31D,熊本県,1553,UTURN,熊本県
5th style,Abyss,1217,31D,熊本県,1504,RABIT,熊本県,1837,OTAKU1,熊本県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1021,SLV,熊本県,1544,KARIQB,熊本県,0,,未設定
6th style,こっちを向いてよ,713,DECIDE,熊本県,1133,NJ,熊本県,1338,UTURN,熊本県
6th style,Take It Easy,1332,KABAN,熊本県,2236,FLAME5,熊本県,2460,OTAKU1,熊本県
6th style,Summer Vacation(CU mix),1085,KABAN,熊本県,1795,P.K.R.,熊本県,0,,未設定
6th style,SOMETHING WONDERFUL,802,DECIDE,熊本県,1214,NJ,熊本県,1958,OTAKU1,熊本県
6th style,route 80s,816,REFILL,熊本県,1054,ODEN9N,熊本県,1485,UTURN,熊本県
6th style,rottel-da-sun,711,KABAN,熊本県,1265,ODEN9N,熊本県,1795,KARIQB,熊本県
6th style,NEMESIS,905,MUG1,熊本県,1418,OSORE3,熊本県,1800,PU2ANA,熊本県
6th style,Linus,903,SLV,熊本県,1497,OTAKU1,熊本県,2149,P.K.R.,熊本県
6th style,G2,1351,31D,熊本県,1606,31D,熊本県,2249,PAN,熊本県
6th style,Frozen Ray (original mix),1100,DECIDE,熊本県,1630,SLV,熊本県,1769,OTAKU1,熊本県
6th style,Free Style,812,DECIDE,熊本県,781,K.K,熊本県,1284,UTURN,熊本県
6th style,fly through the night,790,SLV,熊本県,1185,AKKEY,熊本県,1656,OTAKU1,熊本県
6th style,DIVE ～INTO YOUR HEART～,1229,31D,熊本県,1694,SLV,熊本県,2018,P.K.R.,熊本県
6th style,Colors (radio edit),1402,CLALA,熊本県,1782,OSORE3,熊本県,2361,PAN,熊本県
6th style,Buffalo,880,DECIDE,熊本県,1317,A2M,熊本県,1775,P.K.R.,熊本県
6th style,Blueberry Stream,650,DECIDE,熊本県,1360,SLV,熊本県,1588,STRNGI,熊本県
6th style,BALLAD FOR YOU～想いの雨～,564,OSORE3,熊本県,707,T.S.F,熊本県,1064,UTURN,熊本県
6th style,"19,November",967,DRACUL,熊本県,1307,NJ,熊本県,1770,STRNGI,熊本県
7th style,革命,672,GEN,熊本県,1907,P.K.R.,熊本県,2271,P.K.R.,熊本県
7th style,ZERO-ONE,854,DECIDE,熊本県,1581,SLV,熊本県,2117,MO2K.K,熊本県
7th style,traces,1423,OSORE3,熊本県,1667,31D,熊本県,2048,KARIQB,熊本県
7th style,Tomorrow Perfume,990,DECIDE,熊本県,1758,OSORE3,熊本県,2096,UTURN,熊本県
7th style,stoic,1585,OSORE3,熊本県,2186,OSORE3,熊本県,2433,YM,熊本県
7th style,Spica,629,OSORE3,熊本県,1344,DARU46,熊本県,2118,P.K.R.,熊本県
7th style,MAX 300,1023,SLV,熊本県,1834,KARIQB,熊本県,0,,未設定
7th style,Love Me Do,1015,GEN,熊本県,1592,HOTA,熊本県,2073,OTAKU1,熊本県
7th style,Let the Snow Paint Me,747,DECIDE,熊本県,1034,31D,熊本県,1225,OTAKU1,熊本県
7th style,Last Message,862,K-101,熊本県,1225,DUNLOP,熊本県,1554,KARIQB,熊本県
7th style,Happy Wedding,1025,DECIDE,熊本県,1465,SKFB,熊本県,1795,Z.N.D.,熊本県
7th style,Glorious Days,503,OSORE3,熊本県,524,A,熊本県,907,P.K.R.,熊本県
7th style,foreplay,486,DECIDE,熊本県,1102,CPU96T,熊本県,1285,UTURN,熊本県
7th style,DESTINY,980,DRACUL,熊本県,1033,A,熊本県,1812,OTAKU1,熊本県
7th style,D2R,787,GATA,熊本県,1228,SHIFT,熊本県,1565,KARIQB,熊本県
7th style,Cheer Train,851,KABAN,熊本県,1129,NJ,熊本県,1690,OTAKU1,熊本県
7th style,Burning Heat! (Full Option Mix),682,31D,熊本県,630,A,熊本県,1429,KARIQB,熊本県
7th style,Bad Routine,1013,OSORE3,熊本県,1226,REFILL,熊本県,1902,OTAKU1,熊本県
7th style,AVE DE RAPINA,1099,DECIDE,熊本県,1416,ODEN9N,熊本県,1748,KARIQB,熊本県
