バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,703,ICARUS,アメリカ,968,33-4,アメリカ,1104,ARK,アメリカ
1st&substream,RUGGED ASH,341,ASHURA,アメリカ,342,DMF,アメリカ,1040,DATASS,アメリカ
1st&substream,R3,425,BRAKKO,アメリカ,649,PA$ELI,アメリカ,872,ARK,アメリカ
1st&substream,PARANOIA MAX～DIRTY MIX～,447,RIOT,アメリカ,706,MACH.,アメリカ,1090,CLP&CO,アメリカ
1st&substream,Macho Gang,343,ASHURA,アメリカ,918,TOFU,アメリカ,1598,$KTDVD,アメリカ
1st&substream,KEEP ON MOVIN',188,FU-SAN,アメリカ,242,CLP&CO,アメリカ,0,,未設定
1st&substream,GRADIUSIC CYBER,515,ECONO,アメリカ,941,33-4,アメリカ,1170,CLP&CO,アメリカ
1st&substream,GENOM SCREAMS,310,J0NN,アメリカ,818,$KTDVD,アメリカ,1048,$KTDVD,アメリカ
1st&substream,GAMBOL,257,AKUMA,アメリカ,271,KEV.,アメリカ,0,,未設定
1st&substream,Dr.LOVE,369,ASHURA,アメリカ,507,$KTDVD,アメリカ,565,DATASS,アメリカ
1st&substream,deep in you,216,LAE,アメリカ,401,ASHURA,アメリカ,655,CLP&CO,アメリカ
1st&substream,BRILLIANT 2U,425,RIOT,アメリカ,618,DAGETT,アメリカ,717,CLP&CO,アメリカ
1st&substream,5.1.1.,195,-DECA-,アメリカ,978,CLOUD9,アメリカ,1548,CLP&CO,アメリカ
1st&substream,22DUNK,473,343,アメリカ,578,AKUMA,アメリカ,636,ARK,アメリカ
2nd style,SP-TRIP MACHINE(for beatmania II),326,L-ZING,アメリカ,567,ASHURA,アメリカ,637,CLP&CO,アメリカ
2nd style,PUT YOUR FAITH IN ME(for beatmania II),323,BRAKKO,アメリカ,846,CLP&CO,アメリカ,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),788,ASHURA,アメリカ,998,ASHURA,アメリカ,1186,CLP&CO,アメリカ
2nd style,I Was The One,491,ASHURA,アメリカ,577,ASHURA,アメリカ,678,DATASS,アメリカ
2nd style,Electro Tuned(the SubS mix),475,ZABZZL,アメリカ,833,ASHURA,アメリカ,1040,CLP&CO,アメリカ
2nd style,Digital MinD(A/T Libra mix),652,ASHURA,アメリカ,955,ASHURA,アメリカ,1090,CLP&CO,アメリカ
2nd style,Dancin' Into The Night,404,ASHURA,アメリカ,469,CLP&CO,アメリカ,0,,未設定
2nd style,.59,643,ASHURA,アメリカ,874,ACEJAY,アメリカ,1143,CLP&CO,アメリカ
3rd style,THE SAFARI,1041,ASHURA,アメリカ,1718,PHN!X,アメリカ,0,,未設定
3rd style,Tangerine Stream,268,ASHURA,アメリカ,389,CLP&CO,アメリカ,0,,未設定
3rd style,Skyscraper,491,CRONO,アメリカ,1187,33-4,アメリカ,1220,CLP&CO,アメリカ
3rd style,Schlagwerk,554,DROYD,アメリカ,1157,ACE2DX,アメリカ,1643,CLP&CO,アメリカ
3rd style,REINCARNATION,775,ICARUS,アメリカ,912,BAKORO,アメリカ,1257,CLP&CO,アメリカ
3rd style,R5,675,DKG,アメリカ,1137,CLP&CO,アメリカ,1762,404,アメリカ
3rd style,Presto,260,BRAKKO,アメリカ,975,PHN!X,アメリカ,990,CLP&CO,アメリカ
3rd style,LEADING CYBER,648,TBIRD,アメリカ,1090,MONSTA,アメリカ,1251,CLP&CO,アメリカ
3rd style,Holic,586,KALEO,アメリカ,1109,SCAR-L,アメリカ,1689,PHN!X,アメリカ
3rd style,era (nostalmix),764,DKG,アメリカ,1045,CLP&CO,アメリカ,1481,$KTDVD,アメリカ
3rd style,Don't Stop!,604,BRAKKO,アメリカ,791,ACEJAY,アメリカ,896,CLP&CO,アメリカ
3rd style,CAN'T STOP FALLIN'IN LOVE,574,ASHURA,アメリカ,1211,ARK,アメリカ,0,,未設定
4th style,Voltage (feat. Hidemaru),921,KEV.,アメリカ,1008,HAEON,アメリカ,1290,$KTDVD,アメリカ
4th style,ULTRA HIGH-HEELS,669,ICARUS,アメリカ,559,BRNCOW,アメリカ,979,CLP&CO,アメリカ
4th style,SWEET LAB,318,L-ZING,アメリカ,808,ACE2DX,アメリカ,1321,CLP&CO,アメリカ
4th style,starmine,823,ICARUS,アメリカ,1211,HAEON,アメリカ,1560,CLP&CO,アメリカ
4th style,Nasty!,242,DAKREE,アメリカ,825,ASHURA,アメリカ,1513,CLP&CO,アメリカ
4th style,Mr.T.(take me higher),771,ASHURA,アメリカ,926,MONSTA,アメリカ,1721,OROCHI,アメリカ
4th style,minimalian,477,ICARUS,アメリカ,952,ACE2DX,アメリカ,1376,KEV.,アメリカ
