バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,792,CARROT,福岡県,1058,ROCHER,マカオ,1160,UDON-F,福島県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2052,AAAAAA,滋賀県
1st&substream,RUGGED ASH,370,IMOTO*,大阪府,402,IMOTO*,大阪府,1098,YUZUK1,大分県
1st&substream,R3,660,MARINA,神奈川県,733,MONO,愛知県,905,NIKE.,東京都
1st&substream,PARANOIA MAX～DIRTY MIX～,560,MARINA,神奈川県,749,LAHAR*,東京都,1120,DINASO,神奈川県
1st&substream,Macho Gang,382,NEODIO,青森県,1081,SHINPO,東京都,1663,CHARM,韓国
1st&substream,KEEP ON MOVIN',196,IMOTO*,大阪府,244,IMOTO*,大阪府,0,,未設定
1st&substream,GRADIUSIC CYBER,879,CARROT,福岡県,996,LAHAR*,東京都,1208,RIDDLE,東京都
1st&substream,GENOM SCREAMS,422,IMOTO*,大阪府,825,EZREAL,東京都,1070,KUREI,愛知県
1st&substream,GAMBOL,274,IMOTO*,大阪府,274,IMOTO*,大阪府,0,,未設定
1st&substream,Dr.LOVE,408,IMOTO*,大阪府,522,17GO!?,神奈川県,580,*ALEX*,静岡県
1st&substream,deep in you,499,17GO!?,神奈川県,507,GOEMON,神奈川県,666,ATTIXX,韓国
1st&substream,5.1.1.,198,IMOTO*,大阪府,1021,WAROTA,大分県,1570,MIKAMO,東京都
1st&substream,22DUNK,529,LAYER,千葉県,643,*ALEX*,静岡県,657,YUZUK1,大分県
2nd style,SP-TRIP MACHINE(for beatmania II),508,IMOTO*,大阪府,626,N!?,北海道,648,SHIVA.,岩手県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),581,N!?,北海道,864,N!?,北海道,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),880,N!?,北海道,1127,N!?,北海道,1227,MIKAMO,東京都
2nd style,I Was The One,544,NEODIO,青森県,652,MONO,愛知県,694,AR8.YU,埼玉県
