バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,723,ZONE,岩手県,973,MENDES,岩手県,1105,110.,岩手県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1993,DOLCE.,岩手県
1st&substream,RUGGED ASH,259,TAKA,岩手県,390,FLAPPY,岩手県,1033,110.,岩手県
1st&substream,R3,563,MIMI,岩手県,666,TO2X,岩手県,894,SHIVA.,岩手県
1st&substream,PARANOIA MAX～DIRTY MIX～,443,L.I.J,岩手県,683,ST,岩手県,1044,110.,岩手県
1st&substream,Macho Gang,376,5INKYO,岩手県,891,8IS-K,岩手県,1639,DOLCE.,岩手県
1st&substream,KEEP ON MOVIN',183,MAME4B,岩手県,244,SHIVA.,岩手県,0,,未設定
1st&substream,GRADIUSIC CYBER,804,MASX2.,岩手県,832,8IS-K,岩手県,1152,DAIDA,岩手県
1st&substream,GENOM SCREAMS,190,SOUTEN,岩手県,797,GYUTOE,岩手県,1034,GJI,岩手県
1st&substream,GAMBOL,272,SHIVA.,岩手県,273,SHIVA.,岩手県,0,,未設定
1st&substream,Dr.LOVE,345,GYUTOE,岩手県,477,MW,岩手県,576,SHIVA.,岩手県
1st&substream,deep in you,223,H.K,岩手県,478,KING-R,岩手県,647,KERORO,岩手県
1st&substream,5.1.1.,194,LAYLA,岩手県,1007,TABI,岩手県,1563,DOLCE.,岩手県
1st&substream,22DUNK,242,YTB968,岩手県,604,.YUT,岩手県,657,SHIVA.,岩手県
2nd style,SP-TRIP MACHINE(for beatmania II),491,ARCHE,岩手県,559,ZAKI,岩手県,648,SHIVA.,岩手県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),550,ARCHE,岩手県,862,DOLCE.,岩手県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),441,ZIN#LH,岩手県,927,ST,岩手県,1197,SHIVA.,岩手県
2nd style,I Was The One,505,D*KI,岩手県,599,TO2X,岩手県,693,SHIVA.,岩手県
2nd style,Electro Tuned(the SubS mix),626,TWICE.,岩手県,897,ARCHE,岩手県,1036,38O38,岩手県
2nd style,Digital MinD(A/T Libra mix),697,ARCHE,岩手県,961,MOW,岩手県,1120,SHIVA.,岩手県
2nd style,.59,678,46SUKE,岩手県,984,ARCHE,岩手県,1088,DAIDA,岩手県
3rd style,THE SAFARI,1125,46SUKE,岩手県,1786,DOLCE.,岩手県,0,,未設定
3rd style,Tangerine Stream,264,46SUKE,岩手県,393,110.,岩手県,0,,未設定
3rd style,Skyscraper,663,MW,岩手県,899,SAKITO,岩手県,1229,SHIVA.,岩手県
3rd style,Schlagwerk,782,MASX2.,岩手県,1243,L-FOX,岩手県,1658,SHIVA.,岩手県
3rd style,REINCARNATION,801,MASX2.,岩手県,967,GYUTOE,岩手県,1242,SHIVA.,岩手県
3rd style,R5,740,ARCHE,岩手県,1124,N-HARD,岩手県,1771,DOLCE.,岩手県
3rd style,Presto,518,ARCHE,岩手県,887,L-FOX,岩手県,986,DAIDA,岩手県
3rd style,LEADING CYBER,801,ARCHE,岩手県,1154,TUTTY,岩手県,1272,5INKYO,岩手県
3rd style,Holic,745,ARCHE,岩手県,1156,NCG.LO,岩手県,1708,DOLCE.,岩手県
3rd style,era (nostalmix),801,ARCHE,岩手県,1096,DOLCE.,岩手県,1530,DOLCE.,岩手県
3rd style,Don't Stop!,762,ARCHE,岩手県,839,DAIDA,岩手県,905,DOLCE.,岩手県
3rd style,CAN'T STOP FALLIN'IN LOVE,592,KING-R,岩手県,1249,5INKYO,岩手県,0,,未設定
4th style,Voltage (feat. Hidemaru),715,MW,岩手県,1105,CMN8,岩手県,1301,SHIVA.,岩手県
4th style,ULTRA HIGH-HEELS,662,MW,岩手県,807,ZONE,岩手県,968,8IS-K,岩手県
4th style,SWEET LAB,526,DJ,岩手県,904,KERORO,岩手県,1369,DOLCE.,岩手県
4th style,starmine,859,ARCHE,岩手県,1309,N-HARD,岩手県,1593,DOLCE.,岩手県
4th style,Mr.T.(take me higher),525,FUUKA-,岩手県,712,JZX100,岩手県,1724,SHOGO,岩手県
4th style,minimalian,505,ARCHE,岩手県,979,EUROPA,岩手県,1337,GYUTOE,岩手県
4th style,LOVE WILL・・・,339,YGSW,岩手県,704,TO2X,岩手県,1442,110.,岩手県
4th style,KAMIKAZE,469,KATTHN,岩手県,1382,ARCHE,岩手県,2280,DOLCE.,岩手県
4th style,Jam&Marmalade,653,KOU!?,岩手県,751,EMIRU,岩手県,989,SHIVA.,岩手県
4th style,Hitch Hiker2,794,ARCHE,岩手県,1058,8IS-K,岩手県,1313,DOLCE.,岩手県
4th style,HIGHER,494,TWICE.,岩手県,841,RHYME,岩手県,1190,46SUKE,岩手県
4th style,FLOWERS for ALBION,233,TO2X,岩手県,434,TUTTY,岩手県,0,,未設定
4th style,era (step mix),941,RIGIN,岩手県,1203,ARCHE,岩手県,1723,DOLCE.,岩手県
4th style,empathy,659,HOUJI,岩手県,889,123,岩手県,1462,DOLCE.,岩手県
4th style,DXY!,1239,GYUTOE,岩手県,1771,110.,岩手県,2172,DOLCE.,岩手県
4th style,Clione†,0,,未設定,0,,未設定,2163,DOLCE.,岩手県
4th style,Clione,447,TWICE.,岩手県,862,SCP-K,岩手県,1537,DAIDA,岩手県
4th style,CHECKING YOU OUT,618,110.,岩手県,907,DOLCE.,岩手県,1366,DOLCE.,岩手県
4th style,Burnin' The Floor,534,TWICE.,岩手県,893,DOPOKO,岩手県,1432,SHIVA.,岩手県
4th style,Broken My Heart,477,XVIDEO,岩手県,1378,KURI,岩手県,1705,DAIDA,岩手県
4th style,B4U,801,SUSH19,岩手県,1389,ARCHE,岩手県,1887,GYUTOE,岩手県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2607,SHIVA.,岩手県
4th style,ABSOLUTE,1122,RONDO,岩手県,1652,EUROPA,岩手県,2391,DOLCE.,岩手県
4th style,250bpm,450,HOUJI,岩手県,848,4K4N3,岩手県,1395,SHIVA.,岩手県
5th style,V,1195,MOW,岩手県,2507,SHIVA.,岩手県,3015,DOLCE.,岩手県
5th style,THE SHINING POLARIS,940,ARCHE,岩手県,1123,8IS-K,岩手県,1587,5INKYO,岩手県
5th style,THE CUBE,701,ARCHE,岩手県,1189,NCG.LO,岩手県,1343,SHIVA.,岩手県
5th style,sync,1068,ARCHE,岩手県,1757,ARCHE,岩手県,2347,5INKYO,岩手県
5th style,still my words,883,ARCHE,岩手県,1195,TABI,岩手県,0,,未設定
5th style,STILL IN MY HEART,744,TWICE.,岩手県,1246,ELMA,岩手県,1900,SHIVA.,岩手県
5th style,Spin the disc,750,MASX2.,岩手県,1180,ARCHE,岩手県,1281,38O38,岩手県
5th style,RISLIM,897,38O38,岩手県,1226,DOLCE.,岩手県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1769,SHIVA.,岩手県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),794,MW,岩手県,1024,ARCHE,岩手県,1644,DAIDA,岩手県
5th style,Regulus,908,8IS-K,岩手県,1365,AJI,岩手県,1741,DOLCE.,岩手県
