バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,776,MARIMO,宮城県,1021,D.LOK,宮城県,1137,1N319N,宮城県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1975,EBI,宮城県
1st&substream,RUGGED ASH,367,MARIMO,宮城県,396,MARIMO,宮城県,1077,YULI,宮城県
1st&substream,R3,653,MARIMO,宮城県,724,MARIMO,宮城県,891,1N319N,宮城県
1st&substream,PARANOIA MAX～DIRTY MIX～,555,MARIMO,宮城県,718,H-PORN,宮城県,1082,1N319N,宮城県
1st&substream,Macho Gang,376,YULI,宮城県,1043,1N319N,宮城県,1582,1N319N,宮城県
1st&substream,KEEP ON MOVIN',196,MARIMO,宮城県,243,1N319N,宮城県,0,,未設定
1st&substream,GRADIUSIC CYBER,857,MARIMO,宮城県,974,NCG.M2,宮城県,1189,EBI,宮城県
1st&substream,GENOM SCREAMS,414,MARIMO,宮城県,796,MARIMO,宮城県,1043,1N319N,宮城県
1st&substream,GAMBOL,273,MARIMO,宮城県,273,MARIMO,宮城県,0,,未設定
1st&substream,Dr.LOVE,402,MARIMO,宮城県,514,MARIMO,宮城県,573,1N319N,宮城県
1st&substream,deep in you,485,MARIMO,宮城県,490,MARIMO,宮城県,648,1N319N,宮城県
1st&substream,5.1.1.,198,MARIMO,宮城県,1009,EBI,宮城県,1556,MIYABI,宮城県
1st&substream,22DUNK,519,MARIMO,宮城県,636,EBI,宮城県,642,1N319N,宮城県
2nd style,SP-TRIP MACHINE(for beatmania II),502,MARIMO,宮城県,617,MARIMO,宮城県,647,UDON-G,宮城県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),567,MARIMO,宮城県,849,1N319N,宮城県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),854,MARIMO,宮城県,950,GIN7,宮城県,1200,1N319N,宮城県
2nd style,I Was The One,533,MARIMO,宮城県,631,KAIN,宮城県,689,1N319N,宮城県
2nd style,Electro Tuned(the SubS mix),765,MARIMO,宮城県,0,,未設定,1055,1N319N,宮城県
2nd style,Digital MinD(A/T Libra mix),717,MARIMO,宮城県,1053,1N319N,宮城県,1111,1N319N,宮城県
2nd style,.59,711,MARIMO,宮城県,1002,EBI,宮城県,1134,MIYABI,宮城県
3rd style,THE SAFARI,1171,MARIMO,宮城県,1754,EBI,宮城県,0,,未設定
3rd style,Tangerine Stream,282,MARIMO,宮城県,392,SIG,宮城県,0,,未設定
3rd style,Skyscraper,722,MARIMO,宮城県,916,TAITAI,宮城県,1228,1N319N,宮城県
3rd style,Schlagwerk,807,MARIMO,宮城県,1085,GONZ.,宮城県,1653,1N319N,宮城県
3rd style,REINCARNATION,824,MARIMO,宮城県,1013,1N319N,宮城県,1255,1N319N,宮城県
3rd style,R5,768,MARIMO,宮城県,1125,TENKUN,宮城県,1744,MIYABI,宮城県
3rd style,Presto,531,MARIMO,宮城県,974,EBI,宮城県,1000,1N319N,宮城県
3rd style,LEADING CYBER,824,MARIMO,宮城県,1173,1N319N,宮城県,1254,1N319N,宮城県
3rd style,Holic,752,MARIMO,宮城県,1208,1N319N,宮城県,1655,1N319N,宮城県
3rd style,era (nostalmix),836,MARIMO,宮城県,1065,YULI,宮城県,1489,1N319N,宮城県
3rd style,Don't Stop!,769,MARIMO,宮城県,841,MARIMO,宮城県,896,1N319N,宮城県
3rd style,CAN'T STOP FALLIN'IN LOVE,614,MARIMO,宮城県,1240,1N319N,宮城県,0,,未設定
4th style,Voltage (feat. Hidemaru),932,SIG,宮城県,1200,1N319N,宮城県,1300,1N319N,宮城県
