バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,0,,未設定,961,DEF,秋田県,1089,A-BE*Q,秋田県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1912,EOTOKO,秋田県
1st&substream,RUGGED ASH,362,HAYA,秋田県,385,OSANPO,秋田県,1048,MASAKI,秋田県
1st&substream,R3,609,KANI,秋田県,676,HAYA,秋田県,876,-GEAR-,秋田県
1st&substream,PARANOIA MAX～DIRTY MIX～,439,ACLOUD,秋田県,676,KBKI01,秋田県,1092,MASAKI,秋田県
1st&substream,Macho Gang,381,MASAKI,秋田県,1003,KANI,秋田県,1560,MASAKI,秋田県
1st&substream,KEEP ON MOVIN',186,KANI,秋田県,234,GOMATA,秋田県,0,,未設定
1st&substream,GRADIUSIC CYBER,420,ACLOUD,秋田県,939,­,秋田県,1145,­,秋田県
1st&substream,GENOM SCREAMS,370,SESAMI,秋田県,756,1NOSE,秋田県,1033,EOTOKO,秋田県
1st&substream,GAMBOL,266,AKAMA,秋田県,267,RT*MGR,秋田県,0,,未設定
1st&substream,Dr.LOVE,393,TOROKU,秋田県,470,DEF,秋田県,569,AJI.,秋田県
1st&substream,deep in you,252,NAO,秋田県,342,IIDX26,秋田県,642,Y.I.,秋田県
1st&substream,5.1.1.,185,AU-MIN,秋田県,808,YURA,秋田県,1527,AJI.,秋田県
1st&substream,22DUNK,494,HARUNA,秋田県,478,RETRY,秋田県,635,EOTOKO,秋田県
2nd style,SP-TRIP MACHINE(for beatmania II),207,GOZEN,秋田県,616,­,秋田県,647,MASAKI,秋田県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),166,PPP,秋田県,824,GOMATA,秋田県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),594,SARYO,秋田県,1097,-GEAR-,秋田県,1181,EOTOKO,秋田県
2nd style,I Was The One,515,KANI,秋田県,394,OINARI,秋田県,685,MASAKI,秋田県
2nd style,Electro Tuned(the SubS mix),689,RH,秋田県,0,,未設定,1047,MASAKI,秋田県
2nd style,Digital MinD(A/T Libra mix),630,KKR,秋田県,888,RETRY,秋田県,1051,AU-MIN,秋田県
2nd style,.59,0,,未設定,907,NATORI,秋田県,1093,OSANPO,秋田県
3rd style,THE SAFARI,1085,RH,秋田県,1694,Y.I.,秋田県,0,,未設定
3rd style,Tangerine Stream,277,HAYA,秋田県,387,GOMATA,秋田県,0,,未設定
3rd style,Skyscraper,0,,未設定,0,,未設定,1184,GOMATA,秋田県
3rd style,Schlagwerk,167,KI,秋田県,1201,KANI,秋田県,1624,OSANPO,秋田県
3rd style,REINCARNATION,495,OINARI,秋田県,927,TORU.K,秋田県,1204,OSANPO,秋田県
3rd style,R5,770,MASAKI,秋田県,1131,KANI,秋田県,1739,Y.I.,秋田県
3rd style,Presto,0,,未設定,889,KANI,秋田県,971,­,秋田県
3rd style,LEADING CYBER,0,,未設定,1065,OSANPO,秋田県,1195,GOMATA,秋田県
3rd style,Holic,687,RH,秋田県,1055,TYNN,秋田県,1599,AJI.,秋田県
3rd style,era (nostalmix),632,ACLOUD,秋田県,1039,K.AI,秋田県,1486,EOTOKO,秋田県
3rd style,Don't Stop!,361,UN*,秋田県,0,,未設定,879,OSANPO,秋田県
3rd style,CAN'T STOP FALLIN'IN LOVE,592,KANI,秋田県,1181,GOMATA,秋田県,0,,未設定
4th style,Voltage (feat. Hidemaru),930,MASAKI,秋田県,1005,RH,秋田県,1259,MASAKI,秋田県
4th style,ULTRA HIGH-HEELS,0,,未設定,0,,未設定,984,MASAKI,秋田県
4th style,SWEET LAB,494,RH,秋田県,804,RETRY,秋田県,1215,HARUNA,秋田県
4th style,starmine,823,YUTO,秋田県,1363,GOMATA,秋田県,1527,AJI.,秋田県
4th style,Mr.T.(take me higher),3,KKR,秋田県,970,­,秋田県,1692,AOTA,秋田県
4th style,minimalian,451,RETRY,秋田県,984,DEF,秋田県,1321,­,秋田県
4th style,LOVE WILL・・・,0,,未設定,0,,未設定,1452,MASAKI,秋田県
4th style,KAMIKAZE,815,4DU9,秋田県,1368,AZSA.M,秋田県,2220,HARUNA,秋田県
4th style,Jam&Marmalade,0,,未設定,777,RH,秋田県,979,TOROKU,秋田県
4th style,Hitch Hiker2,79,6769K6,秋田県,0,,未設定,1243,GOMATA,秋田県
4th style,HIGHER,267,AAA,秋田県,0,,未設定,1265,MASAKI,秋田県
4th style,FLOWERS for ALBION,161,CANNON,秋田県,417,GOMATA,秋田県,0,,未設定
4th style,era (step mix),0,,未設定,1126,PRSN,秋田県,1609,OSANPO,秋田県
4th style,empathy,0,,未設定,1181,RH,秋田県,1364,AU-MIN,秋田県
4th style,DXY!,1073,YURA,秋田県,1744,HARUNA,秋田県,2199,Y.I.,秋田県
4th style,Clione†,0,,未設定,0,,未設定,2030,AOTA,秋田県
4th style,Clione,409,REVEL,秋田県,913,OSANPO,秋田県,1572,AOTA,秋田県
4th style,CHECKING YOU OUT,579,HARUNA,秋田県,806,HAPICO,秋田県,1261,Y.I.,秋田県
4th style,Burnin' The Floor,546,RH,秋田県,0,,未設定,1425,MASAKI,秋田県
4th style,Broken My Heart,0,,未設定,1322,RH,秋田県,1706,OSANPO,秋田県
4th style,B4U,768,ZOO,秋田県,1226,TSURO,秋田県,1935,MASAKI,秋田県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2606,TOROKU,秋田県
4th style,ABSOLUTE,1050,TSURO,秋田県,1634,NATORI,秋田県,2271,CRUISE,秋田県
4th style,250bpm,0,,未設定,848,HN0123,秋田県,1322,EOTOKO,秋田県
5th style,V,1207,KANI,秋田県,2476,Y.I.,秋田県,2883,Y.I.,秋田県
5th style,THE SHINING POLARIS,0,,未設定,862,KEOGH,秋田県,1554,Y.I.,秋田県
5th style,THE CUBE,195,O-LINE,秋田県,1220,OSANPO,秋田県,1316,NUKETA,秋田県
5th style,sync,1022,TORU.K,秋田県,1369,HIWA*K,秋田県,2246,­,秋田県
5th style,still my words,0,,未設定,1193,A-BE*Q,秋田県,0,,未設定
5th style,STILL IN MY HEART,966,SIXA,秋田県,1162,KANI,秋田県,1760,­,秋田県
5th style,Spin the disc,408,NAO,秋田県,1089,RH,秋田県,1251,AU-MIN,秋田県
5th style,RISLIM,844,RT*MGR,秋田県,1206,MASAKI,秋田県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1708,TOROKU,秋田県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,未設定,977,OSANPO,秋田県,1557,­,秋田県
5th style,Regulus,0,,未設定,1330,MANIF,秋田県,1542,RT*MGR,秋田県
5th style,Real,1049,CAMINO,秋田県,1565,KANI,秋田県,1676,OSANPO,秋田県
5th style,Radical Faith,0,,未設定,0,,未設定,1292,MASAKI,秋田県
5th style,QQQ,1115,YUTO,秋田県,1684,..L7.S,秋田県,2087,AJI.,秋田県
5th style,outer wall,868,CAMINO,秋田県,1103,YUTO,秋田県,1655,HARUNA,秋田県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,571,REVEL,秋田県,0,,未設定,1116,MASAKI,秋田県
5th style,in my eyes,0,,未設定,0,,未設定,1558,MASAKI,秋田県
5th style,Abyss,1217,SIXA,秋田県,1535,90N,秋田県,1770,­,秋田県
