バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,746,WRC,福島県,921,AURA,福島県,1148,KOME-S,福島県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2002,TOSH,福島県
1st&substream,RUGGED ASH,365,WRC,福島県,401,UDON-F,福島県,1077,KOME-S,福島県
1st&substream,R3,655,KOME-S,福島県,724,KOME-S,福島県,890,KOME-S,福島県
1st&substream,PARANOIA MAX～DIRTY MIX～,537,AURA,福島県,704,AURA,福島県,1093,SECIL,福島県
1st&substream,Macho Gang,369,RALPH.,福島県,972,2.TA!!,福島県,1636,UDON-F,福島県
1st&substream,KEEP ON MOVIN',193,WRC,福島県,242,KOME-S,福島県,0,,未設定
1st&substream,GRADIUSIC CYBER,824,WRC,福島県,990,KOME-S,福島県,1189,KOME-S,福島県
1st&substream,GENOM SCREAMS,413,WRC,福島県,810,R1K1,福島県,1061,KOME-S,福島県
1st&substream,GAMBOL,273,KOME-S,福島県,274,KOME-S,福島県,0,,未設定
1st&substream,Dr.LOVE,392,AAAAAA,福島県,453,MAY.7,福島県,575,KOME-S,福島県
1st&substream,deep in you,476,WRC,福島県,451,MAY.7,福島県,652,KOME-S,福島県
1st&substream,5.1.1.,198,KOME-S,福島県,991,XWHW73,福島県,1561,UDON-F,福島県
1st&substream,22DUNK,518,WRC,福島県,549,MAY.7,福島県,655,KOME-S,福島県
2nd style,SP-TRIP MACHINE(for beatmania II),501,WRC,福島県,562,AURA,福島県,646,SECIL,福島県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),539,AURA,福島県,852,KOME-S,福島県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),810,MAY.7,福島県,961,MAY.7,福島県,1202,R1K1,福島県
2nd style,I Was The One,523,SHOWA,福島県,600,MAY.7,福島県,690,R1K1,福島県
2nd style,Electro Tuned(the SubS mix),687,AURA,福島県,897,AURA,福島県,1060,R1K1,福島県
2nd style,Digital MinD(A/T Libra mix),709,MO,福島県,1028,*HAMU*,福島県,1129,KOME-S,福島県
2nd style,.59,653,WRC,福島県,951,M,福島県,1150,KOME-S,福島県
3rd style,THE SAFARI,1129,ARCO,福島県,1741,KOME-S,福島県,0,,未設定
3rd style,Tangerine Stream,267,AAAAAA,福島県,395,KOME-S,福島県,0,,未設定
3rd style,Skyscraper,672,QROA,福島県,1089,WYSE,福島県,1242,KOME-S,福島県
3rd style,Schlagwerk,771,AURA,福島県,1253,ZRRD,福島県,1672,KOME-S,福島県
3rd style,REINCARNATION,782,AURA,福島県,967,WYSE,福島県,1260,R1K1,福島県
3rd style,R5,755,WRC,福島県,1154,KOME-S,福島県,1754,UDON-F,福島県
3rd style,Presto,521,MINO,福島県,967,UDON-F,福島県,1006,R1K1,福島県
3rd style,LEADING CYBER,797,AURA,福島県,1187,KOME-S,福島県,1251,KOME-S,福島県
3rd style,Holic,747,WRC,福島県,1116,AURA,福島県,1665,SA,福島県
3rd style,era (nostalmix),800,WRC,福島県,1077,KOME-S,福島県,1493,SECIL,福島県
3rd style,Don't Stop!,734,AURA,福島県,853,KOME-S,福島県,902,KOME-S,福島県
