バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,736,HENSEL,茨城県,1022,MOLLLL,茨城県,1147,10JOIN,茨城県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1999,MOKA.A,茨城県
1st&substream,RUGGED ASH,362,HENSEL,茨城県,391,CELT!C,茨城県,1072,R*CHIN,茨城県
1st&substream,R3,637,C*11-F,茨城県,697,HENSEL,茨城県,895,10JOIN,茨城県
1st&substream,PARANOIA MAX～DIRTY MIX～,545,HENSEL,茨城県,690,TOMO,茨城県,1094,10JOIN,茨城県
1st&substream,Macho Gang,369,LAPIS,茨城県,934,TOMO,茨城県,1594,LEAVE,茨城県
1st&substream,KEEP ON MOVIN',191,87G,茨城県,242,.HINA.,茨城県,0,,未設定
1st&substream,GRADIUSIC CYBER,820,T-MAN,茨城県,900,HENSEL,茨城県,1184,10JOIN,茨城県
1st&substream,GENOM SCREAMS,398,COCO*,茨城県,802,AXTAS.,茨城県,1053,10JOIN,茨城県
1st&substream,GAMBOL,271,INU,茨城県,272,87G,茨城県,0,,未設定
1st&substream,Dr.LOVE,393,HENSEL,茨城県,501,Y2J,茨城県,573,HEROPN,茨城県
1st&substream,deep in you,461,HENSEL,茨城県,452,KEY,茨城県,651,10JOIN,茨城県
1st&substream,5.1.1.,196,ULMADO,茨城県,1001,3D5KAI,茨城県,1568,MOKA.A,茨城県
1st&substream,22DUNK,483,HENSEL,茨城県,585,TOMO,茨城県,644,10JOIN,茨城県
2nd style,SP-TRIP MACHINE(for beatmania II),496,HENSEL,茨城県,589,HENSEL,茨城県,640,10JOIN,茨城県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),532,MAPLE*,茨城県,852,10JOIN,茨城県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),837,REDR-P,茨城県,1027,HENSEL,茨城県,1201,10JOIN,茨城県
2nd style,I Was The One,524,HENSEL,茨城県,640,HENSEL,茨城県,687,10JOIN,茨城県
2nd style,Electro Tuned(the SubS mix),703,KLONOA,茨城県,828,KYON*C,茨城県,1058,10JOIN,茨城県
2nd style,Digital MinD(A/T Libra mix),704,REDR-P,茨城県,953,IGO,茨城県,1120,10JOIN,茨城県
2nd style,.59,668,TAKE,茨城県,901,TOMO,茨城県,1143,10JOIN,茨城県
3rd style,THE SAFARI,1180,P-ZEKT,茨城県,1744,MAGI9,茨城県,0,,未設定
3rd style,Tangerine Stream,276,RYU,茨城県,392,10JOIN,茨城県,0,,未設定
3rd style,Skyscraper,681,DARWIN,茨城県,1124,RYU,茨城県,1227,10JOIN,茨城県
3rd style,Schlagwerk,754,TILTE*,茨城県,1245,OGST,茨城県,1687,MOKA.A,茨城県
3rd style,REINCARNATION,772,SORA.Y,茨城県,1015,SOIT#,茨城県,1255,10JOIN,茨城県
3rd style,R5,706,SORA.Y,茨城県,1160,AXTAS.,茨城県,1756,MOKA.A,茨城県
3rd style,Presto,524,MEI,茨城県,945,NOI,茨城県,1000,10JOIN,茨城県
3rd style,LEADING CYBER,776,DARWIN,茨城県,1167,Y2J,茨城県,1247,10JOIN,茨城県
3rd style,Holic,747,HENSEL,茨城県,1190,NOI,茨城県,1685,MAGI9,茨城県
3rd style,era (nostalmix),794,DARWIN,茨城県,1061,HEROPN,茨城県,1507,ALKALI,茨城県
3rd style,Don't Stop!,736,DARWIN,茨城県,831,HENSEL,茨城県,898,10JOIN,茨城県
3rd style,CAN'T STOP FALLIN'IN LOVE,601,P-ZEKT,茨城県,1236,10JOIN,茨城県,0,,未設定
4th style,Voltage (feat. Hidemaru),870,GW,茨城県,1126,19ZIN,茨城県,1294,HEROPN,茨城県
