バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,724,M*,栃木県,1008,MINATO,栃木県,1138,UNCLEA,栃木県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1978,HERMIT,栃木県
1st&substream,RUGGED ASH,348,PAERIA,栃木県,399,$EVAN$,栃木県,1072,A-BLUE,栃木県
1st&substream,R3,652,REIP2Z,栃木県,718,SAYA..,栃木県,895,A-BLUE,栃木県
1st&substream,PARANOIA MAX～DIRTY MIX～,537,GRACKY,栃木県,739,SAYA..,栃木県,1108,A-BLUE,栃木県
1st&substream,Macho Gang,361,44TAKA,栃木県,1070,S-RAN,栃木県,1596,SALAMA,栃木県
1st&substream,KEEP ON MOVIN',195,Z,栃木県,243,GIBARA,栃木県,0,,未設定
1st&substream,GRADIUSIC CYBER,376,MGM.YA,栃木県,961,SAYA..,栃木県,1195,DAIMON,栃木県
1st&substream,GENOM SCREAMS,361,DDRMIX,栃木県,820,HERMIT,栃木県,1062,DAIMON,栃木県
1st&substream,GAMBOL,274,SAYA..,栃木県,274,SAYA..,栃木県,0,,未設定
1st&substream,Dr.LOVE,369,PAERIA,栃木県,513,SAYA..,栃木県,573,DAIMON,栃木県
1st&substream,deep in you,480,AISHIA,栃木県,498,SAYA..,栃木県,654,HERMIT,栃木県
1st&substream,5.1.1.,198,IINE*,栃木県,999,SAYA..,栃木県,1565,DAIMON,栃木県
1st&substream,22DUNK,477,PAERIA,栃木県,625,SAYA..,栃木県,650,DAIMON,栃木県
2nd style,SP-TRIP MACHINE(for beatmania II),474,DDRMIX,栃木県,617,MINATO,栃木県,638,A-BLUE,栃木県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),420,MAG,栃木県,852,SALAMA,栃木県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),419,MAYO,栃木県,1014,M*,栃木県,1208,COLCA,栃木県
2nd style,I Was The One,516,ELEN.Y,栃木県,636,SAYA..,栃木県,690,SALAMA,栃木県
2nd style,Electro Tuned(the SubS mix),760,SAYA..,栃木県,942,SAYA..,栃木県,1055,SALAMA,栃木県
2nd style,Digital MinD(A/T Libra mix),560,ROCO,栃木県,905,M*,栃木県,1124,DAIMON,栃木県
2nd style,.59,695,MINATO,栃木県,950,IINE*,栃木県,1130,A-BLUE,栃木県
3rd style,THE SAFARI,1136,MASAXY,栃木県,1752,A-BLUE,栃木県,0,,未設定
