バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,690,*****,群馬県,1030,DBZ,群馬県,1099,RINNE*,群馬県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1945,A*,群馬県
1st&substream,RUGGED ASH,369,$EVAN$,群馬県,391,OGAMI,群馬県,1053,RINNE*,群馬県
1st&substream,R3,571,*****,群馬県,668,SHIN55,群馬県,883,RINNE*,群馬県
1st&substream,PARANOIA MAX～DIRTY MIX～,493,REO,群馬県,721,OGAMI,群馬県,1075,DBZ,群馬県
1st&substream,Macho Gang,167,MHK?,群馬県,937,OGAMI,群馬県,1594,GEKCO,群馬県
1st&substream,KEEP ON MOVIN',196,$EVAN$,群馬県,243,RINNE*,群馬県,0,,未設定
1st&substream,GRADIUSIC CYBER,737,REO,群馬県,911,SHIN55,群馬県,1171,RINNE*,群馬県
1st&substream,GENOM SCREAMS,361,REO,群馬県,731,OGAMI,群馬県,1051,RAMAN5,群馬県
1st&substream,GAMBOL,272,$EVAN$,群馬県,272,RINNE*,群馬県,0,,未設定
1st&substream,Dr.LOVE,406,$EVAN$,群馬県,514,$EVAN$,群馬県,568,3NORIN,群馬県
1st&substream,deep in you,412,Z380RS,群馬県,494,H-BOMB,群馬県,648,DBZ,群馬県
1st&substream,5.1.1.,197,$EVAN$,群馬県,949,B-1824,群馬県,1555,GARURU,群馬県
1st&substream,22DUNK,488,FLG.,群馬県,608,SHIN55,群馬県,628,RINNE*,群馬県
2nd style,SP-TRIP MACHINE(for beatmania II),484,SAKIRO,群馬県,591,OGAMI,群馬県,642,RINNE*,群馬県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),521,*****,群馬県,830,RINNE*,群馬県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),784,GE,群馬県,1045,H-BOMB,群馬県,1198,S,群馬県
2nd style,I Was The One,496,VAN,群馬県,632,OH,群馬県,679,$EVAN$,群馬県
2nd style,Electro Tuned(the SubS mix),672,*****,群馬県,894,OGAMI,群馬県,1031,RINNE*,群馬県
2nd style,Digital MinD(A/T Libra mix),556,MATUSA,群馬県,980,H-BOMB,群馬県,1096,RINNE*,群馬県
2nd style,.59,525,MATUSA,群馬県,967,COG,群馬県,1099,TAKA-P,群馬県
3rd style,THE SAFARI,1184,H-BOMB,群馬県,1720,S,群馬県,0,,未設定
3rd style,Tangerine Stream,280,$EVAN$,群馬県,391,RINNE*,群馬県,0,,未設定
3rd style,Skyscraper,692,OGAMI,群馬県,1117,OGAMI,群馬県,1215,RINNE*,群馬県
3rd style,Schlagwerk,774,OGAMI,群馬県,1234,OGAMI,群馬県,1633,RINNE*,群馬県
3rd style,REINCARNATION,782,OGAMI,群馬県,935,OGAMI,群馬県,1244,RINNE*,群馬県
3rd style,R5,735,PA-SHI,群馬県,1138,H-BOMB,群馬県,1750,RAMAN5,群馬県
3rd style,Presto,371,TYPHUS,群馬県,910,OGAMI,群馬県,983,SYNCH,群馬県
3rd style,LEADING CYBER,800,OGAMI,群馬県,1145,SHIN55,群馬県,1215,RINNE*,群馬県
3rd style,Holic,740,7&MM!3,群馬県,1153,OGAMI,群馬県,1682,S,群馬県
3rd style,era (nostalmix),795,OGAMI,群馬県,1086,DBZ,群馬県,1490,DBZ,群馬県
3rd style,Don't Stop!,746,OGAMI,群馬県,815,OGAMI,群馬県,893,RINNE*,群馬県
3rd style,CAN'T STOP FALLIN'IN LOVE,279,-MAME-,群馬県,1208,RINNE*,群馬県,0,,未設定
4th style,Voltage (feat. Hidemaru),861,OGAMI,群馬県,1126,B-1824,群馬県,1279,******,群馬県
4th style,ULTRA HIGH-HEELS,524,RIZCHO,群馬県,847,NSMR,群馬県,983,DBZ,群馬県
4th style,SWEET LAB,538,LATTE?,群馬県,885,7&MM!3,群馬県,1296,DBZ,群馬県
4th style,starmine,806,GE,群馬県,1404,KA710,群馬県,1574,GARURU,群馬県
4th style,Mr.T.(take me higher),800,OGAMI,群馬県,911,*****,群馬県,1714,......,群馬県
4th style,minimalian,412,BSAA,群馬県,1005,7&MM!3,群馬県,1349,3TOTIN,群馬県
4th style,LOVE WILL・・・,454,KSDD,群馬県,681,1190-R,群馬県,1437,3NORIN,群馬県
4th style,KAMIKAZE,928,OGAMI,群馬県,1410,H-BOMB,群馬県,2202,P0N.,群馬県
4th style,Jam&Marmalade,734,DEEN,群馬県,787,MOGU-,群馬県,991,TAKA-P,群馬県
4th style,Hitch Hiker2,780,OGAMI,群馬県,1111,7&MM!3,群馬県,1280,RINNE*,群馬県
4th style,HIGHER,507,OGAMI,群馬県,751,RENNE,群馬県,1251,RINNE*,群馬県
4th style,FLOWERS for ALBION,238,$EVAN$,群馬県,430,RINNE*,群馬県,0,,未設定
4th style,era (step mix),970,VAN,群馬県,1246,NCTRTG,群馬県,1650,DBZ,群馬県
4th style,empathy,644,Z380RS,群馬県,1249,H-BOMB,群馬県,1399,HAKA!,群馬県
4th style,DXY!,1259,B-1824,群馬県,1655,RE.YNN,群馬県,2201,GARURU,群馬県
4th style,Clione†,0,,未設定,0,,未設定,2090,SYNCH,群馬県
