バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,788,LAHAR*,東京都,1055,IIDX25,東京都,1147,LAHAR*,東京都
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2045,MIKAMO,東京都
1st&substream,RUGGED ASH,369,DICE,東京都,402,LAHAR*,東京都,1098,55TEA*,東京都
1st&substream,R3,653,LAHAR*,東京都,730,LAHAR*,東京都,905,NIKE.,東京都
1st&substream,PARANOIA MAX～DIRTY MIX～,557,LAHAR*,東京都,749,LAHAR*,東京都,1108,S-RAN,東京都
1st&substream,Macho Gang,379,SHINPO,東京都,1081,SHINPO,東京都,1657,MIKAMO,東京都
1st&substream,KEEP ON MOVIN',194,Y-NBB,東京都,244,CAREY*,東京都,0,,未設定
1st&substream,GRADIUSIC CYBER,857,LAHAR*,東京都,996,LAHAR*,東京都,1208,RIDDLE,東京都
1st&substream,GENOM SCREAMS,420,DICE,東京都,825,EZREAL,東京都,1060,LAHAR*,東京都
1st&substream,GAMBOL,272,LAHAR*,東京都,274,LEONE,東京都,0,,未設定
1st&substream,Dr.LOVE,402,LAHAR*,東京都,520,LAHAR*,東京都,578,LAHAR*,東京都
1st&substream,deep in you,496,LAHAR*,東京都,505,LAHAR*,東京都,661,BABA.G,東京都
1st&substream,5.1.1.,198,405,東京都,1015,LAHAR*,東京都,1570,MIKAMO,東京都
1st&substream,22DUNK,527,LAHAR*,東京都,642,LAHAR*,東京都,656,LAHAR*,東京都
2nd style,SP-TRIP MACHINE(for beatmania II),506,LAHAR*,東京都,617,LAHAR*,東京都,647,CAREY*,東京都
2nd style,PUT YOUR FAITH IN ME(for beatmania II),575,LAHAR*,東京都,859,BABA.G,東京都,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),878,LAHAR*,東京都,1126,LAHAR*,東京都,1227,MIKAMO,東京都
2nd style,I Was The One,532,LAHAR*,東京都,645,LAHAR*,東京都,692,AIL,東京都
2nd style,Electro Tuned(the SubS mix),776,LAHAR*,東京都,961,LAHAR*,東京都,1068,MIKAMO,東京都
2nd style,Digital MinD(A/T Libra mix),737,DICE,東京都,1062,LAHAR*,東京都,1127,LAHAR*,東京都
2nd style,.59,713,LAHAR*,東京都,1020,LAHAR*,東京都,1157,MIKAMO,東京都
3rd style,THE SAFARI,1227,LAHAR*,東京都,1776,1048,東京都,0,,未設定
3rd style,Tangerine Stream,281,DICE,東京都,396,CAREY*,東京都,0,,未設定
3rd style,Skyscraper,740,DICE,東京都,1209,LAHAR*,東京都,1249,1048,東京都
3rd style,Schlagwerk,820,LAHAR*,東京都,1310,SHINPO,東京都,1690,54GAYA,東京都
3rd style,REINCARNATION,841,LAHAR*,東京都,1036,LAHAR*,東京都,1275,1048,東京都
3rd style,R5,767,JIBRIL,東京都,1168,LAHAR*,東京都,1770,RIDDLE,東京都
3rd style,Presto,536,LAHAR*,東京都,980,LAHAR*,東京都,1011,BABA.G,東京都
3rd style,LEADING CYBER,846,LAHAR*,東京都,1198,LAHAR*,東京都,1266,MIKAMO,東京都
3rd style,Holic,775,LAHAR*,東京都,1222,LAHAR*,東京都,1728,MIKAMO,東京都
3rd style,era (nostalmix),857,LAHAR*,東京都,1103,NIKE.,東京都,1543,NIKE.,東京都
3rd style,Don't Stop!,773,DICE,東京都,854,SHINPO,東京都,904,BABA.G,東京都
3rd style,CAN'T STOP FALLIN'IN LOVE,619,DICE,東京都,1260,1048,東京都,0,,未設定
4th style,Voltage (feat. Hidemaru),939,LAHAR*,東京都,1236,LAHAR*,東京都,1322,MIKAMO,東京都
4th style,ULTRA HIGH-HEELS,747,LAHAR*,東京都,913,LAHAR*,東京都,992,MIKAMO,東京都
4th style,SWEET LAB,557,SHINPO,東京都,977,LAHAR*,東京都,1366,MIKAMO,東京都
4th style,starmine,900,LAHAR*,東京都,1417,LAHAR*,東京都,1591,MIKAMO,東京都
4th style,Mr.T.(take me higher),850,LAHAR*,東京都,1008,DICE,東京都,1761,LAHAR*,東京都
4th style,minimalian,537,LAHAR*,東京都,1103,LAHAR*,東京都,1401,NAGISA,東京都
4th style,LOVE WILL・・・,554,LAHAR*,東京都,752,IIDX26,東京都,1462,BABA.G,東京都
4th style,KAMIKAZE,1023,LAHAR*,東京都,1479,LAHAR*,東京都,2289,NORI,東京都
4th style,Jam&Marmalade,768,HIR.,東京都,903,LAHAR*,東京都,1014,MIKAMO,東京都
4th style,Hitch Hiker2,821,LAHAR*,東京都,1212,LAHAR*,東京都,1318,LAHAR*,東京都
4th style,HIGHER,536,LAHAR*,東京都,936,LAHAR*,東京都,1279,BABA.G,東京都
4th style,FLOWERS for ALBION,240,WLEN7,東京都,439,JIBRIL,東京都,0,,未設定
4th style,era (step mix),1109,LAHAR*,東京都,1406,LAHAR*,東京都,1723,NIKE.,東京都
4th style,empathy,830,SHINPO,東京都,1384,LAHAR*,東京都,1457,LAHAR*,東京都
4th style,DXY!,1281,LAHAR*,東京都,1851,LAHAR*,東京都,2269,MIKAMO,東京都
4th style,Clione†,0,,未設定,0,,未設定,2181,MIKAMO,東京都
4th style,Clione,526,LAHAR*,東京都,956,LAHAR*,東京都,1614,MIKAMO,東京都
4th style,CHECKING YOU OUT,649,SHINPO,東京都,923,SHINPO,東京都,1348,MIKAMO,東京都
4th style,Burnin' The Floor,586,ATIA,東京都,948,LAHAR*,東京都,1438,TAKMI,東京都
4th style,Broken My Heart,939,LAHAR*,東京都,1474,LAHAR*,東京都,1823,NIKE.,東京都
4th style,B4U,1062,DICE,東京都,1566,LAHAR*,東京都,2014,MIKAMO,東京都
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2763,MIKAMO,東京都
4th style,ABSOLUTE,1319,LAHAR*,東京都,1835,1048,東京都,2400,MIKAMO,東京都
4th style,250bpm,702,LAHAR*,東京都,1025,LAHAR*,東京都,1424,1048,東京都
5th style,V,1287,ATIA,東京都,2515,XXXXXX,東京都,2999,22RAY,東京都
5th style,THE SHINING POLARIS,962,LAHAR*,東京都,1322,LAHAR*,東京都,1590,MIKAMO,東京都
5th style,THE CUBE,740,LAHAR*,東京都,1262,LAHAR*,東京都,1357,MIKAMO,東京都
5th style,sync,1089,DICE,東京都,1941,LAHAR*,東京都,2379,1048,東京都
5th style,still my words,919,LAHAR*,東京都,1234,NAGISA,東京都,0,,未設定
5th style,STILL IN MY HEART,1026,LAHAR*,東京都,1371,LAHAR*,東京都,1922,1048,東京都
5th style,Spin the disc,805,DICE,東京都,1306,LAHAR*,東京都,1340,1048,東京都
5th style,RISLIM,916,LAHAR*,東京都,1225,DICE,東京都,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1836,MIKAMO,東京都
5th style,RIDE ON THE LIGHT (HI GREAT MIX),892,LAHAR*,東京都,1083,LAHAR*,東京都,1719,*TA93N,東京都
5th style,Regulus,1079,LAHAR*,東京都,1540,LAHAR*,東京都,1711,BANGA1,東京都
5th style,Real,1144,LAHAR*,東京都,1705,LAHAR*,東京都,1812,RIDDLE,東京都
5th style,Radical Faith,1180,LAHAR*,東京都,1503,LAHAR*,東京都,1308,MIKAMO,東京都
5th style,QQQ,1222,LAHAR*,東京都,1894,LAHAR*,東京都,2160,NIKE.,東京都
5th style,outer wall,932,LAHAR*,東京都,1362,LAHAR*,東京都,1776,MIKAMO,東京都
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,766,LAHAR*,東京都,990,LAHAR*,東京都,1120,NIKE.,東京都
5th style,in my eyes,958,LAHAR*,東京都,1462,LAHAR*,東京都,1590,1048,東京都
5th style,Abyss,1266,LAHAR*,東京都,1620,LAHAR*,東京都,1883,MIKAMO,東京都
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1087,LEV3L,東京都,1575,1048,東京都,0,,未設定
6th style,こっちを向いてよ,860,SHINPO,東京都,1300,LAHAR*,東京都,1389,MIKAMO,東京都
6th style,Take It Easy,1490,LAHAR*,東京都,2399,LAHAR*,東京都,2512,22RAY,東京都
6th style,Summer Vacation(CU mix),1295,LAHAR*,東京都,1831,55TEA*,東京都,0,,未設定
6th style,SOMETHING WONDERFUL,928,LAHAR*,東京都,1364,LAHAR*,東京都,1991,MIKAMO,東京都
6th style,route 80s,898,LAHAR*,東京都,1217,LAHAR*,東京都,1517,MIKAMO,東京都
6th style,rottel-da-sun,819,LAHAR*,東京都,1366,LAHAR*,東京都,1862,1048,東京都
6th style,NEMESIS,1029,ATIA,東京都,1626,LAHAR*,東京都,1902,MIKAMO,東京都
6th style,Linus,961,LAHAR*,東京都,1554,LAHAR*,東京都,2191,MIKAMO,東京都
6th style,G2,1466,LAHAR*,東京都,1816,LAHAR*,東京都,2332,1048,東京都
