バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,789,ZARBON,神奈川県,1052,DINASO,神奈川県,1157,DINASO,神奈川県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2041,DINASO,神奈川県
1st&substream,RUGGED ASH,370,ZARBON,神奈川県,402,ZARBON,神奈川県,1080,MN.IGW,神奈川県
1st&substream,R3,640,ABEREO,神奈川県,721,FMN,神奈川県,905,DINASO,神奈川県
1st&substream,PARANOIA MAX～DIRTY MIX～,560,MARINA,神奈川県,748,GOEMON,神奈川県,1110,DINASO,神奈川県
1st&substream,Macho Gang,381,SH#,神奈川県,1043,HKNYAN,神奈川県,1658,DINASO,神奈川県
1st&substream,KEEP ON MOVIN',196,*9N2*,神奈川県,244,ICHIKA,神奈川県,0,,未設定
1st&substream,GRADIUSIC CYBER,829,FMN,神奈川県,980,GOEMON,神奈川県,1202,MN.IGW,神奈川県
1st&substream,GENOM SCREAMS,422,MARINA,神奈川県,823,MARO-N,神奈川県,1063,ICHIKA,神奈川県
1st&substream,GAMBOL,274,*9N2*,神奈川県,274,ICHIKA,神奈川県,0,,未設定
1st&substream,Dr.LOVE,408,ZARBON,神奈川県,522,ZARBON,神奈川県,579,ZARBON,神奈川県
1st&substream,deep in you,499,ZARBON,神奈川県,507,GOEMON,神奈川県,662,MN.IGW,神奈川県
1st&substream,5.1.1.,198,*9N2*,神奈川県,1020,GOEMON,神奈川県,1565,MN.SDK,神奈川県
1st&substream,22DUNK,512,FMN,神奈川県,642,DINASO,神奈川県,652,QUEBEC,神奈川県
2nd style,SP-TRIP MACHINE(for beatmania II),508,ZARBON,神奈川県,623,GOEMON,神奈川県,647,MN.IGW,神奈川県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),559,MTK.Y?,神奈川県,859,DINASO,神奈川県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),825,FMN,神奈川県,1095,GOEMON,神奈川県,1223,MN.IGW,神奈川県
2nd style,I Was The One,525,MTK.Y?,神奈川県,641,GOEMON,神奈川県,691,ZARBON,神奈川県
2nd style,Electro Tuned(the SubS mix),730,LUCHIL,神奈川県,944,GOEMON,神奈川県,1072,MN.IGW,神奈川県
2nd style,Digital MinD(A/T Libra mix),701,MTK.Y?,神奈川県,1054,GOEMON,神奈川県,1132,MN.SDK,神奈川県
2nd style,.59,715,*9N2*,神奈川県,1013,ZARBON,神奈川県,1156,DINASO,神奈川県
3rd style,THE SAFARI,1216,ZARBON,神奈川県,1786,MN.SDK,神奈川県,0,,未設定
3rd style,Tangerine Stream,282,*9N2*,神奈川県,396,ZARBON,神奈川県,0,,未設定
3rd style,Skyscraper,731,ZARBON,神奈川県,1196,GOEMON,神奈川県,1253,DINASO,神奈川県
3rd style,Schlagwerk,818,ZARBON,神奈川県,1286,GOEMON,神奈川県,1689,DINASO,神奈川県
3rd style,REINCARNATION,835,LARK!M,神奈川県,1035,STEEL*,神奈川県,1275,MN.IGW,神奈川県
3rd style,R5,746,LUCHIL,神奈川県,1161,AORUS.,神奈川県,1771,DINASO,神奈川県
3rd style,Presto,534,MTK.Y?,神奈川県,977,ICHIKA,神奈川県,1008,ICHIKA,神奈川県
3rd style,LEADING CYBER,859,ZARBON,神奈川県,1197,GOEMON,神奈川県,1280,MN.SDK,神奈川県
3rd style,Holic,749,FMN,神奈川県,1206,NYAGWA,神奈川県,1732,DINASO,神奈川県
3rd style,era (nostalmix),843,ZARBON,神奈川県,1095,DINASO,神奈川県,1531,DINASO,神奈川県
3rd style,Don't Stop!,778,MARINA,神奈川県,838,GOEMON,神奈川県,905,MN.IGW,神奈川県
3rd style,CAN'T STOP FALLIN'IN LOVE,620,MARINA,神奈川県,1255,IIDX26,神奈川県,0,,未設定
4th style,Voltage (feat. Hidemaru),902,LAFFEY,神奈川県,1235,GOEMON,神奈川県,1324,DINASO,神奈川県
4th style,ULTRA HIGH-HEELS,760,ZARBON,神奈川県,915,ZARBON,神奈川県,990,DINASO,神奈川県
4th style,SWEET LAB,558,ZARBON,神奈川県,961,GOEMON,神奈川県,1368,DINASO,神奈川県
4th style,starmine,879,FMN,神奈川県,1407,GOEMON,神奈川県,1587,DINASO,神奈川県
4th style,Mr.T.(take me higher),854,ZARBON,神奈川県,1013,ZARBON,神奈川県,1768,DINASO,神奈川県
4th style,minimalian,521,FMN,神奈川県,1029,SORRY.,神奈川県,1407,DINASO,神奈川県
4th style,LOVE WILL・・・,558,MARINA,神奈川県,757,ZARBON,神奈川県,1463,MN.SDK,神奈川県
4th style,KAMIKAZE,993,FMN,神奈川県,1474,ZARBON,神奈川県,2308,DINASO,神奈川県
4th style,Jam&Marmalade,770,MN.SDK,神奈川県,899,GOEMON,神奈川県,1004,935,神奈川県
4th style,Hitch Hiker2,835,ZARBON,神奈川県,1128,NAHA,神奈川県,1320,MN.SDK,神奈川県
4th style,HIGHER,540,MARINA,神奈川県,933,ZARBON,神奈川県,1272,*9N2*,神奈川県
4th style,FLOWERS for ALBION,236,LUCHIL,神奈川県,443,ICHIKA,神奈川県,0,,未設定
