バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,759,AKI*LV,新潟県,948,MOCO,新潟県,1147,*SHO*,新潟県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1971,WAFFLE,新潟県
1st&substream,RUGGED ASH,348,CLOVER,新潟県,369,REST,新潟県,1070,MAKO-G,新潟県
1st&substream,R3,531,KANADE,新潟県,716,SBKRAN,新潟県,905,AROMA,新潟県
1st&substream,PARANOIA MAX～DIRTY MIX～,542,AKI*LV,新潟県,726,KISAKA,新潟県,1099,*SHO*,新潟県
1st&substream,Macho Gang,376,BLONK,新潟県,976,SSAOBA,新潟県,1627,*SHO*,新潟県
1st&substream,KEEP ON MOVIN',194,H1KAKN,新潟県,242,BLONK,新潟県,0,,未設定
1st&substream,GRADIUSIC CYBER,653,101,新潟県,960,H1KAKN,新潟県,1198,AROMA,新潟県
1st&substream,GENOM SCREAMS,384,AKI*LV,新潟県,736,4MMASA,新潟県,1064,*SHO*,新潟県
1st&substream,GAMBOL,269,D.H,新潟県,274,BLONK,新潟県,0,,未設定
1st&substream,Dr.LOVE,304,OKASE,新潟県,506,H1KAKN,新潟県,574,SDF,新潟県
1st&substream,deep in you,475,NADJA*,新潟県,411,OKASE,新潟県,655,*SHO*,新潟県
1st&substream,5.1.1.,198,H1KAKN,新潟県,1005,NOA,新潟県,1558,AROMA,新潟県
1st&substream,22DUNK,434,ALAMP,新潟県,585,968G!,新潟県,649,AROMA,新潟県
2nd style,SP-TRIP MACHINE(for beatmania II),484,AKI*LV,新潟県,588,SSAOBA,新潟県,645,BLONK,新潟県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),554,AKI*LV,新潟県,838,*SHO*,新潟県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),792,AKI*LV,新潟県,1099,H1KAKN,新潟県,1213,AROMA,新潟県
2nd style,I Was The One,499,LOTUSS,新潟県,589,3M1CHN,新潟県,693,*SHO*,新潟県
2nd style,Electro Tuned(the SubS mix),749,AKI*LV,新潟県,545,MOCO,新潟県,1062,*SHO*,新潟県
2nd style,Digital MinD(A/T Libra mix),668,TECHPO,新潟県,952,MOCO,新潟県,1113,MAKO-G,新潟県
2nd style,.59,674,AKI*LV,新潟県,892,REST,新潟県,1143,AROMA,新潟県
3rd style,THE SAFARI,1150,AKI*LV,新潟県,1757,*SHO*,新潟県,0,,未設定
