バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,647,CACALI,山梨県,858,ALISIA,山梨県,1060,NO4MOB,山梨県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1913,F13,山梨県
1st&substream,RUGGED ASH,338,MINORU,山梨県,396,BOLT,山梨県,1086,NO4XTK,山梨県
1st&substream,R3,245,KENTO,山梨県,304,MULLEN,山梨県,870,NO4CUP,山梨県
1st&substream,PARANOIA MAX～DIRTY MIX～,254,IIDX25,山梨県,330,IIDX25,山梨県,1100,NO4XTK,山梨県
1st&substream,Macho Gang,375,NO4XTK,山梨県,881,FNR***,山梨県,1542,R1M3,山梨県
1st&substream,KEEP ON MOVIN',167,XIDRAL,山梨県,233,NO4MOB,山梨県,0,,未設定
1st&substream,GRADIUSIC CYBER,0,,未設定,832,FNR***,山梨県,1112,ALISIA,山梨県
1st&substream,GENOM SCREAMS,0,,未設定,673,RYO,山梨県,1030,AFOXA,山梨県
1st&substream,GAMBOL,207,XIDRAL,山梨県,270,ALT*F4,山梨県,0,,未設定
1st&substream,Dr.LOVE,60,MASA,山梨県,500,MG-REX,山梨県,548,NO4MOB,山梨県
1st&substream,deep in you,267,JAG,山梨県,140,EXTACY,山梨県,658,NO4XTK,山梨県
1st&substream,5.1.1.,169,KARIN,山梨県,968,C.MO,山梨県,1545,ROBIN,山梨県
1st&substream,22DUNK,158,EXTACY,山梨県,586,N,山梨県,607,NO4MOB,山梨県
2nd style,SP-TRIP MACHINE(for beatmania II),482,18R.,山梨県,550,BASASI,山梨県,627,AFOXA,山梨県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,未設定,813,AFOXA,山梨県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),515,MASA,山梨県,405,IIDX25,山梨県,1122,BOLT,山梨県
2nd style,I Was The One,0,,未設定,0,,未設定,666,NO4MOB,山梨県
2nd style,Electro Tuned(the SubS mix),333,RUMI,山梨県,512,MULLEN,山梨県,997,NO4MOB,山梨県
2nd style,Digital MinD(A/T Libra mix),327,KUMA?,山梨県,0,,未設定,1082,NO4CUP,山梨県
2nd style,.59,612,BLA,山梨県,781,KARIN,山梨県,1098,NO4CUP,山梨県
3rd style,THE SAFARI,936,BLUWIZ,山梨県,1760,M-A,山梨県,0,,未設定
3rd style,Tangerine Stream,220,XIDRAL,山梨県,380,NO4MOB,山梨県,0,,未設定
3rd style,Skyscraper,0,,未設定,474,GO3,山梨県,1201,AFOXA,山梨県
3rd style,Schlagwerk,0,,未設定,0,,未設定,1593,NO4MOB,山梨県
3rd style,REINCARNATION,438,MEO,山梨県,912,KAROUS,山梨県,1268,NO4XTK,山梨県
3rd style,R5,0,,未設定,990,SYAM,山梨県,1762,NO4XTK,山梨県
3rd style,Presto,328,JAG,山梨県,869,TERU,山梨県,950,NO4MOB,山梨県
3rd style,LEADING CYBER,0,,未設定,1039,FNR***,山梨県,1209,NO4CUP,山梨県
3rd style,Holic,0,,未設定,1129,N,山梨県,1701,NO4XTK,山梨県
3rd style,era (nostalmix),662,EICA,山梨県,958,PAPUWA,山梨県,1462,ROBIN,山梨県
3rd style,Don't Stop!,0,,未設定,689,MASA,山梨県,882,AFOXA,山梨県
3rd style,CAN'T STOP FALLIN'IN LOVE,283,KUMA,山梨県,1212,R0UN1N,山梨県,0,,未設定
4th style,Voltage (feat. Hidemaru),0,,未設定,903,NEDGY,山梨県,1288,NO4CUP,山梨県
4th style,ULTRA HIGH-HEELS,203,IIDX25,山梨県,827,PAPUWA,山梨県,964,AFOXA,山梨県
4th style,SWEET LAB,198,OP,山梨県,885,TERU,山梨県,1348,M-A,山梨県
4th style,starmine,658,KIBA84,山梨県,1261,MINORU,山梨県,1565,ROBIN,山梨県
4th style,Mr.T.(take me higher),0,,未設定,0,,未設定,1686,AFOXA,山梨県
4th style,minimalian,0,,未設定,693,CACALI,山梨県,1369,AFOXA,山梨県
4th style,LOVE WILL・・・,398,MIKA2,山梨県,552,MIKA2,山梨県,1423,AFOXA,山梨県
4th style,KAMIKAZE,808,MINORU,山梨県,1252,KARIN,山梨県,2199,AFOXA,山梨県
4th style,Jam&Marmalade,0,,未設定,0,,未設定,984,R0UN1N,山梨県
4th style,Hitch Hiker2,344,EXTACY,山梨県,863,CACALI,山梨県,1268,AFOXA,山梨県
4th style,HIGHER,155,OP,山梨県,0,,未設定,1219,AFOXA,山梨県
4th style,FLOWERS for ALBION,203,NAPPA,山梨県,411,NO4MOB,山梨県,0,,未設定
4th style,era (step mix),0,,未設定,1059,JUN!!!,山梨県,1653,ROBIN,山梨県
4th style,empathy,217,ZACK,山梨県,1211,HORATI,山梨県,1321,NO4MOB,山梨県
