バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,715,TROMBE,長野県,1007,PASTEL,長野県,1097,MR.CID,長野県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1988,PPJT,長野県
1st&substream,RUGGED ASH,368,HIROTA,長野県,398,HIROTA,長野県,1070,.$TORM,長野県
1st&substream,R3,629,YUCKEY,長野県,697,S.O.S.,長野県,867,242-ME,長野県
1st&substream,PARANOIA MAX～DIRTY MIX～,528,TROMBE,長野県,722,S.O.S.,長野県,1073,.$TORM,長野県
1st&substream,Macho Gang,376,PPJT,長野県,982,NAPIN*,長野県,1581,.$TORM,長野県
1st&substream,KEEP ON MOVIN',194,HIROTA,長野県,242,.$TORM,長野県,0,,未設定
1st&substream,GRADIUSIC CYBER,809,YUCKEY,長野県,946,YUCKEY,長野県,1173,A4KAGA,長野県
1st&substream,GENOM SCREAMS,394,TROMBE,長野県,714,LYNORA,長野県,1035,242-ME,長野県
1st&substream,GAMBOL,270,HIROTA,長野県,273,PASTEL,長野県,0,,未設定
1st&substream,Dr.LOVE,311,HANABI,長野県,505,S.O.S.,長野県,565,PASTEL,長野県
1st&substream,deep in you,483,!G4M0N,長野県,487,CLAIRE,長野県,657,ASMR18,長野県
1st&substream,5.1.1.,197,YUCKEY,長野県,997,YUCKEY,長野県,1554,PPJT,長野県
1st&substream,22DUNK,483,YUCKEY,長野県,627,PASTEL,長野県,626,PASTEL,長野県
2nd style,SP-TRIP MACHINE(for beatmania II),306,VALKYD,長野県,612,S.O.S.,長野県,644,AZURE*,長野県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),522,HANABI,長野県,835,S.O.S.,長野県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),835,YUCKEY,長野県,951,LYNORA,長野県,1188,PPJT,長野県
2nd style,I Was The One,519,YUCKEY,長野県,634,S.O.S.,長野県,687,ASMR18,長野県
2nd style,Electro Tuned(the SubS mix),508,MSRO,長野県,904,YUCKEY,長野県,1026,S.O.S.,長野県
2nd style,Digital MinD(A/T Libra mix),697,YUCKEY,長野県,1021,S.O.S.,長野県,1072,S.O.S.,長野県
2nd style,.59,658,YUCKEY,長野県,985,S.O.S.,長野県,1105,HUNT,長野県
3rd style,THE SAFARI,1173,PASTEL,長野県,1706,ERUA$A,長野県,0,,未設定
3rd style,Tangerine Stream,280,HIROTA,長野県,395,HIROTA,長野県,0,,未設定
3rd style,Skyscraper,711,YUCKEY,長野県,1019,AMANDA,長野県,1167,S.O.S.,長野県
3rd style,Schlagwerk,792,YUCKEY,長野県,1209,25MAKI,長野県,1660,ASMR18,長野県
3rd style,REINCARNATION,815,YUCKEY,長野県,979,25MAKI,長野県,1221,GEMINI,長野県
3rd style,R5,771,PASTEL,長野県,1153,PASTEL,長野県,1746,ERUA$A,長野県
3rd style,Presto,517,YUCKEY,長野県,954,S.O.S.,長野県,971,S.O.S.,長野県
3rd style,LEADING CYBER,789,YUCKEY,長野県,1137,S.O.S.,長野県,1238,NONONO,長野県
3rd style,Holic,738,YUCKEY,長野県,1164,YUCKEY,長野県,1697,PPJT,長野県
