バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,703,CLOUD9,静岡県,1032,SHUN..,静岡県,1149,K-CHA*,静岡県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2020,K-CHA*,静岡県
1st&substream,RUGGED ASH,359,HOSOUS,静岡県,387,COZI,静岡県,1096,K-CHA*,静岡県
1st&substream,R3,641,REA,静岡県,716,GALAF,静岡県,893,*ALEX*,静岡県
1st&substream,PARANOIA MAX～DIRTY MIX～,532,CLOUD9,静岡県,737,IIDX99,静岡県,1109,K-CHA*,静岡県
1st&substream,Macho Gang,381,K-CHA*,静岡県,1006,LAPIS,静岡県,1638,K-CHA*,静岡県
1st&substream,KEEP ON MOVIN',193,HOSOUS,静岡県,243,CLARET,静岡県,0,,未設定
1st&substream,GRADIUSIC CYBER,842,CLOUD9,静岡県,946,GALAF,静岡県,1184,MOMO96,静岡県
1st&substream,GENOM SCREAMS,396,CLOUD9,静岡県,825,SHUN..,静岡県,1061,K-CHA*,静岡県
1st&substream,GAMBOL,274,TO4-KI,静岡県,274,TO4-KI,静岡県,0,,未設定
1st&substream,Dr.LOVE,400,HOSOUS,静岡県,474,TETORA,静岡県,580,*ALEX*,静岡県
1st&substream,deep in you,455,GAO,静岡県,502,*ALEX*,静岡県,661,*ALEX*,静岡県
1st&substream,5.1.1.,198,-YMTM-,静岡県,974,PTT,静岡県,1554,K-CHA*,静岡県
1st&substream,22DUNK,485,HEALER,静岡県,643,*ALEX*,静岡県,653,*ALEX*,静岡県
2nd style,SP-TRIP MACHINE(for beatmania II),486,CLOUD9,静岡県,592,CLOUD9,静岡県,647,MOMO96,静岡県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),552,-EMA-,静岡県,859,MOMO96,静岡県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),802,CLOUD9,静岡県,1015,KUR01,静岡県,1198,*ALEX*,静岡県
2nd style,I Was The One,515,HOSOUS,静岡県,622,CLOUD9,静岡県,690,*ALEX*,静岡県
2nd style,Electro Tuned(the SubS mix),730,YORU*,静岡県,913,F15H,静岡県,1059,CLARET,静岡県
2nd style,Digital MinD(A/T Libra mix),697,HEALER,静岡県,990,LAPIS,静岡県,1109,CLARET,静岡県
2nd style,.59,679,CLOUD9,静岡県,927,F15H,静岡県,1143,CLARET,静岡県
3rd style,THE SAFARI,1222,*ALEX*,静岡県,1780,K-CHA*,静岡県,0,,未設定
3rd style,Tangerine Stream,281,HOSOUS,静岡県,394,MOMO96,静岡県,0,,未設定
3rd style,Skyscraper,705,YORU*,静岡県,1193,*ALEX*,静岡県,1241,*ALEX*,静岡県
3rd style,Schlagwerk,765,HOSOUS,静岡県,1303,*ALEX*,静岡県,1669,*ALEX*,静岡県
3rd style,REINCARNATION,811,$3R3$,静岡県,1035,*ALEX*,静岡県,1264,CLARET,静岡県
3rd style,R5,735,CLOUD9,静岡県,1154,*ALEX*,静岡県,1770,K-CHA*,静岡県
3rd style,Presto,506,HOSOUS,静岡県,981,*ALEX*,静岡県,1010,K-CHA*,静岡県
3rd style,LEADING CYBER,795,CLOUD9,静岡県,1156,TNG.H,静岡県,1264,*ALEX*,静岡県
3rd style,Holic,745,CLOUD9,静岡県,1214,KB1ZOK,静岡県,1687,CLARET,静岡県
3rd style,era (nostalmix),850,K-CHA*,静岡県,1078,*ALEX*,静岡県,1500,CLARET,静岡県
3rd style,Don't Stop!,738,875,静岡県,810,NANACA,静岡県,904,K-CHA*,静岡県
3rd style,CAN'T STOP FALLIN'IN LOVE,590,CLOUD9,静岡県,1242,*ALEX*,静岡県,0,,未設定
4th style,Voltage (feat. Hidemaru),857,F15H,静岡県,1206,SHUN..,静岡県,1318,K-CHA*,静岡県
4th style,ULTRA HIGH-HEELS,696,HOSOUS,静岡県,908,*ALEX*,静岡県,984,*ALEX*,静岡県
4th style,SWEET LAB,499,UME3!,静岡県,971,*ALEX*,静岡県,1367,K-CHA*,静岡県
4th style,starmine,815,CLOUD9,静岡県,1405,*ALEX*,静岡県,1567,*ALEX*,静岡県
4th style,Mr.T.(take me higher),810,HOSOUS,静岡県,1011,*ALEX*,静岡県,1771,K-CHA*,静岡県
