バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,740,4ZW-V3,愛知県,1050,MONO,愛知県,1154,PEACE,愛知県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2026,UNA-10,愛知県
1st&substream,RUGGED ASH,370,MORI1$,愛知県,402,MORI1$,愛知県,1094,PEACE,愛知県
1st&substream,R3,641,TMR089,愛知県,733,MONO,愛知県,900,ZU,愛知県
1st&substream,PARANOIA MAX～DIRTY MIX～,534,02564!,愛知県,749,MONO,愛知県,1098,KUREI,愛知県
1st&substream,Macho Gang,381,PEACE,愛知県,1079,GOWAS,愛知県,1641,PEACE,愛知県
1st&substream,KEEP ON MOVIN',196,L200MP,愛知県,244,TAKE-7,愛知県,0,,未設定
1st&substream,GRADIUSIC CYBER,857,CID*,愛知県,990,MONO,愛知県,1196,KUREI,愛知県
1st&substream,GENOM SCREAMS,408,TMR089,愛知県,825,MONO,愛知県,1070,KUREI,愛知県
1st&substream,GAMBOL,274,LIA.S,愛知県,274,TMR089,愛知県,0,,未設定
1st&substream,Dr.LOVE,400,TMR089,愛知県,520,MONO,愛知県,576,RKS-32,愛知県
1st&substream,deep in you,484,TAKE-7,愛知県,506,MONO,愛知県,662,PEACE,愛知県
1st&substream,5.1.1.,198,CID*,愛知県,1020,MONO,愛知県,1563,KUREI,愛知県
1st&substream,22DUNK,505,TMR089,愛知県,643,MONO,愛知県,656,KUREI,愛知県
2nd style,SP-TRIP MACHINE(for beatmania II),501,TMR089,愛知県,620,MONO,愛知県,648,UNA-10,愛知県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),571,TMR089,愛知県,862,KUREI,愛知県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),858,TMR089,愛知県,1124,MONO,愛知県,1226,KOBAKA,愛知県
2nd style,I Was The One,533,TMR089,愛知県,652,MONO,愛知県,692,ZU,愛知県
