バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,512,SIJIMI,島根県,499,LEVI*,島根県,1069,BO$$,島根県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1925,LUMPEN,島根県
1st&substream,RUGGED ASH,338,LU.PSJ,島根県,0,,未設定,937,YUA,島根県
1st&substream,R3,539,LU.PSJ,島根県,0,,未設定,835,9610,島根県
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,未設定,660,LU.PSJ,島根県,979,CONG,島根県
1st&substream,Macho Gang,0,,未設定,0,,未設定,1314,YURI-H,島根県
1st&substream,KEEP ON MOVIN',181,SPARK,島根県,216,Z*,島根県,0,,未設定
1st&substream,GRADIUSIC CYBER,0,,未設定,933,9610,島根県,1143,DUXY,島根県
1st&substream,GENOM SCREAMS,126,MAYU,島根県,419,LEVI*,島根県,943,ARUMU-,島根県
1st&substream,GAMBOL,60,I*O,島根県,262,KURO,島根県,0,,未設定
1st&substream,Dr.LOVE,249,SIJIMI,島根県,471,AA3,島根県,514,YUA,島根県
1st&substream,deep in you,253,SIJIMI,島根県,0,,未設定,644,DUXY,島根県
1st&substream,5.1.1.,191,YUA,島根県,0,,未設定,1498,NACHT,島根県
1st&substream,22DUNK,0,,未設定,601,HACKA,島根県,622,HACKA,島根県
2nd style,SP-TRIP MACHINE(for beatmania II),0,,未設定,370,SIJIMI,島根県,629,GEN,島根県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,未設定,832,NACHT,島根県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),0,,未設定,950,LU.PSJ,島根県,1108,YUA,島根県
2nd style,I Was The One,0,,未設定,0,,未設定,651,YUA,島根県
2nd style,Electro Tuned(the SubS mix),726,YUA,島根県,0,,未設定,1045,DUXY,島根県
2nd style,Digital MinD(A/T Libra mix),650,LU.PSJ,島根県,957,YUA,島根県,1033,YUA,島根県
2nd style,.59,464,YUKINO,島根県,371,YUKINO,島根県,1031,YUA,島根県
3rd style,THE SAFARI,616,ZAK,島根県,1673,LUMPEN,島根県,0,,未設定
3rd style,Tangerine Stream,61,NOZOMI,島根県,376,YUA,島根県,0,,未設定
3rd style,Skyscraper,0,,未設定,0,,未設定,1121,YUA,島根県
3rd style,Schlagwerk,415,9B,島根県,0,,未設定,1635,LUMPEN,島根県
3rd style,REINCARNATION,440,ZAK,島根県,575,ZAK,島根県,1138,YUA,島根県
3rd style,R5,363,SIJIMI,島根県,1058,YURI-H,島根県,1701,LUMPEN,島根県
3rd style,Presto,0,,未設定,854,SUKEDE,島根県,932,KEN705,島根県
3rd style,LEADING CYBER,0,,未設定,0,,未設定,1115,9610,島根県
3rd style,Holic,0,,未設定,1033,LU.PSJ,島根県,1620,LUMPEN,島根県
3rd style,era (nostalmix),784,LU.PSJ,島根県,991,KURO,島根県,1271,FADE.,島根県
3rd style,Don't Stop!,0,,未設定,0,,未設定,807,YUA,島根県
3rd style,CAN'T STOP FALLIN'IN LOVE,590,YUA,島根県,1138,YUA,島根県,0,,未設定
4th style,Voltage (feat. Hidemaru),0,,未設定,697,SIJIMI,島根県,1118,YUA,島根県
4th style,ULTRA HIGH-HEELS,0,,未設定,0,,未設定,945,YUA,島根県
4th style,SWEET LAB,0,,未設定,401,SIJIMI,島根県,1264,DUXY,島根県
4th style,starmine,532,SIJIMI,島根県,1217,SUKEDE,島根県,1374,YUA,島根県
4th style,Mr.T.(take me higher),0,,未設定,0,,未設定,1713,HACK3,島根県
4th style,minimalian,0,,未設定,994,YUA,島根県,1362,LUMPEN,島根県
4th style,LOVE WILL・・・,208,THUBO,島根県,0,,未設定,1403,Z*,島根県
4th style,KAMIKAZE,705,96KAZ,島根県,1203,RINARI,島根県,2156,HACK3,島根県
4th style,Jam&Marmalade,0,,未設定,0,,未設定,899,CHARIN,島根県
4th style,Hitch Hiker2,727,ARUMU-,島根県,0,,未設定,1184,HAL3NO,島根県
4th style,HIGHER,249,AGO58,島根県,0,,未設定,1192,YUA,島根県
