バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,654,96R!$U,山口県,1019,CPU-Z,山口県,1115,TOUYA,山口県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1973,⏧,山口県
1st&substream,RUGGED ASH,328,MER9RY,山口県,399,INUPAN,山口県,1076,TOUYA,山口県
1st&substream,R3,619,YUT,山口県,715,SIGEL,山口県,890,GOGO!,山口県
1st&substream,PARANOIA MAX～DIRTY MIX～,520,MER9RY,山口県,724,IIE,山口県,1082,TOUYA,山口県
1st&substream,Macho Gang,352,FP.UFF,山口県,961,BPM240,山口県,1579,TOUYA,山口県
1st&substream,KEEP ON MOVIN',184,MER9RY,山口県,229,38KEN,山口県,0,,未設定
1st&substream,GRADIUSIC CYBER,688,96R!$U,山口県,924,AZM!,山口県,1118,BPM240,山口県
1st&substream,GENOM SCREAMS,353,96R!$U,山口県,625,SKYL.K,山口県,1053,CUVEX,山口県
1st&substream,GAMBOL,250,845,山口県,261,NIST,山口県,0,,未設定
1st&substream,Dr.LOVE,275,K,山口県,506,NIST,山口県,569,INUPAN,山口県
1st&substream,deep in you,400,96R!$U,山口県,392,96R!$U,山口県,655,TOUYA,山口県
1st&substream,5.1.1.,186,BALCUE,山口県,1002,INUPAN,山口県,1536,TOUYA,山口県
1st&substream,22DUNK,403,96R!$U,山口県,501,96R!$U,山口県,642,TOUYA,山口県
2nd style,SP-TRIP MACHINE(for beatmania II),463,96R!$U,山口県,555,96R!$U,山口県,637,TOUYA,山口県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),534,YUT,山口県,838,TOUYA,山口県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),762,96R!$U,山口県,977,FAL,山口県,1183,TOUYA,山口県
2nd style,I Was The One,479,MER9RY,山口県,581,NIST,山口県,684,TOUYA,山口県
2nd style,Electro Tuned(the SubS mix),639,96R!$U,山口県,875,YUT,山口県,1052,TOUYA,山口県
2nd style,Digital MinD(A/T Libra mix),657,MER9RY,山口県,526,ELI,山口県,1113,TOUYA,山口県
2nd style,.59,602,96R!$U,山口県,962,AZM!,山口県,1122,TOUYA,山口県
3rd style,THE SAFARI,1117,YUT,山口県,1729,CUVEX,山口県,0,,未設定
3rd style,Tangerine Stream,262,BPM240,山口県,368,NIST,山口県,0,,未設定
3rd style,Skyscraper,619,96R!$U,山口県,1014,YU-KEY,山口県,1222,TOUYA,山口県
3rd style,Schlagwerk,674,MER9RY,山口県,1127,D-A40,山口県,1620,TOUYA,山口県
3rd style,REINCARNATION,658,96R!$U,山口県,786,96R!$U,山口県,1243,CPU-Z,山口県
3rd style,R5,684,96R!$U,山口県,1158,CUVEX,山口県,1737,TOUYA,山口県
3rd style,Presto,446,96R!$U,山口県,934,INUPAN,山口県,999,⏧,山口県
3rd style,LEADING CYBER,747,MER9RY,山口県,1121,BPM240,山口県,1233,TOUYA,山口県
3rd style,Holic,712,MER9RY,山口県,1118,FP.UFF,山口県,1667,TOUYA,山口県
3rd style,era (nostalmix),778,FAL,山口県,1014,BPM240,山口県,1347,SIGEL,山口県
3rd style,Don't Stop!,686,96R!$U,山口県,840,CUVEX,山口県,890,TOUYA,山口県
3rd style,CAN'T STOP FALLIN'IN LOVE,583,MER9RY,山口県,1216,TOUYA,山口県,0,,未設定
4th style,Voltage (feat. Hidemaru),768,MER9RY,山口県,1162,INUPAN,山口県,1304,TOUYA,山口県
4th style,ULTRA HIGH-HEELS,594,MER9RY,山口県,757,96R!$U,山口県,959,TOUYA,山口県
4th style,SWEET LAB,475,96R!$U,山口県,889,INUPAN,山口県,1267,CPU-Z,山口県
4th style,starmine,755,TAMU,山口県,1317,INUPAN,山口県,1538,TOUYA,山口県
4th style,Mr.T.(take me higher),619,K,山口県,863,96R!$U,山口県,1726,TOUYA,山口県
4th style,minimalian,443,96R!$U,山口県,1025,BPM240,山口県,1349,TOUYA,山口県
4th style,LOVE WILL・・・,229,S,山口県,603,AZALIA,山口県,1436,CUVEX,山口県
4th style,KAMIKAZE,792,K,山口県,1435,MI-OH?,山口県,2232,TOUYA,山口県
4th style,Jam&Marmalade,697,MER9RY,山口県,852,IIE,山口県,1009,TOUYA,山口県
4th style,Hitch Hiker2,442,RYUKI,山口県,1062,BPM240,山口県,1278,TOUYA,山口県
4th style,HIGHER,483,MER9RY,山口県,819,96R!$U,山口県,1262,TOUYA,山口県
4th style,FLOWERS for ALBION,202,K,山口県,427,CPU-Z,山口県,0,,未設定
4th style,era (step mix),969,FAL,山口県,1259,MATA-Z,山口県,1653,TOUYA,山口県
4th style,empathy,0,,未設定,1291,BPM240,山口県,1340,NUSRET,山口県
4th style,DXY!,1020,SKYL.K,山口県,1646,BPM240,山口県,2143,TOUYA,山口県
4th style,Clione†,0,,未設定,0,,未設定,2016,CPU-Z,山口県
4th style,Clione,482,YU-KEY,山口県,878,YU-KEY,山口県,1592,TOUYA,山口県
4th style,CHECKING YOU OUT,568,BALCUE,山口県,824,CUVEX,山口県,1283,⏧,山口県
4th style,Burnin' The Floor,507,MER9RY,山口県,869,RA1.D.,山口県,1415,TOUYA,山口県
4th style,Broken My Heart,841,MER9RY,山口県,1258,M.UNGA,山口県,1774,CPU-Z,山口県
4th style,B4U,898,MER9RY,山口県,1445,NIST,山口県,1939,CPU-Z,山口県
