バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,752,6E-U,高知県,892,6E-U,高知県,1106,SHAULA,高知県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1949,FF7,高知県
1st&substream,RUGGED ASH,309,NA-NO.,高知県,301,YTNPNP,高知県,1081,NOIK.S,高知県
1st&substream,R3,0,,未設定,584,ENJOI,高知県,887,SHAULA,高知県
1st&substream,PARANOIA MAX～DIRTY MIX～,542,FKK22,高知県,672,KOMODO,高知県,1058,OFF-0,高知県
1st&substream,Macho Gang,342,RAAJJE,高知県,950,TOGE,高知県,1512,SHAULA,高知県
1st&substream,KEEP ON MOVIN',78,DEEF,高知県,239,NO-KEN,高知県,0,,未設定
1st&substream,GRADIUSIC CYBER,808,FKK22,高知県,907,EIKI,高知県,1165,SHAULA,高知県
1st&substream,GENOM SCREAMS,286,TAKAKO,高知県,793,OFF-0,高知県,1027,SHAULA,高知県
1st&substream,GAMBOL,272,SHAULA,高知県,258,ILLYA.,高知県,0,,未設定
1st&substream,Dr.LOVE,352,*TEAR*,高知県,477,TACA,高知県,558,SHAULA,高知県
1st&substream,deep in you,0,,未設定,74,ILLYA.,高知県,636,SHAULA,高知県
1st&substream,5.1.1.,197,Z,高知県,921,YRS,高知県,1528,SHAULA,高知県
1st&substream,22DUNK,0,,未設定,578,ILLYA.,高知県,632,SHAULA,高知県
2nd style,SP-TRIP MACHINE(for beatmania II),484,TACA,高知県,562,DUSTY,高知県,631,SHAULA,高知県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),467,KMTM,高知県,837,SHAULA,高知県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),503,YTNPNP,高知県,0,,未設定,1196,13TREE,高知県
2nd style,I Was The One,455,NA-NO.,高知県,538,YRS,高知県,676,SHAULA,高知県
2nd style,Electro Tuned(the SubS mix),476,YTNPNP,高知県,807,SEA&,高知県,1055,SHAULA,高知県
2nd style,Digital MinD(A/T Libra mix),0,,未設定,908,SEA&,高知県,1100,SHAULA,高知県
2nd style,.59,675,FKK22,高知県,909,EIKI,高知県,1148,NOIK.S,高知県
3rd style,THE SAFARI,1165,HAWK-I,高知県,1718,SHAULA,高知県,0,,未設定
3rd style,Tangerine Stream,267,TACA,高知県,391,SHAULA,高知県,0,,未設定
3rd style,Skyscraper,717,ILLYA.,高知県,1134,ILLYA.,高知県,1244,NOIK.S,高知県
