バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,747,A.U,福岡県,1020,TOKKEY,福岡県,1142,CARROT,福岡県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2042,YAALF,福岡県
1st&substream,RUGGED ASH,370,CARROT,福岡県,398,KENTAN,福岡県,1087,YAALF,福岡県
1st&substream,R3,599,CARRY.,福岡県,700,NOYAN,福岡県,904,MR2N,福岡県
1st&substream,PARANOIA MAX～DIRTY MIX～,544,MAKITA,福岡県,679,AAAAAA,福岡県,1100,MR2N,福岡県
1st&substream,Macho Gang,381,CARROT,福岡県,900,YUKI,福岡県,1601,MIZO,福岡県
1st&substream,KEEP ON MOVIN',196,CARROT,福岡県,244,CARROT,福岡県,0,,未設定
1st&substream,GRADIUSIC CYBER,847,♡,福岡県,977,Y05,福岡県,1202,MIZO,福岡県
1st&substream,GENOM SCREAMS,391,NORTH,福岡県,823,DETTEU,福岡県,1059,SOMORI,福岡県
1st&substream,GAMBOL,271,KOH,福岡県,274,CARROT,福岡県,0,,未設定
1st&substream,Dr.LOVE,406,CARROT,福岡県,486,K&K&K?,福岡県,577,CARROT,福岡県
1st&substream,deep in you,465,CHOMO,福岡県,457,KONNO,福岡県,660,CARROT,福岡県
1st&substream,5.1.1.,195,KOH,福岡県,980,83EGYO,福岡県,1563,SOSEI,福岡県
1st&substream,22DUNK,473,NORTH,福岡県,621,TK,福岡県,653,CARROT,福岡県
2nd style,SP-TRIP MACHINE(for beatmania II),493,TEXT,福岡県,588,SUN,福岡県,646,CARROT,福岡県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),543,NORTH,福岡県,853,IIDX43,福岡県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),871,KURIBO,福岡県,931,YUKI,福岡県,1219,SOSEI,福岡県
2nd style,I Was The One,541,CARROT,福岡県,606,BURO-L,福岡県,693,CARROT,福岡県
2nd style,Electro Tuned(the SubS mix),738,NORTH,福岡県,849,TKTBEX,福岡県,1067,CARROT,福岡県
2nd style,Digital MinD(A/T Libra mix),701,NORTH,福岡県,954,O.T!,福岡県,1123,IIDX43,福岡県
2nd style,.59,680,TEXT,福岡県,876,MARU-9,福岡県,1147,SOSEI,福岡県
3rd style,THE SAFARI,1077,MC,福岡県,1776,KENTAN,福岡県,0,,未設定
3rd style,Tangerine Stream,282,CARROT,福岡県,396,CARROT,福岡県,0,,未設定
3rd style,Skyscraper,687,NORTH,福岡県,1106,SHION,福岡県,1243,CARROT,福岡県
3rd style,Schlagwerk,770,NAGOMI,福岡県,1218,BURO-R,福岡県,1681,KURIBO,福岡県
3rd style,REINCARNATION,792,NORTH,福岡県,957,FC2,福岡県,1267,U.K.2,福岡県
3rd style,R5,727,MARIMO,福岡県,1145,TNK12,福岡県,1763,YAALF,福岡県
3rd style,Presto,501,NORTH,福岡県,924,YUKINO,福岡県,1007,DETTEU,福岡県
3rd style,LEADING CYBER,816,F.,福岡県,1184,NOYAN,福岡県,1256,U.K.2,福岡県
3rd style,Holic,745,ROZ,福岡県,1190,NOYAN,福岡県,1702,MASSY.,福岡県
3rd style,era (nostalmix),848,MIZO,福岡県,1076,SUZAKU,福岡県,1518,YAALF,福岡県
3rd style,Don't Stop!,743,NORTH,福岡県,806,KC9130,福岡県,905,CARROT,福岡県
3rd style,CAN'T STOP FALLIN'IN LOVE,606,NORTH,福岡県,1249,MIZO,福岡県,0,,未設定
4th style,Voltage (feat. Hidemaru),880,NORTH,福岡県,1192,TOKKEY,福岡県,1311,SOSEI,福岡県
4th style,ULTRA HIGH-HEELS,410,M,福岡県,807,YUKI,福岡県,990,YAALF,福岡県
4th style,SWEET LAB,539,KURO.C,福岡県,940,U.K.2,福岡県,1357,YAALF,福岡県
4th style,starmine,849,TEXT,福岡県,1389,RV*B.L,福岡県,1583,MIZO,福岡県
4th style,Mr.T.(take me higher),820,NORTH,福岡県,935,SHIZU*,福岡県,1754,CARROT,福岡県
4th style,minimalian,510,NORTH,福岡県,1013,YUKINO,福岡県,1399,SOSEI,福岡県
4th style,LOVE WILL・・・,495,MARIMO,福岡県,738,TNK12,福岡県,1461,SOSEI,福岡県
4th style,KAMIKAZE,807,RANJI,福岡県,1391,TKTBEX,福岡県,2282,KENTAN,福岡県
4th style,Jam&Marmalade,698,WARABE,福岡県,752,YUKI,福岡県,1005,DETTEU,福岡県
4th style,Hitch Hiker2,642,PAX,福岡県,1080,SHIZU*,福岡県,1320,KENTAN,福岡県
4th style,HIGHER,521,NORTH,福岡県,930,DETTEU,福岡県,1275,IIDX43,福岡県
4th style,FLOWERS for ALBION,244,CARROT,福岡県,442,YAALF,福岡県,0,,未設定
4th style,era (step mix),981,TKTBEX,福岡県,1384,U.K.2,福岡県,1696,SUZAKU,福岡県
4th style,empathy,672,YU-KI,福岡県,1232,KRS#NA,福岡県,1444,MIZO,福岡県
4th style,DXY!,1135,NORTH,福岡県,1741,SUZAKU,福岡県,2223,SOMORI,福岡県
4th style,Clione†,0,,未設定,0,,未設定,2147,MASSY.,福岡県
4th style,Clione,499,OCHIAI,福岡県,889,YUKINO,福岡県,1604,USA,福岡県
4th style,CHECKING YOU OUT,583,U.K.2,福岡県,902,RV*B.L,福岡県,1304,KENTAN,福岡県
4th style,Burnin' The Floor,554,OCHIAI,福岡県,951,DETTEU,福岡県,1433,USA,福岡県
4th style,Broken My Heart,913,YAALF,福岡県,1286,S-CAT,福岡県,1800,IIDX43,福岡県
4th style,B4U,922,TEXT,福岡県,1525,U.K.2,福岡県,2000,MIZO,福岡県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2688,MASSY.,福岡県
4th style,ABSOLUTE,1260,SHION,福岡県,1709,KARIN,福岡県,2377,MASSY.,福岡県
4th style,250bpm,464,MASAYA,福岡県,993,U.K.2,福岡県,1386,CARROT,福岡県
5th style,V,1259,83NABE,福岡県,2481,YAALF,福岡県,2982,SOMORI,福岡県
5th style,THE SHINING POLARIS,863,C.GEN,福岡県,1215,O.T!,福岡県,1578,USA,福岡県
5th style,THE CUBE,677,NOESIS,福岡県,1211,TK,福岡県,1348,DETTEU,福岡県
5th style,sync,1034,FC2,福岡県,1815,KARIN,福岡県,2346,MIZO,福岡県
5th style,still my words,731,0M0CH!,福岡県,1229,MIZO,福岡県,0,,未設定
5th style,STILL IN MY HEART,969,DIO,福岡県,1333,RV*B.L,福岡県,1900,MR2N,福岡県
5th style,Spin the disc,735,TKTBEX,福岡県,1158,YUKINO,福岡県,1327,MASSY.,福岡県
5th style,RISLIM,793,SORA,福岡県,1219,SOSEI,福岡県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1789,MR2N,福岡県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),842,PLUME,福岡県,938,IPEPE,福岡県,1704,YAALF,福岡県
5th style,Regulus,880,MARU-9,福岡県,1316,SSS,福岡県,1697,SOSEI,福岡県
5th style,Real,1029,TKTBEX,福岡県,1522,TK,福岡県,1799,YAALF,福岡県
5th style,Radical Faith,1087,TEXT,福岡県,1494,MR2N,福岡県,1293,SOSEI,福岡県
5th style,QQQ,1177,SUMIRE,福岡県,1764,ROA.23,福岡県,2129,MASSY.,福岡県
5th style,outer wall,799,IPEPE,福岡県,1320,U.K.2,福岡県,1762,CARROT,福岡県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,678,LIZIA,福岡県,881,NGSTAQ,福岡県,1118,MR2N,福岡県
5th style,in my eyes,669,RYO,福岡県,1440,ACRUX*,福岡県,1579,SOSEI,福岡県
5th style,Abyss,1145,LIZIA,福岡県,1563,TOKKEY,福岡県,1866,SOSEI,福岡県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),884,SAKURA,福岡県,1576,YAALF,福岡県,0,,未設定
6th style,こっちを向いてよ,826,YUTA.F,福岡県,1103,NAGOMI,福岡県,1361,YAALF,福岡県
6th style,Take It Easy,1348,TKTBEX,福岡県,2337,U.K.2,福岡県,2506,YAALF,福岡県
6th style,Summer Vacation(CU mix),1215,KYRIE,福岡県,1822,YAALF,福岡県,0,,未設定
6th style,SOMETHING WONDERFUL,858,YUDAYA,福岡県,1333,U.K.2,福岡県,1974,CARROT,福岡県
6th style,route 80s,819,TKTBEX,福岡県,1070,KAZ,福岡県,1503,CARROT,福岡県
6th style,rottel-da-sun,460,UNDER*,福岡県,1275,*NOBU*,福岡県,1846,MIZO,福岡県
6th style,NEMESIS,828,TAITYO,福岡県,1452,ROA.23,福岡県,1846,MASSY.,福岡県
6th style,Linus,885,LAKS,福岡県,1360,GREASE,福岡県,2176,SOMORI,福岡県
