バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,718,CHIURI,大分県,1031,YANSON,大分県,1153,FORMIW,大分県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2026,FORMIW,大分県
1st&substream,RUGGED ASH,355,CHIURI,大分県,375,K,大分県,1098,FORMIW,大分県
1st&substream,R3,619,CHIURI,大分県,663,VP2,大分県,903,FORMIW,大分県
1st&substream,PARANOIA MAX～DIRTY MIX～,536,WANDA3,大分県,690,NO.11,大分県,1113,FORMIW,大分県
1st&substream,Macho Gang,353,CHIURI,大分県,953,VP2,大分県,1641,FORMIW,大分県
1st&substream,KEEP ON MOVIN',193,YAMADA,大分県,244,FORMIW,大分県,0,,未設定
1st&substream,GRADIUSIC CYBER,807,CHIURI,大分県,905,VP2,大分県,1205,FORMIW,大分県
1st&substream,GENOM SCREAMS,401,CHIURI,大分県,746,VP2,大分県,1064,FORMIW,大分県
1st&substream,GAMBOL,254,CHIURI,大分県,274,FORMIW,大分県,0,,未設定
1st&substream,Dr.LOVE,380,CHIURI,大分県,473,VP2,大分県,576,4J1NB0,大分県
1st&substream,deep in you,470,CHIURI,大分県,439,PLAN.B,大分県,660,FORMIW,大分県
1st&substream,5.1.1.,195,CHIURI,大分県,1021,WAROTA,大分県,1566,FORMIW,大分県
1st&substream,22DUNK,496,CHIURI,大分県,588,KILA**,大分県,657,FORMIW,大分県
2nd style,SP-TRIP MACHINE(for beatmania II),474,Y-CHAN,大分県,613,NOOB,大分県,646,FORMIW,大分県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),512,IZM238,大分県,862,FORMIW,大分県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),853,4J1NB0,大分県,1111,SAYURI,大分県,1220,FORMIW,大分県
2nd style,I Was The One,539,4J1NB0,大分県,430,MIDI,大分県,690,SAYURI,大分県
2nd style,Electro Tuned(the SubS mix),706,TIKUWA,大分県,858,VP2,大分県,1070,FORMIW,大分県
2nd style,Digital MinD(A/T Libra mix),720,4J1NB0,大分県,873,PLAN.B,大分県,1128,FORMIW,大分県
2nd style,.59,624,5MAKA4,大分県,921,RIRCHU,大分県,1156,FORMIW,大分県
3rd style,THE SAFARI,1115,LIAR,大分県,1758,FORMIW,大分県,0,,未設定
3rd style,Tangerine Stream,275,4J1NB0,大分県,389,4J1NB0,大分県,0,,未設定
3rd style,Skyscraper,649,5MAKA4,大分県,1076,0K1T43,大分県,1252,FORMIW,大分県
3rd style,Schlagwerk,733,MURA,大分県,1249,NOOB,大分県,1686,FORMIW,大分県
3rd style,REINCARNATION,748,5MAKA4,大分県,951,0K1T43,大分県,1282,FORMIW,大分県
3rd style,R5,660,5MAKA4,大分県,1140,LILITH,大分県,1768,FORMIW,大分県
3rd style,Presto,487,0K1T43,大分県,926,NOOB,大分県,1012,FORMIW,大分県
3rd style,LEADING CYBER,700,5MAKA4,大分県,1121,KEN,大分県,1276,FORMIW,大分県
3rd style,Holic,677,5MAKA4,大分県,1147,LIAR,大分県,1711,FORMIW,大分県
3rd style,era (nostalmix),754,MURA,大分県,1059,SAYURI,大分県,1528,FORMIW,大分県
3rd style,Don't Stop!,674,5MAKA4,大分県,771,NO.11,大分県,904,FORMIW,大分県
3rd style,CAN'T STOP FALLIN'IN LOVE,555,MURA,大分県,1256,FORMIW,大分県,0,,未設定
4th style,Voltage (feat. Hidemaru),937,FORMIW,大分県,1029,J,大分県,1323,FORMIW,大分県
4th style,ULTRA HIGH-HEELS,647,OTOUFU,大分県,860,CELES,大分県,990,FORMIW,大分県
4th style,SWEET LAB,493,MURA,大分県,867,VP2,大分県,1363,FORMIW,大分県
4th style,starmine,742,KCHAMA,大分県,1313,KEMI*,大分県,1592,FORMIW,大分県
4th style,Mr.T.(take me higher),833,4J1NB0,大分県,1003,4J1NB0,大分県,1767,FORMIW,大分県
4th style,minimalian,199,KIRIKO,大分県,900,J,大分県,1408,FORMIW,大分県
4th style,LOVE WILL・・・,537,LIAR,大分県,685,5MAKA4,大分県,1450,YAMADA,大分県
4th style,KAMIKAZE,912,5MAKA4,大分県,1458,4J1NB0,大分県,2309,FORMIW,大分県
4th style,Jam&Marmalade,754,YANSON,大分県,830,BLYTHE,大分県,1014,FORMIW,大分県
4th style,Hitch Hiker2,806,LIAR,大分県,1018,FE,大分県,1325,FORMIW,大分県
4th style,HIGHER,524,NOOB,大分県,923,4J1NB0,大分県,1276,FORMIW,大分県
4th style,FLOWERS for ALBION,223,TAKA.4,大分県,438,FORMIW,大分県,0,,未設定
4th style,era (step mix),1011,SAYURI,大分県,1417,YANSON,大分県,1721,FORMIW,大分県
4th style,empathy,546,MATR,大分県,1182,SIRINO,大分県,1451,FORMIW,大分県
4th style,DXY!,1178,LIAR,大分県,1786,10FU86,大分県,2249,YAMADA,大分県
4th style,Clione†,0,,未設定,0,,未設定,2157,FORMIW,大分県
4th style,Clione,494,LIAR,大分県,857,RIRCHU,大分県,1608,FORMIW,大分県
4th style,CHECKING YOU OUT,636,NTAK-L,大分県,911,YANSON,大分県,1338,FORMIW,大分県
4th style,Burnin' The Floor,512,C-FOOD,大分県,944,4J1NB0,大分県,1439,FORMIW,大分県
4th style,Broken My Heart,755,ATRIUM,大分県,1320,LIAR,大分県,1809,FORMIW,大分県
4th style,B4U,598,KINOKO,大分県,1402,NO.11,大分県,2010,FORMIW,大分県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2731,FORMIW,大分県
4th style,ABSOLUTE,1045,5MAKA4,大分県,1627,VP2,大分県,2384,FORMIW,大分県
4th style,250bpm,535,T.M,大分県,887,VP2,大分県,1420,FORMIW,大分県
5th style,V,1282,YAMADA,大分県,2354,TIKUWA,大分県,2960,YAMADA,大分県
5th style,THE SHINING POLARIS,832,MURA,大分県,1254,HIY0R1,大分県,1587,FORMIW,大分県
5th style,THE CUBE,613,5MAKA4,大分県,1152,NGKAWA,大分県,1354,FORMIW,大分県
5th style,sync,1003,0K1T43,大分県,1890,4J1NB0,大分県,2386,FORMIW,大分県
5th style,still my words,916,4J1NB0,大分県,1227,FORMIW,大分県,0,,未設定
5th style,STILL IN MY HEART,798,5MAKA4,大分県,1344,YANSON,大分県,1908,FORMIW,大分県
5th style,Spin the disc,603,5MAKA4,大分県,1116,-SSS-,大分県,1329,FORMIW,大分県
5th style,RISLIM,916,4J1NB0,大分県,1228,FORMIW,大分県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1830,FORMIW,大分県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),858,LIAR,大分県,959,RIRCHU,大分県,1714,FORMIW,大分県
5th style,Regulus,809,MURA,大分県,1310,VP2,大分県,1734,FORMIW,大分県
5th style,Real,904,5MAKA4,大分県,1423,K,大分県,1811,FORMIW,大分県
5th style,Radical Faith,1188,4J1NB0,大分県,1521,FORMIW,大分県,1303,FORMIW,大分県
5th style,QQQ,1221,4J1NB0,大分県,1848,4J1NB0,大分県,2165,FORMIW,大分県
5th style,outer wall,758,MURA,大分県,1094,ISM,大分県,1770,FORMIW,大分県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,713,5MAKA4,大分県,973,MIKOTO,大分県,1118,FORMIW,大分県
5th style,in my eyes,867,5MAKA4,大分県,1448,4J1NB0,大分県,1588,FORMIW,大分県
5th style,Abyss,1256,4J1NB0,大分県,1600,4J1NB0,大分県,1877,FORMIW,大分県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,未設定,1581,FORMIW,大分県,0,,未設定
6th style,こっちを向いてよ,755,MURA,大分県,1111,POM,大分県,1372,FORMIW,大分県
6th style,Take It Easy,865,SHION,大分県,2313,966.I,大分県,2497,FORMIW,大分県
6th style,Summer Vacation(CU mix),0,,未設定,1843,FORMIW,大分県,0,,未設定
6th style,SOMETHING WONDERFUL,861,LIAR,大分県,1125,MIKE,大分県,1988,FORMIW,大分県
6th style,route 80s,720,5MAKA4,大分県,1026,VP2,大分県,1515,FORMIW,大分県
6th style,rottel-da-sun,778,CHIURI,大分県,1182,RIRCHU,大分県,1857,FORMIW,大分県
6th style,NEMESIS,737,5MAKA4,大分県,1370,VP2,大分県,1895,FORMIW,大分県
6th style,Linus,773,5MAKA4,大分県,1394,RIRCHU,大分県,2178,FORMIW,大分県
