バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,0,,未設定,1017,LETTY,鹿児島県,1111,FUSI,鹿児島県
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1967,INOKI!,鹿児島県
1st&substream,RUGGED ASH,367,AITHON,鹿児島県,364,.,鹿児島県,1069,AITHON,鹿児島県
1st&substream,R3,254,LEP,鹿児島県,574,ALICE,鹿児島県,873,LETTY,鹿児島県
1st&substream,PARANOIA MAX～DIRTY MIX～,525,SHAMAR,鹿児島県,695,HAKU*,鹿児島県,1085,SUMIRE,鹿児島県
1st&substream,Macho Gang,334,NICOLE,鹿児島県,951,SEKKEN,鹿児島県,1586,ASDF,鹿児島県
1st&substream,KEEP ON MOVIN',180,5M0K3,鹿児島県,240,SACHI,鹿児島県,0,,未設定
1st&substream,GRADIUSIC CYBER,755,S13,鹿児島県,928,SEKKEN,鹿児島県,1138,FUSI,鹿児島県
1st&substream,GENOM SCREAMS,298,ZONE,鹿児島県,749,LETTY,鹿児島県,1054,INOKI!,鹿児島県
1st&substream,GAMBOL,270,HARRY,鹿児島県,274,AITHON,鹿児島県,0,,未設定
1st&substream,Dr.LOVE,335,ALICE,鹿児島県,478,HAKU*,鹿児島県,569,INOKI!,鹿児島県
1st&substream,deep in you,437,HAKU*,鹿児島県,471,RYUSAN,鹿児島県,650,AAABBB,鹿児島県
1st&substream,5.1.1.,197,.DTMT.,鹿児島県,946,CHATAN,鹿児島県,1543,SACHI,鹿児島県
1st&substream,22DUNK,0,,未設定,638,SACHI,鹿児島県,639,FUSI,鹿児島県
2nd style,SP-TRIP MACHINE(for beatmania II),463,SHILVA,鹿児島県,583,HAKU*,鹿児島県,627,LETTY,鹿児島県
2nd style,PUT YOUR FAITH IN ME(for beatmania II),525,SYUKO,鹿児島県,832,FUSI,鹿児島県,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),291,SUPIKA,鹿児島県,1005,AMANO,鹿児島県,1216,HIRO99,鹿児島県
2nd style,I Was The One,488,EVO,鹿児島県,543,NICOLE,鹿児島県,691,SACHI,鹿児島県
2nd style,Electro Tuned(the SubS mix),714,HAKU*,鹿児島県,879,SEKKEN,鹿児島県,1035,SUMIRE,鹿児島県
2nd style,Digital MinD(A/T Libra mix),678,HAKU*,鹿児島県,961,RYUSAN,鹿児島県,1094,SUQNE*,鹿児島県
2nd style,.59,665,SHAMAR,鹿児島県,901,HAKU*,鹿児島県,1133,INOKI!,鹿児島県
3rd style,THE SAFARI,1117,HAKU*,鹿児島県,1758,HIRO99,鹿児島県,0,,未設定
3rd style,Tangerine Stream,268,RYUSAN,鹿児島県,391,SUMIRE,鹿児島県,0,,未設定
3rd style,Skyscraper,683,HAKU*,鹿児島県,1073,SEKKEN,鹿児島県,1212,FUSI,鹿児島県
3rd style,Schlagwerk,772,SHAMAR,鹿児島県,1251,N,鹿児島県,1662,SUMIRE,鹿児島県
3rd style,REINCARNATION,820,HAKU*,鹿児島県,951,SEKKEN,鹿児島県,1249,SUMIRE,鹿児島県
3rd style,R5,664,NICOLE,鹿児島県,1115,CHATAN,鹿児島県,1742,FUSI,鹿児島県
3rd style,Presto,462,5M0K3,鹿児島県,886,SEKKEN,鹿児島県,992,SUMIRE,鹿児島県
3rd style,LEADING CYBER,799,HAKU*,鹿児島県,1127,SEKKEN,鹿児島県,1241,SUMIRE,鹿児島県
3rd style,Holic,732,RYUSAN,鹿児島県,1113,HAKU*,鹿児島県,1681,SACHI,鹿児島県
3rd style,era (nostalmix),766,ALICE,鹿児島県,1074,SACHI,鹿児島県,1512,HIRO99,鹿児島県
3rd style,Don't Stop!,724,SHAMAR,鹿児島県,794,HAKU*,鹿児島県,905,AAABBB,鹿児島県
3rd style,CAN'T STOP FALLIN'IN LOVE,579,SHAMAR,鹿児島県,1239,HIRO99,鹿児島県,0,,未設定
4th style,Voltage (feat. Hidemaru),828,MASA,鹿児島県,1128,SEKKEN,鹿児島県,1303,AITHON,鹿児島県
4th style,ULTRA HIGH-HEELS,0,,未設定,816,SHAMAR,鹿児島県,989,AAABBB,鹿児島県
4th style,SWEET LAB,545,FUSI,鹿児島県,921,ASIC,鹿児島県,1316,AITHON,鹿児島県
4th style,starmine,714,HID,鹿児島県,1255,831,鹿児島県,1534,AAABBB,鹿児島県
4th style,Mr.T.(take me higher),790,SHAMAR,鹿児島県,937,SEKKEN,鹿児島県,1717,AITHON,鹿児島県
4th style,minimalian,491,5M0K3,鹿児島県,845,ALICE,鹿児島県,1389,SACHI,鹿児島県
4th style,LOVE WILL・・・,554,SUMIRE,鹿児島県,687,.LD*,鹿児島県,1453,AAABBB,鹿児島県
4th style,KAMIKAZE,954,ABIG,鹿児島県,1362,AMANO,鹿児島県,2259,HIRO99,鹿児島県
4th style,Jam&Marmalade,646,NICOLE,鹿児島県,707,.,鹿児島県,1004,SACHI,鹿児島県
4th style,Hitch Hiker2,110,HAKU*,鹿児島県,849,NICOLE,鹿児島県,1314,AAABBB,鹿児島県
4th style,HIGHER,425,TARO*,鹿児島県,580,SATELA,鹿児島県,1269,AAABBB,鹿児島県
4th style,FLOWERS for ALBION,185,AAAAAA,鹿児島県,438,AAABBB,鹿児島県,0,,未設定
4th style,era (step mix),955,ALICE,鹿児島県,1203,POTETO,鹿児島県,1635,FUSI,鹿児島県
4th style,empathy,719,ALICE,鹿児島県,1233,CHATAN,鹿児島県,1399,SUMIRE,鹿児島県
4th style,DXY!,934,ALICE,鹿児島県,1669,ASIC,鹿児島県,2205,INOKI!,鹿児島県
4th style,Clione†,0,,未設定,0,,未設定,2115,AITHON,鹿児島県
4th style,Clione,437,MUSIC,鹿児島県,879,HAKU*,鹿児島県,1571,FUSI,鹿児島県
4th style,CHECKING YOU OUT,587,TOM,鹿児島県,875,SACHI,鹿児島県,1263,ASDF,鹿児島県
4th style,Burnin' The Floor,558,SHAMAR,鹿児島県,896,HAKU*,鹿児島県,1424,AAABBB,鹿児島県
4th style,Broken My Heart,877,SHAMAR,鹿児島県,1340,SEKKEN,鹿児島県,1801,HIRO99,鹿児島県
4th style,B4U,965,HAKU*,鹿児島県,1482,STONEK,鹿児島県,1982,HIRO99,鹿児島県
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2690,HIRO99,鹿児島県
4th style,ABSOLUTE,1235,CHATAN,鹿児島県,1750,STONEK,鹿児島県,2338,AITHON,鹿児島県
4th style,250bpm,450,NICOLE,鹿児島県,867,SEKKEN,鹿児島県,1383,INOKI!,鹿児島県
5th style,V,1173,CHATAN,鹿児島県,2421,STONEK,鹿児島県,2920,SACHI,鹿児島県
5th style,THE SHINING POLARIS,866,5M0K3,鹿児島県,1224,HAKU*,鹿児島県,1564,HIRO99,鹿児島県
5th style,THE CUBE,713,HAKU*,鹿児島県,1252,WJ.GAM,鹿児島県,1336,SUMIRE,鹿児島県
5th style,sync,903,NICOLE,鹿児島県,1674,HAKU*,鹿児島県,2291,CARSEX,鹿児島県
5th style,still my words,719,MUSIC,鹿児島県,1206,AAABBB,鹿児島県,0,,未設定
5th style,STILL IN MY HEART,889,RYUSAN,鹿児島県,1057,ALICE,鹿児島県,1889,HIRO99,鹿児島県
5th style,Spin the disc,557,NICOLE,鹿児島県,1136,5M0K3,鹿児島県,1323,AAABBB,鹿児島県
5th style,RISLIM,0,,未設定,1205,AITHON,鹿児島県,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1778,HIRO99,鹿児島県
5th style,RIDE ON THE LIGHT (HI GREAT MIX),734,MUSIC,鹿児島県,919,KARU88,鹿児島県,1678,WJ.GAM,鹿児島県
5th style,Regulus,846,CHATAN,鹿児島県,1307,ABIG,鹿児島県,1701,HIRO99,鹿児島県
5th style,Real,822,ALICE,鹿児島県,1386,SEKKEN,鹿児島県,1801,INOKI!,鹿児島県
5th style,Radical Faith,1039,MASA,鹿児島県,1473,WJ.GAM,鹿児島県,1293,SUMIRE,鹿児島県
5th style,QQQ,1102,RYUSAN,鹿児島県,1725,CHATAN,鹿児島県,2132,SACHI,鹿児島県
5th style,outer wall,681,NICOLE,鹿児島県,1040,A-COOP,鹿児島県,1772,INOKI!,鹿児島県
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,643,PECTRE,鹿児島県,866,N.,鹿児島県,1113,AITHON,鹿児島県
5th style,in my eyes,732,NICOLE,鹿児島県,1273,*345*,鹿児島県,1574,INOKI!,鹿児島県
5th style,Abyss,1219,N.,鹿児島県,1522,CHATAN,鹿児島県,1858,HIRO99,鹿児島県
6th style,電人イェーガーのテーマ(Theme of DENJIN J),1027,CHATAN,鹿児島県,1538,WJ.GAM,鹿児島県,0,,未設定
6th style,こっちを向いてよ,785,HAKU*,鹿児島県,1091,SHAMAR,鹿児島県,1370,AITHON,鹿児島県
6th style,Take It Easy,1371,AMANO,鹿児島県,2001,NYAN-M,鹿児島県,2477,HIRO99,鹿児島県
6th style,Summer Vacation(CU mix),1139,5M0K3,鹿児島県,1817,HIRO99,鹿児島県,0,,未設定
6th style,SOMETHING WONDERFUL,911,FUSI,鹿児島県,1216,CHATAN,鹿児島県,1924,FUSI,鹿児島県
6th style,route 80s,715,NICOLE,鹿児島県,1097,.DTMT.,鹿児島県,1492,AITHON,鹿児島県
6th style,rottel-da-sun,627,NICOLE,鹿児島県,1257,SYUKO,鹿児島県,1855,HIRO99,鹿児島県
6th style,NEMESIS,920,HAKU*,鹿児島県,1316,SLUGMA,鹿児島県,1861,SACHI,鹿児島県
6th style,Linus,741,HID,鹿児島県,1373,HAKU*,鹿児島県,2163,HIRO99,鹿児島県
6th style,G2,1282,CHATAN,鹿児島県,1751,ASIC,鹿児島県,2277,SACHI,鹿児島県
6th style,Frozen Ray (original mix),1182,5M0K3,鹿児島県,1583,CHATAN,鹿児島県,1747,STONEK,鹿児島県
6th style,Free Style,866,HAKU*,鹿児島県,1023,WTNB1M,鹿児島県,1277,AITHON,鹿児島県
6th style,fly through the night,282,EFFE.*,鹿児島県,1160,SEKKEN,鹿児島県,1683,SACHI,鹿児島県
6th style,DIVE ～INTO YOUR HEART～,1199,CHATAN,鹿児島県,1603,ABIG,鹿児島県,2054,SACHI,鹿児島県
6th style,Colors (radio edit),1238,ALICE,鹿児島県,1894,SUMIRE,鹿児島県,2362,ASDF,鹿児島県
6th style,Buffalo,856,ALICE,鹿児島県,1404,N,鹿児島県,1793,HIRO99,鹿児島県
6th style,Blueberry Stream,704,KARU88,鹿児島県,1307,HAKU*,鹿児島県,1623,SACHI,鹿児島県
6th style,BALLAD FOR YOU～想いの雨～,552,5M0K3,鹿児島県,751,HAKU*,鹿児島県,1068,AITHON,鹿児島県
6th style,"19,November",964,ALICE,鹿児島県,1327,HAKU*,鹿児島県,1785,HIRO99,鹿児島県
7th style,革命,671,OCHA2K,鹿児島県,1770,OUT!!!,鹿児島県,2268,HIRO99,鹿児島県
7th style,ZERO-ONE,864,YUKI,鹿児島県,1672,UM3,鹿児島県,2197,HIRO99,鹿児島県
7th style,traces,1237,ALICE,鹿児島県,1656,SEKKEN,鹿児島県,2070,CARSEX,鹿児島県
7th style,Tomorrow Perfume,882,ALICE,鹿児島県,1581,SEKKEN,鹿児島県,2103,HIRO99,鹿児島県
7th style,stoic,1341,ALICE,鹿児島県,1972,5M0K3,鹿児島県,2495,SACHI,鹿児島県
7th style,Spica,494,LUPUS,鹿児島県,1242,HAKU*,鹿児島県,2172,HIRO99,鹿児島県
7th style,MAX 300,1119,SUMIRE,鹿児島県,1819,SUMIRE,鹿児島県,0,,未設定
7th style,Love Me Do,1038,HAKU*,鹿児島県,1600,HAKU*,鹿児島県,2096,AAABBB,鹿児島県
7th style,Let the Snow Paint Me,818,HAKU*,鹿児島県,887,KARU88,鹿児島県,1242,AAABBB,鹿児島県
7th style,Last Message,933,HAKU*,鹿児島県,1152,HAKU*,鹿児島県,1559,AITHON,鹿児島県
7th style,Happy Wedding,1130,HIRO,鹿児島県,1607,POIFUL,鹿児島県,1814,SACHI,鹿児島県
7th style,Glorious Days,0,,未設定,746,HAKU*,鹿児島県,882,AAABBB,鹿児島県
7th style,foreplay,640,HAKU*,鹿児島県,1031,CHATAN,鹿児島県,1319,HIRO99,鹿児島県
7th style,DESTINY,982,HAKU*,鹿児島県,1267,HAKU*,鹿児島県,1820,HIRO99,鹿児島県
7th style,D2R,915,POIFUL,鹿児島県,1060,ALICE,鹿児島県,1611,INOKI!,鹿児島県
7th style,Cheer Train,838,HAKU*,鹿児島県,1078,SEKKEN,鹿児島県,1683,AITHON,鹿児島県
7th style,Burning Heat! (Full Option Mix),656,SHAMAR,鹿児島県,841,HAKU*,鹿児島県,1405,FUSI,鹿児島県
7th style,Bad Routine,958,HAKU*,鹿児島県,1409,WJ.GAM,鹿児島県,1901,SACHI,鹿児島県
7th style,AVE DE RAPINA,1286,HAKU*,鹿児島県,1518,HAKU*,鹿児島県,1796,AITHON,鹿児島県
7th style,A,1186,AMANO,鹿児島県,1908,SYUKO,鹿児島県,2408,HIRO99,鹿児島県
8th style,蒼い衝動,876,HAKU*,鹿児島県,1253,HAKU*,鹿児島県,1587,INOKI!,鹿児島県
8th style,桜,929,CHATAN,鹿児島県,1373,LETTY,鹿児島県,2081,HIRO99,鹿児島県
8th style,xenon,993,HAKU*,鹿児島県,1647,WJ.GAM,鹿児島県,2682,SACHI,鹿児島県
8th style,World Wide Love,681,HAKU*,鹿児島県,1030,FUSI,鹿児島県,1114,AAABBB,鹿児島県
8th style,WAR GAME,911,HAKU*,鹿児島県,1421,CHATAN,鹿児島県,2127,INOKI!,鹿児島県
8th style,thunder,1103,HAKU*,鹿児島県,1541,LETTY,鹿児島県,1867,SACHI,鹿児島県
8th style,symbolic,1333,HAKU*,鹿児島県,1702,CHUCHU,鹿児島県,2206,SACHI,鹿児島県
8th style,STAR DREAM,601,MINOR,鹿児島県,1192,SEKKEN,鹿児島県,1435,SACHI,鹿児島県
8th style,rainbow flyer,663,KARU88,鹿児島県,1419,HAKU*,鹿児島県,2099,SACHI,鹿児島県
8th style,PLEASE DON'T GO,616,MAKA!,鹿児島県,1377,SUMIRE,鹿児島県,2373,SACHI,鹿児島県
8th style,MUSIC TO YOUR HEAD,690,YUKI,鹿児島県,1196,SEKKEN,鹿児島県,1679,INOKI!,鹿児島県
8th style,murmur twins,972,NICOLE,鹿児島県,1430,HAKU*,鹿児島県,2366,HIRO99,鹿児島県
8th style,Monkey Dance,773,HAKU*,鹿児島県,1235,CHATAN,鹿児島県,1956,HIRO99,鹿児島県
8th style,memories,975,KARU88,鹿児島県,1818,SEKKEN,鹿児島県,2239,HIRO99,鹿児島県
8th style,Luv 2 Feel Your Body,843,FUSI,鹿児島県,1039,SUMIRE,鹿児島県,1631,INOKI!,鹿児島県
8th style,LOVE IS ORANGE,705,GLYCOL,鹿児島県,967,TOMO#,鹿児島県,1781,HIRO99,鹿児島県
8th style,LAB,983,CHATAN,鹿児島県,1776,TOMO#,鹿児島県,2083,HIRO99,鹿児島県
8th style,HYPER BOUNDARY GATE,1235,FUSI,鹿児島県,1807,CHUCHU,鹿児島県,2194,SACHI,鹿児島県
8th style,Halfway of promise,0,,未設定,1489,WJ.GAM,鹿児島県,1792,SACHI,鹿児島県
8th style,Giudecca,902,WJ.GAM,鹿児島県,1846,LETTY,鹿児島県,2628,HIRO99,鹿児島県
8th style,dual control,712,SHAMAR,鹿児島県,1238,SEKKEN,鹿児島県,1799,AITHON,鹿児島県
8th style,Colors -Y&Co. Eurobeat Remix-,1068,HAKU*,鹿児島県,1843,HAKU*,鹿児島県,2171,SACHI,鹿児島県
8th style,CELEBRATE NITE,895,HAKU*,鹿児島県,1062,SEKKEN,鹿児島県,1392,SUMIRE,鹿児島県
8th style,Blame,1057,MASA,鹿児島県,1364,CHATAN,鹿児島県,1902,INOKI!,鹿児島県
8th style,bit mania,775,NICOLE,鹿児島県,1163,TOMO#,鹿児島県,1855,HIRO99,鹿児島県
8th style,Attitude,806,ALICE,鹿児島県,1368,WJ.GAM,鹿児島県,1734,INOKI!,鹿児島県
8th style,ALL RIGHT,831,HAKU*,鹿児島県,1182,SEKKEN,鹿児島県,1591,SUMIRE,鹿児島県
8th style,airflow,459,5M0K3,鹿児島県,734,N.,鹿児島県,1413,HIRO99,鹿児島県
8th style,abstract,1181,5M0K3,鹿児島県,1465,AMANO,鹿児島県,1857,SUMIRE,鹿児島県
9th style,真夏の花・真夏の夢,624,ID002,鹿児島県,1078,SEKKEN,鹿児島県,1443,SACHI,鹿児島県
9th style,ライオン好き,548,NICOLE,鹿児島県,1168,LETTY,鹿児島県,1484,AITHON,鹿児島県
9th style,SWEETEST SAVAGE,568,.,鹿児島県,1215,CHATAN,鹿児島県,1806,AITHON,鹿児島県
9th style,Sweet Sweet Magic,914,5M0K3,鹿児島県,1330,HAKU*,鹿児島県,2028,HIRO99,鹿児島県
9th style,STAR FIELD,633,5M0K3,鹿児島県,1434,CHATAN,鹿児島県,1852,AITHON,鹿児島県
9th style,SNOW,952,5M0K3,鹿児島県,1223,CHATAN,鹿児島県,2010,HIRO99,鹿児島県
9th style,Silvia Drive,792,HAKU*,鹿児島県,1326,SEKKEN,鹿児島県,2024,INOKI!,鹿児島県
9th style,rottel-the-Mercury,951,HAKU*,鹿児島県,1806,CHUCHU,鹿児島県,2242,HIRO99,鹿児島県
9th style,RISLIM -Remix-,722,HAKU*,鹿児島県,914,SEKKEN,鹿児島県,1834,AITHON,鹿児島県
9th style,Really Love,596,5M0K3,鹿児島県,917,ASIC,鹿児島県,1703,HIRO99,鹿児島県
9th style,Quickening,868,CHATAN,鹿児島県,1501,ABIG,鹿児島県,2095,INOKI!,鹿児島県
9th style,quasar,1002,ALICE,鹿児島県,1636,VALSE,鹿児島県,2278,HIRO99,鹿児島県
9th style,one or eight,1205,5M0K3,鹿児島県,1684,NMKR,鹿児島県,2220,SACHI,鹿児島県
9th style,moon_child,817,NICOLE,鹿児島県,1794,OUT!!!,鹿児島県,2485,INOKI!,鹿児島県
9th style,MARIA (I believe... ),698,RYUSAN,鹿児島県,1457,HAKU*,鹿児島県,1940,HIRO99,鹿児島県
