バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,752,RWBY.Y,韓国,1039,B1ACK,韓国,1157,P.O.E,韓国
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,2042,P.O.E,韓国
1st&substream,RUGGED ASH,362,MINXSR,韓国,401,CHARM,韓国,1094,P.O.E,韓国
1st&substream,R3,604,K12H,韓国,696,K12H,韓国,903,P.O.E,韓国
1st&substream,PARANOIA MAX～DIRTY MIX～,510,KONOMI,韓国,735,PXERO,韓国,1119,CHARM,韓国
1st&substream,Macho Gang,381,ATTIXX,韓国,960,EUN!?,韓国,1663,CHARM,韓国
1st&substream,KEEP ON MOVIN',192,MCDJ5,韓国,244,S?GS?G,韓国,0,,未設定
1st&substream,GRADIUSIC CYBER,831,TRASH,韓国,928,CTPLT*,韓国,1207,S?GS?G,韓国
1st&substream,GENOM SCREAMS,383,KONOMI,韓国,801,ARIA,韓国,1063,KKM*,韓国
1st&substream,GAMBOL,274,FLADY,韓国,274,LICA-,韓国,0,,未設定
1st&substream,Dr.LOVE,391,MCDJ5,韓国,493,SIMON.,韓国,578,MACAOF,韓国
1st&substream,deep in you,460,DEMIAN,韓国,484,BYERDN,韓国,661,INTE,韓国
1st&substream,5.1.1.,197,ARISA,韓国,1006,BACKSU,韓国,1569,CHARM,韓国
1st&substream,22DUNK,494,.97777,韓国,603,CTPLT*,韓国,654,INTE,韓国
2nd style,SP-TRIP MACHINE(for beatmania II),496,K12H,韓国,613,K12H,韓国,648,INTE,韓国
2nd style,PUT YOUR FAITH IN ME(for beatmania II),517,KONOMI,韓国,857,INTE,韓国,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),871,RAPID3,韓国,1058,DEMIAN,韓国,1226,P.O.E,韓国
2nd style,I Was The One,529,RAPID3,韓国,634,BYERDN,韓国,689,INTE,韓国
2nd style,Electro Tuned(the SubS mix),741,HYONI,韓国,943,BYERDN,韓国,1068,SHEIKA,韓国
2nd style,Digital MinD(A/T Libra mix),727,RAPID3,韓国,978,MIN,韓国,1127,INTE,韓国
2nd style,.59,658,L.DASH,韓国,979,PXERO,韓国,1153,ATTIXX,韓国
3rd style,THE SAFARI,1210,JO,韓国,1784,P.O.E,韓国,0,,未設定
3rd style,Tangerine Stream,278,RAPID3,韓国,396,SARAH!,韓国,0,,未設定
3rd style,Skyscraper,675,KONOMI,韓国,1158,BYERDN,韓国,1242,S?GS?G,韓国
3rd style,Schlagwerk,804,MCDJ5,韓国,1304,MONILE,韓国,1691,P.O.E,韓国
3rd style,REINCARNATION,770,MIN,韓国,993,PXERO,韓国,1272,S?GS?G,韓国
3rd style,R5,733,MIN,韓国,1172,CHARM,韓国,1773,CHARM,韓国
3rd style,Presto,514,YUM,韓国,961,BYERDN,韓国,1011,P.O.E,韓国
3rd style,LEADING CYBER,778,KONOMI,韓国,1143,DXER*P,韓国,1284,P.O.E,韓国
3rd style,Holic,721,C0TT0N,韓国,1213,FLADY,韓国,1739,P.O.E,韓国
3rd style,era (nostalmix),808,KONOMI,韓国,1092,CAT,韓国,1536,HAWKS*,韓国
3rd style,Don't Stop!,753,HYONI,韓国,820,N00B,韓国,904,INTE,韓国
3rd style,CAN'T STOP FALLIN'IN LOVE,597,OROCHI,韓国,1256,S?GS?G,韓国,0,,未設定
4th style,Voltage (feat. Hidemaru),900,JJO*,韓国,1194,JO,韓国,1322,CAT,韓国
4th style,ULTRA HIGH-HEELS,685,KONOMI,韓国,895,PXERO,韓国,989,INTE,韓国
4th style,SWEET LAB,500,KONOMI,韓国,932,PXERO,韓国,1377,CHARM,韓国
4th style,starmine,866,K12H,韓国,1401,PXERO,韓国,1594,MACAOF,韓国
4th style,Mr.T.(take me higher),841,RAPID3,韓国,993,RAPID3,韓国,1768,CHARM,韓国
4th style,minimalian,488,KONOMI,韓国,1058,PXERO,韓国,1409,P.O.E,韓国
4th style,LOVE WILL・・・,513,KONOMI,韓国,732,K12H,韓国,1463,CHARM,韓国
4th style,KAMIKAZE,987,K12H,韓国,1476,BYERDN,韓国,2307,CHARM,韓国
4th style,Jam&Marmalade,761,MACAO6,韓国,876,PXERO,韓国,1017,P.O.E,韓国
4th style,Hitch Hiker2,764,KONOMI,韓国,1165,BYERDN,韓国,1327,P.O.E,韓国
4th style,HIGHER,498,DEMIAN,韓国,906,RAPID3,韓国,1280,INTE,韓国
4th style,FLOWERS for ALBION,227,SIMON.,韓国,439,KOALA-,韓国,0,,未設定
4th style,era (step mix),1041,KONOMI,韓国,1299,PXERO,韓国,1721,ATTIXX,韓国
4th style,empathy,769,KONOMI,韓国,1369,ECHO!!,韓国,1449,P.O.E,韓国
4th style,DXY!,1283,FAFNIR,韓国,1836,BLAST,韓国,2282,P.O.E,韓国
4th style,Clione†,0,,未設定,0,,未設定,2182,P.O.E,韓国
4th style,Clione,507,HYONI,韓国,909,K12H,韓国,1612,CHARM,韓国
4th style,CHECKING YOU OUT,634,AHOL*,韓国,933,CHARM,韓国,1372,CHARM,韓国
4th style,Burnin' The Floor,570,K12H,韓国,939,RAPID3,韓国,1436,S?GS?G,韓国
4th style,Broken My Heart,860,KONOMI,韓国,1377,PXERO,韓国,1820,P.O.E,韓国
4th style,B4U,954,KONOMI,韓国,1530,BYERDN,韓国,2021,P.O.E,韓国
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2782,P.O.E,韓国
4th style,ABSOLUTE,1252,GBBBBB,韓国,1801,RAPID3,韓国,2412,P.O.E,韓国
4th style,250bpm,606,SOAP.,韓国,981,UNIMIX,韓国,1427,CHARM,韓国
5th style,V,1279,MN.F13,韓国,2514,CAT,韓国,3021,KKM*,韓国
5th style,THE SHINING POLARIS,878,KONOMI,韓国,1274,PXERO,韓国,1591,P.O.E,韓国
5th style,THE CUBE,688,KONOMI,韓国,1249,....,韓国,1352,S?GS?G,韓国
5th style,sync,1016,KONOMI,韓国,1909,RAPID3,韓国,2374,POPS,韓国
5th style,still my words,905,RAPID3,韓国,1235,P.O.E,韓国,0,,未設定
