バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,690,HYPER,タイ,815,ZEE,タイ,1113,PU2ANA,タイ
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1910,FISHER,タイ
1st&substream,RUGGED ASH,327,*TRAN*,タイ,389,SPIKE!,タイ,1019,AYA.K,タイ
1st&substream,R3,568,GURI,タイ,652,BOYDTR,タイ,869,FISHER,タイ
1st&substream,PARANOIA MAX～DIRTY MIX～,491,ZEE,タイ,674,ZEE,タイ,1058,SUREKO,タイ
1st&substream,Macho Gang,377,AYA.K,タイ,839,YAMA,タイ,1548,AYA.K,タイ
1st&substream,KEEP ON MOVIN',101,PHI,タイ,236,FISHER,タイ,0,,未設定
1st&substream,GRADIUSIC CYBER,786,ZEE,タイ,847,BOYDTR,タイ,1162,PU2ANA,タイ
1st&substream,GENOM SCREAMS,314,ALMG.R,タイ,679,*BORA*,タイ,1040,PU2ANA,タイ
1st&substream,GAMBOL,264,SUREKO,タイ,267,SUREKO,タイ,0,,未設定
1st&substream,Dr.LOVE,205,PHI,タイ,503,SPIKE!,タイ,554,PU2ANA,タイ
1st&substream,deep in you,0,,未設定,470,SPIKE!,タイ,636,PU2ANA,タイ
1st&substream,5.1.1.,192,FISHER,タイ,939,FISHER,タイ,1532,PU2ANA,タイ
1st&substream,22DUNK,175,PEO,タイ,595,SPIKE!,タイ,627,SUREKO,タイ
2nd style,SP-TRIP MACHINE(for beatmania II),479,HYPER,タイ,599,KKMTC*,タイ,640,PU2ANA,タイ
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,未設定,834,PU2ANA,タイ,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),0,,未設定,1082,SPIKE!,タイ,1183,TORO,タイ
2nd style,I Was The One,433,*TRAN*,タイ,626,SPIKE!,タイ,677,PU2ANA,タイ
2nd style,Electro Tuned(the SubS mix),691,ZEE,タイ,905,SPIKE!,タイ,1026,PU2ANA,タイ
2nd style,Digital MinD(A/T Libra mix),282,XENON,タイ,1005,SPIKE!,タイ,1040,PU2ANA,タイ
2nd style,.59,632,ZEE,タイ,975,SPIKE!,タイ,1103,PU2ANA,タイ
3rd style,THE SAFARI,1052,BOYDTR,タイ,1714,H0STC,タイ,0,,未設定
3rd style,Tangerine Stream,262,HYPER,タイ,386,H0STC,タイ,0,,未設定
3rd style,Skyscraper,0,,未設定,1017,BOYDTR,タイ,1233,H0STC,タイ
3rd style,Schlagwerk,771,HYPER,タイ,1175,BOYDTR,タイ,1675,H0STC,タイ
3rd style,REINCARNATION,0,,未設定,1003,SPIKE!,タイ,1264,H0STC,タイ
3rd style,R5,745,84*,タイ,1162,H0STC,タイ,1736,PU2ANA,タイ
3rd style,Presto,478,84*,タイ,974,H0STC,タイ,996,H0STC,タイ
3rd style,LEADING CYBER,755,HYPER,タイ,1172,SPIKE!,タイ,1253,H0STC,タイ
3rd style,Holic,681,ZEE,タイ,1223,H0STC,タイ,1676,H0STC,タイ
3rd style,era (nostalmix),762,BOYDTR,タイ,1081,H0STC,タイ,1510,H0STC,タイ
3rd style,Don't Stop!,748,HYPER,タイ,828,SPIKE!,タイ,898,H0STC,タイ
3rd style,CAN'T STOP FALLIN'IN LOVE,457,GUEST,タイ,1238,H0STC,タイ,0,,未設定
4th style,Voltage (feat. Hidemaru),684,KSAN*,タイ,1163,SPIKE!,タイ,1296,H0STC,タイ
4th style,ULTRA HIGH-HEELS,0,,未設定,0,,未設定,970,PU2ANA,タイ
4th style,SWEET LAB,0,,未設定,903,SPIKE!,タイ,1320,H0STC,タイ
4th style,starmine,715,ZEE,タイ,1395,AYA.K,タイ,1542,NART!!,タイ
4th style,Mr.T.(take me higher),297,VALL,タイ,913,ZEE,タイ,1623,SPIKE!,タイ
4th style,minimalian,0,,未設定,919,HYPER,タイ,1330,PU2ANA,タイ
4th style,LOVE WILL・・・,0,,未設定,0,,未設定,1422,H0STC,タイ
4th style,KAMIKAZE,871,ZEE,タイ,1418,SPIKE!,タイ,2125,SPIKE!,タイ
4th style,Jam&Marmalade,0,,未設定,836,SPIKE!,タイ,974,TORO,タイ
4th style,Hitch Hiker2,0,,未設定,1173,SPIKE!,タイ,1248,SUREKO,タイ
4th style,HIGHER,352,IIDX26,タイ,893,SPIKE!,タイ,1232,PU2ANA,タイ
4th style,FLOWERS for ALBION,215,BOYDTR,タイ,408,PU2ANA,タイ,0,,未設定
4th style,era (step mix),0,,未設定,1032,BOYDTR,タイ,1672,AYA.K,タイ
4th style,empathy,755,ZEE,タイ,1058,ZEE,タイ,1384,PL.DN.,タイ
4th style,DXY!,1088,HYPER,タイ,1437,EYE,タイ,2143,AYA.K,タイ
4th style,Clione†,0,,未設定,0,,未設定,2101,AYA.K,タイ
4th style,Clione,474,ZEE,タイ,895,SPIKE!,タイ,1556,SUREKO,タイ
4th style,CHECKING YOU OUT,508,BOYDTR,タイ,820,SPIKE!,タイ,1284,H0STC,タイ
4th style,Burnin' The Floor,539,HYPER,タイ,913,SPIKE!,タイ,1394,PU2ANA,タイ
4th style,Broken My Heart,0,,未設定,1216,ZEE,タイ,1720,FISHER,タイ
4th style,B4U,893,ZEE,タイ,1366,YOD00,タイ,1907,PU2ANA,タイ
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2660,AYA.K,タイ
4th style,ABSOLUTE,1188,BOYDTR,タイ,1728,SPIKE!,タイ,2275,FISHER,タイ
4th style,250bpm,0,,未設定,804,ZEE,タイ,1279,SUREKO,タイ
5th style,V,1095,ZEE,タイ,2435,FISHER,タイ,2828,FISHER,タイ
5th style,THE SHINING POLARIS,807,ZEE,タイ,1172,HYPER,タイ,1545,PU2ANA,タイ
5th style,THE CUBE,0,,未設定,0,,未設定,1290,PL.DN.,タイ
5th style,sync,988,BOYDTR,タイ,1563,ZEE,タイ,2279,PL.DN.,タイ
5th style,still my words,0,,未設定,1202,PU2ANA,タイ,0,,未設定
5th style,STILL IN MY HEART,766,ZEE,タイ,242,ZEE,タイ,1795,PU2ANA,タイ
5th style,Spin the disc,0,,未設定,1041,ZEE,タイ,1286,FISHER,タイ
5th style,RISLIM,315,NOBAR!,タイ,1186,PU2ANA,タイ,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1715,PL.DN.,タイ
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,未設定,976,SPIKE!,タイ,1588,PU2ANA,タイ
5th style,Regulus,0,,未設定,1206,84*,タイ,1562,PU2ANA,タイ
5th style,Real,0,,未設定,1381,EYE,タイ,1689,PU2ANA,タイ
5th style,Radical Faith,1074,HYPER,タイ,1456,SPIKE!,タイ,1299,H0STC,タイ
5th style,QQQ,0,,未設定,1709,34?-R,タイ,2084,PU2ANA,タイ
5th style,outer wall,0,,未設定,1262,SPIKE!,タイ,1642,PU2ANA,タイ
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,695,ZEE,タイ,871,HYPER,タイ,1091,PU2ANA,タイ
5th style,in my eyes,0,,未設定,1397,SPIKE!,タイ,1531,PU2ANA,タイ
5th style,Abyss,398,IIDX26,タイ,1478,84*,タイ,1810,AYA.K,タイ
6th style,電人イェーガーのテーマ(Theme of DENJIN J),691,MDHPPO,タイ,1562,H0STC,タイ,0,,未設定
6th style,こっちを向いてよ,0,,未設定,1227,SPIKE!,タイ,1317,PU2ANA,タイ
6th style,Take It Easy,1300,HYPER,タイ,2206,SPIKE!,タイ,2445,PU2ANA,タイ
6th style,Summer Vacation(CU mix),1034,GABEON,タイ,1705,SUREKO,タイ,0,,未設定
6th style,SOMETHING WONDERFUL,800,HYPER,タイ,1071,BOYDTR,タイ,1866,PU2ANA,タイ
6th style,route 80s,0,,未設定,995,ZEE,タイ,1402,PU2ANA,タイ
6th style,rottel-da-sun,592,GUEST,タイ,1215,KRISZ,タイ,1785,FISHER,タイ
6th style,NEMESIS,0,,未設定,1563,NART!!,タイ,1708,SUREKO,タイ
6th style,Linus,0,,未設定,1485,34?-R,タイ,2091,PU2ANA,タイ
6th style,G2,1217,FAKE,タイ,1298,ZEE,タイ,2179,AYA.K,タイ
6th style,Frozen Ray (original mix),1049,0NZK,タイ,1492,BOYDTR,タイ,1727,NART!!,タイ
6th style,Free Style,0,,未設定,1017,SPIKE!,タイ,1237,NART!!,タイ
6th style,fly through the night,0,,未設定,987,ZEE,タイ,1680,H0STC,タイ
6th style,DIVE ～INTO YOUR HEART～,1238,URAS-G,タイ,1372,ZEE,タイ,2009,FISHER,タイ
6th style,Colors (radio edit),1349,SPIKE!,タイ,1939,NART!!,タイ,2341,FISHER,タイ
6th style,Buffalo,822,ZEE,タイ,1369,SPIKE!,タイ,1740,FISHER,タイ
6th style,Blueberry Stream,0,,未設定,1338,SPIKE!,タイ,1518,SUREKO,タイ
6th style,BALLAD FOR YOU～想いの雨～,278,AKE,タイ,746,SPIKE!,タイ,1059,PU2ANA,タイ
6th style,"19,November",915,0NZK,タイ,1376,SPIKE!,タイ,1707,SUREKO,タイ
7th style,革命,0,,未設定,1852,SUREKO,タイ,2179,PL.DN.,タイ
7th style,ZERO-ONE,433,JSTYLE,タイ,1561,GURI,タイ,2137,PL.DN.,タイ
7th style,traces,1490,AYA.K,タイ,1542,84*,タイ,2089,AYA.K,タイ
7th style,Tomorrow Perfume,1178,BOYDTR,タイ,1767,ASF410,タイ,2004,PU2ANA,タイ
7th style,stoic,1638,AYA.K,タイ,2162,SPIKE!,タイ,2387,FISHER,タイ
7th style,Spica,600,HYPER,タイ,1234,ME!JI,タイ,2085,SUREKO,タイ
7th style,MAX 300,1064,SUREKO,タイ,1879,H0STC,タイ,0,,未設定
7th style,Love Me Do,0,,未設定,1663,AYA.K,タイ,2060,PU2ANA,タイ
7th style,Let the Snow Paint Me,0,,未設定,995,SPIKE!,タイ,1201,PU2ANA,タイ
7th style,Last Message,822,LOADIN,タイ,1153,84*,タイ,1602,H0STC,タイ
7th style,Happy Wedding,0,,未設定,1611,SPIKE!,タイ,1753,NART!!,タイ
7th style,Glorious Days,257,XENON,タイ,766,SPIKE!,タイ,853,PU2ANA,タイ
7th style,foreplay,0,,未設定,951,ZEE,タイ,1255,PU2ANA,タイ
7th style,DESTINY,719,KSAN*,タイ,1184,BOYDTR,タイ,1792,PU2ANA,タイ
7th style,D2R,408,AL!,タイ,0,,未設定,1563,PU2ANA,タイ
7th style,Cheer Train,831,BOYDTR,タイ,857,KSAN*,タイ,1668,H0STC,タイ
7th style,Burning Heat! (Full Option Mix),383,NOBAR!,タイ,727,LOLICZ,タイ,1354,PU2ANA,タイ
7th style,Bad Routine,0,,未設定,1323,SPIKE!,タイ,1828,TORO,タイ
7th style,AVE DE RAPINA,1263,BOYDTR,タイ,1315,ZEE,タイ,1754,PU2ANA,タイ
7th style,A,1207,BOYDTR,タイ,1996,FISHER,タイ,2380,H0STC,タイ
8th style,蒼い衝動,828,ZEE,タイ,1129,ZEE,タイ,1567,H0STC,タイ
8th style,桜,872,84*,タイ,1520,AYA.K,タイ,1986,AYA.K,タイ
8th style,xenon,941,ZEE,タイ,1622,SPIKE!,タイ,2614,H0STC,タイ
8th style,World Wide Love,338,GUEST,タイ,893,DONNIE,タイ,1098,H0STC,タイ
8th style,WAR GAME,887,NART!!,タイ,1490,SPIKE!,タイ,2095,PU2ANA,タイ
8th style,thunder,1087,BOYDTR,タイ,1499,KKMTC*,タイ,1796,PU2ANA,タイ
8th style,symbolic,1264,BOYDTR,タイ,1667,ASF410,タイ,2151,PL.DN.,タイ
8th style,STAR DREAM,0,,未設定,997,ZEE,タイ,1353,PU2ANA,タイ
8th style,rainbow flyer,735,HYPER,タイ,1464,C*SHIN,タイ,2034,FISHER,タイ
8th style,PLEASE DON'T GO,0,,未設定,1341,FISHER,タイ,2292,AYA.K,タイ
8th style,MUSIC TO YOUR HEAD,710,ME!JI,タイ,1265,SPIKE!,タイ,1611,PU2ANA,タイ
8th style,murmur twins,904,DONNIE,タイ,1521,MM.COM,タイ,2308,PL.DN.,タイ
8th style,Monkey Dance,637,GUEST,タイ,1302,SPIKE!,タイ,1935,H0STC,タイ
8th style,memories,915,0NZK,タイ,1717,KIRBY,タイ,2208,H0STC,タイ
8th style,Luv 2 Feel Your Body,209,SATI$,タイ,1001,SPIKE!,タイ,1586,H0STC,タイ
8th style,LOVE IS ORANGE,697,GUEST,タイ,759,YOKZAR,タイ,1764,PU2ANA,タイ
8th style,LAB,0,,未設定,1897,SPIKE!,タイ,2020,FISHER,タイ
8th style,HYPER BOUNDARY GATE,1203,BOCO,タイ,1493,ZEE,タイ,2176,NART!!,タイ
8th style,Halfway of promise,0,,未設定,1388,KKMTC*,タイ,1732,AYA.K,タイ
8th style,Giudecca,0,,未設定,1755,KKMTC*,タイ,2556,FISHER,タイ
8th style,dual control,0,,未設定,1315,KKMTC*,タイ,1837,H0STC,タイ
8th style,Colors -Y&Co. Eurobeat Remix-,1043,BOYDTR,タイ,1785,84*,タイ,2138,H0STC,タイ
8th style,CELEBRATE NITE,0,,未設定,1083,SPIKE!,タイ,1411,H0STC,タイ
8th style,Blame,1131,ASF410,タイ,1452,SPIKE!,タイ,1859,H0STC,タイ
8th style,bit mania,0,,未設定,1231,SPIKE!,タイ,1828,H0STC,タイ
8th style,Attitude,561,AL!,タイ,1212,HYPER,タイ,1724,H0STC,タイ
8th style,ALL RIGHT,270,AKE,タイ,1022,ZEE,タイ,1590,H0STC,タイ
8th style,airflow,441,*P*,タイ,536,GUEST,タイ,1387,H0STC,タイ
8th style,abstract,1051,ZEE,タイ,1646,H0STC,タイ,1860,H0STC,タイ
9th style,真夏の花・真夏の夢,0,,未設定,1113,SPIKE!,タイ,1386,PU2ANA,タイ
9th style,ライオン好き,253,YYYYYY,タイ,1160,SPIKE!,タイ,1468,PU2ANA,タイ
9th style,SWEETEST SAVAGE,0,,未設定,1178,84*,タイ,1762,FISHER,タイ
9th style,Sweet Sweet Magic,865,ZEE,タイ,1144,ZEE,タイ,1966,PU2ANA,タイ
9th style,STAR FIELD,594,HYPER,タイ,1287,ZEE,タイ,1797,PU2ANA,タイ
9th style,SNOW,555,MIMO$A,タイ,1056,ZEE,タイ,1943,FISHER,タイ
9th style,Silvia Drive,708,ZEE,タイ,1341,EYE,タイ,1972,PU2ANA,タイ
9th style,rottel-the-Mercury,568,NOBAR!,タイ,1799,KKMTC*,タイ,2225,AYA.K,タイ
9th style,RISLIM -Remix-,0,,未設定,668,BE158,タイ,1786,PU2ANA,タイ
9th style,Really Love,315,PEO,タイ,966,H0STC,タイ,1710,H0STC,タイ
9th style,Quickening,530,AUGU5T,タイ,1700,SPIKE!,タイ,1994,PU2ANA,タイ
9th style,quasar,999,ZEE,タイ,1751,AYA.K,タイ,2248,AYA.K,タイ
9th style,one or eight,1045,ZEE,タイ,1682,SPIKE!,タイ,2144,FISHER,タイ
9th style,moon_child,381,BOYDTR,タイ,1803,SPIKE!,タイ,2430,AYA.K,タイ
9th style,MARIA (I believe... ),618,GUEST,タイ,1331,BOYDTR,タイ,1934,H0STC,タイ
9th style,Make A Difference,0,,未設定,1254,ZEE,タイ,2120,PL.DN.,タイ
9th style,lower world,946,ZEE,タイ,1842,SPIKE!,タイ,2199,H0STC,タイ
9th style,LOVE SHINE,414,JSTYLE,タイ,1767,MM.COM,タイ,2054,PU2ANA,タイ
9th style,lights,378,PEO,タイ,1251,BOYDTR,タイ,1684,FISHER,タイ
9th style,Let The Snow Paint Me -Y&Co. Remix-,0,,未設定,1051,MDHPPO,タイ,1747,PL.DN.,タイ
9th style,Karma,1022,IEARTH,タイ,1531,523,タイ,1731,TORO,タイ
9th style,I Was The One (80's EUROBEAT STYLE),0,,未設定,1186,BOYDTR,タイ,1384,PU2ANA,タイ
9th style,HYPER EUROBEAT (2DX style),982,ZEE,タイ,1321,ZEE,タイ,1900,H0STC,タイ
9th style,Golden Horn,398,IIDX26,タイ,825,POOM*H,タイ,1424,SUREKO,タイ
9th style,e-motion 2003 -romantic extra-,539,OMGXD,タイ,1238,ZEE,タイ,1881,FISHER,タイ
9th style,Distress,1076,ZEE,タイ,1742,TORO,タイ,0,,未設定
9th style,Cradle,819,ME!JI,タイ,1270,ZEE,タイ,1533,AYA.K,タイ
9th style,BRIGHTNESS DARKNESS,0,,未設定,1361,SPIKE!,タイ,1705,AYA.K,タイ
9th style,bag,0,,未設定,1127,SPIKE!,タイ,1870,FISHER,タイ
9th style,BAD BOY BASS!! (dj Remo-con MIX),562,AL!,タイ,1184,ZEE,タイ,1711,TORO,タイ
9th style,ATOMIC AGE,365,H0STC,タイ,666,H0STC,タイ,1265,SUREKO,タイ
9th style,ACT,0,,未設定,1430,KIRBY,タイ,1773,FISHER,タイ
9th style,Abyss -The Heavens Remix-,1252,ZEE,タイ,1756,SPIKE!,タイ,2290,NART!!,タイ
10th style,雪月花,1212,AYA.K,タイ,1853,NART!!,タイ,2461,H0STC,タイ
10th style,システムロマンス,0,,未設定,1497,ZEE,タイ,1987,H0STC,タイ
10th style,SPACE FIGHT,306,ST,タイ,1310,KKMTC*,タイ,2204,H0STC,タイ
10th style,SHOOTING STAR,1236,SPIKE!,タイ,1406,C*SHIN,タイ,2188,AYA.K,タイ
10th style,Rise'n Beauty,1132,BOYDTR,タイ,1576,SPIKE!,タイ,2030,SUREKO,タイ
10th style,rainbow rainbow,1125,DONNIE,タイ,2206,NART!!,タイ,2588,AYA.K,タイ
10th style,pandora,0,,未設定,1559,SPIKE!,タイ,1755,SUREKO,タイ
10th style,One More Lovely,732,GUEST,タイ,1499,84*,タイ,2709,AYA.K,タイ
10th style,No.13,1467,BOYDTR,タイ,2480,BOCO,タイ,3036,AYA.K,タイ
10th style,Narcissus At Oasis,718,PAKORN,タイ,1453,NART!!,タイ,1557,AYA.K,タイ
10th style,Lucy,836,GUEST,タイ,1651,ASF410,タイ,2241,FISHER,タイ
10th style,LOW,267,SATI$,タイ,1264,BOYDTR,タイ,1600,PU2ANA,タイ
10th style,Love Is Eternity,938,LOADIN,タイ,1622,HYPER,タイ,2313,PU2ANA,タイ
10th style,Innocent Walls,1431,KKMTC*,タイ,2430,H0STC,タイ,2694,H0STC,タイ
10th style,HIGH,624,NOBAR!,タイ,1690,84*,タイ,2102,FISHER,タイ
10th style,GRADIUS -FULL SPEED-,0,,未設定,1012,3TR-NM,タイ,2037,H0STC,タイ
10th style,GHOST REVIVAL,0,,未設定,1852,ME!JI,タイ,2503,H0STC,タイ
10th style,Freezing atmosphere,485,MIKUN*,タイ,1028,SPIKE!,タイ,1400,PU2ANA,タイ
10th style,FEEL IT,872,ME!JI,タイ,1597,SPIKE!,タイ,1826,PU2ANA,タイ
10th style,Feedback,0,,未設定,1584,GABEON,タイ,1859,TORO,タイ
10th style,EXE,621,XXXXXX,タイ,1564,GABEON,タイ,2143,FISHER,タイ
10th style,DoLL,865,BOYDTR,タイ,1128,HYPER,タイ,1602,H0STC,タイ
10th style,desolation,448,HYPER,タイ,537,BLAZEX,タイ,498,AUGU5T,タイ
10th style,Debtty Daddy,0,,未設定,1833,SPIKE!,タイ,2649,H0STC,タイ
10th style,Daisuke,1172,ASF410,タイ,1443,HYPER,タイ,2368,H0STC,タイ
10th style,CARRY ON NIGHT (English version),0,,未設定,1277,SPIKE!,タイ,1956,PU2ANA,タイ
10th style,Boundary,0,,未設定,1475,ZEE,タイ,1982,FISHER,タイ
10th style,Back Into The Light,1033,3TR-NM,タイ,1424,BOYDTR,タイ,2084,PU2ANA,タイ
10th style,BABY LOVE,1066,ZEE,タイ,1643,SPIKE!,タイ,2070,T*KORO,タイ
10th style,ASTRAL VOYAGE,0,,未設定,1342,SPIKE!,タイ,1844,PU2ANA,タイ
10th style,ALIEN TEMPLE,562,KSAN*,タイ,1360,ZEE,タイ,1916,PU2ANA,タイ
10th style,1st Samurai,895,NN*,タイ,1621,ME!JI,タイ,2516,H0STC,タイ
IIDX RED,ＵＬＴｉＭΛＴＥ,409,NOBAR!,タイ,1210,ZEE,タイ,1966,FISHER,タイ
IIDX RED,太陽～T・A・I・Y・O～,608,YOKZAR,タイ,1198,84*,タイ,1680,AYA.K,タイ
IIDX RED,大桟橋,263,VALL,タイ,1024,SPIKE!,タイ,1810,AYA.K,タイ
IIDX RED,ピアノ協奏曲第１番”蠍火”,533,YUUGEN,タイ,1999,SUREKO,タイ,2537,AYA.K,タイ
IIDX RED,Wonder Bullfighter,760,ZEE,タイ,1160,ZEE,タイ,1994,H0STC,タイ
IIDX RED,The Hope of Tomorrow,964,ZEE,タイ,1652,PU2ANA,タイ,1836,PU2ANA,タイ
IIDX RED,spiral galaxy†,0,,未設定,0,,未設定,3481,NART!!,タイ
IIDX RED,spiral galaxy,981,HYPER,タイ,1994,NART!!,タイ,2443,PU2ANA,タイ
IIDX RED,Sphere,624,AL!,タイ,1892,H0STC,タイ,2072,AYA.K,タイ
IIDX RED,SPEEDY CAT,1067,HYPER,タイ,1560,SPIKE!,タイ,1990,H0STC,タイ
IIDX RED,Secret of Love,0,,未設定,1159,ZEE,タイ,1970,H0STC,タイ
IIDX RED,RESONATE 1794,745,BOYDTR,タイ,1400,PL.DN.,タイ,1786,FISHER,タイ
IIDX RED,RED ZONE†,0,,未設定,0,,未設定,2928,PU2ANA,タイ
IIDX RED,RED ZONE,1056,3TR-NM,タイ,1699,URAS-G,タイ,2247,PU2ANA,タイ
IIDX RED,Raspberry Heart(English version),986,URAS-G,タイ,1334,ZEE,タイ,1786,PU2ANA,タイ
IIDX RED,NEBULA GRASPER,897,FH.PNK,タイ,1598,ZEE,タイ,2364,PU2ANA,タイ
IIDX RED,KEY,1040,ME!JI,タイ,1384,ZEE,タイ,2786,PU2ANA,タイ
IIDX RED,HORIZON,0,,未設定,1333,ZEE,タイ,1922,SUREKO,タイ
IIDX RED,gigadelic,1395,SPIKE!,タイ,2040,SUREKO,タイ,2361,SUREKO,タイ
IIDX RED,GENOCIDE,988,BOYDTR,タイ,1866,ME!JI,タイ,2316,AYA.K,タイ
IIDX RED,Fly Away To India,0,,未設定,1047,SPIKE!,タイ,1338,PU2ANA,タイ
