バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,331,S2VX,シンガポール,1037,ZEFF.,シンガポール,1085,INDEX,シンガポール
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1953,ZEFF.,シンガポール
1st&substream,RUGGED ASH,39,RURRU,シンガポール,383,DLANOR,シンガポール,1070,ZEFF.,シンガポール
1st&substream,R3,0,,未設定,666,MOTYO,シンガポール,894,ZEFF.,シンガポール
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,未設定,0,,未設定,1105,ZEFF.,シンガポール
1st&substream,Macho Gang,360,INDEX,シンガポール,0,,未設定,1575,ZEFF.,シンガポール
1st&substream,KEEP ON MOVIN',188,INDEX,シンガポール,238,***,シンガポール,0,,未設定
1st&substream,GRADIUSIC CYBER,730,MUSTA,シンガポール,279,HIDARI,シンガポール,1189,ZEFF.,シンガポール
1st&substream,GENOM SCREAMS,0,,未設定,820,ZEFF.,シンガポール,1052,ZEFF.,シンガポール
1st&substream,GAMBOL,81,SHUJIN,シンガポール,270,ZEFF.,シンガポール,0,,未設定
1st&substream,Dr.LOVE,180,KEIT,シンガポール,0,,未設定,571,ZEFF.,シンガポール
1st&substream,deep in you,0,,未設定,321,GAYRO,シンガポール,641,NOWARU,シンガポール
1st&substream,5.1.1.,182,KUKO,シンガポール,806,MUSTA,シンガポール,1546,ZEFF.,シンガポール
1st&substream,22DUNK,466,OUDON,シンガポール,602,-,シンガポール,646,ZEFF.,シンガポール
2nd style,SP-TRIP MACHINE(for beatmania II),496,BBITTA,シンガポール,597,ERIRI.,シンガポール,643,ZEFF.,シンガポール
2nd style,PUT YOUR FAITH IN ME(for beatmania II),319,NIKO,シンガポール,847,ZEFF.,シンガポール,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),0,,未設定,0,,未設定,1219,ZEFF.,シンガポール
2nd style,I Was The One,297,HSAY0,シンガポール,194,RAUSTE,シンガポール,685,ZEFF.,シンガポール
2nd style,Electro Tuned(the SubS mix),0,,未設定,859,-,シンガポール,1068,ZEFF.,シンガポール
2nd style,Digital MinD(A/T Libra mix),303,NIKO,シンガポール,458,ZAIGAL,シンガポール,1100,ZEFF.,シンガポール
