バージョン,タイトル,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県
1st&substream,THE EARTH LIGHT,0,,未設定,946,KSDKT,海外,1145,IZUNA.,海外
1st&substream,RUGGED ASH†,0,,未設定,0,,未設定,1945,V.,海外
1st&substream,RUGGED ASH,350,TOTTIE,海外,395,ASHN*,海外,1033,U.N.K,海外
1st&substream,R3,582,TOTTIE,海外,653,QQ36,海外,865,A*NAL,海外
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,未設定,679,*ITO.*,海外,1031,U.N.K,海外
1st&substream,Macho Gang,351,IIDX24,海外,913,IIDX24,海外,1572,ADA.W*,海外
1st&substream,KEEP ON MOVIN',178,TOTTIE,海外,236,IZUNA.,海外,0,,未設定
1st&substream,GRADIUSIC CYBER,810,LILIAN,海外,851,KATANA,海外,1156,U.N.K,海外
1st&substream,GENOM SCREAMS,389,SIG,海外,812,36RA51,海外,1032,U.N.K,海外
1st&substream,GAMBOL,268,CR.R,海外,268,JGA#77,海外,0,,未設定
1st&substream,Dr.LOVE,361,LILIAN,海外,482,KTGR,海外,563,V.,海外
1st&substream,deep in you,271,JOSH96,海外,408,IIDX24,海外,647,3SYA9G,海外
1st&substream,5.1.1.,189,MATSU,海外,937,H!DERI,海外,1542,JGA#77,海外
1st&substream,22DUNK,452,LILIAN,海外,555,404,海外,643,U.N.K,海外
2nd style,SP-TRIP MACHINE(for beatmania II),140,WORM!!,海外,596,Y.,海外,631,CR.R,海外
2nd style,PUT YOUR FAITH IN ME(for beatmania II),379,JOLU,海外,837,IZUNA.,海外,0,,未設定
2nd style,Indigo Vision(full flavour hide around mix),854,CR.R,海外,1002,LILIAN,海外,1205,EGYPT,海外
2nd style,I Was The One,530,CR.R,海外,586,IIDX24,海外,679,CR.R,海外
2nd style,Electro Tuned(the SubS mix),0,,未設定,812,404,海外,993,NAN2KO,海外
2nd style,Digital MinD(A/T Libra mix),728,CR.R,海外,949,KATANA,海外,1085,CR.R,海外
2nd style,.59,663,PROG,海外,913,LILIAN,海外,1089,CR.R,海外
3rd style,THE SAFARI,912,TUKARE,海外,1727,DT-G5Q,海外,0,,未設定
3rd style,Tangerine Stream,279,CR.R,海外,382,CYBERX,海外,0,,未設定
3rd style,Skyscraper,642,TOTTIE,海外,1084,LILIAN,海外,1226,CYBERX,海外
3rd style,Schlagwerk,724,TOTTIE,海外,1299,V.,海外,1652,DT-G5Q,海外
3rd style,REINCARNATION,449,KANATA,海外,937,LILIAN,海外,1088,RCHE,海外
3rd style,R5,691,TOTTIE,海外,1108,SGG-EX,海外,1758,36RA51,海外
3rd style,Presto,194,MOTSU,海外,906,GMOVER,海外,973,U.N.K,海外
3rd style,LEADING CYBER,217,CHODEE,海外,1107,LILIAN,海外,1269,DT-G5Q,海外
3rd style,Holic,232,T.K.,海外,1128,LILIAN,海外,1706,EGYPT,海外
3rd style,era (nostalmix),722,TOTTIE,海外,1064,IZUNA.,海外,1469,EGYPT,海外
3rd style,Don't Stop!,0,,未設定,745,LILIAN,海外,889,2NOMAE,海外
3rd style,CAN'T STOP FALLIN'IN LOVE,563,SIG,海外,1085,IIDX24,海外,0,,未設定
4th style,Voltage (feat. Hidemaru),776,TOTTIE,海外,1072,LILIAN,海外,1296,V.,海外
4th style,ULTRA HIGH-HEELS,583,ZHI,海外,818,LILIAN,海外,901,LILIAN,海外
4th style,SWEET LAB,487,TOTTIE,海外,814,IIDX24,海外,1196,EVE,海外
4th style,starmine,785,TOTTIE,海外,1311,GMOVER,海外,1574,EGYPT,海外
4th style,Mr.T.(take me higher),847,CR.R,海外,988,CR.R,海外,1597,SAYAEN,海外
4th style,minimalian,269,JOLU,海外,942,MATSU,海外,1326,U.N.K,海外
4th style,LOVE WILL・・・,497,TOTTIE,海外,732,PROG,海外,1367,M.S.R.,海外
4th style,KAMIKAZE,0,,未設定,1447,CR.R,海外,2216,JGA#77,海外
4th style,Jam&Marmalade,548,SHERX,海外,808,LILIAN,海外,909,NOOBXP,海外
4th style,Hitch Hiker2,0,,未設定,1096,LYCOS,海外,1207,U.N.K,海外
4th style,HIGHER,510,TOTTIE,海外,917,CR.R,海外,1215,U.N.K,海外
4th style,FLOWERS for ALBION,216,RCHE,海外,433,EGYPT,海外,0,,未設定
4th style,era (step mix),1042,SIG,海外,1164,5ONODA,海外,1605,A*NAL,海外
4th style,empathy,758,TOTTIE,海外,1189,LILIAN,海外,1260,XUOU,海外
4th style,DXY!,0,,未設定,1581,IIDX24,海外,2215,EGYPT,海外
4th style,Clione†,0,,未設定,0,,未設定,2109,V.,海外
4th style,Clione,390,ANSHI,海外,917,PROG,海外,1597,IZUNA.,海外
4th style,CHECKING YOU OUT,599,A*NAL,海外,866,IZUNA.,海外,1274,EGYPT,海外
4th style,Burnin' The Floor,530,TOTTIE,海外,932,CR.R,海外,1430,EGYPT,海外
4th style,Broken My Heart,0,,未設定,1381,LILIAN,海外,1757,------,海外
4th style,B4U,580,CATAT,海外,1337,RABURA,海外,1976,DT-G5Q,海外
4th style,ABSOLUTE†,0,,未設定,0,,未設定,2555,2NOMAE,海外
4th style,ABSOLUTE,1122,PENGIN,海外,1767,CR.R,海外,2362,EGYPT,海外
4th style,250bpm,0,,未設定,845,AM,海外,1204,U.N.K,海外
5th style,V,1277,V.,海外,2460,STEVEN,海外,2978,EGYPT,海外
5th style,THE SHINING POLARIS,851,QQ36,海外,1190,LILIAN,海外,1519,2NOMAE,海外
5th style,THE CUBE,674,TOTTIE,海外,1197,NAN2KO,海外,1305,CR.R,海外
5th style,sync,981,QQ36,海外,1893,CR.R,海外,2349,EGYPT,海外
5th style,still my words,907,CR.R,海外,1219,EGYPT,海外,0,,未設定
5th style,STILL IN MY HEART,944,QQ36,海外,1392,EGYPT,海外,1898,EGYPT,海外
5th style,Spin the disc,720,QQ36,海外,1062,QQ36,海外,1313,DT-G5Q,海外
5th style,RISLIM,903,CR.R,海外,1206,JGA#77,海外,0,,未設定
5th style,RIDE ON THE LIGHT (HI GREAT MIX) †,0,,未設定,0,,未設定,1753,BLYAT,海外
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,未設定,963,LYCOS,海外,1678,V.,海外
5th style,Regulus,956,PROG,海外,1315,PROG,海外,1656,IZUNA.,海外
5th style,Real,688,MATSU,海外,1370,QC,海外,1690,CR.R,海外
5th style,Radical Faith,1160,CR.R,海外,1463,CR.R,海外,1186,LILIAN,海外
5th style,QQQ,1221,CR.R,海外,1822,CR.R,海外,2142,DT-G5Q,海外
5th style,outer wall,660,ZHI,海外,1186,LYCOS,海外,1658,U.N.K,海外
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,未設定,889,RABURA,海外,1090,U.N.K,海外
5th style,in my eyes,835,QQ36,海外,1426,CR.R,海外,1353,IIDX26,海外
5th style,Abyss,1249,CR.R,海外,1582,CR.R,海外,1834,------,海外
6th style,電人イェーガーのテーマ(Theme of DENJIN J),950,QQ36,海外,1508,------,海外,0,,未設定
6th style,こっちを向いてよ,648,QQ36,海外,1087,QQ36,海外,1364,IZUNA.,海外
6th style,Take It Easy,1282,QQ36,海外,2151,LILIAN,海外,2441,36RA51,海外
6th style,Summer Vacation(CU mix),1026,MATSU,海外,1765,------,海外,0,,未設定
6th style,SOMETHING WONDERFUL,828,*ITO.*,海外,1245,DA**AN,海外,1934,JGA#77,海外
6th style,route 80s,762,QQ36,海外,1077,LILIAN,海外,1476,EGYPT,海外
6th style,rottel-da-sun,462,SHADOW,海外,1046,LILIAN,海外,1835,V.,海外
6th style,NEMESIS,764,QQ36,海外,1230,YUKI,海外,1854,EGYPT,海外
6th style,Linus,0,,未設定,1331,IIDX24,海外,2147,V.,海外
6th style,G2,1275,LYCOS,海外,1575,SEV-,海外,2175,36RA51,海外
