バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,730,OH!?,青森県,1041,KOGA,青森県,1144,KOGA,青森県,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,348,PUPONE,青森県,1070,KORAT.,青森県,1950,DIS-L,青森県
1st&substream,R3,0,,-,0,,-,714,JETHY,青森県,886,RIS.KK,青森県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,446,M.O.A.,青森県,735,AGYPO3,青森県,1095,KOGA,青森県,0,,-
1st&substream,Macho Gang,0,,-,382,NEODIO,青森県,932,SA4,青森県,1570,RIS.KK,青森県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,NEODIO,青森県,244,T,青森県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,748,PUPONE,青森県,1181,RIS.KK,青森県,0,,-
1st&substream,gentle stress,0,,-,344,NEODIO,青森県,676,NEODIO,青森県,1419,KOGA,青森県,0,,-
1st&substream,GENOM SCREAMS,0,,-,121,KINOKO,青森県,812,RU4AN,青森県,1069,MOSAPI,青森県,0,,-
1st&substream,GAMBOL,0,,-,274,NEODIO,青森県,274,NEODIO,青森県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,NEODIO,青森県,402,TELL,青森県,578,NEODIO,青森県,0,,-
1st&substream,deep in you,0,,-,0,,-,350,U-ZAN,青森県,648,KOGA,青森県,0,,-
1st&substream,5.1.1.,0,,-,198,NEODIO,青森県,1000,ZAIZEN,青森県,1555,YOKO*T,青森県,0,,-
1st&substream,22DUNK,0,,-,239,SAORY,青森県,602,AHHUN*,青森県,634,RIS.KK,青森県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,NEODIO,青森県,429,301P,青森県,641,RIS.KK,青森県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,321,SHELPA,青森県,852,MOMOKO,青森県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,878,NEODIO,青森県,852,PUPONE,青森県,1211,MOSAPI,青森県,0,,-
2nd style,I Was The One,0,,-,544,NEODIO,青森県,651,NEODIO,青森県,692,NEODIO,青森県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,505,C0ACH*,青森県,1056,RIS.KK,青森県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,739,T,青森県,823,NEZ3,青森県,1098,NISSIN,青森県,0,,-
2nd style,.59,0,,-,523,C0ACH*,青森県,926,$KR,青森県,1138,RIS.KK,青森県,0,,-
3rd style,THE SAFARI,366,NEODIO,青森県,1102,JETHY,青森県,1708,RIS.KK,青森県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,NEODIO,青森県,396,NEODIO,青森県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,1044,NEZ3,青森県,1224,RIS.KK,青森県,0,,-
3rd style,Schlagwerk,0,,-,680,PUPONE,青森県,1209,JETHY,青森県,1670,RIS.KK,青森県,0,,-
3rd style,REINCARNATION,0,,-,0,,-,820,PUPONE,青森県,1254,RIS.KK,青森県,0,,-
3rd style,R5,0,,-,597,NU-MAN,青森県,1118,LAELIA,青森県,1753,RIS.KK,青森県,0,,-
3rd style,Presto,0,,-,190,SAORY,青森県,895,LAELIA,青森県,993,RIS.KK,青森県,0,,-
3rd style,LEADING CYBER,0,,-,0,,-,1084,JETHY,青森県,1248,RIS.KK,青森県,0,,-
3rd style,Holic,0,,-,571,RTK,青森県,1137,DEN,青森県,1717,MOSAPI,青森県,0,,-
3rd style,era (nostalmix),0,,-,867,T,青森県,1015,LAELIA,青森県,1460,A.X.L.,青森県,0,,-
3rd style,Don't Stop!,0,,-,563,KAI,青森県,796,JETHY,青森県,897,RIS.KK,青森県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,584,PUPONE,青森県,1198,MUNE,青森県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,953,NEODIO,青森県,985,NIYO*2,青森県,1313,NEODIO,青森県,0,,-
4th style,SWEET LAB,0,,-,482,PUPONE,青森県,827,NEZ3,青森県,1309,KOGA,青森県,0,,-
4th style,starmine,448,NEODIO,青森県,866,JETHY,青森県,1344,*T*,青森県,1546,RIS.KK,青森県,0,,-
4th style,Mr.T.(take me higher),0,,-,775,PUPONE,青森県,906,PUPONE,青森県,1681,NISSIN,青森県,0,,-
4th style,minimalian,0,,-,0,,-,838,228.*,青森県,1398,MOSAPI,青森県,0,,-
4th style,LOVE WILL・・・,0,,-,434,BLITZ,青森県,691,4MEJ!3,青森県,1455,RIS.KK,青森県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1346,4MEJ!3,青森県,2276,MOSAPI,青森県,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,817,4MEJ!3,青森県,984,RIS.KK,青森県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,0,,-,1306,T,青森県,0,,-
4th style,HIGHER,0,,-,462,K20A-T,青森県,793,JKUN,青森県,1269,RIS.KK,青森県,0,,-
4th style,FLOWERS for ALBION,0,,-,244,NEODIO,青森県,442,T,青森県,0,,-,0,,-
4th style,era (step mix),0,,-,0,,-,1217,OH!?,青森県,1623,KOGA,青森県,0,,-
4th style,empathy,0,,-,0,,-,1125,NEZ3,青森県,1430,KOGA,青森県,0,,-
4th style,DXY!,0,,-,902,RAYI,青森県,1467,D-HERO,青森県,2120,5VRIN,青森県,0,,-
4th style,Clione,0,,-,362,NUUU,青森県,743,K20A-T,青森県,1600,DIS-L,青森県,2145,MOSAPI,青森県
4th style,CHECKING YOU OUT,0,,-,672,T,青森県,920,T,青森県,1308,MOSAPI,青森県,0,,-
4th style,Burnin' The Floor,0,,-,342,PANDA,青森県,770,BIRD,青森県,1439,MOSAPI,青森県,0,,-
4th style,Broken My Heart,0,,-,889,JETHY,青森県,1381,4MEJ!3,青森県,1759,5VRIN,青森県,0,,-
4th style,B4U,0,,-,966,4MEJ!3,青森県,1493,NISSIN,青森県,1926,MOMOKO,青森県,0,,-
4th style,ABSOLUTE,0,,-,1151,APUNOS,青森県,1692,AMES,青森県,2347,RIS.KK,青森県,2633,A.X.L.,青森県
4th style,250bpm,0,,-,0,,-,907,OH!?,青森県,1346,KOGA,青森県,0,,-
5th style,V,346,NEODIO,青森県,982,K20A-T,青森県,2469,.87OGG,青森県,2967,MOSAPI,青森県,0,,-
5th style,THE SHINING POLARIS,0,,-,405,?,青森県,1298,NEODIO,青森県,1581,KOGA,青森県,0,,-
5th style,THE CUBE,0,,-,627,K20A-T,青森県,1175,ARCARD,青森県,1340,RIS.KK,青森県,0,,-
5th style,sync,0,,-,1028,4MEJ!3,青森県,1748,SUIREN,青森県,2378,MOSAPI,青森県,0,,-
5th style,still my words,0,,-,865,GNH,青森県,1228,MOSAPI,青森県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,1235,DEN,青森県,1862,RIS.KK,青森県,0,,-
5th style,Spin the disc,0,,-,653,KAI,青森県,1173,4MEJ!3,青森県,1327,MOSAPI,青森県,0,,-
5th style,RISLIM,0,,-,0,,-,1198,T,青森県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,813,PUPONE,青森県,986,4MEJ!3,青森県,1679,RIS.KK,青森県,1810,A.X.L.,青森県
5th style,Regulus,0,,-,777,U-ZAN,青森県,1515,NEODIO,青森県,1656,DIS-L,青森県,0,,-
5th style,Real,0,,-,0,,-,1398,ELMINA,青森県,1734,RIS.KK,青森県,0,,-
5th style,Radical Faith,0,,-,829,KANON*,青森県,0,,-,1292,RIS.KK,青森県,0,,-
5th style,QQQ,0,,-,0,,-,1669,HOTARU,青森県,2131,MOSAPI,青森県,0,,-
5th style,outer wall,0,,-,0,,-,1219,$KR,青森県,1715,RIS.KK,青森県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,0,,-,658,BIRN,青森県,1113,RIS.KK,青森県,0,,-
5th style,in my eyes,0,,-,832,PUPONE,青森県,1307,PAC,青森県,1562,A.X.L.,青森県,0,,-
5th style,Abyss,0,,-,0,,-,1512,LAELIA,青森県,1865,MOSAPI,青森県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,829,BIRD,青森県,1566,RIS.KK,青森県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,785,JETHY,青森県,1011,PAC,青森県,1363,MOSAPI,青森県,0,,-
6th style,VJ ARMY,0,,-,1307,NEODIO,青森県,1722,NEODIO,青森県,2142,RIS.KK,青森県,0,,-
6th style,Take It Easy,0,,-,1205,AS10R,青森県,2335,REU,青森県,2414,RIS.KK,青森県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1155,4MEJ!3,青森県,1796,RIS.KK,青森県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,0,,-,1090,ASUMI*,青森県,1943,RIS.KK,青森県,0,,-
