バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,395,KOOOSK,山形県,0,,-,1089,TOMOKI,山形県,0,,-
1st&substream,RUGGED ASH,0,,-,220,RIT,山形県,377,EPI-T,山形県,1053,DONUTS,山形県,1892,EVNRSW,山形県
1st&substream,R3,0,,-,366,ROBERT,山形県,412,ROBERT,山形県,878,TOMOKI,山形県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,402,ROBERT,山形県,495,KOOOSK,山形県,1046,TOMOKI,山形県,0,,-
1st&substream,Macho Gang,0,,-,276,RYU916,山形県,765,FUBUKI,山形県,1576,EVNRSW,山形県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,142,TANUKI,山形県,234,LOXON.,山形県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,814,CENT-R,山形県,1115,LOXON.,山形県,0,,-
1st&substream,gentle stress,0,,-,329,BIG,山形県,644,ANI,山形県,1420,NEWYO9,山形県,0,,-
1st&substream,GENOM SCREAMS,0,,-,420,DONUTS,山形県,806,DONUTS,山形県,1040,DONUTS,山形県,0,,-
1st&substream,GAMBOL,0,,-,274,DONUTS,山形県,274,DONUTS,山形県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,249,ROBERT,山形県,462,YS,山形県,577,DONUTS,山形県,0,,-
1st&substream,deep in you,0,,-,0,,-,0,,-,656,DONUTS,山形県,0,,-
1st&substream,5.1.1.,0,,-,198,DONUTS,山形県,1008,DONUTS,山形県,1555,DONUTS,山形県,0,,-
1st&substream,22DUNK,0,,-,487,SA21,山形県,544,SNRX,山形県,633,TOMOKI,山形県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,269,RYOTA3,山形県,0,,-,634,LOXON.,山形県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,325,LAZY,山形県,832,TOMOKI,山形県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,536,KKS,山形県,0,,-,1187,NANIKA,山形県,0,,-
2nd style,I Was The One,0,,-,354,ROBERT,山形県,466,HOGE,山形県,676,TOMOKI,山形県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,455,ROBERT,山形県,488,ROBERT,山形県,1048,TOMOKI,山形県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,87,HEKI,山形県,1083,TOMOKI,山形県,0,,-
2nd style,.59,0,,-,708,DONUTS,山形県,1007,DONUTS,山形県,1121,DONUTS,山形県,0,,-
3rd style,THE SAFARI,356,LOXON.,山形県,837,33KOU2,山形県,1691,DONUTS,山形県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,187,JUN,山形県,395,DONUTS,山形県,0,,-,0,,-
3rd style,Skyscraper,0,,-,470,ARU,山形県,571,EL*514,山形県,1176,LOXON.,山形県,0,,-
3rd style,Schlagwerk,0,,-,724,YS,山形県,1286,TOMOKI,山形県,1654,DONUTS,山形県,0,,-
3rd style,REINCARNATION,0,,-,441,UTAO,山形県,930,BIG,山形県,1202,LOXON.,山形県,0,,-
3rd style,R5,0,,-,470,ROBERT,山形県,1142,DONUT$,山形県,1741,DONUTS,山形県,0,,-
3rd style,Presto,0,,-,257,LAZY,山形県,932,LIGETY,山形県,995,Y*KANA,山形県,0,,-
3rd style,LEADING CYBER,0,,-,761,YS,山形県,470,KAZU,山形県,1242,TOMOKI,山形県,0,,-
3rd style,Holic,0,,-,708,BIG,山形県,942,YOMO-R,山形県,1635,DONUTS,山形県,0,,-
3rd style,era (nostalmix),0,,-,572,YAMATO,山形県,1080,DONUTS,山形県,1382,ANI,山形県,0,,-
3rd style,Don't Stop!,0,,-,584,ROBERT,山形県,690,YS,山形県,867,LOXON.,山形県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,444,KKS,山形県,1228,TOMOKI,山形県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,1085,3710,山形県,1278,NEWYO9,山形県,0,,-
4th style,SWEET LAB,0,,-,493,ALEXIA,山形県,497,SUTA,山形県,1307,EVNRSW,山形県,0,,-
4th style,starmine,428,BIG,山形県,451,KOOOSK,山形県,1367,DONUT$,山形県,1541,TOMOKI,山形県,0,,-
4th style,Mr.T.(take me higher),0,,-,772,YS,山形県,917,BIG,山形県,1695,TOMOKI,山形県,0,,-
4th style,minimalian,0,,-,272,UTAO,山形県,912,BIG,山形県,1288,KA37GI,山形県,0,,-
4th style,LOVE WILL・・・,0,,-,500,YS,山形県,675,ZZ,山形県,1445,A-SORA,山形県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1273,JOKER,山形県,2231,NANIKA,山形県,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,662,SUTA,山形県,1000,NEWYO9,山形県,0,,-
4th style,Hitch Hiker2,0,,-,318,HG,山形県,893,VIONAN,山形県,1244,LOXON.,山形県,0,,-
4th style,HIGHER,0,,-,497,YS,山形県,867,SA21,山形県,1256,HARU*,山形県,0,,-
4th style,FLOWERS for ALBION,0,,-,223,BIG,山形県,437,DONUT$,山形県,0,,-,0,,-
4th style,era (step mix),0,,-,649,TAPPY,山形県,1150,BIG,山形県,1554,EVNRSW,山形県,0,,-
4th style,empathy,0,,-,579,TAPPY,山形県,601,YOMO-R,山形県,1341,TOMOKI,山形県,0,,-
4th style,DXY!,0,,-,875,SUTA,山形県,1693,ANI,山形県,2162,NANIKA,山形県,0,,-
4th style,Clione,0,,-,518,DONUTS,山形県,933,DONUTS,山形県,1585,DONUTS,山形県,2022,HARU*,山形県
4th style,CHECKING YOU OUT,0,,-,560,TA93N!,山形県,868,N-PSTL,山形県,1258,A-SORA,山形県,0,,-
4th style,Burnin' The Floor,0,,-,280,KAZU,山形県,0,,-,1429,DONUTS,山形県,0,,-
4th style,Broken My Heart,0,,-,808,YS,山形県,1268,OLIVE,山形県,1718,ANI,山形県,0,,-
4th style,B4U,0,,-,656,IRIS,山形県,1366,SA21,山形県,1876,EVNRSW,山形県,0,,-
4th style,ABSOLUTE,0,,-,1131,DAISY*,山形県,1555,DUSTAR,山形県,2211,ANI,山形県,2600,XABRE,山形県
4th style,250bpm,0,,-,0,,-,843,BIG,山形県,1334,RIZ,山形県,0,,-
5th style,V,316,FUBUKI,山形県,1166,MA*,山形県,2407,DONUT$,山形県,2954,A-SORA,山形県,0,,-
5th style,THE SHINING POLARIS,0,,-,837,ALEXIA,山形県,680,EBSRX,山形県,1535,TOMOKI,山形県,0,,-
5th style,THE CUBE,0,,-,661,YS,山形県,933,YOMO-R,山形県,1323,TOMOKI,山形県,0,,-
5th style,sync,0,,-,1001,BIG,山形県,1609,BIFFAR,山形県,2291,NEWYO9,山形県,0,,-
5th style,still my words,0,,-,542,ROBERT,山形県,1212,TOMOKI,山形県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,929,ALEXIA,山形県,681,SUTA,山形県,1863,NANIKA,山形県,0,,-
