バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,548,CHESYA,茨城県,976,SIN5,茨城県,1131,SAZAE,茨城県,0,,-
1st&substream,RUGGED ASH,0,,-,363,HENSEL,茨城県,396,HENSEL,茨城県,1038,REAPER,茨城県,1981,AXEL3,茨城県
1st&substream,R3,0,,-,549,KUMA.,茨城県,705,HENSEL,茨城県,896,SAZAE,茨城県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,483,CHESYA,茨城県,694,ACE.EX,茨城県,1095,ADA.W?,茨城県,0,,-
1st&substream,Macho Gang,0,,-,370,HENSEL,茨城県,932,KOKUTA,茨城県,1649,KCHP72,茨城県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,190,GOD-P,茨城県,241,SAZAE,茨城県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,842,HENSEL,茨城県,915,HENSEL,茨城県,1129,VAG.MT,茨城県,0,,-
1st&substream,gentle stress,0,,-,338,HENSEL,茨城県,666,R.U.!,茨城県,1440,SAZAE,茨城県,0,,-
1st&substream,GENOM SCREAMS,0,,-,405,AKML,茨城県,810,Y2J,茨城県,1059,SAZAE,茨城県,0,,-
1st&substream,GAMBOL,0,,-,271,SAZAE,茨城県,274,ANZU.K,茨城県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,395,REMAKO,茨城県,508,HENSEL,茨城県,568,SAZAE,茨城県,0,,-
1st&substream,deep in you,0,,-,418,EBIOS,茨城県,462,TOTTIE,茨城県,654,SAZAE,茨城県,0,,-
1st&substream,5.1.1.,0,,-,195,REMAKO,茨城県,997,Y2J,茨城県,1564,MOKA.A,茨城県,0,,-
1st&substream,22DUNK,0,,-,490,SIN5,茨城県,622,Y2J,茨城県,650,871,茨城県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,HENSEL,茨城県,576,HENSEL,茨城県,644,SAZAE,茨城県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,413,MATIDA,茨城県,854,SAZAE,茨城県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,798,COCO*,茨城県,964,DARWIN,茨城県,1211,SAZAE,茨城県,0,,-
2nd style,I Was The One,0,,-,506,COCO*,茨城県,632,HENSEL,茨城県,674,Y2J,茨城県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,642,EBIOS,茨城県,872,G*TAKA,茨城県,1067,SAZAE,茨城県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,629,GEN-H,茨城県,948,ILOHAS,茨城県,1114,SAZAE,茨城県,0,,-
