バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,788,DICE,東京都,1025,DICE,東京都,1153,*1048*,東京都,0,,-
1st&substream,RUGGED ASH,0,,-,367,DICE,東京都,400,SERABI,東京都,1080,HOI2,東京都,2043,M!KAMO,東京都
1st&substream,R3,0,,-,654,DICE,東京都,732,DICE,東京都,905,M!KAMO,東京都,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,551,DICE,東京都,736,DICE,東京都,1098,DICE,東京都,0,,-
1st&substream,Macho Gang,0,,-,376,DICE,東京都,1035,SERABI,東京都,1616,NAGISA,東京都,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,DICE,東京都,244,KURIPA,東京都,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,866,DICE,東京都,988,DICE,東京都,1202,DICE,東京都,0,,-
1st&substream,gentle stress,0,,-,343,LAHAR*,東京都,677,Y13,東京都,1448,*1048*,東京都,0,,-
1st&substream,GENOM SCREAMS,0,,-,417,DICE,東京都,826,M!KAMO,東京都,1064,NAGISA,東京都,0,,-
1st&substream,GAMBOL,0,,-,273,WLEN7,東京都,274,AIL,東京都,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,400,DICE,東京都,509,284KYO,東京都,576,*TA93N,東京都,0,,-
1st&substream,deep in you,0,,-,481,DICE,東京都,498,DICE,東京都,660,*1048*,東京都,0,,-
1st&substream,5.1.1.,0,,-,198,405,東京都,1005,SERABI,東京都,1568,BMSP,東京都,0,,-
1st&substream,22DUNK,0,,-,519,DICE,東京都,642,*1048*,東京都,655,SHINPO,東京都,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,506,DICE,東京都,618,DICE,東京都,643,DICE,東京都,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,573,DICE,東京都,865,*1048*,東京都,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,844,DICE,東京都,1082,MANTIS,東京都,1201,.,東京都,0,,-
2nd style,I Was The One,0,,-,539,DICE,東京都,619,ASA!0,東京都,691,AIL,東京都,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,767,DICE,東京都,948,DICE,東京都,1058,DICE,東京都,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,736,DICE,東京都,987,-RYO-,東京都,1119,LAHAR*,東京都,0,,-
2nd style,.59,0,,-,694,DICE,東京都,976,IROHA*,東京都,1155,RAQUEL,東京都,0,,-
3rd style,THE SAFARI,365,DICE,東京都,1221,DICE,東京都,1776,*1048*,東京都,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,DICE,東京都,394,284KYO,東京都,0,,-,0,,-
3rd style,Skyscraper,0,,-,740,DICE,東京都,1198,DICE,東京都,1234,55TEA*,東京都,0,,-
3rd style,Schlagwerk,0,,-,815,DICE,東京都,1298,Y13,東京都,1688,ZUBU,東京都,0,,-
3rd style,REINCARNATION,0,,-,773,MANTIS,東京都,1021,DICE,東京都,1256,NAGISA,東京都,0,,-
3rd style,R5,0,,-,765,DICE,東京都,1167,NOHOHO,東京都,1763,MI7RAI,東京都,0,,-
3rd style,Presto,0,,-,538,DICE,東京都,975,SHINPO,東京都,999,55TEA*,東京都,0,,-
3rd style,LEADING CYBER,0,,-,846,DICE,東京都,1139,729,東京都,1255,LAHAR*,東京都,0,,-
3rd style,Holic,0,,-,783,DICE,東京都,1221,DICE,東京都,1713,MI7RAI,東京都,0,,-
3rd style,era (nostalmix),0,,-,801,MANTIS,東京都,1082,DICE,東京都,1515,MI7RAI,東京都,0,,-
3rd style,Don't Stop!,0,,-,771,DICE,東京都,848,SOU5,東京都,906,RAQUEL,東京都,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,613,DICE,東京都,1254,ALIKIA,東京都,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,942,DICE,東京都,1198,DICE,東京都,1325,TAKMI,東京都,0,,-
4th style,SWEET LAB,0,,-,553,DICE,東京都,972,DICE,東京都,1337,SHINPO,東京都,0,,-
4th style,starmine,445,DICE,東京都,890,DICE,東京都,1405,DICE,東京都,1575,KT4ER1,東京都,0,,-
4th style,Mr.T.(take me higher),0,,-,846,DICE,東京都,1003,DICE,東京都,1748,BANO,東京都,0,,-
4th style,minimalian,0,,-,538,DICE,東京都,1088,DICE,東京都,1381,KT4ER1,東京都,0,,-
4th style,LOVE WILL・・・,0,,-,547,DICE,東京都,747,DICE,東京都,1463,ALIKIA,東京都,0,,-
4th style,KAMIKAZE,0,,-,1019,DICE,東京都,1474,DICE,東京都,2281,NAGISA,東京都,0,,-
4th style,Jam&Marmalade,0,,-,766,DICE,東京都,896,DICE,東京都,1004,55TEA*,東京都,0,,-
4th style,Hitch Hiker2,0,,-,827,DICE,東京都,1185,NESS,東京都,1321,*1048*,東京都,0,,-
4th style,HIGHER,0,,-,533,DICE,東京都,865,MA2RI,東京都,1277,ALIKIA,東京都,0,,-
4th style,FLOWERS for ALBION,0,,-,235,DICE,東京都,441,LAHAR*,東京都,0,,-,0,,-
4th style,era (step mix),0,,-,1093,DICE,東京都,1360,SERABI,東京都,1720,ZUBU,東京都,0,,-
4th style,empathy,0,,-,823,DICE,東京都,1359,DICE,東京都,1457,SHINPO,東京都,0,,-
4th style,DXY!,0,,-,1270,DICE,東京都,1854,LAHAR*,東京都,2224,TA-YJS,東京都,0,,-
4th style,Clione,0,,-,502,RUDDLE,東京都,930,SERABI,東京都,1606,NAGISA,東京都,2177,M!KAMO,東京都
4th style,CHECKING YOU OUT,0,,-,644,DICE,東京都,934,SHINPO,東京都,1348,SHINPO,東京都,0,,-
4th style,Burnin' The Floor,0,,-,581,DICE,東京都,935,DICE,東京都,1438,ALIKIA,東京都,0,,-
4th style,Broken My Heart,0,,-,934,DICE,東京都,1467,DICE,東京都,1795,.,東京都,0,,-
4th style,B4U,0,,-,1056,DICE,東京都,1549,DICE,東京都,1977,55TEA*,東京都,0,,-
4th style,ABSOLUTE,0,,-,1285,RUDDLE,東京都,1752,KA2718,東京都,2395,M!KAMO,東京都,2759,M!KAMO,東京都
4th style,250bpm,0,,-,687,DICE,東京都,1022,DICE,東京都,1412,NAGISA,東京都,0,,-
5th style,V,346,YOSSY,東京都,1229,Y0S$!,東京都,2508,KT4ER1,東京都,3003,*1048*,東京都,0,,-
5th style,THE SHINING POLARIS,0,,-,953,DICE,東京都,1240,SERABI,東京都,1588,M!KAMO,東京都,0,,-
5th style,THE CUBE,0,,-,737,DICE,東京都,1276,EXIT,東京都,1351,NOHOHO,東京都,0,,-
5th style,sync,0,,-,1087,DICE,東京都,1816,KA2718,東京都,2372,.ZIP,東京都,0,,-
5th style,still my words,0,,-,837,PA,東京都,1231,M!KAMO,東京都,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1028,DICE,東京都,1357,DICE,東京都,1924,M!KAMO,東京都,0,,-
5th style,Spin the disc,0,,-,803,DICE,東京都,1271,DICE,東京都,1334,*1048*,東京都,0,,-
5th style,RISLIM,0,,-,909,DICE,東京都,1227,RAQUEL,東京都,0,,-,0,,-
