バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,788,STEEL*,神奈川県,1043,GOEMON,神奈川県,1148,DINASO,神奈川県,0,,-
1st&substream,RUGGED ASH,0,,-,370,17GO!?,神奈川県,402,17GO!?,神奈川県,1084,STEEL*,神奈川県,2036,DINASO,神奈川県
1st&substream,R3,0,,-,660,17GO!?,神奈川県,732,GOEMON,神奈川県,898,5N,神奈川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,554,STEEL*,神奈川県,750,GOEMON,神奈川県,1106,5TYU-,神奈川県,0,,-
1st&substream,Macho Gang,0,,-,382,MARINA,神奈川県,1061,GOEMON,神奈川県,1639,NO4XTK,神奈川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,*9N2*,神奈川県,244,SAIZE,神奈川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,875,STEEL*,神奈川県,993,STEEL*,神奈川県,1196,AZTEC,神奈川県,0,,-
1st&substream,gentle stress,0,,-,344,*9N2*,神奈川県,677,STEEL*,神奈川県,1452,STYU--,神奈川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,422,17GO!?,神奈川県,822,GOEMON,神奈川県,1066,DINASO,神奈川県,0,,-
1st&substream,GAMBOL,0,,-,274,17GO!?,神奈川県,274,SAIZE,神奈川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,408,17GO!?,神奈川県,519,STEEL*,神奈川県,579,17GO!?,神奈川県,0,,-
1st&substream,deep in you,0,,-,498,17GO!?,神奈川県,505,GOEMON,神奈川県,659,AZTEC,神奈川県,0,,-
1st&substream,5.1.1.,0,,-,198,17GO!?,神奈川県,1020,GOEMON,神奈川県,1565,STEEL*,神奈川県,0,,-
1st&substream,22DUNK,0,,-,526,17GO!?,神奈川県,639,STEEL*,神奈川県,654,STEEL*,神奈川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,508,17GO!?,神奈川県,624,17GO!?,神奈川県,647,MARORO,神奈川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,580,STEEL*,神奈川県,857,*9N2*,神奈川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,875,17GO!?,神奈川県,1114,GOEMON,神奈川県,1222,IIDX27,神奈川県,0,,-
2nd style,I Was The One,0,,-,532,STEEL*,神奈川県,650,STEEL*,神奈川県,689,*9N2*,神奈川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,770,STEEL*,神奈川県,955,GOEMON,神奈川県,1066,DINASO,神奈川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,737,STEEL*,神奈川県,1054,GOEMON,神奈川県,1119,MARORO,神奈川県,0,,-
2nd style,.59,0,,-,717,STEEL*,神奈川県,1016,STEEL*,神奈川県,1145,SAIZE,神奈川県,0,,-
3rd style,THE SAFARI,366,*9N2*,神奈川県,1227,STEEL*,神奈川県,1763,QSAMA,神奈川県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,282,*9N2*,神奈川県,396,17GO!?,神奈川県,0,,-,0,,-
3rd style,Skyscraper,0,,-,726,STEEL*,神奈川県,1197,GOEMON,神奈川県,1245,SEKI,神奈川県,0,,-
3rd style,Schlagwerk,0,,-,812,STEEL*,神奈川県,1306,STEEL*,神奈川県,1667,STEEL*,神奈川県,0,,-
3rd style,REINCARNATION,0,,-,846,17GO!?,神奈川県,1035,STEEL*,神奈川県,1272,DINASO,神奈川県,0,,-
3rd style,R5,0,,-,767,STEEL*,神奈川県,1166,STEEL*,神奈川県,1764,ENDURE,神奈川県,0,,-
3rd style,Presto,0,,-,546,MARINA,神奈川県,980,GOEMON,神奈川県,1010,AZTEC,神奈川県,0,,-
3rd style,LEADING CYBER,0,,-,858,STEEL*,神奈川県,1212,STEEL*,神奈川県,1270,SAIZE,神奈川県,0,,-
3rd style,Holic,0,,-,773,STEEL*,神奈川県,1231,STEEL*,神奈川県,1720,DINASO,神奈川県,0,,-
3rd style,era (nostalmix),0,,-,826,STEEL*,神奈川県,1074,106.,神奈川県,1506,SAIZE,神奈川県,0,,-
3rd style,Don't Stop!,0,,-,777,STEEL*,神奈川県,853,GOEMON,神奈川県,904,SAIZE,神奈川県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,620,17GO!?,神奈川県,1257,DINASO,神奈川県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,925,DLSITE,神奈川県,1215,GOEMON,神奈川県,1319,1-YEN,神奈川県,0,,-
4th style,SWEET LAB,0,,-,558,17GO!?,神奈川県,975,GOEMON,神奈川県,1364,AZTEC,神奈川県,0,,-
4th style,starmine,448,*9N2*,神奈川県,904,STEEL*,神奈川県,1418,STEEL*,神奈川県,1582,DINASO,神奈川県,0,,-
4th style,Mr.T.(take me higher),0,,-,853,17GO!?,神奈川県,1016,17GO!?,神奈川県,1745,IIDX27,神奈川県,0,,-
4th style,minimalian,0,,-,531,STEEL*,神奈川県,1101,GOEMON,神奈川県,1398,SEKI,神奈川県,0,,-
4th style,LOVE WILL・・・,0,,-,558,17GO!?,神奈川県,756,17GO!?,神奈川県,1461,DINASO,神奈川県,0,,-
4th style,KAMIKAZE,0,,-,1021,17GO!?,神奈川県,1476,GOEMON,神奈川県,2299,PE4JUN,神奈川県,0,,-
4th style,Jam&Marmalade,0,,-,772,STEEL*,神奈川県,905,STEEL*,神奈川県,1018,DINASO,神奈川県,0,,-
4th style,Hitch Hiker2,0,,-,829,STEEL*,神奈川県,1202,17GO!?,神奈川県,1317,DINASO,神奈川県,0,,-
4th style,HIGHER,0,,-,540,17GO!?,神奈川県,933,17GO!?,神奈川県,1280,RIVER.,神奈川県,0,,-
4th style,FLOWERS for ALBION,0,,-,244,MARINA,神奈川県,443,SAIZE,神奈川県,0,,-,0,,-
4th style,era (step mix),0,,-,1079,STEEL*,神奈川県,1419,GOEMON,神奈川県,1696,AZTEC,神奈川県,0,,-
4th style,empathy,0,,-,821,STEEL*,神奈川県,1354,GOEMON,神奈川県,1454,SAIZE,神奈川県,0,,-
4th style,DXY!,0,,-,1274,STEEL*,神奈川県,1852,STEEL*,神奈川県,2250,DINASO,神奈川県,0,,-
4th style,Clione,0,,-,528,*9N2*,神奈川県,947,GOEMON,神奈川県,1616,STYU--,神奈川県,2171,STYU--,神奈川県
4th style,CHECKING YOU OUT,0,,-,626,STEEL*,神奈川県,916,KANON,神奈川県,1343,WELLOW,神奈川県,0,,-
4th style,Burnin' The Floor,0,,-,582,STEEL*,神奈川県,953,GOEMON,神奈川県,1435,PE4JUN,神奈川県,0,,-
4th style,Broken My Heart,0,,-,937,STEEL*,神奈川県,1485,GOEMON,神奈川県,1817,DINASO,神奈川県,0,,-
4th style,B4U,0,,-,1069,17GO!?,神奈川県,1565,MARORO,神奈川県,1985,6-PIN,神奈川県,0,,-
4th style,ABSOLUTE,0,,-,1336,STEEL*,神奈川県,1804,STEEL*,神奈川県,2389,DINASO,神奈川県,2748,DINASO,神奈川県
4th style,250bpm,0,,-,694,STEEL*,神奈川県,1023,GOEMON,神奈川県,1429,DINASO,神奈川県,0,,-
5th style,V,346,STEEL*,神奈川県,1284,4KIB!,神奈川県,2496,GOEMON,神奈川県,2990,DINASO,神奈川県,0,,-
5th style,THE SHINING POLARIS,0,,-,946,STEEL*,神奈川県,1306,GOEMON,神奈川県,1590,IIDX27,神奈川県,0,,-
5th style,THE CUBE,0,,-,742,STEEL*,神奈川県,1239,STEEL*,神奈川県,1348,STEEL*,神奈川県,0,,-
5th style,sync,0,,-,1078,17GO!?,神奈川県,1933,GOEMON,神奈川県,2370,AZTEC,神奈川県,0,,-
5th style,still my words,0,,-,921,STEEL*,神奈川県,1231,STYU--,神奈川県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,1027,17GO!?,神奈川県,1369,GOEMON,神奈川県,1902,WELLOW,神奈川県,0,,-
5th style,Spin the disc,0,,-,814,17GO!?,神奈川県,1294,GOEMON,神奈川県,1325,DINASO,神奈川県,0,,-
5th style,RISLIM,0,,-,922,STEEL*,神奈川県,1223,PE4JUN,神奈川県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,903,17GO!?,神奈川県,1074,GOEMON,神奈川県,1704,IIDX27,神奈川県,1814,WELLOW,神奈川県
5th style,Regulus,0,,-,1066,STEEL*,神奈川県,1518,GOEMON,神奈川県,1717,AZTEC,神奈川県,0,,-
5th style,Real,0,,-,1089,STEEL*,神奈川県,1673,STEEL*,神奈川県,1794,DINASO,神奈川県,0,,-
5th style,Radical Faith,0,,-,1186,STEEL*,神奈川県,1496,STEEL*,神奈川県,1291,STEEL*,神奈川県,0,,-
5th style,QQQ,0,,-,1231,STEEL*,神奈川県,1887,GOEMON,神奈川県,2174,5TYU-,神奈川県,0,,-
5th style,outer wall,0,,-,906,STEEL*,神奈川県,1344,GOEMON,神奈川県,1758,PE4JUN,神奈川県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,768,17GO!?,神奈川県,998,GOEMON,神奈川県,1115,ENDURE,神奈川県,0,,-
5th style,in my eyes,0,,-,964,17GO!?,神奈川県,1456,STEEL*,神奈川県,1570,6-PIN,神奈川県,0,,-
5th style,Abyss,0,,-,1269,STEEL*,神奈川県,1618,STEEL*,神奈川県,1867,IIDX27,神奈川県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1091,STEEL*,神奈川県,1557,*FELI,神奈川県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,855,STEEL*,神奈川県,1280,STEEL*,神奈川県,1377,6-PIN,神奈川県,0,,-
6th style,VJ ARMY,0,,-,1267,STEEL*,神奈川県,1695,STEEL*,神奈川県,2191,WELLOW,神奈川県,0,,-
6th style,Take It Easy,0,,-,1461,STEEL*,神奈川県,2356,STEEL*,神奈川県,2520,DINASO,神奈川県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1282,FMN,神奈川県,1819,ENDURE,神奈川県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,925,STEEL*,神奈川県,1330,STEEL*,神奈川県,1986,STEEL*,神奈川県,0,,-
6th style,route 80s,0,,-,887,FMN,神奈川県,1198,GOEMON,神奈川県,1493,MUTE,神奈川県,0,,-
6th style,rottel-da-sun,0,,-,822,STEEL*,神奈川県,1362,GOEMON,神奈川県,1824,SEKI,神奈川県,0,,-
6th style,NEMESIS,0,,-,1023,FMN,神奈川県,1613,STEEL*,神奈川県,1881,AZTEC,神奈川県,0,,-
6th style,Linus,0,,-,953,STEEL*,神奈川県,1547,STEEL*,神奈川県,2186,STYU--,神奈川県,0,,-
6th style,G2,0,,-,1453,STEEL*,神奈川県,1782,STEEL*,神奈川県,2344,DINASO,神奈川県,0,,-
