バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,663,MIKOTO,新潟県,1020,RYUTEX,新潟県,1150,SENIOR,新潟県,0,,-
1st&substream,RUGGED ASH,0,,-,318,BOW,新潟県,389,KIBANA,新潟県,1085,SENIOR,新潟県,1971,WAFFLE,新潟県
1st&substream,R3,0,,-,588,W1N9$!,新潟県,694,1G,新潟県,904,NON.M,新潟県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,521,DAIRA,新潟県,704,KIBANA,新潟県,1114,SENIOR,新潟県,0,,-
1st&substream,Macho Gang,0,,-,379,AGYPO3,新潟県,974,KIBANA,新潟県,1630,#PACHI,新潟県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,169,CFHS,新潟県,242,NON.M,新潟県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,545,SOUYA,新潟県,940,1G,新潟県,1189,SENIOR,新潟県,0,,-
1st&substream,gentle stress,0,,-,343,9MAMON,新潟県,675,9MAMON,新潟県,1442,NON.M,新潟県,0,,-
1st&substream,GENOM SCREAMS,0,,-,336,W1N9$!,新潟県,756,KISAKA,新潟県,1062,NON.M,新潟県,0,,-
1st&substream,GAMBOL,0,,-,270,9MAMON,新潟県,274,BLONK,新潟県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,386,LEAFLY,新潟県,480,KIBANA,新潟県,576,BLONK,新潟県,0,,-
1st&substream,deep in you,0,,-,473,DE-SKE,新潟県,499,INTAI,新潟県,658,BLONK,新潟県,0,,-
1st&substream,5.1.1.,0,,-,195,INTAI,新潟県,1010,MAKO-G,新潟県,1559,NON.M,新潟県,0,,-
1st&substream,22DUNK,0,,-,326,NGT48,新潟県,585,KIBANA,新潟県,654,NON.M,新潟県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,LEAFLY,新潟県,584,KIBANA,新潟県,647,NON.M,新潟県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,552,968G!,新潟県,853,D.H,新潟県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,523,INA,新潟県,1070,INTAI,新潟県,1215,ZANGIF,新潟県,0,,-
2nd style,I Was The One,0,,-,484,W1N9$!,新潟県,621,KIBANA,新潟県,689,WAFFLE,新潟県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,702,M-NYAN,新潟県,867,KIBANA,新潟県,1060,SENIOR,新潟県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,716,AGYPO3,新潟県,1008,AGYPO3,新潟県,1134,NON.M,新潟県,0,,-
2nd style,.59,0,,-,602,THEIKA,新潟県,987,INTAI,新潟県,1149,NON.M,新潟県,0,,-
3rd style,THE SAFARI,365,9MAMON,新潟県,1163,AKI*LV,新潟県,1764,ZANGIF,新潟県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,255,MIKOTO,新潟県,393,9MAMON,新潟県,0,,-,0,,-
3rd style,Skyscraper,0,,-,719,AKI*LV,新潟県,1101,KIBANA,新潟県,1244,NON.M,新潟県,0,,-
3rd style,Schlagwerk,0,,-,800,AKI*LV,新潟県,1212,KIBANA,新潟県,1686,SENIOR,新潟県,0,,-
3rd style,REINCARNATION,0,,-,808,AKI*LV,新潟県,957,KIBANA,新潟県,1268,ZANGIF,新潟県,0,,-
3rd style,R5,0,,-,755,ESM-K,新潟県,1143,INTAI,新潟県,1760,ZANGIF,新潟県,0,,-
3rd style,Presto,0,,-,514,AKI*LV,新潟県,911,RA,新潟県,997,SENIOR,新潟県,0,,-
3rd style,LEADING CYBER,0,,-,832,AKI*LV,新潟県,1135,ATY&CO,新潟県,1263,SENIOR,新潟県,0,,-
