バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,499,KAKIP,石川県,899,4423,石川県,1128,AIMYON,石川県,0,,-
1st&substream,RUGGED ASH,0,,-,355,DUKE,石川県,380,R488,石川県,1068,ISANA*,石川県,1947,ZXCV,石川県
1st&substream,R3,0,,-,571,KEY&CO,石川県,631,I,石川県,885,AIMYON,石川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,497,KAKIP,石川県,574,94,石川県,1095,AIMYON,石川県,0,,-
1st&substream,Macho Gang,0,,-,359,DUKE,石川県,710,STARTC,石川県,1605,AIMYON,石川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,R488,石川県,241,AIMYON,石川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,681,KSI,石川県,1195,AIMYON,石川県,0,,-
1st&substream,gentle stress,0,,-,342,S.CROW,石川県,667,AIMYON,石川県,1439,ZXCV,石川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,403,DUKE,石川県,421,AFLOM,石川県,1058,TEYAAN,石川県,0,,-
1st&substream,GAMBOL,0,,-,268,RIBA,石川県,271,AIMYON,石川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,391,DUKE,石川県,502,DUKE,石川県,572,AIMYON,石川県,0,,-
1st&substream,deep in you,0,,-,464,DUKE,石川県,462,DUKE,石川県,654,KAO.EW,石川県,0,,-
1st&substream,5.1.1.,0,,-,197,DUKE,石川県,901,I,石川県,1560,JUNA*,石川県,0,,-
1st&substream,22DUNK,0,,-,491,DUKE,石川県,517,KYURI,石川県,644,AIMYON,石川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,490,DUKE,石川県,563,R488,石川県,638,AIMYON,石川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,541,DUKE,石川県,860,TEYAAN,石川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,826,DUKE,石川県,696,AFLOM,石川県,1201,TEYAAN,石川県,0,,-
2nd style,I Was The One,0,,-,524,DUKE,石川県,604,DUKE,石川県,690,TEYAAN,石川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,739,DUKE,石川県,896,D*MRLS,石川県,1054,TEYAAN,石川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,702,DUKE,石川県,919,D*MRLS,石川県,1098,AIMYON,石川県,0,,-
2nd style,.59,0,,-,600,NEGINE,石川県,696,YOSHIO,石川県,1123,AIMYON,石川県,0,,-
3rd style,THE SAFARI,364,DUKE,石川県,1085,RYOKI.,石川県,1731,TEYAAN,石川県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,271,DUKE,石川県,395,AIMYON,石川県,0,,-,0,,-
3rd style,Skyscraper,0,,-,195,LYNN,石川県,735,CHACHA,石川県,1212,AIMYON,石川県,0,,-
3rd style,Schlagwerk,0,,-,767,D*MRLS,石川県,1216,D*MRLS,石川県,1650,AIMYON,石川県,0,,-
3rd style,REINCARNATION,0,,-,806,S.CROW,石川県,973,RIBA,石川県,1253,AIMYON,石川県,0,,-
3rd style,R5,0,,-,701,KAKIP,石川県,1100,CSEI.,石川県,1751,KAO.EW,石川県,0,,-
3rd style,Presto,0,,-,520,DUKE,石川県,902,RIBA,石川県,989,AIMYON,石川県,0,,-
3rd style,LEADING CYBER,0,,-,828,DUKE,石川県,1073,RYOKI.,石川県,1246,AIMYON,石川県,0,,-
3rd style,Holic,0,,-,718,D*MRLS,石川県,1108,D*MRLS,石川県,1683,TEYAAN,石川県,0,,-
3rd style,era (nostalmix),0,,-,726,KEY&CO,石川県,1021,RIBA,石川県,1523,133REN,石川県,0,,-
3rd style,Don't Stop!,0,,-,753,DUKE,石川県,832,YUME.A,石川県,902,TEYAAN,石川県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,606,DUKE,石川県,1250,TEYAAN,石川県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,1052,D*MRLS,石川県,1312,TEYAAN,石川県,0,,-
4th style,SWEET LAB,0,,-,507,DUKE,石川県,404,94,石川県,1334,JUNA*,石川県,0,,-
4th style,starmine,446,S.CROW,石川県,861,S.CROW,石川県,1310,7&ME,石川県,1564,TEYAAN,石川県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,888,RYOKI.,石川県,1738,TEYAAN,石川県,0,,-
4th style,minimalian,0,,-,518,DUKE,石川県,937,KEY&CO,石川県,1391,AIMYON,石川県,0,,-
4th style,LOVE WILL・・・,0,,-,505,CHABO,石川県,707,CORAL,石川県,1454,KAO.EW,石川県,0,,-
4th style,KAMIKAZE,0,,-,561,LYNN,石川県,1361,D*MRLS,石川県,2221,AIMYON,石川県,0,,-
4th style,Jam&Marmalade,0,,-,619,PARUKU,石川県,779,RYOKI.,石川県,986,AIMYON,石川県,0,,-
4th style,Hitch Hiker2,0,,-,802,DUKE,石川県,556,94,石川県,1306,AIMYON,石川県,0,,-
4th style,HIGHER,0,,-,522,DUKE,石川県,897,DUKE,石川県,1279,TEYAAN,石川県,0,,-
4th style,FLOWERS for ALBION,0,,-,235,DUKE,石川県,434,AIMYON,石川県,0,,-,0,,-
4th style,era (step mix),0,,-,1059,D*MRLS,石川県,1329,D*MRLS,石川県,1657,133REN,石川県,0,,-
4th style,empathy,0,,-,299,AZUREL,石川県,1149,D*MRLS,石川県,1391,AIMYON,石川県,0,,-
4th style,DXY!,0,,-,1174,D*MRLS,石川県,1611,S.CROW,石川県,2172,TEYAAN,石川県,0,,-
4th style,Clione,0,,-,514,DUKE,石川県,581,94,石川県,1608,TEYAAN,石川県,2099,CSEI.,石川県
4th style,CHECKING YOU OUT,0,,-,578,NAGI*,石川県,822,CSEI.,石川県,1288,133REN,石川県,0,,-
4th style,Burnin' The Floor,0,,-,566,DUKE,石川県,912,DUKE,石川県,1437,TEYAAN,石川県,0,,-
4th style,Broken My Heart,0,,-,801,KEY&CO,石川県,1351,RYOKI.,石川県,1797,TEYAAN,石川県,0,,-
4th style,B4U,0,,-,921,KEY&CO,石川県,1307,KEY&CO,石川県,1982,KAO.EW,石川県,0,,-
4th style,ABSOLUTE,0,,-,959,IIDX27,石川県,1658,RYOKI.,石川県,2300,CSEI.,石川県,2602,CSEI.,石川県
4th style,250bpm,0,,-,617,KEY&CO,石川県,858,RYOKI.,石川県,1388,RIS.KS,石川県,0,,-
5th style,V,340,S.CROW,石川県,1261,RIS.KS,石川県,2413,KOTO02,石川県,2878,KAO.EW,石川県,0,,-
5th style,THE SHINING POLARIS,0,,-,0,,-,777,7--,石川県,1573,TEYAAN,石川県,0,,-
5th style,THE CUBE,0,,-,653,178,石川県,1178,...,石川県,1349,TEYAAN,石川県,0,,-
5th style,sync,0,,-,989,MUS,石川県,1578,D*MRLS,石川県,2336,KAO.EW,石川県,0,,-
5th style,still my words,0,,-,534,DS,石川県,1229,TEYAAN,石川県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,652,MURASE,石川県,704,AFLOM,石川県,1907,KAO.EW,石川県,0,,-
5th style,Spin the disc,0,,-,703,KEY&CO,石川県,1091,.,石川県,1325,KAO.EW,石川県,0,,-
5th style,RISLIM,0,,-,745,ABYSS,石川県,1224,TEYAAN,石川県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,0,,-,685,AXAYUR,石川県,1652,AIMYON,石川県,1793,ISANA*,石川県
5th style,Regulus,0,,-,511,94,石川県,1103,*RUNA*,石川県,1682,TEYAAN,石川県,0,,-
5th style,Real,0,,-,0,,-,1337,KEY&CO,石川県,1792,133REN,石川県,0,,-
5th style,Radical Faith,0,,-,1111,D*MRLS,石川県,1447,AIMYON,石川県,1284,AIMYON,石川県,0,,-
5th style,QQQ,0,,-,0,,-,1662,KEY&CO,石川県,2143,KAO.EW,石川県,0,,-
5th style,outer wall,0,,-,771,CITRON,石川県,1191,K-66.,石川県,1730,AIMYON,石川県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,729,DUKE,石川県,634,INAFE,石川県,1119,TEYAAN,石川県,0,,-
5th style,in my eyes,0,,-,938,S.CROW,石川県,1298,PIKRYU,石川県,1576,KAO.EW,石川県,0,,-
5th style,Abyss,0,,-,1085,CITRON,石川県,1499,CHABO,石川県,1862,KAO.EW,石川県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,944,KEY&CO,石川県,1574,AIMYON,石川県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,0,,-,1102,RYOKI.,石川県,1352,ISANA*,石川県,0,,-
6th style,VJ ARMY,0,,-,1167,I,石川県,1608,R488,石川県,2145,AIMYON,石川県,0,,-
6th style,Take It Easy,0,,-,1209,KEY&CO,石川県,2352,ZXCV,石川県,2424,AIMYON,石川県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1165,D*MRLS,石川県,1794,KAO.EW,石川県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,624,94,石川県,1184,...,石川県,1963,TEYAAN,石川県,0,,-
6th style,route 80s,0,,-,799,CITRON,石川県,1005,KEY&CO,石川県,1465,AIMYON,石川県,0,,-
6th style,rottel-da-sun,0,,-,704,CHABO,石川県,1161,RYOKI.,石川県,1819,KAO.EW,石川県,0,,-
6th style,NEMESIS,0,,-,463,YORINE,石川県,1470,APPLE,石川県,1853,TEYAAN,石川県,0,,-
6th style,Linus,0,,-,848,KEY&CO,石川県,1363,U-KO3,石川県,2175,KAO.EW,石川県,0,,-
6th style,G2,0,,-,580,94,石川県,1581,D*MRLS,石川県,2225,133REN,石川県,0,,-
6th style,Frozen Ray (original mix),0,,-,773,YORINE,石川県,1501,AILE,石川県,1783,KAO.EW,石川県,0,,-
6th style,Free Style,0,,-,0,,-,973,YUME.A,石川県,1286,ISANA*,石川県,0,,-
6th style,fly through the night,0,,-,829,DUKE,石川県,1221,D*MRLS,石川県,1686,TEYAAN,石川県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,702,94,石川県,1529,MASAOH,石川県,2060,KAO.EW,石川県,0,,-
6th style,Colors (radio edit),0,,-,1363,S.CROW,石川県,1638,D*MRLS,石川県,2350,133REN,石川県,0,,-
6th style,Buffalo,0,,-,631,94,石川県,1013,CHACHA,石川県,1784,RIS.KS,石川県,0,,-
6th style,Blueberry Stream,0,,-,501,94,石川県,1167,D*MRLS,石川県,1582,AIMYON,石川県,0,,-
6th style,BALLAD FOR YOU～想いの雨～,0,,-,583,DUKE,石川県,513,94,石川県,1072,ISANA*,石川県,0,,-
6th style,"19,November",0,,-,0,,-,1294,D*MRLS,石川県,1779,TEYAAN,石川県,0,,-
7th style,革命,0,,-,481,94,石川県,1843,VARIUS,石川県,2255,TEYAAN,石川県,0,,-
7th style,ZERO-ONE,0,,-,922,CUR*RY,石川県,1190,KEY&CO,石川県,2204,KAO.EW,石川県,0,,-
7th style,traces,0,,-,1345,D*MRLS,石川県,1643,D*MRLS,石川県,2102,KAO.EW,石川県,0,,-
7th style,Tomorrow Perfume,0,,-,1144,KEY&CO,石川県,1697,...,石川県,2077,KAO.EW,石川県,0,,-
7th style,stoic,0,,-,1467,D*MRLS,石川県,2121,S.CROW,石川県,2453,TEYAAN,石川県,0,,-
7th style,Spica,0,,-,615,R488,石川県,1364,S.CROW,石川県,2178,RIS.KS,石川県,0,,-
7th style,Love Me Do,0,,-,0,,-,1297,REAM,石川県,2107,KAO.EW,石川県,0,,-
7th style,Let the Snow Paint Me,0,,-,836,S.CROW,石川県,666,94,石川県,1239,TEYAAN,石川県,0,,-
7th style,Last Message,0,,-,0,,-,1171,K-66.,石川県,1600,TEYAAN,石川県,0,,-
7th style,Happy Wedding,0,,-,754,NKMRL,石川県,1156,DAI***,石川県,1804,ISANA*,石川県,0,,-
7th style,Glorious Days,0,,-,499,DUKE,石川県,604,PARUKU,石川県,903,TEYAAN,石川県,0,,-
7th style,foreplay,0,,-,647,DUKE,石川県,988,KEY&CO,石川県,1305,TEYAAN,石川県,0,,-
7th style,DESTINY,0,,-,570,94,石川県,745,94,石川県,1837,KAO.EW,石川県,0,,-
7th style,D2R,0,,-,425,94,石川県,674,94,石川県,1626,KAO.EW,石川県,0,,-
7th style,Cheer Train,0,,-,548,94,石川県,809,CHACHA,石川県,1704,TEYAAN,石川県,0,,-
7th style,Burning Heat! (Full Option Mix),0,,-,661,DUKE,石川県,824,...,石川県,1454,TEYAAN,石川県,0,,-
7th style,Bad Routine,0,,-,579,94,石川県,1214,RYOKI.,石川県,1898,TEYAAN,石川県,0,,-
7th style,AVE DE RAPINA,0,,-,701,94,石川県,1407,KEY&CO,石川県,1803,TEYAAN,石川県,0,,-
7th style,A,0,,-,1085,KOBATO,石川県,1980,KT-UMA,石川県,2396,ZXCV,石川県,0,,-
8th style,蒼い衝動,0,,-,331,LYNN,石川県,985,MO*CHI,石川県,1594,TEYAAN,石川県,0,,-
8th style,桜,0,,-,821,KAKIP,石川県,1406,FUL.,石川県,2024,AIMYON,石川県,0,,-
8th style,xenon,0,,-,0,,-,1527,...,石川県,2640,KAO.EW,石川県,0,,-
8th style,World Wide Love,0,,-,691,DUKE,石川県,991,S.CROW,石川県,1113,TEYAAN,石川県,0,,-
8th style,WAR GAME,0,,-,552,LYNN,石川県,1426,NAGI*,石川県,2126,JUNA*,石川県,0,,-
8th style,thunder,0,,-,744,94,石川県,1395,KEY&CO,石川県,1869,TEYAAN,石川県,0,,-
8th style,symbolic,0,,-,1296,D*MRLS,石川県,1634,RYOKI.,石川県,2183,AIMYON,石川県,0,,-
8th style,STAR DREAM,0,,-,480,NKMRL,石川県,778,94,石川県,1439,TEYAAN,石川県,0,,-
8th style,rainbow flyer,0,,-,511,INAFE,石川県,1490,RYOKI.,石川県,2110,TEYAAN,石川県,0,,-
8th style,PLEASE DON'T GO,0,,-,0,,-,919,REAM,石川県,2357,JUNA*,石川県,0,,-
8th style,MUSIC TO YOUR HEAD,0,,-,0,,-,1235,D*MRLS,石川県,1644,AIMYON,石川県,0,,-
8th style,murmur twins,0,,-,694,SUIREN,石川県,1296,KEY&CO,石川県,2344,TEYAAN,石川県,0,,-
8th style,Monkey Dance,0,,-,0,,-,1225,RIBA,石川県,1968,KAO.EW,石川県,0,,-
8th style,memories,0,,-,470,LYNN,石川県,1825,RYOKI.,石川県,2224,133REN,石川県,0,,-
8th style,Luv 2 Feel Your Body,0,,-,0,,-,920,I,石川県,1611,TEYAAN,石川県,0,,-
8th style,LOVE IS ORANGE,0,,-,773,S.CROW,石川県,1004,S.CROW,石川県,1782,TEYAAN,石川県,0,,-
8th style,LAB,0,,-,856,HIJIN,石川県,1664,D*MRLS,石川県,2062,133REN,石川県,0,,-
8th style,HYPER BOUNDARY GATE,0,,-,1026,MAK,石川県,1599,WAON*C,石川県,2207,KAO.EW,石川県,0,,-
8th style,Halfway of promise,0,,-,900,KEY&CO,石川県,1335,BAGI-X,石川県,1794,KAO.EW,石川県,0,,-
8th style,Giudecca,0,,-,860,DUKE,石川県,1480,KYURI,石川県,2595,TEYAAN,石川県,0,,-
8th style,dual control,0,,-,427,94,石川県,785,LOOP,石川県,1799,AIMYON,石川県,0,,-
8th style,Colors -Y&Co. Eurobeat Remix-,0,,-,1034,KEY&CO,石川県,1747,KEY&CO,石川県,2174,TEYAAN,石川県,0,,-
8th style,CELEBRATE NITE,0,,-,858,K-NA,石川県,630,94,石川県,1413,TEYAAN,石川県,0,,-
8th style,Blame,0,,-,668,94,石川県,1356,DUKE,石川県,1890,TEYAAN,石川県,0,,-
8th style,bit mania,0,,-,844,DUKE,石川県,1048,YUURI,石川県,1853,TEYAAN,石川県,0,,-
8th style,Attitude,0,,-,913,KEY&CO,石川県,1269,D*MRLS,石川県,1733,KAO.EW,石川県,0,,-
8th style,ALL RIGHT,0,,-,832,DUKE,石川県,1181,D*MRLS,石川県,1608,KAO.EW,石川県,0,,-
8th style,airflow,0,,-,560,DUKE,石川県,573,LOOP,石川県,1417,TEYAAN,石川県,0,,-
8th style,abstract,0,,-,981,4423,石川県,1380,D*MRLS,石川県,1862,TEYAAN,石川県,0,,-
9th style,真夏の花・真夏の夢,0,,-,360,TOWA,石川県,753,AXAYUR,石川県,1424,KAO.EW,石川県,0,,-
9th style,ライオン好き,0,,-,0,,-,1092,MUS,石川県,1500,TEYAAN,石川県,0,,-
9th style,SWEETEST SAVAGE,0,,-,332,PA,石川県,1142,K-NA,石川県,1745,CSEI.,石川県,0,,-
9th style,Sweet Sweet Magic,0,,-,0,,-,1371,RYOKI.,石川県,2020,RIS.KS,石川県,0,,-
9th style,STAR FIELD,0,,-,673,S.CROW,石川県,1407,KEY&CO,石川県,1864,TEYAAN,石川県,0,,-
9th style,SNOW,0,,-,582,NKMRL,石川県,1252,R488,石川県,1986,133REN,石川県,0,,-
9th style,Silvia Drive,0,,-,781,KEY&CO,石川県,1367,...,石川県,2001,133REN,石川県,0,,-
9th style,rottel-the-Mercury,0,,-,708,KAKATO,石川県,1869,16-CHA,石川県,2256,JUNA*,石川県,0,,-
9th style,RISLIM -Remix-,0,,-,319,TOWA,石川県,871,RYOKI.,石川県,1826,AIMYON,石川県,0,,-
9th style,Really Love,0,,-,0,,-,894,K-66.,石川県,1716,TEYAAN,石川県,0,,-
9th style,Quickening,0,,-,0,,-,1468,DUKE,石川県,2062,KAO.EW,石川県,0,,-
9th style,quasar,0,,-,947,IIDX25,石川県,1546,RYOKI.,石川県,2255,JUNA*,石川県,0,,-
9th style,one or eight,0,,-,1120,KEY&CO,石川県,1807,CSEI.,石川県,2210,133REN,石川県,0,,-
9th style,moon_child,0,,-,526,LYNN,石川県,1671,S.CROW,石川県,2479,KAO.EW,石川県,0,,-
9th style,MARIA (I believe... ),0,,-,530,JANGLE,石川県,1341,KEY&CO,石川県,1943,133REN,石川県,0,,-
9th style,Make A Difference,0,,-,0,,-,1294,KEY&CO,石川県,2203,TEYAAN,石川県,0,,-
9th style,lower world,0,,-,1097,K-NA,石川県,1580,RYOKI.,石川県,2211,TEYAAN,石川県,0,,-
9th style,LOVE SHINE,533,AIMYON,石川県,673,JANGLE,石川県,1746,SYOMO1,石川県,2076,133REN,石川県,0,,-
9th style,lights,0,,-,663,DUKE,石川県,770,94,石川県,1765,TEYAAN,石川県,0,,-
9th style,Let The Snow Paint Me -Y&Co. Remix-,0,,-,782,KEY&CO,石川県,1127,BAGI-X,石川県,1801,TEYAAN,石川県,0,,-
9th style,Karma,0,,-,1224,S.CROW,石川県,1556,NAGI*,石川県,1781,KAO.EW,石川県,0,,-
9th style,I Was The One (80's EUROBEAT STYLE),0,,-,770,DUKE,石川県,1264,RYOKI.,石川県,1439,TEYAAN,石川県,0,,-
9th style,HYPER EUROBEAT (2DX style),0,,-,0,,-,1443,KEY&CO,石川県,1942,KAO.EW,石川県,0,,-
9th style,Golden Horn,0,,-,673,DUKE,石川県,1017,RYOKI.,石川県,1492,TEYAAN,石川県,0,,-
9th style,e-motion 2003  -romantic extra-,0,,-,738,94,石川県,1394,KEY&CO,石川県,1969,TEYAAN,石川県,0,,-
9th style,Distress,0,,-,1111,RYOKI.,石川県,1819,TEYAAN,石川県,0,,-,0,,-
9th style,Cradle,0,,-,704,JANGLE,石川県,1224,KEY&CO,石川県,1532,AIMYON,石川県,0,,-
9th style,BRIGHTNESS DARKNESS,0,,-,706,DUKE,石川県,1239,MASAOH,石川県,1744,TEYAAN,石川県,0,,-
9th style,bag,0,,-,419,94,石川県,849,HIJIN,石川県,1891,JUNA*,石川県,0,,-
9th style,BAD BOY BASS!! (dj Remo-con MIX),0,,-,700,JANGLE,石川県,1114,STYCK,石川県,1790,TEYAAN,石川県,0,,-
9th style,ATOMIC AGE,0,,-,0,,-,0,,-,1272,ISANA*,石川県,0,,-
9th style,ACT,0,,-,819,HIJIN,石川県,1403,KEY&CO,石川県,1843,KAO.EW,石川県,0,,-
9th style,Abyss -The Heavens Remix-,563,S.CROW,石川県,1072,SU,石川県,1755,VARIUS,石川県,2348,KAO.EW,石川県,0,,-
10th style,雪月花,0,,-,861,KAKIP,石川県,1832,CSEI.,石川県,2429,TEYAAN,石川県,0,,-
10th style,システムロマンス,0,,-,471,NIU.K,石川県,1543,CUR*RY,石川県,2006,AIMYON,石川県,0,,-
10th style,SPACE FIGHT,0,,-,624,DUKE,石川県,1260,KEY&CO,石川県,2197,AIMYON,石川県,0,,-
10th style,SHOOTING STAR,0,,-,938,CHACHA,石川県,1388,ABYSS,石川県,2259,TEYAAN,石川県,0,,-
10th style,Rise'n Beauty,0,,-,1151,CUR*RY,石川県,1569,KESSO,石川県,2146,TEYAAN,石川県,0,,-
10th style,rainbow rainbow,0,,-,1439,D*MRLS,石川県,1961,SYOMO1,石川県,2667,133REN,石川県,0,,-
10th style,pandora,0,,-,0,,-,1404,ABYSS,石川県,1835,KAO.EW,石川県,0,,-
10th style,One More Lovely,0,,-,690,YUM10,石川県,1623,ZXCV,石川県,2755,133REN,石川県,0,,-
10th style,No.13,0,,-,1046,SU,石川県,2235,ORCRRK,石川県,3073,KAO.EW,石川県,0,,-
10th style,Narcissus At Oasis,0,,-,544,JANGLE,石川県,1341,SYOMO1,石川県,1639,TEYAAN,石川県,0,,-
10th style,Lucy,0,,-,617,DS,石川県,1485,KEY&CO,石川県,2295,KAO.EW,石川県,0,,-
10th style,Love Is Eternity,0,,-,1126,KEY&CO,石川県,1772,S.CROW,石川県,2336,AIMYON,石川県,0,,-
10th style,Innocent Walls,0,,-,1347,D*MRLS,石川県,2375,AIMYON,石川県,2678,AIMYON,石川県,0,,-
10th style,HIGH,0,,-,659,CHACHA,石川県,1867,NNNN,石川県,2148,KAO.EW,石川県,0,,-
10th style,GRADIUS -FULL SPEED-,0,,-,691,DUKE,石川県,1004,RYOKI.,石川県,2056,133REN,石川県,0,,-
10th style,GHOST REVIVAL,0,,-,625,CHACHA,石川県,1713,RYOKI.,石川県,2510,TEYAAN,石川県,0,,-
10th style,Freezing atmosphere,0,,-,751,DUKE,石川県,605,94,石川県,1488,TEYAAN,石川県,0,,-
