バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,654,KYON,岐阜県,947,KONOHA,岐阜県,1122,NOY,岐阜県,0,,-
1st&substream,RUGGED ASH,0,,-,315,HATA*,岐阜県,386,VIP-KO,岐阜県,1067,NOY,岐阜県,1930,KODO.9,岐阜県
1st&substream,R3,0,,-,619,YUE.*,岐阜県,715,KARIN,岐阜県,899,AMER,岐阜県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,459,KYON,岐阜県,644,ONOZU,岐阜県,1098,NOY,岐阜県,0,,-
1st&substream,Macho Gang,0,,-,375,KH*358,岐阜県,849,DOG,岐阜県,1588,AZARA5,岐阜県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,154,MATUO,岐阜県,244,YUUNA,岐阜県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,625,HATA*,岐阜県,916,GO,岐阜県,1185,NOY,岐阜県,0,,-
1st&substream,gentle stress,0,,-,344,YUUNA,岐阜県,679,YUUNA,岐阜県,1424,SWOOPS,岐阜県,0,,-
1st&substream,GENOM SCREAMS,0,,-,397,DOG,岐阜県,695,NULL,岐阜県,1055,NOY,岐阜県,0,,-
1st&substream,GAMBOL,0,,-,256,DOG,岐阜県,274,YUUNA,岐阜県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,376,DOG,岐阜県,476,ROLES,岐阜県,576,NOY,岐阜県,0,,-
1st&substream,deep in you,0,,-,0,,-,465,DOG,岐阜県,656,YUUNA,岐阜県,0,,-
1st&substream,5.1.1.,0,,-,188,ROLES,岐阜県,973,ROLES,岐阜県,1546,ROCKY,岐阜県,0,,-
1st&substream,22DUNK,0,,-,508,YUE.*,岐阜県,562,DOG,岐阜県,651,YUUNA,岐阜県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,486,NAKA.C,岐阜県,582,DOG,岐阜県,646,YUUNA,岐阜県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,489,RN-LS,岐阜県,854,YUUNA,岐阜県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,340,SHU&U,岐阜県,914,DOG,岐阜県,1204,NOY,岐阜県,0,,-
2nd style,I Was The One,0,,-,298,SHU&U,岐阜県,617,DOG,岐阜県,690,YUUNA,岐阜県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,590,MIKA,岐阜県,813,DOG,岐阜県,1054,NOY,岐阜県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,683,DOG,岐阜県,904,DOG,岐阜県,1107,NOY,岐阜県,0,,-
2nd style,.59,0,,-,422,YMST,岐阜県,918,ROLES,岐阜県,1142,KH*358,岐阜県,0,,-
3rd style,THE SAFARI,365,MIMORI,岐阜県,1005,CAMUI*,岐阜県,1733,LUXSOL,岐阜県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,252,YUE.*,岐阜県,396,YUUNA,岐阜県,0,,-,0,,-
3rd style,Skyscraper,0,,-,440,SHU&U,岐阜県,1085,KONOHA,岐阜県,1232,NOY,岐阜県,0,,-
3rd style,Schlagwerk,0,,-,781,YUE.*,岐阜県,1185,NULL,岐阜県,1646,NOY,岐阜県,0,,-
3rd style,REINCARNATION,0,,-,551,GENER8,岐阜県,974,GMT.RK,岐阜県,1256,NOY,岐阜県,0,,-
3rd style,R5,0,,-,557,NAMAKO,岐阜県,1138,77MARU,岐阜県,1759,AZARA5,岐阜県,0,,-
3rd style,Presto,0,,-,317,GENER8,岐阜県,895,ROLES,岐阜県,996,AZARA5,岐阜県,0,,-
3rd style,LEADING CYBER,0,,-,676,MIKA,岐阜県,996,DOG,岐阜県,1255,NOY,岐阜県,0,,-
3rd style,Holic,0,,-,727,NAKA.C,岐阜県,1137,YUE.*,岐阜県,1670,AZARA5,岐阜県,0,,-
3rd style,era (nostalmix),0,,-,765,DOG,岐阜県,1075,NE63..,岐阜県,1477,NE63..,岐阜県,0,,-
3rd style,Don't Stop!,0,,-,655,YUU,岐阜県,831,YUE.*,岐阜県,904,YUUNA,岐阜県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,597,YUE.*,岐阜県,1238,NOY,岐阜県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,322,ZK69,岐阜県,1040,TOOL,岐阜県,1320,YUUNA,岐阜県,0,,-
4th style,SWEET LAB,0,,-,496,NULL,岐阜県,816,NAKA.C,岐阜県,1314,AZARA5,岐阜県,0,,-
4th style,starmine,446,MIMORI,岐阜県,712,HATA*,岐阜県,1350,WILL,岐阜県,1564,LUXSOL,岐阜県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,944,YUE.*,岐阜県,1747,AZARA5,岐阜県,0,,-
4th style,minimalian,0,,-,500,NAKA.C,岐阜県,989,NULL,岐阜県,1389,NOY,岐阜県,0,,-
4th style,LOVE WILL・・・,0,,-,472,O,岐阜県,719,DOG,岐阜県,1448,NOY,岐阜県,0,,-
4th style,KAMIKAZE,0,,-,753,O,岐阜県,1381,ROLES,岐阜県,2263,AZARA5,岐阜県,0,,-
4th style,Jam&Marmalade,0,,-,693,NULL,岐阜県,886,SWOOPS,岐阜県,998,NOY,岐阜県,0,,-
