バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,749,KUR01,静岡県,1048,CLARET,静岡県,1154,K-CHA*,静岡県,0,,-
1st&substream,RUGGED ASH,0,,-,355,XIX06,静岡県,395,IIDX27,静岡県,1090,K-CHA*,静岡県,2007,K-CHA*,静岡県
1st&substream,R3,0,,-,654,JUN*RS,静岡県,694,LAPIS,静岡県,902,JOHN.S,静岡県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,527,NOBU27,静岡県,738,CLARET,静岡県,1121,K-CHA*,静岡県,0,,-
1st&substream,Macho Gang,0,,-,364,AURA-F,静岡県,1042,NANAMI,静岡県,1636,JOHN.S,静岡県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,183,XIX06,静岡県,244,CLARET,静岡県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,776,NOBU27,静岡県,900,DELTA9,静岡県,1198,JOHN.S,静岡県,0,,-
1st&substream,gentle stress,0,,-,342,NANAMI,静岡県,672,*ALEX*,静岡県,1447,JOHN.S,静岡県,0,,-
1st&substream,GENOM SCREAMS,0,,-,407,NANAMI,静岡県,826,K-CHA*,静岡県,1068,JOHN.S,静岡県,0,,-
1st&substream,GAMBOL,0,,-,274,TO4-KI,静岡県,274,JOHN.S,静岡県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,369,NOBU27,静岡県,517,SHUN..,静岡県,576,K-CHA*,静岡県,0,,-
1st&substream,deep in you,0,,-,452,UME3!,静岡県,503,SHUN..,静岡県,663,K-CHA*,静岡県,0,,-
1st&substream,5.1.1.,0,,-,198,TO4-KI,静岡県,1004,SHUN..,静岡県,1559,K-CHA*,静岡県,0,,-
1st&substream,22DUNK,0,,-,477,NOBU27,静岡県,642,K-CHA*,静岡県,650,JOHN.S,静岡県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,468,NOBU27,静岡県,620,SHUN..,静岡県,647,JOHN.S,静岡県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,565,NANAMI,静岡県,864,K-CHA*,静岡県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,871,JOHN.S,静岡県,1109,SHUN..,静岡県,1226,K-CHA*,静岡県,0,,-
2nd style,I Was The One,0,,-,470,NOBU27,静岡県,644,SHUN..,静岡県,693,*ALEX*,静岡県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,738,NANAMI,静岡県,947,SHUN..,静岡県,1067,JOHN.S,静岡県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,668,SAKURA,静岡県,1051,SHUN..,静岡県,1118,JOHN.S,静岡県,0,,-
2nd style,.59,0,,-,610,NOBU27,静岡県,1009,SHUN..,静岡県,1147,JOHN.S,静岡県,0,,-
3rd style,THE SAFARI,360,ON.S,静岡県,1183,NANAMI,静岡県,1754,JOHN.S,静岡県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,257,NAOKI,静岡県,393,*ALEX*,静岡県,0,,-,0,,-
3rd style,Skyscraper,0,,-,670,NOBU27,静岡県,1201,SHUN..,静岡県,1240,JOHN.S,静岡県,0,,-
3rd style,Schlagwerk,0,,-,770,UME3!,静岡県,1288,SHUN..,静岡県,1676,JOHN.S,静岡県,0,,-
3rd style,REINCARNATION,0,,-,759,NOBU27,静岡県,1024,SHUN..,静岡県,1272,JOHN.S,静岡県,0,,-
3rd style,R5,0,,-,763,JOHN.S,静岡県,1135,YUKALI,静岡県,1772,K-CHA*,静岡県,0,,-
3rd style,Presto,0,,-,475,NOBU27,静岡県,976,SHUN..,静岡県,1013,K-CHA*,静岡県,0,,-
3rd style,LEADING CYBER,0,,-,836,NANAMI,静岡県,1191,SHUN..,静岡県,1264,JOHN.S,静岡県,0,,-
3rd style,Holic,0,,-,751,NANAMI,静岡県,1206,SHUN..,静岡県,1700,JOHN.S,静岡県,0,,-
3rd style,era (nostalmix),0,,-,812,NANAMI,静岡県,1049,D-SPEC,静岡県,1508,ORIGIN,静岡県,0,,-
3rd style,Don't Stop!,0,,-,717,NOBU27,静岡県,815,F15H,静岡県,900,CLARET,静岡県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,570,NOBU27,静岡県,1237,*ALEX*,静岡県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,799,HORIX,静岡県,1206,SHUN..,静岡県,1318,CLARET,静岡県,0,,-
4th style,SWEET LAB,0,,-,535,NANAMI,静岡県,905,NANAMI,静岡県,1370,K-CHA*,静岡県,0,,-
4th style,starmine,437,MI,静岡県,883,-EMA-,静岡県,1377,MUGI..,静岡県,1584,JOHN.S,静岡県,0,,-
4th style,Mr.T.(take me higher),0,,-,794,UME3!,静岡県,947,NANAMI,静岡県,1761,K-CHA*,静岡県,0,,-
4th style,minimalian,0,,-,477,NOBU27,静岡県,1088,SHUN..,静岡県,1401,CLARET,静岡県,0,,-
4th style,LOVE WILL・・・,0,,-,528,NOBU27,静岡県,752,MOMO96,静岡県,1452,JOHN.S,静岡県,0,,-
4th style,KAMIKAZE,0,,-,914,NOBU27,静岡県,1450,SHUN..,静岡県,2293,K-CHA*,静岡県,0,,-
4th style,Jam&Marmalade,0,,-,690,UME3!,静岡県,899,SHUN..,静岡県,1004,*ALEX*,静岡県,0,,-
4th style,Hitch Hiker2,0,,-,770,NANAMI,静岡県,1189,SHUN..,静岡県,1307,JOHN.S,静岡県,0,,-
