バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,754,MOMIX2,愛知県,1021,F,愛知県,1152,KUREI,愛知県,0,,-
1st&substream,RUGGED ASH,0,,-,370,YUDEX2,愛知県,402,YUDEX2,愛知県,1093,UNA-10,愛知県,2030,PEACE,愛知県
1st&substream,R3,0,,-,624,MOMIX2,愛知県,723,F,愛知県,907,KKKKKK,愛知県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,531,MASH,愛知県,725,HIDE-Z,愛知県,1102,OMEGA,愛知県,0,,-
1st&substream,Macho Gang,0,,-,373,TMR089,愛知県,935,MR,愛知県,1630,KUREI,愛知県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,TMR089,愛知県,244,ANSA,愛知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,844,MOMIX2,愛知県,949,ABQ27H,愛知県,1207,LDL144,愛知県,0,,-
1st&substream,gentle stress,0,,-,342,TMR089,愛知県,678,IIDX27,愛知県,1440,LDL144,愛知県,0,,-
1st&substream,GENOM SCREAMS,0,,-,399,SEFIA,愛知県,822,IIDX27,愛知県,1068,KUREI,愛知県,0,,-
1st&substream,GAMBOL,0,,-,271,TMR089,愛知県,274,RIS.BN,愛知県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,406,TMR089,愛知県,512,F,愛知県,579,KKKKKK,愛知県,0,,-
1st&substream,deep in you,0,,-,482,TMR089,愛知県,474,ATSU96,愛知県,666,PEACE,愛知県,0,,-
1st&substream,5.1.1.,0,,-,198,YUDEX2,愛知県,1015,RIS.BN,愛知県,1565,KUREI,愛知県,0,,-
1st&substream,22DUNK,0,,-,514,TMR089,愛知県,635,MARCH.,愛知県,655,KKKKKK,愛知県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,YOUMU,愛知県,604,KENT,愛知県,647,RIS.BN,愛知県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,568,TMR089,愛知県,863,KUREI,愛知県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,864,TMR089,愛知県,1055,RAI.G,愛知県,1223,KUREI,愛知県,0,,-
2nd style,I Was The One,0,,-,497,MOMIX2,愛知県,633,HIDE-Z,愛知県,690,NA!,愛知県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,734,MOMIX2,愛知県,928,ALPACA,愛知県,1068,NA!,愛知県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,728,TMR089,愛知県,1040,TMR089,愛知県,1130,NA!,愛知県,0,,-
2nd style,.59,0,,-,687,MOMIX2,愛知県,954,ATSU96,愛知県,1158,LDL144,愛知県,0,,-
3rd style,THE SAFARI,364,GSYO,愛知県,1175,T,愛知県,1785,PEACE,愛知県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,268,RAI.G,愛知県,396,RIS.BN,愛知県,0,,-,0,,-
3rd style,Skyscraper,0,,-,706,MOMIX2,愛知県,1157,F,愛知県,1252,RIS.BN,愛知県,0,,-
3rd style,Schlagwerk,0,,-,789,MOMIX2,愛知県,1279,ALPACA,愛知県,1683,KUREI,愛知県,0,,-
3rd style,REINCARNATION,0,,-,827,ALPACA,愛知県,1025,ALPACA,愛知県,1283,PEACE,愛知県,0,,-
3rd style,R5,0,,-,680,SOLID,愛知県,1138,BLAZE*,愛知県,1764,PEACE,愛知県,0,,-
3rd style,Presto,0,,-,508,MOMIX2,愛知県,976,RKS-32,愛知県,1013,KUREI,愛知県,0,,-
3rd style,LEADING CYBER,0,,-,811,MOMIX2,愛知県,1142,F,愛知県,1277,KUREI,愛知県,0,,-
3rd style,Holic,0,,-,721,CECIL,愛知県,1210,BLAZE*,愛知県,1733,PEACE,愛知県,0,,-
3rd style,era (nostalmix),0,,-,836,TMR089,愛知県,1079,RKS-32,愛知県,1538,KKKKKK,愛知県,0,,-
3rd style,Don't Stop!,0,,-,733,TTR.VV,愛知県,827,HIDE-Z,愛知県,902,LDL144,愛知県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,587,MOMIX2,愛知県,1259,KKKKKK,愛知県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,901,MOMIX2,愛知県,1221,-!-,愛知県,1327,PEACE,愛知県,0,,-
4th style,SWEET LAB,0,,-,535,LIEF,愛知県,883,ABQ27H,愛知県,1354,KUREI,愛知県,0,,-
4th style,starmine,443,TMR089,愛知県,862,CECIL,愛知県,1404,RKS-32,愛知県,1592,KKKKKK,愛知県,0,,-
4th style,Mr.T.(take me higher),0,,-,766,SASA,愛知県,993,F,愛知県,1768,PEACE,愛知県,0,,-
4th style,minimalian,0,,-,499,MOMIX2,愛知県,1070,ALPACA,愛知県,1409,PEACE,愛知県,0,,-
4th style,LOVE WILL・・・,0,,-,521,CECIL,愛知県,739,2JINO,愛知県,1459,NA!,愛知県,0,,-
4th style,KAMIKAZE,0,,-,951,YUI,愛知県,1418,KENT,愛知県,2303,PEACE,愛知県,0,,-
4th style,Jam&Marmalade,0,,-,723,IRTSK,愛知県,826,ACTT0,愛知県,1021,KKKKKK,愛知県,0,,-
4th style,Hitch Hiker2,0,,-,757,MOMIX2,愛知県,1128,F,愛知県,1324,PEACE,愛知県,0,,-
4th style,HIGHER,0,,-,514,S-SRH.,愛知県,926,YUDEX2,愛知県,1281,NA!,愛知県,0,,-
4th style,FLOWERS for ALBION,0,,-,228,MENDOI,愛知県,441,RIS.BN,愛知県,0,,-,0,,-
4th style,era (step mix),0,,-,917,CECIL,愛知県,1368,-!-,愛知県,1709,KKKKKK,愛知県,0,,-
4th style,empathy,0,,-,799,RAI.G,愛知県,1285,TMR089,愛知県,1453,KUREI,愛知県,0,,-
4th style,DXY!,0,,-,1133,AKI,愛知県,1713,BJ,愛知県,2253,NA!,愛知県,0,,-
4th style,Clione,0,,-,522,TMR089,愛知県,930,-!-,愛知県,1616,PEACE,愛知県,2148,KUREI,愛知県
4th style,CHECKING YOU OUT,0,,-,643,ALPACA,愛知県,932,KKKKKK,愛知県,1349,PEACE,愛知県,0,,-
4th style,Burnin' The Floor,0,,-,573,TMR089,愛知県,932,HIDE-Z,愛知県,1437,MARCH.,愛知県,0,,-
4th style,Broken My Heart,0,,-,902,M18A#L,愛知県,1465,BLAZE*,愛知県,1818,PEACE,愛知県,0,,-
4th style,B4U,0,,-,1012,M18A#L,愛知県,1534,MONO,愛知県,2011,PEACE,愛知県,0,,-
4th style,ABSOLUTE,0,,-,1225,TER,愛知県,1691,F,愛知県,2395,NA!,愛知県,2717,KUREI,愛知県
4th style,250bpm,0,,-,664,RAI.G,愛知県,972,-!-,愛知県,1423,KUREI,愛知県,0,,-
5th style,V,342,ALPACA,愛知県,1260,AROTTE,愛知県,2466,WASABI,愛知県,3015,PEACE,愛知県,0,,-
5th style,THE SHINING POLARIS,0,,-,901,OHME,愛知県,1321,LDL144,愛知県,1589,PEACE,愛知県,0,,-
5th style,THE CUBE,0,,-,694,CECIL,愛知県,1232,PUPPY*,愛知県,1362,PEACE,愛知県,0,,-
5th style,sync,0,,-,998,BPM128,愛知県,1899,BLAZE*,愛知県,2363,LDL144,愛知県,0,,-
5th style,still my words,0,,-,866,MOMIX2,愛知県,1234,PEACE,愛知県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,986,MOMIX2,愛知県,1169,HIDE-Z,愛知県,1923,KUREI,愛知県,0,,-
5th style,Spin the disc,0,,-,755,MOMIX2,愛知県,1225,T,愛知県,1340,KUREI,愛知県,0,,-
5th style,RISLIM,0,,-,849,MOMIX2,愛知県,1233,KUREI,愛知県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,858,MR,愛知県,1000,HIDE-Z,愛知県,1715,KKKKKK,愛知県,1821,KKKKKK,愛知県
5th style,Regulus,0,,-,937,MR,愛知県,1442,KENT,愛知県,1724,PEACE,愛知県,0,,-
5th style,Real,0,,-,793,NG-GO,愛知県,1557,DXER*P,愛知県,1818,NA!,愛知県,0,,-
5th style,Radical Faith,0,,-,1143,MOMIX2,愛知県,1497,RIS.BN,愛知県,1302,NA!,愛知県,0,,-
5th style,QQQ,0,,-,1229,YUDEX2,愛知県,1880,YUDEX2,愛知県,2171,PEACE,愛知県,0,,-
5th style,outer wall,0,,-,897,MOMIX2,愛知県,1323,-!-,愛知県,1761,NA!,愛知県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,703,O1,愛知県,976,BLAZE*,愛知県,1120,KKKKKK,愛知県,0,,-
5th style,in my eyes,0,,-,929,MOMIX2,愛知県,1435,TAKPOP,愛知県,1589,PEACE,愛知県,0,,-
5th style,Abyss,0,,-,1246,TMR089,愛知県,1572,AUL.14,愛知県,1886,PEACE,愛知県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,1084,RAI.G,愛知県,1573,RIS.BN,愛知県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,839,XION,愛知県,1244,ALPACA,愛知県,1393,PEACE,愛知県,0,,-
6th style,VJ ARMY,0,,-,1236,TMR089,愛知県,1778,RIS.ZN,愛知県,2219,NA!,愛知県,0,,-
6th style,Take It Easy,0,,-,1252,OZ,愛知県,2313,UNYO,愛知県,2519,KUREI,愛知県,0,,-
6th style,Summer Vacation(CU mix),0,,-,1147,KUKI,愛知県,1863,PEACE,愛知県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,835,CECIL,愛知県,1310,BURIX2,愛知県,1993,PEACE,愛知県,0,,-
6th style,route 80s,0,,-,871,RAI.G,愛知県,1135,TMR089,愛知県,1509,RIS.BN,愛知県,0,,-
6th style,rottel-da-sun,0,,-,781,RAI.G,愛知県,1326,-!-,愛知県,1852,KUREI,愛知県,0,,-
6th style,NEMESIS,0,,-,1023,YUDEX2,愛知県,1493,5,愛知県,1896,LDL144,愛知県,0,,-
6th style,Linus,0,,-,916,MOMIX2,愛知県,1525,JAXAN,愛知県,2196,KKKKKK,愛知県,0,,-
