バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,371,FIRUKU,滋賀県,956,10$,滋賀県,1131,HA,滋賀県,0,,-
1st&substream,RUGGED ASH,0,,-,183,NNUU-,滋賀県,383,YUHEY.,滋賀県,1087,*99*,滋賀県,2030,AAAAAA,滋賀県
1st&substream,R3,0,,-,298,FIRUKU,滋賀県,502,MANA,滋賀県,883,FUBUKI,滋賀県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,365,M,滋賀県,0,,-,1080,TRIBAL,滋賀県,0,,-
1st&substream,Macho Gang,0,,-,214,NNUU-,滋賀県,676,CHALA?,滋賀県,1583,*99*,滋賀県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,122,SGK!,滋賀県,244,R.K.,滋賀県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,750,NYET,滋賀県,751,KIRIN!,滋賀県,1149,BMI21,滋賀県,0,,-
1st&substream,gentle stress,0,,-,339,INANNA,滋賀県,644,INANNA,滋賀県,1433,B-RABI,滋賀県,0,,-
1st&substream,GENOM SCREAMS,0,,-,359,TSUMU,滋賀県,552,MR.814,滋賀県,1047,HA,滋賀県,0,,-
1st&substream,GAMBOL,0,,-,264,-JY-,滋賀県,274,N.KJ,滋賀県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,263,OMI...,滋賀県,288,GRIF,滋賀県,561,*99*,滋賀県,0,,-
1st&substream,deep in you,0,,-,211,WATER3,滋賀県,335,MANA,滋賀県,633,BMI21,滋賀県,0,,-
1st&substream,5.1.1.,0,,-,196,?,滋賀県,1007,49ZEME,滋賀県,1561,49ZEME,滋賀県,0,,-
1st&substream,22DUNK,0,,-,177,NNUU-,滋賀県,344,NAZ,滋賀県,630,BMI21,滋賀県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,262,MYA,滋賀県,47,AAAAAA,滋賀県,640,INANNA,滋賀県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,375,TATARA,滋賀県,847,*99*,滋賀県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,860,-SB-,滋賀県,0,,-,1213,AAAAAA,滋賀県,0,,-
2nd style,I Was The One,0,,-,325,WATER3,滋賀県,618,XECTY1,滋賀県,685,BMI21,滋賀県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,342,WATER3,滋賀県,0,,-,1018,BMI21,滋賀県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,730,KUMA,滋賀県,1073,HA,滋賀県,0,,-
2nd style,.59,0,,-,386,WATER3,滋賀県,579,MR.814,滋賀県,1126,HA,滋賀県,0,,-
3rd style,THE SAFARI,357,INANNA,滋賀県,1015,NYET,滋賀県,1753,*99*,滋賀県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,277,INANNA,滋賀県,396,R.K.,滋賀県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,735,MANA,滋賀県,1231,-SB-,滋賀県,0,,-
3rd style,Schlagwerk,0,,-,447,NOKKE.,滋賀県,1063,AKIRA.,滋賀県,1641,BMI21,滋賀県,0,,-
3rd style,REINCARNATION,0,,-,301,H.4405,滋賀県,878,NYET,滋賀県,1239,FUBUKI,滋賀県,0,,-
3rd style,R5,0,,-,0,,-,1028,NABE-3,滋賀県,1743,BUFRIN,滋賀県,0,,-
3rd style,Presto,0,,-,218,NNUU-,滋賀県,834,GRATIN,滋賀県,980,YU,滋賀県,0,,-
3rd style,LEADING CYBER,0,,-,731,XX02,滋賀県,925,559SIX,滋賀県,1266,*99*,滋賀県,0,,-
3rd style,Holic,0,,-,707,NYET,滋賀県,1056,ARI,滋賀県,1668,52KING,滋賀県,0,,-
3rd style,era (nostalmix),0,,-,619,MR.814,滋賀県,1055,BMI21,滋賀県,1488,AAAAAA,滋賀県,0,,-
3rd style,Don't Stop!,0,,-,723,MOMOSE,滋賀県,659,559SIX,滋賀県,873,BMI21,滋賀県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,517,MANA,滋賀県,1227,HA,滋賀県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,684,MANA,滋賀県,1297,AAAAAA,滋賀県,0,,-
4th style,SWEET LAB,0,,-,223,GRIF,滋賀県,772,NYET,滋賀県,1290,HA,滋賀県,0,,-
4th style,starmine,439,INANNA,滋賀県,826,N,滋賀県,1431,B-RABI,滋賀県,1582,B-RABI,滋賀県,0,,-
4th style,Mr.T.(take me higher),0,,-,573,TATARA,滋賀県,738,MANA,滋賀県,1726,TRIBAL,滋賀県,0,,-
4th style,minimalian,0,,-,227,GRIF,滋賀県,811,CHALA?,滋賀県,1387,TRIBAL,滋賀県,0,,-
4th style,LOVE WILL・・・,0,,-,62,NETTO,滋賀県,683,NYARO,滋賀県,1441,8VSZU4,滋賀県,0,,-
4th style,KAMIKAZE,0,,-,906,NYET,滋賀県,1401,BRK,滋賀県,2243,HA,滋賀県,0,,-
4th style,Jam&Marmalade,0,,-,670,NYET,滋賀県,760,MOMOSE,滋賀県,995,TRIBAL,滋賀県,0,,-
4th style,Hitch Hiker2,0,,-,545,SGK!,滋賀県,1004,NYET,滋賀県,1309,HIKO,滋賀県,0,,-
4th style,HIGHER,0,,-,495,N,滋賀県,434,SINBOU,滋賀県,1252,N.KJ,滋賀県,0,,-
4th style,FLOWERS for ALBION,0,,-,0,,-,427,HIKO,滋賀県,0,,-,0,,-
4th style,era (step mix),0,,-,952,NYET,滋賀県,1235,Z.O.O,滋賀県,1675,BUFRIN,滋賀県,0,,-
4th style,empathy,0,,-,0,,-,0,,-,1413,AAAAAA,滋賀県,0,,-
4th style,DXY!,0,,-,1215,BUFRIN,滋賀県,1603,Z.O.O,滋賀県,2204,AAAAAA,滋賀県,0,,-
4th style,Clione,0,,-,305,TORA,滋賀県,811,NYET,滋賀県,1604,AAAAAA,滋賀県,2111,HIKO,滋賀県
4th style,CHECKING YOU OUT,0,,-,622,INANNA,滋賀県,844,*99*,滋賀県,1293,AAAAAA,滋賀県,0,,-
4th style,Burnin' The Floor,0,,-,497,MANA,滋賀県,654,MANA,滋賀県,1424,OMEGA.,滋賀県,0,,-
4th style,Broken My Heart,0,,-,679,MANA,滋賀県,1043,NEKO,滋賀県,1820,AAAAAA,滋賀県,0,,-
4th style,B4U,0,,-,872,NYARO,滋賀県,1378,AAB,滋賀県,1954,BELL,滋賀県,0,,-
4th style,ABSOLUTE,0,,-,776,OMI...,滋賀県,1342,KAMTEM,滋賀県,2363,*99*,滋賀県,2623,HIKO,滋賀県
4th style,250bpm,0,,-,480,MANA,滋賀県,788,NYET,滋賀県,1372,*99*,滋賀県,0,,-
5th style,V,341,INANNA,滋賀県,1056,NYET,滋賀県,2462,N.KJ,滋賀県,2980,TRIBAL,滋賀県,0,,-
5th style,THE SHINING POLARIS,0,,-,842,NYET,滋賀県,1213,BRK,滋賀県,1573,*99*,滋賀県,0,,-
5th style,THE CUBE,0,,-,686,XX02,滋賀県,1121,NAWONO,滋賀県,1339,YUHEY.,滋賀県,0,,-
5th style,sync,0,,-,978,XX02,滋賀県,1576,AI-R,滋賀県,2355,BUFRIN,滋賀県,0,,-
5th style,still my words,0,,-,0,,-,1215,BMI21,滋賀県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,934,NYET,滋賀県,1295,49ZEME,滋賀県,1897,AAAAAA,滋賀県,0,,-
5th style,Spin the disc,0,,-,647,NYET,滋賀県,1263,B-RABI,滋賀県,1325,*99*,滋賀県,0,,-
5th style,RISLIM,0,,-,0,,-,1202,*99*,滋賀県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,396,WATER3,滋賀県,927,NYET,滋賀県,1699,BUFRIN,滋賀県,1783,AAAAAA,滋賀県
5th style,Regulus,0,,-,561,MANA,滋賀県,1232,YU.,滋賀県,1670,*99*,滋賀県,0,,-
5th style,Real,0,,-,945,NYET,滋賀県,1510,U.M.,滋賀県,1777,AAAAAA,滋賀県,0,,-
5th style,Radical Faith,0,,-,1105,N,滋賀県,1468,INANNA,滋賀県,1266,BMI21,滋賀県,0,,-
5th style,QQQ,0,,-,0,,-,1575,HSANRB,滋賀県,2154,D1353L,滋賀県,0,,-
5th style,outer wall,0,,-,734,559SIX,滋賀県,1035,YKMS,滋賀県,1749,TRIBAL,滋賀県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,0,,-,902,NYET,滋賀県,1074,BMI21,滋賀県,0,,-
5th style,in my eyes,0,,-,857,NYET,滋賀県,817,MANA,滋賀県,1538,HA,滋賀県,0,,-
5th style,Abyss,0,,-,1214,N,滋賀県,1502,BRK,滋賀県,1839,EVE919,滋賀県,0,,-
