バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,726,SASORI,和歌山県,811,SOPA,和歌山県,1147,GIGANT,和歌山県,0,,-
1st&substream,RUGGED ASH,0,,-,362,SASORI,和歌山県,401,JOMOG3,和歌山県,1076,S58KA7,和歌山県,1989,MYZ,和歌山県
1st&substream,R3,0,,-,618,SASORI,和歌山県,696,SASORI,和歌山県,901,GIGANT,和歌山県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,536,SASORI,和歌山県,694,GAUCHE,和歌山県,1104,GIGANT,和歌山県,0,,-
1st&substream,Macho Gang,0,,-,354,SASORI,和歌山県,619,CALDNA,和歌山県,1551,S58KA7,和歌山県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,TERRY.,和歌山県,243,JOMOG3,和歌山県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,807,SASORI,和歌山県,0,,-,1154,ANZU.H,和歌山県,0,,-
1st&substream,gentle stress,0,,-,339,NIKURO,和歌山県,682,JOMOG3,和歌山県,1446,MYZ,和歌山県,0,,-
1st&substream,GENOM SCREAMS,0,,-,384,SASORI,和歌山県,754,SASORI,和歌山県,1063,JOMOG3,和歌山県,0,,-
1st&substream,GAMBOL,0,,-,268,FIORUN,和歌山県,274,JOMOG3,和歌山県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,396,SASORI,和歌山県,368,AIRHI,和歌山県,574,GIGANT,和歌山県,0,,-
1st&substream,deep in you,0,,-,474,SASORI,和歌山県,504,JOMOG3,和歌山県,658,GIGANT,和歌山県,0,,-
1st&substream,5.1.1.,0,,-,198,TERRY.,和歌山県,1016,JOMOG3,和歌山県,1566,MYZ,和歌山県,0,,-
1st&substream,22DUNK,0,,-,483,SASORI,和歌山県,588,SASORI,和歌山県,655,GIGANT,和歌山県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,436,A-DASH,和歌山県,600,SASORI,和歌山県,641,S58KA7,和歌山県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,553,SASORI,和歌山県,865,GIGANT,和歌山県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,823,SASORI,和歌山県,534,JBLZ,和歌山県,1212,MYZ,和歌山県,0,,-
2nd style,I Was The One,0,,-,536,STELTH,和歌山県,618,SASORI,和歌山県,681,MOBE,和歌山県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,719,SASORI,和歌山県,873,SASORI,和歌山県,1062,MYZ,和歌山県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,693,SASORI,和歌山県,1059,JOMOG3,和歌山県,1127,GIGANT,和歌山県,0,,-
2nd style,.59,0,,-,674,SASORI,和歌山県,1021,GIGANT,和歌山県,1160,GIGANT,和歌山県,0,,-
3rd style,THE SAFARI,361,FIORUN,和歌山県,972,SASORI,和歌山県,1734,GIGANT,和歌山県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,277,SASORI,和歌山県,393,T.T,和歌山県,0,,-,0,,-
3rd style,Skyscraper,0,,-,677,SASORI,和歌山県,0,,-,1211,YUURA,和歌山県,0,,-
3rd style,Schlagwerk,0,,-,795,SASORI,和歌山県,1312,GIGANT,和歌山県,1672,GIGANT,和歌山県,0,,-
3rd style,REINCARNATION,0,,-,799,SASORI,和歌山県,990,NIKURO,和歌山県,1282,GIGANT,和歌山県,0,,-
3rd style,R5,0,,-,706,SASORI,和歌山県,1172,GIGANT,和歌山県,1762,GIGANT,和歌山県,0,,-
3rd style,Presto,0,,-,509,SASORI,和歌山県,917,NIKURO,和歌山県,1002,MYZ,和歌山県,0,,-
3rd style,LEADING CYBER,0,,-,787,SASORI,和歌山県,1016,SASORI,和歌山県,1263,GIGANT,和歌山県,0,,-
3rd style,Holic,0,,-,689,SASORI,和歌山県,1215,JOMOG3,和歌山県,1709,RAITO.,和歌山県,0,,-
3rd style,era (nostalmix),0,,-,774,SASORI,和歌山県,1091,MYZ,和歌山県,1388,STELTH,和歌山県,0,,-
3rd style,Don't Stop!,0,,-,732,SASORI,和歌山県,779,SASORI,和歌山県,860,*FUGU*,和歌山県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,569,SASORI,和歌山県,1193,TERRY.,和歌山県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,938,GIGANT,和歌山県,1239,GIGANT,和歌山県,1326,GIGANT,和歌山県,0,,-
4th style,SWEET LAB,0,,-,514,SASORI,和歌山県,989,GIGANT,和歌山県,1371,S58KA7,和歌山県,0,,-
4th style,starmine,435,FIORUN,和歌山県,845,SASORI,和歌山県,1361,MOBE,和歌山県,1553,GIGANT,和歌山県,0,,-
4th style,Mr.T.(take me higher),0,,-,807,SASORI,和歌山県,0,,-,1757,GIGANT,和歌山県,0,,-
4th style,minimalian,0,,-,506,SASORI,和歌山県,1097,GIGANT,和歌山県,1403,MYZ,和歌山県,0,,-
4th style,LOVE WILL・・・,0,,-,550,TERRY.,和歌山県,705,SASORI,和歌山県,1458,MYZ,和歌山県,0,,-
4th style,KAMIKAZE,0,,-,938,SASORI,和歌山県,0,,-,2264,S58KA7,和歌山県,0,,-
4th style,Jam&Marmalade,0,,-,716,SASORI,和歌山県,807,SASORI,和歌山県,1003,GIGANT,和歌山県,0,,-
4th style,Hitch Hiker2,0,,-,768,SASORI,和歌山県,0,,-,1316,MYZ,和歌山県,0,,-
4th style,HIGHER,0,,-,522,SASORI,和歌山県,930,JOMOG3,和歌山県,1239,ANZU.H,和歌山県,0,,-
4th style,FLOWERS for ALBION,0,,-,208,A-DASH,和歌山県,439,GIGANT,和歌山県,0,,-,0,,-
