バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,264,AAA,鳥取県,0,,-,1125,VIOLA.,鳥取県,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,140,TIETS,鳥取県,1004,KOITSU,鳥取県,1951,#MA3#,鳥取県
1st&substream,R3,0,,-,0,,-,437,JOEEEE,鳥取県,877,31KING,鳥取県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,263,AAA,鳥取県,539,UWU$,鳥取県,1086,UMEKOO,鳥取県,0,,-
1st&substream,Macho Gang,0,,-,0,,-,0,,-,1561,DEBU**,鳥取県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,75,BR1AN,鳥取県,233,SALOON,鳥取県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,720,HIKARI,鳥取県,0,,-,731,UTO,鳥取県,0,,-
1st&substream,gentle stress,0,,-,328,RAY$,鳥取県,670,UMEKOO,鳥取県,1410,VIOLA.,鳥取県,0,,-
1st&substream,GENOM SCREAMS,0,,-,204,S,鳥取県,0,,-,1061,VIOLA.,鳥取県,0,,-
1st&substream,GAMBOL,0,,-,0,,-,264,VIOLA.,鳥取県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,253,SHO,鳥取県,485,Y-CHA,鳥取県,571,VIOLA.,鳥取県,0,,-
1st&substream,deep in you,0,,-,0,,-,462,HANS-D,鳥取県,643,VIOLA.,鳥取県,0,,-
1st&substream,5.1.1.,0,,-,168,RANK00,鳥取県,0,,-,1552,31KING,鳥取県,0,,-
1st&substream,22DUNK,0,,-,421,HIKARI,鳥取県,440,2-MAS*,鳥取県,634,VIOLA.,鳥取県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,104,TIETS,鳥取県,259,SHO,鳥取県,605,KAME,鳥取県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,338,RAINY,鳥取県,761,KOITSU,鳥取県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,304,TIETS,鳥取県,909,BEE!!!,鳥取県,1194,VIOLA.,鳥取県,0,,-
2nd style,I Was The One,0,,-,368,H.T,鳥取県,624,RAY$,鳥取県,675,VIOLA.,鳥取県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,0,,-,0,,-,1022,53KING,鳥取県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,839,GIGLIO,鳥取県,1097,VIOLA.,鳥取県,0,,-
2nd style,.59,0,,-,301,AAA,鳥取県,886,HANS-D,鳥取県,1044,SALOON,鳥取県,0,,-
3rd style,THE SAFARI,331,Y.,鳥取県,1040,SANTAK,鳥取県,1721,53KING,鳥取県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,356,MORS,鳥取県,0,,-,0,,-
3rd style,Skyscraper,0,,-,716,RAY$,鳥取県,0,,-,1238,VIOLA.,鳥取県,0,,-
3rd style,Schlagwerk,0,,-,791,RAY$,鳥取県,1030,HIKARI,鳥取県,1666,#MA3#,鳥取県,0,,-
3rd style,REINCARNATION,0,,-,418,AAA,鳥取県,578,MAYO,鳥取県,1245,VIOLA.,鳥取県,0,,-
3rd style,R5,0,,-,745,RAY$,鳥取県,1060,MEI,鳥取県,1722,31KING,鳥取県,0,,-
3rd style,Presto,0,,-,0,,-,736,KMY,鳥取県,998,59SO2,鳥取県,0,,-
3rd style,LEADING CYBER,0,,-,455,JOEEEE,鳥取県,989,34PONY,鳥取県,1123,OWO,鳥取県,0,,-
3rd style,Holic,0,,-,0,,-,937,HIKARI,鳥取県,1696,59SO2,鳥取県,0,,-
3rd style,era (nostalmix),0,,-,321,AAA,鳥取県,989,MONG-,鳥取県,1463,59SO2,鳥取県,0,,-
3rd style,Don't Stop!,0,,-,0,,-,473,RAINY,鳥取県,889,VIOLA.,鳥取県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,498,UWU$,鳥取県,1204,53KING,鳥取県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,787,HANS-D,鳥取県,987,HANS-D,鳥取県,1301,VIOLA.,鳥取県,0,,-
4th style,SWEET LAB,0,,-,0,,-,0,,-,1351,DEBU**,鳥取県,0,,-
4th style,starmine,336,DARCY,鳥取県,0,,-,1274,RAY$,鳥取県,1502,SOYJOY,鳥取県,0,,-
