バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,291,8,島根県,0,,-,996,CHARIN,島根県,0,,-
1st&substream,RUGGED ASH,0,,-,222,BOO96!,島根県,0,,-,1006,RIKKI.,島根県,1735,KEN705,島根県
1st&substream,R3,0,,-,380,SIJIMI,島根県,686,YUA,島根県,819,CHARIN,島根県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,527,YUA,島根県,0,,-,700,TRSN,島根県,0,,-
1st&substream,Macho Gang,0,,-,216,SIJIMI,島根県,434,SIJIMI,島根県,1453,REMOMO,島根県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,0,,-,235,REMOMO,島根県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,381,EYENEM,島根県,1108,YUA,島根県,0,,-
1st&substream,gentle stress,0,,-,307,1024,島根県,556,AMELIA,島根県,1393,DUXY,島根県,0,,-
1st&substream,GENOM SCREAMS,0,,-,0,,-,552,MOTIDD,島根県,758,YUKINO,島根県,0,,-
1st&substream,GAMBOL,0,,-,237,TED-TR,島根県,249,YUA,島根県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,185,TANZER,島根県,244,AWASHA,島根県,536,CHARIN,島根県,0,,-
1st&substream,deep in you,0,,-,306,MRUB,島根県,150,8,島根県,651,TA4Z0U,島根県,0,,-
1st&substream,5.1.1.,0,,-,93,HANDAX,島根県,737,......,島根県,1456,CHARIN,島根県,0,,-
1st&substream,22DUNK,0,,-,454,YUA,島根県,547,PIYO,島根県,604,CHARIN,島根県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,149,8,島根県,610,CHARIN,島根県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,814,CONG,島根県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,489,SIJIMI,島根県,696,SIJIMI,島根県,1031,CHARIN,島根県,0,,-
2nd style,I Was The One,0,,-,305,HANDAX,島根県,579,YUA,島根県,452,EYENEM,島根県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,680,YUA,島根県,744,RENJQ,島根県,967,CHARIN,島根県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,667,SIJIMI,島根県,1015,YUA,島根県,0,,-
2nd style,.59,0,,-,573,TED-TR,島根県,785,RENJQ,島根県,987,CHARIN,島根県,0,,-
3rd style,THE SAFARI,293,GNGYRS,島根県,773,AA,島根県,1600,HACK3,島根県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,0,,-,196,AWASHA,島根県,0,,-,0,,-
3rd style,Skyscraper,0,,-,326,8,島根県,783,SIJIMI,島根県,1089,CHARIN,島根県,0,,-
3rd style,Schlagwerk,0,,-,322,AWASHA,島根県,0,,-,1478,CHARIN,島根県,0,,-
3rd style,REINCARNATION,0,,-,341,KURA,島根県,860,TOYOPY,島根県,1122,CHARIN,島根県,0,,-
3rd style,R5,0,,-,343,EYENEM,島根県,953,GEN,島根県,1712,SPARK,島根県,0,,-
3rd style,Presto,0,,-,0,,-,734,R-RYZE,島根県,978,NACHT,島根県,0,,-
3rd style,LEADING CYBER,0,,-,284,8,島根県,1094,KEN705,島根県,1070,CHARIN,島根県,0,,-
3rd style,Holic,0,,-,710,YUA,島根県,660,ACKEY.,島根県,1545,TOGE,島根県,0,,-
3rd style,era (nostalmix),0,,-,557,AA,島根県,838,GEN,島根県,1448,NACHT,島根県,0,,-
3rd style,Don't Stop!,0,,-,458,8,島根県,350,8,島根県,854,CHARIN,島根県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,311,EYENEM,島根県,1091,CHARIN,島根県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,646,SIJIMI,島根県,1288,CONG,島根県,0,,-
4th style,SWEET LAB,0,,-,452,1024,島根県,628,R-RYZE,島根県,1042,RIKKI.,島根県,0,,-
4th style,starmine,403,BOO96!,島根県,549,TSU*BO,島根県,1168,GEN,島根県,1471,9610,島根県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,504,EYENEM,島根県,1625,TOGE,島根県,0,,-
4th style,minimalian,0,,-,0,,-,775,RENJQ,島根県,1234,CHARIN,島根県,0,,-
4th style,LOVE WILL・・・,0,,-,219,8,島根県,646,HONO*T,島根県,1391,9610,島根県,0,,-
4th style,KAMIKAZE,0,,-,430,EYENEM,島根県,1230,GRLY,島根県,2166,SONYA,島根県,0,,-
4th style,Jam&Marmalade,0,,-,401,EYENEM,島根県,642,MORI,島根県,894,CHARIN,島根県,0,,-
4th style,Hitch Hiker2,0,,-,346,8,島根県,819,AA,島根県,1145,CHARIN,島根県,0,,-
4th style,HIGHER,0,,-,266,HANDAX,島根県,388,8,島根県,1232,TA4Z0U,島根県,0,,-
4th style,FLOWERS for ALBION,0,,-,0,,-,413,CONG,島根県,0,,-,0,,-
4th style,era (step mix),0,,-,0,,-,973,RENJQ,島根県,1596,NACHT,島根県,0,,-
4th style,empathy,0,,-,480,EYENEM,島根県,0,,-,1254,H!-TA,島根県,0,,-
4th style,DXY!,0,,-,829,......,島根県,1817,DUXY,島根県,1982,BAASAN,島根県,0,,-
4th style,Clione,0,,-,330,MAYU,島根県,373,EYENEM,島根県,1371,TOGE,島根県,2054,NACHT,島根県
4th style,CHECKING YOU OUT,0,,-,490,YUA,島根県,770,REMOMO,島根県,1217,SPARK,島根県,0,,-
4th style,Burnin' The Floor,0,,-,354,MRUB,島根県,308,EYENEM,島根県,1412,DUXY,島根県,0,,-
