バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,436,INUDO,岡山県,913,ATPS,岡山県,1112,FLUORO,岡山県,0,,-
1st&substream,RUGGED ASH,0,,-,248,HI,岡山県,334,1,岡山県,1076,TOTORI,岡山県,1856,TA58K1,岡山県
1st&substream,R3,0,,-,344,JAGAR,岡山県,522,T4R-6,岡山県,893,TOTORI,岡山県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,493,AXLE,岡山県,713,KAZU,岡山県,1080,TOTORI,岡山県,0,,-
1st&substream,Macho Gang,0,,-,335,SUZU*A,岡山県,893,POOODL,岡山県,1557,TOTORI,岡山県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,TOTORI,岡山県,244,TOTORI,岡山県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,0,,-,1182,TOTORI,岡山県,0,,-
1st&substream,gentle stress,0,,-,338,TORO,岡山県,673,GREIN,岡山県,1424,MOEL53,岡山県,0,,-
1st&substream,GENOM SCREAMS,0,,-,164,T4R-6,岡山県,568,MASAN,岡山県,1059,TOTORI,岡山県,0,,-
1st&substream,GAMBOL,0,,-,274,TOTORI,岡山県,274,TOTORI,岡山県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,369,RAL,岡山県,276,T4R-6,岡山県,574,TOTORI,岡山県,0,,-
1st&substream,deep in you,0,,-,0,,-,430,KURO,岡山県,656,TOTORI,岡山県,0,,-
1st&substream,5.1.1.,0,,-,198,TOTORI,岡山県,1020,TOTORI,岡山県,1549,TOTORI,岡山県,0,,-
1st&substream,22DUNK,0,,-,461,U-A,岡山県,574,AHEAD,岡山県,653,TOTORI,岡山県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,472,U-A,岡山県,0,,-,637,TA58K1,岡山県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,828,CENO,岡山県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,476,T4R-6,岡山県,0,,-,1170,TA58K1,岡山県,0,,-
