バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,940,LEON,徳島県,1094,12EX34,徳島県,0,,-
1st&substream,RUGGED ASH,0,,-,167,YUMI**,徳島県,377,2FU,徳島県,1012,MDD.3,徳島県,1944,L#...Y,徳島県
1st&substream,R3,0,,-,335,SIDOU,徳島県,684,SHU1,徳島県,856,ITALY3,徳島県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,369,LACC,徳島県,614,SHIA,徳島県,1036,12EX34,徳島県,0,,-
1st&substream,Macho Gang,0,,-,368,AOBRNK,徳島県,603,KUWU,徳島県,1575,ITALY3,徳島県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,83,YUMI**,徳島県,241,L#...Y,徳島県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,622,D0M.,徳島県,1096,KUHL,徳島県,0,,-
1st&substream,gentle stress,0,,-,331,BECE,徳島県,649,LKAR,徳島県,1430,L#...Y,徳島県,0,,-
1st&substream,GENOM SCREAMS,0,,-,160,YUMI**,徳島県,549,TKO,徳島県,975,MDD.3,徳島県,0,,-
1st&substream,GAMBOL,0,,-,257,MDD.3,徳島県,270,L#...Y,徳島県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,352,31.25,徳島県,458,TELU,徳島県,578,L#...Y,徳島県,0,,-
1st&substream,deep in you,0,,-,0,,-,139,LOVAL,徳島県,648,L#...Y,徳島県,0,,-
1st&substream,5.1.1.,0,,-,171,OLNON,徳島県,955,SHU1,徳島県,1547,L#...Y,徳島県,0,,-
1st&substream,22DUNK,0,,-,326,S&NAME,徳島県,439,EARTH,徳島県,646,L#...Y,徳島県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,271,-ARK-,徳島県,566,KIRIN,徳島県,644,L#...Y,徳島県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,303,-ARK-,徳島県,766,K83,徳島県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,0,,-,1118,FEHLER,徳島県,0,,-
2nd style,I Was The One,0,,-,415,EARTH,徳島県,600,MDD.3,徳島県,651,-LNK-,徳島県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,509,TKO,徳島県,0,,-,1030,12EX34,徳島県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,0,,-,1024,MDD.3,徳島県,0,,-
2nd style,.59,0,,-,467,SIDOU,徳島県,762,GLA,徳島県,1105,12EX34,徳島県,0,,-
3rd style,THE SAFARI,356,LKAR,徳島県,1076,EARTH,徳島県,1720,L#...Y,徳島県,0,,-,0,,-
