バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,253,TOPPO,香川県,967,TOMY,香川県,1132,ENBRY,香川県,0,,-
1st&substream,RUGGED ASH,0,,-,258,KMTM,香川県,382,KAMO,香川県,1037,TOMYZ,香川県,1908,GNSCCI,香川県
1st&substream,R3,0,,-,604,AOI,香川県,371,!!!!!!,香川県,881,VAN3,香川県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,514,AOI,香川県,488,BILL,香川県,1070,VAN4,香川県,0,,-
1st&substream,Macho Gang,0,,-,361,LCHE-U,香川県,868,SAIKE.,香川県,1535,VAN4,香川県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,181,AOI,香川県,241,M-2-BR,香川県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,836,SUBARU,香川県,0,,-,1098,REM,香川県,0,,-
1st&substream,gentle stress,0,,-,335,H1RO,香川県,660,M-2-BR,香川県,1405,W.WALL,香川県,0,,-
1st&substream,GENOM SCREAMS,0,,-,234,KMTM,香川県,571,SO-MEN,香川県,1005,TOMYZ,香川県,0,,-
1st&substream,GAMBOL,0,,-,260,AOI,香川県,268,NINA**,香川県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,383,AOI,香川県,0,,-,547,TOMYZ,香川県,0,,-
1st&substream,deep in you,0,,-,368,NAKA,香川県,0,,-,639,M-2-BR,香川県,0,,-
1st&substream,5.1.1.,0,,-,178,HOUNAN,香川県,928,09BA71,香川県,1538,LOW,香川県,0,,-
1st&substream,22DUNK,0,,-,472,AOI,香川県,550,BIS,香川県,624,NINA**,香川県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,478,AOI,香川県,0,,-,636,TM,香川県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,339,WAKAME,香川県,820,M-2-BR,香川県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,771,FUCA3*,香川県,0,,-,1162,KIKYO,香川県,0,,-
2nd style,I Was The One,0,,-,377,ANTI.,香川県,597,AOI,香川県,687,NINA**,香川県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,709,AOI,香川県,0,,-,1022,TM,香川県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,858,YUZU,香川県,1066,NINA**,香川県,0,,-
2nd style,.59,0,,-,555,NAKA,香川県,851,SAIKE.,香川県,1090,VAN3,香川県,0,,-
3rd style,THE SAFARI,364,KIKYO,香川県,1002,HAKU,香川県,1666,LCHE-U,香川県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,263,AOI,香川県,383,M-2-BR,香川県,0,,-,0,,-
3rd style,Skyscraper,0,,-,665,AOI,香川県,829,KASIWA,香川県,1181,JADE,香川県,0,,-
3rd style,Schlagwerk,0,,-,323,TOPPO,香川県,1158,HEBI,香川県,1579,GST1,香川県,0,,-
3rd style,REINCARNATION,0,,-,568,NAKA,香川県,973,TOMY,香川県,1188,NINA**,香川県,0,,-
3rd style,R5,0,,-,606,1DAY,香川県,1089,NINA**,香川県,1764,W.WALL,香川県,0,,-
3rd style,Presto,0,,-,254,WAKAME,香川県,776,TOMY,香川県,970,NINA**,香川県,0,,-
3rd style,LEADING CYBER,0,,-,682,SHELA,香川県,706,NORI,香川県,1166,M-2-BR,香川県,0,,-
3rd style,Holic,0,,-,687,CHAM,香川県,1179,5MA36,香川県,1703,W.WALL,香川県,0,,-
3rd style,era (nostalmix),0,,-,808,TOMY,香川県,986,32K1*S,香川県,1433,M-2-BR,香川県,0,,-
3rd style,Don't Stop!,0,,-,684,SHELA,香川県,790,HAPI-2,香川県,893,NINA**,香川県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,578,HEBI,香川県,1182,M-2-BR,香川県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,791,MIYAKO,香川県,731,IIDX27,香川県,1267,LOW,香川県,0,,-
4th style,SWEET LAB,0,,-,0,,-,562,NAKA,香川県,1295,ENBRY,香川県,0,,-
4th style,starmine,445,KIKYO,香川県,661,MANA,香川県,1284,TOMY,香川県,1521,TM,香川県,0,,-
4th style,Mr.T.(take me higher),0,,-,675,1DAY,香川県,757,1DAY,香川県,1658,M-2-BR,香川県,0,,-
4th style,minimalian,0,,-,93,TOMO,香川県,929,AOI,香川県,1354,TM,香川県,0,,-
4th style,LOVE WILL・・・,0,,-,455,NAKA,香川県,324,KMTM,香川県,1425,NINA**,香川県,0,,-
4th style,KAMIKAZE,0,,-,896,SAIKE.,香川県,1381,IIDX26,香川県,2206,VAN3,香川県,0,,-
4th style,Jam&Marmalade,0,,-,409,!!!!!!,香川県,595,SHELA,香川県,938,GST1,香川県,0,,-
4th style,Hitch Hiker2,0,,-,0,,-,0,,-,1247,NINA**,香川県,0,,-
4th style,HIGHER,0,,-,264,TOPPO,香川県,904,NINA**,香川県,1246,M-2-BR,香川県,0,,-
4th style,FLOWERS for ALBION,0,,-,186,AOI,香川県,424,TOMYZ,香川県,0,,-,0,,-
4th style,era (step mix),0,,-,929,SAIKE.,香川県,1235,AZO.PS,香川県,1594,M-2-BR,香川県,0,,-
4th style,empathy,0,,-,0,,-,1149,TCF-GR,香川県,1348,TOMYZ,香川県,0,,-
4th style,DXY!,0,,-,1018,ARIA,香川県,1582,RIKUYA,香川県,2263,W.WALL,香川県,0,,-
4th style,Clione,0,,-,454,NAKA,香川県,639,MOYA4,香川県,1583,VAN4,香川県,2033,GNSCCI,香川県
4th style,CHECKING YOU OUT,0,,-,601,EMPELT,香川県,830,M-2-BR,香川県,1320,W.WALL,香川県,0,,-
4th style,Burnin' The Floor,0,,-,0,,-,0,,-,1384,NINA**,香川県,0,,-
4th style,Broken My Heart,0,,-,842,ARIA,香川県,1277,AJIMI,香川県,1742,LCHE-U,香川県,0,,-
4th style,B4U,0,,-,836,ARIA,香川県,1469,H1RO,香川県,1870,8322,香川県,0,,-
4th style,ABSOLUTE,0,,-,1003,T0SH1*,香川県,1617,TOMY,香川県,2259,H1RO,香川県,2574,LOBM,香川県
4th style,250bpm,0,,-,510,NAKA,香川県,758,MIYAKO,香川県,1346,8322,香川県,0,,-
5th style,V,341,KIKYO,香川県,1220,TOMY,香川県,2362,M-2-BR,香川県,3003,W.WALL,香川県,0,,-
5th style,THE SHINING POLARIS,0,,-,732,NAKA,香川県,895,HYU,香川県,1520,M-2-BR,香川県,0,,-
5th style,THE CUBE,0,,-,621,SAIKE.,香川県,1112,AJIMI,香川県,1152,AOI,香川県,0,,-
5th style,sync,0,,-,1035,TOMY,香川県,1714,EMPELT,香川県,2349,ENBRY,香川県,0,,-
5th style,still my words,0,,-,0,,-,1178,REM,香川県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,935,REG,香川県,1767,BKDOMS,香川県,0,,-
5th style,Spin the disc,0,,-,582,NAKA,香川県,1039,BIS,香川県,1332,W.WALL,香川県,0,,-
5th style,RISLIM,0,,-,699,1DAY,香川県,1169,M-2-BR,香川県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,677,RED-I,香川県,0,,-,1653,GNSCCI,香川県,1735,LOBM,香川県
5th style,Regulus,0,,-,578,NAKA,香川県,1190,AOI,香川県,1511,NAGISA,香川県,0,,-
5th style,Real,0,,-,0,,-,1420,EMPELT,香川県,1703,REM,香川県,0,,-
5th style,Radical Faith,0,,-,761,NAKA,香川県,0,,-,1211,NAGISA,香川県,0,,-
5th style,QQQ,0,,-,939,NAKA,香川県,1705,TOMY,香川県,2089,TM,香川県,0,,-
5th style,outer wall,0,,-,0,,-,1051,KOMM,香川県,1691,LCHE-U,香川県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,0,,-,734,SHIZU9,香川県,1097,NINA**,香川県,0,,-
5th style,in my eyes,0,,-,920,TOMY,香川県,0,,-,1536,M-2-BR,香川県,0,,-
5th style,Abyss,0,,-,1034,SHELA,香川県,1495,TOMY,香川県,1854,ENBRY,香川県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,790,NAKA,香川県,1524,GNSCCI,香川県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,534,NAKA,香川県,0,,-,1331,8322,香川県,0,,-
6th style,VJ ARMY,0,,-,1225,NAGISA,香川県,1672,M-2-BR,香川県,2072,TM,香川県,0,,-
6th style,Take It Easy,0,,-,1008,NAKA,香川県,2164,839,香川県,2450,L#1000,香川県,0,,-
6th style,Summer Vacation(CU mix),0,,-,808,NAKA,香川県,1729,LCHE-U,香川県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,0,,-,1020,FENRIR,香川県,1934,ENBRY,香川県,0,,-
6th style,route 80s,0,,-,762,KOMM,香川県,959,FENRIR,香川県,1318,REM,香川県,0,,-
6th style,rottel-da-sun,0,,-,361,FLOST,香川県,1282,NINA**,香川県,1826,ENBRY,香川県,0,,-
6th style,NEMESIS,0,,-,0,,-,1300,MTMT,香川県,1804,ENBRY,香川県,0,,-
6th style,Linus,0,,-,0,,-,1352,RIKUYA,香川県,2111,8322,香川県,0,,-
6th style,G2,0,,-,1260,MTMT,香川県,1577,KANI*3,香川県,2173,8322,香川県,0,,-
6th style,Frozen Ray (original mix),0,,-,915,SHELA,香川県,1629,34.*S2,香川県,1733,8322,香川県,0,,-
6th style,Free Style,0,,-,0,,-,868,SAIKE.,香川県,1300,W.WALL,香川県,0,,-
6th style,fly through the night,0,,-,686,NAKA,香川県,1146,MTMT,香川県,1703,W.WALL,香川県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,926,NAKA,香川県,1679,TOMY,香川県,2110,W.WALL,香川県,0,,-
6th style,Colors (radio edit),0,,-,976,GOEBBE,香川県,1576,EMPELT,香川県,2303,ENBRY,香川県,0,,-
6th style,Buffalo,0,,-,776,NAKA,香川県,907,ENNA,香川県,1681,M-2-BR,香川県,0,,-
6th style,Blueberry Stream,0,,-,528,SHELA,香川県,1153,KEAR,香川県,1645,W.WALL,香川県,0,,-
