バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,420,TT,高知県,0,,-,1132,SHAULA,高知県,0,,-
1st&substream,RUGGED ASH,0,,-,0,,-,0,,-,1082,NOIK.S,高知県,1960,NOOKEN,高知県
1st&substream,R3,0,,-,0,,-,325,JACKET,高知県,885,SHAULA,高知県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,0,,-,629,KOMODO,高知県,1077,SHAULA,高知県,0,,-
1st&substream,Macho Gang,0,,-,0,,-,438,JACKET,高知県,1521,SHAULA,高知県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,HAWK-Z,高知県,242,SHAULA,高知県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,778,UTUME,高知県,1185,SHAULA,高知県,0,,-
1st&substream,gentle stress,0,,-,342,SHAULA,高知県,669,RARUKA,高知県,1425,NOIK.S,高知県,0,,-
1st&substream,GENOM SCREAMS,0,,-,150,TT,高知県,403,TT,高知県,1033,SHAULA,高知県,0,,-
1st&substream,GAMBOL,0,,-,273,SHAULA,高知県,259,TACA,高知県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,233,MUCKY,高知県,441,*TEAR*,高知県,574,SHAULA,高知県,0,,-
1st&substream,deep in you,0,,-,253,DEEF.,高知県,443,KOMEO,高知県,657,SHAULA,高知県,0,,-
1st&substream,5.1.1.,0,,-,161,*TEAR*,高知県,489,DEEF.,高知県,1537,SHAULA,高知県,0,,-
1st&substream,22DUNK,0,,-,0,,-,0,,-,644,SHAULA,高知県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,209,KINO,高知県,550,KOMODO,高知県,635,SHAULA,高知県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,335,CIYNNN,高知県,843,SHAULA,高知県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,929,UTUME,高知県,1197,SHAULA,高知県,0,,-
