バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,926,OKAYU,長崎県,1113,HEIPON,長崎県,0,,-
1st&substream,RUGGED ASH,0,,-,231,MIKIO,長崎県,203,WORTHY,長崎県,1056,HEIPON,長崎県,1922,RIS.CT,長崎県
1st&substream,R3,0,,-,449,TOMO,長崎県,696,CARLOS,長崎県,882,RIS.CT,長崎県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,406,TTZK,長崎県,645,EXCUBE,長崎県,1091,HEIPON,長崎県,0,,-
1st&substream,Macho Gang,0,,-,0,,-,852,EXCUBE,長崎県,1561,HEIPON,長崎県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,104,*****,長崎県,240,TAU,長崎県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,560,TKB3,長崎県,0,,-,1174,HEIPON,長崎県,0,,-
1st&substream,gentle stress,0,,-,341,HEIPON,長崎県,661,HEIPON,長崎県,1432,RIS.CT,長崎県,0,,-
1st&substream,GENOM SCREAMS,0,,-,201,M8,長崎県,369,M8,長崎県,1052,HEIPON,長崎県,0,,-
1st&substream,GAMBOL,0,,-,268,Z-GIRL,長崎県,274,HEIPON,長崎県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,145,TIKUWA,長崎県,403,KAYAKI,長崎県,565,RIS.CT,長崎県,0,,-
1st&substream,deep in you,0,,-,378,TKB3,長崎県,118,RA,長崎県,645,HEIPON,長崎県,0,,-
1st&substream,5.1.1.,0,,-,194,TAU,長崎県,776,G3BAR3,長崎県,1550,HEIPON,長崎県,0,,-
1st&substream,22DUNK,0,,-,243,*****,長崎県,0,,-,648,HEIPON,長崎県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,261,CUBE,長崎県,556,HAGE,長崎県,641,HEIPON,長崎県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,307,CICO2A,長崎県,847,HEIPON,長崎県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,432,CICO2A,長崎県,674,WORTHY,長崎県,1159,2HISOX,長崎県,0,,-
2nd style,I Was The One,0,,-,242,IIDX27,長崎県,606,UNTAN,長崎県,683,HEIPON,長崎県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,553,WORTHY,長崎県,0,,-,1040,HEIPON,長崎県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,286,*****,長崎県,949,NAO,長崎県,1103,HEIPON,長崎県,0,,-
2nd style,.59,0,,-,419,IIDX27,長崎県,921,DROP,長崎県,1118,HEIPON,長崎県,0,,-
3rd style,THE SAFARI,352,EXCUBE,長崎県,917,QWON.M,長崎県,1722,STEAK,長崎県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,177,CICO2A,長崎県,394,RIS.CT,長崎県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,0,,-,1227,HEIPON,長崎県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1090,HAGE,長崎県,1649,RIS.CT,長崎県,0,,-
3rd style,REINCARNATION,0,,-,0,,-,860,LECHE.,長崎県,1244,HEIPON,長崎県,0,,-
3rd style,R5,0,,-,554,TKB3,長崎県,1099,DROP,長崎県,1718,RIS.CT,長崎県,0,,-
3rd style,Presto,0,,-,227,MORIZO,長崎県,898,D#LION,長崎県,976,HEIPON,長崎県,0,,-
3rd style,LEADING CYBER,0,,-,433,TOMO,長崎県,529,M8,長崎県,1232,HEIPON,長崎県,0,,-
3rd style,Holic,0,,-,268,BITOU,長崎県,1085,HAGE,長崎県,1654,HEIPON,長崎県,0,,-
3rd style,era (nostalmix),0,,-,569,M8,長崎県,999,Z-GIRL,長崎県,1455,HEIPON,長崎県,0,,-
3rd style,Don't Stop!,0,,-,392,IIDX27,長崎県,426,IIDX27,長崎県,888,HEIPON,長崎県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,338,IIDX27,長崎県,1213,HEIPON,長崎県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,0,,-,1054,AKI..,長崎県,1284,HEIPON,長崎県,0,,-
4th style,SWEET LAB,0,,-,520,IIDX27,長崎県,791,G3BAR3,長崎県,1290,HEIPON,長崎県,0,,-
4th style,starmine,425,EXCUBE,長崎県,849,ABABA,長崎県,1360,SHIURA,長崎県,1541,HEIPON,長崎県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,0,,-,1697,HEIPON,長崎県,0,,-
4th style,minimalian,0,,-,174,CUBE,長崎県,0,,-,1363,RIS.CT,長崎県,0,,-
4th style,LOVE WILL・・・,0,,-,307,TOMO,長崎県,674,SMKG,長崎県,1448,RIS.CT,長崎県,0,,-
4th style,KAMIKAZE,0,,-,0,,-,1199,AOI*,長崎県,2218,HEIPON,長崎県,0,,-
4th style,Jam&Marmalade,0,,-,0,,-,819,NAO,長崎県,989,HEIPON,長崎県,0,,-
4th style,Hitch Hiker2,0,,-,364,IIDX27,長崎県,876,KAYAKI,長崎県,1298,HEIPON,長崎県,0,,-
