バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,650,DECIDE,熊本県,827,HIQ,熊本県,1114,KARIQB,熊本県,0,,-
1st&substream,RUGGED ASH,0,,-,338,DECIDE,熊本県,355,KF-,熊本県,1077,BAKUON,熊本県,1982,D.Z.I.,熊本県
1st&substream,R3,0,,-,533,DECIDE,熊本県,621,MIRIA,熊本県,891,K.,熊本県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,484,MA-A6,熊本県,626,KF-,熊本県,1066,173ANJ,熊本県,0,,-
1st&substream,Macho Gang,0,,-,353,DECIDE,熊本県,742,MIRIA,熊本県,1607,IIDX31,熊本県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,175,DECIDE,熊本県,243,BAKUON,熊本県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,732,MA-A6,熊本県,833,KF-,熊本県,1153,KARIQB,熊本県,0,,-
1st&substream,gentle stress,0,,-,336,31D,熊本県,650,31D,熊本県,1443,YM,熊本県,0,,-
1st&substream,GENOM SCREAMS,0,,-,367,DECIDE,熊本県,628,HIQ,熊本県,1061,D.Z.I.,熊本県,0,,-
1st&substream,GAMBOL,0,,-,258,LOOSEY,熊本県,272,P.K.R.,熊本県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,379,DECIDE,熊本県,470,KAMBAL,熊本県,570,P.K.R.,熊本県,0,,-
1st&substream,deep in you,0,,-,438,DECIDE,熊本県,449,LETSAP,熊本県,655,IIDX31,熊本県,0,,-
1st&substream,5.1.1.,0,,-,196,31D,熊本県,881,KF-,熊本県,1548,IIDX31,熊本県,0,,-
1st&substream,22DUNK,0,,-,463,DRACUL,熊本県,608,KAMBAL,熊本県,632,KARIQB,熊本県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,473,DECIDE,熊本県,556,KF-,熊本県,636,BIFU-R,熊本県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,521,DECIDE,熊本県,847,KARIQB,熊本県,0,,-,0,,-
