バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,735,20.NOV,宮崎県,926,LEVELB,宮崎県,1105,ELISE*,宮崎県,0,,-
1st&substream,RUGGED ASH,0,,-,348,20.NOV,宮崎県,378,20.NOV,宮崎県,1032,ELISE*,宮崎県,1870,AZURA4,宮崎県
1st&substream,R3,0,,-,617,20.NOV,宮崎県,697,20.NOV,宮崎県,841,ELISE*,宮崎県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,542,20.NOV,宮崎県,521,MOCHI,宮崎県,1079,AZURA4,宮崎県,0,,-
1st&substream,Macho Gang,0,,-,360,20.NOV,宮崎県,966,ALEX,宮崎県,1473,ELISE*,宮崎県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,188,20.NOV,宮崎県,224,20.NOV,宮崎県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,832,20.NOV,宮崎県,917,ALEX,宮崎県,1113,ELISE*,宮崎県,0,,-
1st&substream,gentle stress,0,,-,333,20.NOV,宮崎県,663,20.NOV,宮崎県,1421,ELISE*,宮崎県,0,,-
1st&substream,GENOM SCREAMS,0,,-,393,20.NOV,宮崎県,754,ALEX,宮崎県,1045,S.RUKI,宮崎県,0,,-
1st&substream,GAMBOL,0,,-,264,20.NOV,宮崎県,264,LEVELB,宮崎県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,389,20.NOV,宮崎県,496,20.NOV,宮崎県,559,123,宮崎県,0,,-
1st&substream,deep in you,0,,-,474,20.NOV,宮崎県,485,20.NOV,宮崎県,620,ELISE*,宮崎県,0,,-
1st&substream,5.1.1.,0,,-,186,20.NOV,宮崎県,941,ALEX,宮崎県,1525,ELISE*,宮崎県,0,,-
1st&substream,22DUNK,0,,-,500,20.NOV,宮崎県,608,ALEX,宮崎県,610,123,宮崎県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,470,20.NOV,宮崎県,586,ALEX,宮崎県,629,ELISE*,宮崎県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,535,20.NOV,宮崎県,840,ELISE*,宮崎県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,839,20.NOV,宮崎県,1043,20.NOV,宮崎県,1185,ELISE*,宮崎県,0,,-
2nd style,I Was The One,0,,-,510,20.NOV,宮崎県,620,20.NOV,宮崎県,673,ELISE*,宮崎県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,727,20.NOV,宮崎県,870,20.NOV,宮崎県,1035,ELISE*,宮崎県,0,,-
