バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,720,MEGURU,韓国,1029,RALO,韓国,1154,MAX,韓国,0,,-
1st&substream,RUGGED ASH,0,,-,353,L.DASH,韓国,386,DXER*F,韓国,1089,PEPEGA,韓国,2048,TORI1Z,韓国
1st&substream,R3,0,,-,618,DXER*F,韓国,648,MEGURU,韓国,904,PEPEGA,韓国,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,535,DXER*F,韓国,692,K.H.B,韓国,1110,KIKAMO,韓国,0,,-
1st&substream,Macho Gang,0,,-,382,MAX,韓国,949,GHBYUL,韓国,1665,MAX,韓国,0,,-
1st&substream,KEEP ON MOVIN',0,,-,185,MINY,韓国,244,INTE,韓国,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,819,DXER*F,韓国,983,INTE,韓国,1198,PEPEGA,韓国,0,,-
1st&substream,gentle stress,0,,-,340,PXERO,韓国,676,ARISA,韓国,1447,MAX,韓国,0,,-
1st&substream,GENOM SCREAMS,0,,-,413,INTE,韓国,825,SP-001,韓国,1069,MAX,韓国,0,,-
1st&substream,GAMBOL,0,,-,273,YUZ.02,韓国,274,JUN,韓国,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,401,MINY,韓国,518,INTE,韓国,575,INTE,韓国,0,,-
1st&substream,deep in you,0,,-,458,DXER*F,韓国,467,MEGURU,韓国,664,YUZ.02,韓国,0,,-
1st&substream,5.1.1.,0,,-,197,TORI1Z,韓国,1020,TZM,韓国,1572,MAX,韓国,0,,-
