バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,657,N3,タイ,781,HYPERV,タイ,1140,AYA.K,タイ,0,,-
1st&substream,RUGGED ASH,0,,-,138,MAC,タイ,0,,-,1032,DOSU51,タイ,1951,HAATON,タイ
1st&substream,R3,0,,-,307,SCHAU,タイ,685,KKMTC*,タイ,842,T*KORO,タイ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,415,SCHAU,タイ,461,SCHAU,タイ,1011,25CHIN,タイ,0,,-
1st&substream,Macho Gang,0,,-,379,H027C,タイ,908,YAMA*!,タイ,1600,AYA.K,タイ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,181,HYPERV,タイ,239,DOSU51,タイ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,794,HYPERV,タイ,830,ZEE,タイ,1141,T*KORO,タイ,0,,-
1st&substream,gentle stress,0,,-,339,H027C,タイ,673,H027C,タイ,1425,H027C,タイ,0,,-
1st&substream,GENOM SCREAMS,0,,-,399,T*KORO,タイ,611,HYPERV,タイ,894,25CHIN,タイ,0,,-
1st&substream,GAMBOL,0,,-,85,BEE,タイ,271,OP.31,タイ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,7,MUSHO9,タイ,423,JR.P,タイ,562,DOSU51,タイ,0,,-
1st&substream,deep in you,0,,-,0,,-,430,HYPERV,タイ,642,T*KORO,タイ,0,,-
1st&substream,5.1.1.,0,,-,196,HAATON,タイ,969,HAATON,タイ,1513,HAATON,タイ,0,,-
1st&substream,22DUNK,0,,-,492,25CHIN,タイ,614,KKMTC*,タイ,639,T*KORO,タイ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,KKMTC*,タイ,429,SAND,タイ,619,T*KORO,タイ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,835,T*KORO,タイ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,719,0NZK,タイ,717,FURUKU,タイ,1169,T*KORO,タイ,0,,-
2nd style,I Was The One,0,,-,516,YOSHIO,タイ,189,GABBY!,タイ,662,DOSU51,タイ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,491,M,タイ,0,,-,1041,T*KORO,タイ,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,623,0NZK,タイ,0,,-,1062,T*KORO,タイ,0,,-
