バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,257,YUKINO,インドネシア,596,VENNNN,インドネシア,1034,772!?,インドネシア,0,,-
1st&substream,RUGGED ASH,0,,-,337,JYXLCE,インドネシア,358,MTST27,インドネシア,785,RIRIKA,インドネシア,1882,SHIYOU,インドネシア
1st&substream,R3,0,,-,233,DANIEL,インドネシア,471,CROSS,インドネシア,867,U-GEE,インドネシア,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,438,WTF?!,インドネシア,513,S-Z-S,インドネシア,1054,OSU7K,インドネシア,0,,-
1st&substream,Macho Gang,0,,-,134,FU*,インドネシア,623,NGR69,インドネシア,1507,BURI69,インドネシア,0,,-
1st&substream,KEEP ON MOVIN',0,,-,181,VVV,インドネシア,238,CHAL.N,インドネシア,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,0,,-,820,IIDX26,インドネシア,1103,OSU7K,インドネシア,0,,-
1st&substream,gentle stress,0,,-,337,OSU7K,インドネシア,595,OSU7K,インドネシア,1397,KEMU,インドネシア,0,,-
1st&substream,GENOM SCREAMS,0,,-,342,RUKU-L,インドネシア,785,890,インドネシア,956,OSU7K,インドネシア,0,,-
1st&substream,GAMBOL,0,,-,266,U-GEE,インドネシア,249,OSU7K,インドネシア,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,0,,-,291,SENA,インドネシア,532,3324KI,インドネシア,0,,-
1st&substream,deep in you,0,,-,0,,-,151,ZABIR,インドネシア,0,,-,0,,-
1st&substream,5.1.1.,0,,-,176,T260G,インドネシア,914,ASA,インドネシア,1504,HOSOK!,インドネシア,0,,-
1st&substream,22DUNK,0,,-,203,KENGEI,インドネシア,398,ICTEA,インドネシア,594,OSU7K,インドネシア,0,,-
