バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,0,,-,0,,-,1132,KA54MA,シンガポール,0,,-
1st&substream,RUGGED ASH,0,,-,354,PL.DN.,シンガポール,227,LUKA.,シンガポール,1084,KA54MA,シンガポール,1848,JISHU9,シンガポール
1st&substream,R3,0,,-,0,,-,539,BAGEL,シンガポール,895,KA54MA,シンガポール,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,420,BAGEL,シンガポール,482,YOSHIO,シンガポール,1098,KA54MA,シンガポール,0,,-
1st&substream,Macho Gang,0,,-,370,#11,シンガポール,906,LYCOS*,シンガポール,1596,KA54MA,シンガポール,0,,-
1st&substream,KEEP ON MOVIN',0,,-,137,ORENJI,シンガポール,241,KA54MA,シンガポール,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,425,874,シンガポール,763,HIDARI,シンガポール,1073,KANADE,シンガポール,0,,-
1st&substream,gentle stress,0,,-,337,HOSHEY,シンガポール,660,24P,シンガポール,1443,KA54MA,シンガポール,0,,-
1st&substream,GENOM SCREAMS,0,,-,0,,-,0,,-,1054,KA54MA,シンガポール,0,,-
1st&substream,GAMBOL,0,,-,168,874,シンガポール,266,INDEX,シンガポール,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,0,,-,461,LYCOS*,シンガポール,564,KA54MA,シンガポール,0,,-
1st&substream,deep in you,0,,-,256,SNAIL,シンガポール,0,,-,659,KA54MA,シンガポール,0,,-
1st&substream,5.1.1.,0,,-,0,,-,977,LYCOS*,シンガポール,1557,SRAN!!,シンガポール,0,,-
1st&substream,22DUNK,0,,-,395,0003,シンガポール,0,,-,653,KA54MA,シンガポール,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,0,,-,0,,-,643,KA54MA,シンガポール,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,0,,-,859,KA54MA,シンガポール,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,0,,-,0,,-,1207,KA54MA,シンガポール,0,,-
2nd style,I Was The One,0,,-,0,,-,0,,-,688,KA54MA,シンガポール,0,,-
