バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,736,HOJO,アメリカ,996,KI2NE,アメリカ,1128,ABCIDS,アメリカ,0,,-
1st&substream,RUGGED ASH,0,,-,339,LITTTT,アメリカ,395,ASHURA,アメリカ,1069,YUZ.05,アメリカ,1945,YUZ.05,アメリカ
1st&substream,R3,0,,-,599,GRTHOK,アメリカ,640,ASHURA,アメリカ,890,ABCIDS,アメリカ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,525,ASHURA,アメリカ,699,ASHURA,アメリカ,1079,MASH,アメリカ,0,,-
1st&substream,Macho Gang,0,,-,349,LITTTT,アメリカ,935,XERO,アメリカ,1585,YUZ.05,アメリカ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,188,ASHURA,アメリカ,241,YUZ.05,アメリカ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,802,GRTHOK,アメリカ,891,GRTHOK,アメリカ,1127,ZETT3,アメリカ,0,,-
1st&substream,gentle stress,0,,-,332,JOBSRG,アメリカ,655,JOBSRG,アメリカ,1426,CORONA,アメリカ,0,,-
1st&substream,GENOM SCREAMS,0,,-,381,GRTHOK,アメリカ,763,KI2NE,アメリカ,987,KI2NE,アメリカ,0,,-
1st&substream,GAMBOL,0,,-,272,YUZ.05,アメリカ,270,YUZ.05,アメリカ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,387,GRTHOK,アメリカ,483,GRTHOK,アメリカ,568,YUZ.05,アメリカ,0,,-
1st&substream,deep in you,0,,-,450,ASHURA,アメリカ,466,ASHURA,アメリカ,653,YUZ.05,アメリカ,0,,-
1st&substream,5.1.1.,0,,-,191,OZMA,アメリカ,952,XERO,アメリカ,1552,YUZ.05,アメリカ,0,,-
1st&substream,22DUNK,0,,-,488,HOJO,アメリカ,583,GRTHOK,アメリカ,629,AKUMA,アメリカ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,472,TORA!?,アメリカ,588,GRTHOK,アメリカ,637,YUZ.05,アメリカ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,528,GRTHOK,アメリカ,833,AKUMA,アメリカ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,794,GRTHOK,アメリカ,963,GRTHOK,アメリカ,1205,ABCIDS,アメリカ,0,,-
2nd style,I Was The One,0,,-,522,AKUMA,アメリカ,591,ASHURA,アメリカ,652,SUNA,アメリカ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,702,ASHURA,アメリカ,822,GRTHOK,アメリカ,965,WORLD,アメリカ,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,667,GRTHOK,アメリカ,942,GRTHOK,アメリカ,1101,ARK,アメリカ,0,,-
2nd style,.59,0,,-,648,GRTHOK,アメリカ,888,GRTHOK,アメリカ,1106,AKUMA,アメリカ,0,,-
3rd style,THE SAFARI,343,GRTHOK,アメリカ,1120,ACEJAY,アメリカ,1705,ABCIDS,アメリカ,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,266,ASHURA,アメリカ,384,AKUMA,アメリカ,0,,-,0,,-
3rd style,Skyscraper,0,,-,698,GRTHOK,アメリカ,1078,GRTHOK,アメリカ,1165,TEHSIG,アメリカ,0,,-
3rd style,Schlagwerk,0,,-,760,ASHURA,アメリカ,1200,GRTHOK,アメリカ,1664,YUZ.05,アメリカ,0,,-
3rd style,REINCARNATION,0,,-,782,GRTHOK,アメリカ,921,GRTHOK,アメリカ,1207,AKUMA,アメリカ,0,,-
3rd style,R5,0,,-,740,ASHURA,アメリカ,1127,YUZ.05,アメリカ,1742,404,アメリカ,0,,-
3rd style,Presto,0,,-,497,GRTHOK,アメリカ,828,GRTHOK,アメリカ,988,YUZ.05,アメリカ,0,,-
3rd style,LEADING CYBER,0,,-,786,GRTHOK,アメリカ,1083,GRTHOK,アメリカ,1234,CORONA,アメリカ,0,,-
3rd style,Holic,0,,-,709,GRTHOK,アメリカ,1125,XERO,アメリカ,1696,PHN!X,アメリカ,0,,-
3rd style,era (nostalmix),0,,-,809,GRTHOK,アメリカ,1016,YD,アメリカ,1501,ABCIDS,アメリカ,0,,-
3rd style,Don't Stop!,0,,-,726,GRTHOK,アメリカ,796,GRTHOK,アメリカ,895,YUZ.05,アメリカ,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,577,ASHURA,アメリカ,1169,AKUMA,アメリカ,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,857,GRTHOK,アメリカ,1134,!N*T!N,アメリカ,1312,YUZ.05,アメリカ,0,,-
4th style,SWEET LAB,0,,-,510,ASHURA,アメリカ,855,GRTHOK,アメリカ,1321,YUZ.05,アメリカ,0,,-
4th style,starmine,410,GRTHOK,アメリカ,811,GRTHOK,アメリカ,1314,ZETT3,アメリカ,1566,YUZ.05,アメリカ,0,,-
4th style,Mr.T.(take me higher),0,,-,764,ROAMER,アメリカ,927,GRTHOK,アメリカ,1714,BIGC,アメリカ,0,,-
4th style,minimalian,0,,-,510,GRTHOK,アメリカ,989,GRTHOK,アメリカ,1369,YUZ.05,アメリカ,0,,-
4th style,LOVE WILL・・・,0,,-,515,GRTHOK,アメリカ,705,GRTHOK,アメリカ,1426,DATASS,アメリカ,0,,-
4th style,KAMIKAZE,0,,-,928,TORA!?,アメリカ,1334,GRTHOK,アメリカ,2234,YUZ.05,アメリカ,0,,-
4th style,Jam&Marmalade,0,,-,717,KRISPE,アメリカ,832,GRTHOK,アメリカ,993,YUZ.05,アメリカ,0,,-
