バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,785,YURU3,海外,1024,YURU3,海外,1133,SPORTS,海外,0,,-
1st&substream,RUGGED ASH,0,,-,367,YURU3,海外,397,YURU3,海外,1005,METHY,海外,1999,HIND-D,海外
1st&substream,R3,0,,-,643,YURU3,海外,731,IIDX27,海外,902,ANB,海外,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,548,IIDX27,海外,713,APEC,海外,1089,IIDX27,海外,0,,-
1st&substream,Macho Gang,0,,-,373,YURU3,海外,1064,YURU3,海外,1605,ANB,海外,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,YURU3,海外,242,YURU3,海外,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,803,LILIAN,海外,969,YURU3,海外,1125,GMOVER,海外,0,,-
1st&substream,gentle stress,0,,-,340,YURU3,海外,669,YURU3,海外,1436,ANB,海外,0,,-
1st&substream,GENOM SCREAMS,0,,-,415,YURU3,海外,808,YURU3,海外,1027,ELIAS,海外,0,,-
1st&substream,GAMBOL,0,,-,270,YURU3,海外,272,IIDX27,海外,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,402,YURU3,海外,513,YURU3,海外,573,IIDX27,海外,0,,-
1st&substream,deep in you,0,,-,491,YURU3,海外,497,YURU3,海外,624,SOOTER,海外,0,,-
1st&substream,5.1.1.,0,,-,176,MUSIC,海外,1008,IIDX27,海外,1549,ANB,海外,0,,-
1st&substream,22DUNK,0,,-,511,YURU3,海外,625,YURU3,海外,632,ANB,海外,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,503,YURU3,海外,620,YURU3,海外,621,APEC,海外,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,570,YURU3,海外,830,IIDX27,海外,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,865,YURU3,海外,1118,YURU3,海外,1219,HIND-D,海外,0,,-
2nd style,I Was The One,0,,-,480,040,海外,640,YURU3,海外,685,SPORTS,海外,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,773,YURU3,海外,949,YURU3,海外,1053,YURU3,海外,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,680,LILIAN,海外,1032,YURU3,海外,1030,APEC,海外,0,,-
2nd style,.59,0,,-,705,YURU3,海外,989,YURU3,海外,1125,SPORTS,海外,0,,-
3rd style,THE SAFARI,331,XYZ,海外,1193,YURU3,海外,1766,ANB,海外,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,267,I.O,海外,394,IIDX27,海外,0,,-,0,,-
3rd style,Skyscraper,0,,-,729,YURU3,海外,1194,YURU3,海外,1238,SPORTS,海外,0,,-
3rd style,Schlagwerk,0,,-,810,YURU3,海外,1297,YURU3,海外,1652,SPORTS,海外,0,,-
3rd style,REINCARNATION,0,,-,837,YURU3,海外,1000,METHY,海外,1256,SPORTS,海外,0,,-
3rd style,R5,0,,-,766,IIDX27,海外,1143,NAAAAN,海外,1745,JGA#77,海外,0,,-
3rd style,Presto,0,,-,537,YURU3,海外,971,IIDX27,海外,1003,HIND-D,海外,0,,-
3rd style,LEADING CYBER,0,,-,852,YURU3,海外,1184,YURU3,海外,1152,IIDX27,海外,0,,-
3rd style,Holic,0,,-,769,YURU3,海外,1204,YURU3,海外,1706,HIND-D,海外,0,,-
3rd style,era (nostalmix),0,,-,841,YURU3,海外,1055,YURU3,海外,1434,C4N4RY,海外,0,,-
3rd style,Don't Stop!,0,,-,773,YURU3,海外,844,IIDX27,海外,890,ANB,海外,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,609,YURU3,海外,1220,IIDX27,海外,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,915,YURU3,海外,1200,YURU3,海外,1302,IIDX27,海外,0,,-
4th style,SWEET LAB,0,,-,546,YURU3,海外,962,YURU3,海外,1295,245RIK,海外,0,,-
4th style,starmine,413,XYZ,海外,901,YURU3,海外,1400,IIDX27,海外,1565,245RIK,海外,0,,-
4th style,Mr.T.(take me higher),0,,-,529,L.MONI,海外,893,ICLE?!,海外,1747,ANB,海外,0,,-
4th style,minimalian,0,,-,530,YURU3,海外,1074,IIDX27,海外,1354,IIDX27,海外,0,,-
4th style,LOVE WILL・・・,0,,-,544,YURU3,海外,754,IIDX27,海外,1451,IIDX27,海外,0,,-
4th style,KAMIKAZE,0,,-,1021,IIDX27,海外,1460,IIDX27,海外,2241,TOONEW,海外,0,,-
4th style,Jam&Marmalade,0,,-,770,YURU3,海外,789,SARA,海外,974,SPORTS,海外,0,,-
4th style,Hitch Hiker2,0,,-,814,YURU3,海外,1192,YURU3,海外,1300,IIDX27,海外,0,,-
4th style,HIGHER,0,,-,537,YURU3,海外,889,IIDX27,海外,1270,ANB,海外,0,,-
4th style,FLOWERS for ALBION,0,,-,220,METHY,海外,435,IIDX27,海外,0,,-,0,,-
4th style,era (step mix),0,,-,1093,YURU3,海外,1364,YURU3,海外,1604,HIND-D,海外,0,,-
4th style,empathy,0,,-,817,YURU3,海外,1337,YURU3,海外,1432,JGA#77,海外,0,,-
4th style,DXY!,0,,-,1242,YURU3,海外,1786,YURU3,海外,2126,IIDX27,海外,0,,-
4th style,Clione,0,,-,518,YURU3,海外,918,YURU3,海外,1575,IIDX27,海外,2171,TOONEW,海外
4th style,CHECKING YOU OUT,0,,-,606,YURU3,海外,843,YURU3,海外,1331,ANB,海外,0,,-
4th style,Burnin' The Floor,0,,-,581,YURU3,海外,949,IIDX27,海外,1433,HIND-D,海外,0,,-
