バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,695,IIDX28,岩手県,961,YZK,岩手県,1122,4,岩手県,0,,-
1st&substream,RUGGED ASH,0,,-,329,TUBAME,岩手県,371,TUBAME,岩手県,1027,5ON0D4,岩手県,1946,SHIVA.,岩手県
1st&substream,R3,0,,-,434,TAKU,岩手県,636,STOCK,岩手県,897,SHIVA.,岩手県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,515,QUALIS,岩手県,687,STOCK,岩手県,1116,DOLCE.,岩手県,0,,-
1st&substream,Macho Gang,0,,-,258,YTB#5,岩手県,909,884,岩手県,1570,TABI,岩手県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,189,STM-G,岩手県,244,TABI,岩手県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,590,ALIKA,岩手県,897,N-HARD,岩手県,1138,550.,岩手県,0,,-
1st&substream,gentle stress,0,,-,333,*USAMI,岩手県,652,OKE,岩手県,1434,SHIVA.,岩手県,0,,-
1st&substream,GENOM SCREAMS,0,,-,301,TAKU,岩手県,776,AREA88,岩手県,1061,SHIVA.,岩手県,0,,-
1st&substream,GAMBOL,0,,-,266,OMGSIS,岩手県,274,DOLCE.,岩手県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,402,STM-G,岩手県,507,STM-G,岩手県,573,SHIVA.,岩手県,0,,-
1st&substream,deep in you,0,,-,454,TUBAME,岩手県,448,TUBAME,岩手県,661,SHIVA.,岩手県,0,,-
1st&substream,5.1.1.,0,,-,198,550.,岩手県,980,OKE,岩手県,1566,SHIVA.,岩手県,0,,-
1st&substream,22DUNK,0,,-,479,MASX2.,岩手県,573,QUALIS,岩手県,655,SHIVA.,岩手県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,324,OWAN,岩手県,532,IIDX28,岩手県,648,SHIVA.,岩手県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,492,TUBAME,岩手県,855,TABI,岩手県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,95,IINE!?,岩手県,988,STOCK,岩手県,1206,SHIVA.,岩手県,0,,-
2nd style,I Was The One,0,,-,487,ISB,岩手県,573,MILFIY,岩手県,676,TABI,岩手県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,412,OWAN,岩手県,861,884,岩手県,1048,AREA88,岩手県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,0,,-,895,ISB,岩手県,1129,DOLCE.,岩手県,0,,-
2nd style,.59,0,,-,444,ARO,岩手県,932,QUALIS,岩手県,1162,DOLCE.,岩手県,0,,-
3rd style,THE SAFARI,353,*USAMI,岩手県,1151,S.C!TY,岩手県,1773,DOLCE.,岩手県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,224,TUBAME,岩手県,376,QUALIS,岩手県,0,,-,0,,-
3rd style,Skyscraper,0,,-,0,,-,1014,STOCK,岩手県,1210,550.,岩手県,0,,-
3rd style,Schlagwerk,0,,-,0,,-,1104,STOCK,岩手県,1652,4,岩手県,0,,-
3rd style,REINCARNATION,0,,-,415,ARO,岩手県,864,RYU-YA,岩手県,1244,4,岩手県,0,,-
3rd style,R5,0,,-,667,T.T,岩手県,1122,QUALIS,岩手県,1727,DOLCE.,岩手県,0,,-
3rd style,Presto,0,,-,0,,-,964,SHIVA.,岩手県,989,4,岩手県,0,,-
3rd style,LEADING CYBER,0,,-,580,IIDX28,岩手県,1163,AREA88,岩手県,1228,AREA88,岩手県,0,,-
3rd style,Holic,0,,-,736,SETU,岩手県,1079,NORIDA,岩手県,1693,SHIVA.,岩手県,0,,-
3rd style,era (nostalmix),0,,-,692,ROOTS,岩手県,1031,550.,岩手県,1554,DOLCE.,岩手県,0,,-
3rd style,Don't Stop!,0,,-,710,NASNAS,岩手県,763,NASNAS,岩手県,901,SHIVA.,岩手県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,525,TAIKI,岩手県,1226,550.,岩手県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,656,IIDX28,岩手県,1099,QUALIS,岩手県,1335,DOLCE.,岩手県,0,,-
4th style,SWEET LAB,0,,-,299,MASAKI,岩手県,912,OKE,岩手県,1305,TABI,岩手県,0,,-
4th style,starmine,420,G.ZONE,岩手県,754,RYU-YA,岩手県,1345,OKE,岩手県,1587,DOLCE.,岩手県,0,,-
4th style,Mr.T.(take me higher),0,,-,0,,-,902,QUALIS,岩手県,1704,277,岩手県,0,,-
4th style,minimalian,0,,-,314,KOMEQR,岩手県,965,QUALIS,岩手県,1363,TABI,岩手県,0,,-
4th style,LOVE WILL・・・,0,,-,467,TAIKI,岩手県,713,MASX2.,岩手県,1445,4,岩手県,0,,-
4th style,KAMIKAZE,0,,-,591,YTB#5,岩手県,1262,G.ZONE,岩手県,2268,4,岩手県,0,,-
4th style,Jam&Marmalade,0,,-,637,TUBAME,岩手県,730,TUBAME,岩手県,974,TABI,岩手県,0,,-
4th style,Hitch Hiker2,0,,-,314,ARIS,岩手県,1045,STOCK,岩手県,1200,HURTA,岩手県,1938,DOLCE.,岩手県
4th style,HIGHER,0,,-,266,AAAAA,岩手県,764,EXTEND,岩手県,1277,SHIVA.,岩手県,0,,-
4th style,FLOWERS for ALBION,0,,-,0,,-,427,TABI,岩手県,0,,-,0,,-
4th style,era (step mix),0,,-,952,884,岩手県,1358,ARCHE,岩手県,1602,TABI,岩手県,0,,-
4th style,empathy,0,,-,741,RYU-YA,岩手県,1102,IIDX28,岩手県,1360,TABI,岩手県,0,,-
4th style,DXY!,0,,-,1227,DAIWA,岩手県,1626,NORIDA,岩手県,2292,DOLCE.,岩手県,0,,-
4th style,Clione,0,,-,0,,-,857,STOCK,岩手県,1560,CVID19,岩手県,2107,SHIVA.,岩手県
4th style,CHECKING YOU OUT,0,,-,568,RIGIN.,岩手県,887,550.,岩手県,1370,DOLCE.,岩手県,0,,-
4th style,Burnin' The Floor,0,,-,0,,-,871,NASNAS,岩手県,1441,SHIVA.,岩手県,0,,-
4th style,Broken My Heart,0,,-,538,AAAAA,岩手県,1360,QUALIS,岩手県,1826,DOLCE.,岩手県,0,,-
4th style,B4U,0,,-,866,KARIN,岩手県,1413,N,岩手県,1995,SHIVA.,岩手県,0,,-
4th style,ABSOLUTE,0,,-,1106,MSN006,岩手県,1613,ARCHE,岩手県,2403,DOLCE.,岩手県,2775,DOLCE.,岩手県
4th style,250bpm,0,,-,496,IIDX28,岩手県,892,QUALIS,岩手県,1435,DOLCE.,岩手県,0,,-
5th style,V,324,G.ZONE,岩手県,1099,MSN006,岩手県,2393,4,岩手県,3020,DOLCE.,岩手県,0,,-
5th style,THE SHINING POLARIS,0,,-,810,IIDX28,岩手県,1195,QUALIS,岩手県,1524,TABI,岩手県,0,,-
5th style,THE CUBE,0,,-,511,TAKU,岩手県,1066,NASNAS,岩手県,1316,HASSHY,岩手県,0,,-
5th style,sync,0,,-,1038,L-FOX,岩手県,1827,ARCHE,岩手県,2308,TABI,岩手県,0,,-
5th style,still my words,0,,-,350,0110,岩手県,1206,TABI,岩手県,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,0,,-,1221,N-HARD,岩手県,1928,DOLCE.,岩手県,0,,-
5th style,Spin the disc,0,,-,0,,-,1167,QUALIS,岩手県,1326,SHIVA.,岩手県,0,,-
5th style,RISLIM,0,,-,797,TUBAME,岩手県,1241,DOLCE.,岩手県,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,0,,-,946,MAME4B,岩手県,1705,SHIVA.,岩手県,1768,SHIVA.,岩手県
5th style,Regulus,0,,-,633,ROOTS,岩手県,1362,QUALIS,岩手県,1687,SHIVA.,岩手県,0,,-
5th style,Real,0,,-,963,G.ZONE,岩手県,1470,NORIDA,岩手県,1828,DOLCE.,岩手県,0,,-
5th style,Radical Faith,0,,-,0,,-,1451,550.,岩手県,1225,HURTA,岩手県,0,,-
5th style,QQQ,0,,-,1005,IIDX28,岩手県,1787,2WAKKA,岩手県,2175,DOLCE.,岩手県,0,,-
5th style,outer wall,0,,-,747,T.T,岩手県,1240,QUALIS,岩手県,1699,TABI,岩手県,0,,-
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,0,,-,0,,-,850,YU-SA,岩手県,1121,SHIVA.,岩手県,0,,-
5th style,in my eyes,0,,-,750,ALIKA,岩手県,1224,STOCK,岩手県,1529,550.,岩手県,0,,-
5th style,Abyss,0,,-,1157,KOU,岩手県,1616,SHIVA.,岩手県,1887,DOLCE.,岩手県,0,,-
6th style,電人イェーガーのテーマ(Theme of DENJIN J),0,,-,994,884,岩手県,1445,N-HARD,岩手県,0,,-,0,,-
6th style,こっちを向いてよ,0,,-,447,JK*,岩手県,1016,STOCK,岩手県,1365,SHIVA.,岩手県,0,,-
6th style,VJ ARMY,0,,-,1190,MASX2.,岩手県,1629,OKE,岩手県,2245,DOLCE.,岩手県,0,,-
6th style,Take It Easy,0,,-,1355,G.ZONE,岩手県,2303,GRN.,岩手県,2413,GJI,岩手県,0,,-
6th style,Summer Vacation(CU mix),0,,-,0,,-,1796,TABI,岩手県,0,,-,0,,-
6th style,SOMETHING WONDERFUL,0,,-,712,TAIKI,岩手県,1306,OKE,岩手県,1850,TABI,岩手県,0,,-
6th style,route 80s,0,,-,644,TAKU,岩手県,1008,STOCK,岩手県,1447,TABI,岩手県,0,,-
6th style,rottel-da-sun,0,,-,635,TAKU,岩手県,1230,ARCHE,岩手県,1802,4,岩手県,0,,-
6th style,NEMESIS,0,,-,745,TAKU,岩手県,1355,QUALIS,岩手県,1858,SHIVA.,岩手県,0,,-
6th style,Linus,0,,-,648,ARANO,岩手県,1448,ARCHE,岩手県,2092,TABI,岩手県,0,,-
6th style,G2,0,,-,1170,G.ZONE,岩手県,1490,MASX2.,岩手県,2140,TABI,岩手県,0,,-
6th style,Frozen Ray (original mix),0,,-,1039,RYU-YA,岩手県,1650,QUOLL*,岩手県,1737,4,岩手県,0,,-
6th style,Free Style,0,,-,729,T.T,岩手県,951,NORIDA,岩手県,1262,4,岩手県,0,,-
6th style,fly through the night,0,,-,306,MELTY,岩手県,1111,YU-KI,岩手県,1636,550.,岩手県,0,,-
6th style,DIVE ～INTO YOUR HEART～,0,,-,953,T.T,岩手県,1736,ARCHE,岩手県,2119,DOLCE.,岩手県,0,,-
6th style,Colors (radio edit),0,,-,1253,884,岩手県,1852,277,岩手県,2372,SHIVA.,岩手県,0,,-
