バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,726,HIRORO,群馬県,1010,BEISIA,群馬県,1141,RAMAN5,群馬県,0,,-
1st&substream,RUGGED ASH,0,,-,355,SAKURA,群馬県,401,TAKA-P,群馬県,1088,NEKOZE,群馬県,2015,G*,群馬県
1st&substream,R3,0,,-,642,BEISIA,群馬県,714,7&MM!3,群馬県,892,NEKOZE,群馬県,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,503,92SATO,群馬県,697,92SATO,群馬県,1104,3TOTIN,群馬県,0,,-
1st&substream,Macho Gang,0,,-,372,TAQAN,群馬県,1039,BEISIA,群馬県,1617,NEKOZE,群馬県,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,BEERKZ,群馬県,243,AAAAAA,群馬県,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,846,KKP,群馬県,943,BEISIA,群馬県,1208,G*,群馬県,0,,-
1st&substream,gentle stress,0,,-,336,SAKURA,群馬県,669,COG,群馬県,1443,BEERKZ,群馬県,0,,-
1st&substream,GENOM SCREAMS,0,,-,347,MA*KO,群馬県,829,G*,群馬県,1052,ENDURE,群馬県,0,,-
1st&substream,GAMBOL,0,,-,272,RINNE*,群馬県,273,RINNE*,群馬県,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,395,BEISIA,群馬県,501,BEISIA,群馬県,572,SYNCH,群馬県,0,,-
1st&substream,deep in you,0,,-,470,7&MM!3,群馬県,475,D.NANA,群馬県,659,NEKOZE,群馬県,0,,-
1st&substream,5.1.1.,0,,-,194,*TMHR*,群馬県,1008,BEISIA,群馬県,1557,Z-1004,群馬県,0,,-
1st&substream,22DUNK,0,,-,491,BEISIA,群馬県,628,BEISIA,群馬県,644,SYNCH,群馬県,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,494,7&MM!3,群馬県,612,06RICE,群馬県,643,RINNE*,群馬県,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,494,REO,群馬県,849,NEKOZE,群馬県,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,862,7&MM!3,群馬県,1081,H-BOMB,群馬県,1208,SYNCH,群馬県,0,,-
2nd style,I Was The One,0,,-,482,NAMEKO,群馬県,596,G*NOIR,群馬県,684,TAKA-P,群馬県,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,728,N.C.,群馬県,895,N.C.,群馬県,1052,SYNCH,群馬県,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,695,N.C.,群馬県,986,SUGURI,群馬県,1112,SYNCH,群馬県,0,,-
2nd style,.59,0,,-,675,SAKURA,群馬県,956,BEISIA,群馬県,1147,SYNCH,群馬県,0,,-
3rd style,THE SAFARI,355,SAKIRO,群馬県,1210,BEISIA,群馬県,1729,SYNCH,群馬県,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,275,SAKURA,群馬県,393,GRAN,群馬県,0,,-,0,,-
3rd style,Skyscraper,0,,-,671,HIRORO,群馬県,1117,N.C.,群馬県,1233,NEKOZE,群馬県,0,,-
3rd style,Schlagwerk,0,,-,797,7&MM!3,群馬県,1229,N.C.,群馬県,1681,SYNCH,群馬県,0,,-
3rd style,REINCARNATION,0,,-,797,D.NANA,群馬県,1015,COG,群馬県,1263,NEKOZE,群馬県,0,,-
3rd style,R5,0,,-,666,MA*KO,群馬県,1137,5KEY,群馬県,1761,G*,群馬県,0,,-
3rd style,Presto,0,,-,507,N.C.,群馬県,973,NEKOZE,群馬県,1003,BEERKZ,群馬県,0,,-
3rd style,LEADING CYBER,0,,-,753,N.C.,群馬県,1164,*TMHR*,群馬県,1248,SYNCH,群馬県,0,,-
3rd style,Holic,0,,-,756,COG,群馬県,1124,H-BOMB,群馬県,1720,G*,群馬県,0,,-
3rd style,era (nostalmix),0,,-,789,N.C.,群馬県,1063,G*,群馬県,1519,G*,群馬県,0,,-
3rd style,Don't Stop!,0,,-,726,N.C.,群馬県,799,N.C.,群馬県,899,RINNE*,群馬県,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,574,N.C.,群馬県,1236,SYNCH,群馬県,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,911,COG,群馬県,1174,B-1824,群馬県,1307,SYNCH,群馬県,0,,-
4th style,SWEET LAB,0,,-,493,MU$ECA,群馬県,961,BEISIA,群馬県,1301,SYNCH,群馬県,0,,-
4th style,starmine,432,SAKIRO,群馬県,844,STELLA,群馬県,1371,BEERKZ,群馬県,1578,$7.00,群馬県,0,,-
4th style,Mr.T.(take me higher),0,,-,755,N.C.,群馬県,915,GOESE,群馬県,1743,BEERKZ,群馬県,0,,-
